안전비상벨관리번호,설치목적,설치장소유형,설치위치,소재지도로명주소,소재지지번주소,위도,경도,연계방식,경찰연계유무,경비업체연계유무,관리사무소연계유무,부가기능,안전비상벨설치년도,최종점검일자,최종점검결과구분,관리기관명,관리기관전화번호,데이터기준일자
1,2,2,도곡근린공원,서울특별시 강남구 도곡동 산31-1,서울특별시 강남구 도곡동 산31-1,37.489837,127.044318,2,Y,N,N,,2016,2018-05-18,Y,강남구청 공원녹지과,02-3423-6248,2019-05-20
2,2,2,개포근린공원,서울특별시 강남구 선릉로4길 30,서울특별시 강남구 개포동 139,37.482974,127.063882,2,Y,N,N,,2016,2018-05-18,Y,강남구청 공원녹지과,02-3423-6245,2019-05-20
3,2,2,학동근린공원,서울특별시 강남구 논현동 26,서울특별시 강남구 논현동 26,37.515506,127.02524,2,Y,N,N,,2016,2018-05-18,Y,강남구청 공원녹지과,02-3423-6244,2019-05-20
4,2,2,역삼근린공원1(중간),서울특별시 강남구 테헤란로7길 32,서울특별시 강남구 역삼동 635,37.502204,127.030384,2,Y,N,N,,2016,2018-05-18,Y,강남구청 공원녹지과,02-3423-6244,2019-05-20
5,2,2,역삼근린공원2(위),서울특별시 강남구 테헤란로7길 32,서울특별시 강남구 역삼동 635,37.502204,127.030384,2,Y,N,N,,2016,2018-05-18,Y,강남구청 공원녹지과,02-3423-6244,2019-05-20
6,2,2,역삼근린공원3(아래),서울특별시 강남구 테헤란로7길 21,서울특별시 강남구 역삼동 635-1,37.500852,127.029618,2,Y,N,N,,2016,2018-05-18,Y,강남구청 공원녹지과,02-3423-6244,2019-05-20
7,2,2,도산근린공원,서울특별시 강남구 도산대로45길 20,서울특별시 강남구 신사동 649-9,37.523878,127.035581,2,Y,N,N,,2016,2018-05-18,Y,강남구청 공원녹지과,02-3423-6244,2019-05-20
8,2,2,늘벗근린공원,서울특별시 강남구 대치동 501,서울특별시 강남구 대치동 501,37.489564,127.057138,2,Y,N,N,,2016,2018-05-18,Y,강남구청 공원녹지과,02-3423-6244,2019-05-20
9,2,2,대청근린공원,서울특별시 강남구 개포로124길 24,서울특별시 강남구 일원동 621,37.492762,127.082807,2,Y,N,N,,2016,2018-05-18,Y,강남구청 공원녹지과,02-3423-6245,2019-05-20
10,2,2,대진근린공원,서울특별시 강남구 개포로109길 62,서울특별시 강남구 개포동 13-1,37.496015,127.078806,2,Y,N,N,,2016,2018-05-18,Y,강남구청 공원녹지과,02-3423-6245,2019-05-20
