안전비상벨관리번호,설치목적,설치장소유형,설치위치,소재지도로명주소,소재지지번주소,위도,경도,연계방식,경찰연계유무,경비업체연계유무,관리사무소연계유무,부가기능,안전비상벨설치년도,최종점검일자,최종점검결과구분,관리기관명,관리기관전화번호,데이터기준일자
공원녹지과-1,1,1,솔밭근린공원 화장실,서울특별시 강북구 삼양로 561,서울특별시 강북구 우이동 80,37.65301233,127.012259,3,Y,N,N,X,2016,2019-06-03,Y,강북구청 공원녹지과,02-901-6925,2019-06-04
공원녹지과-2,1,1,오동근린공원 율곡화장실,서울특별시 강북구 오패산로52사길 24,서울특별시 강북구 미아동 산25-13,37.62822083,127.0316605,3,Y,N,N,X,2016,2019-06-03,Y,강북구청 공원녹지과,02-901-6925,2019-06-04
공원녹지과-3,1,99,우이동 만남의광장 화장실,서울특별시 강북구 우이동 186-5,서울특별시 강북구 우이동 186-5,37.64406,127.033317,3,Y,N,N,X,2016,2019-06-03,Y,강북구청 공원녹지과,02-901-6925,2019-06-04
공원녹지과-4,1,1,북한산 유아숲체험장 화장실,서울특별시 강북구 미아동 산108-19,서울특별시 강북구 미아동 산108-19,37.6210707,127.0083592,3,Y,N,N,X,2016,2019-06-03,Y,강북구청 공원녹지과,02-901-6925,2019-06-04
공원녹지과-5,1,1,한빛어린이공원 화장실,서울특별시 강북구 미아동 220-20,서울특별시 강북구 미아동 220-20,37.627895,127.02279,3,Y,N,N,X,2017,2019-06-03,Y,강북구청 공원녹지과,02-901-6925,2019-06-04
공원녹지과-6,1,1,운산어린이공원 화장실,서울특별시 강북구 미아동 165-3,서울특별시 강북구 미아동 165-3,37.632085,127.025548,3,Y,N,N,X,2017,2019-06-03,Y,강북구청 공원녹지과,02-901-6925,2019-06-04
공원녹지과-,1,1,솔샘어린이공원 화장실,서울특별시 강북구 미아동 329-11,서울특별시 강북구 미아동 329-11,37.618156,127.0270194,3,Y,N,N,X,2017,2019-06-03,Y,강북구청 공원녹지과,02-901-6925,2019-06-04
공원녹지과-,1,1,번남어린이공원 화장실,서울특별시 강북구 번동 447-1,서울특별시 강북구 번동 447-1,37.63581398,127.0249741,3,Y,N,N,X,2017,2019-06-03,Y,강북구청 공원녹지과,02-901-6925,2019-06-04
공원녹지과-,1,1,샛강어린이공원 화장실,서울특별시 강북구 번동 472-39,서울특별시 강북구 번동 472-39,37.63934494,127.033005,3,Y,N,N,X,2017,2019-06-03,Y,강북구청 공원녹지과,02-901-6925,2019-06-04
공원녹지과-,1,1,오얏골어린이공원 화장실,서울특별시 강북구 번동 228,서울특별시 강북구 번동 228,37.634192,127.0340527,3,Y,N,N,X,2017,2019-06-03,Y,강북구청 공원녹지과,02-901-6925,2019-06-04
공원녹지과-,1,1,벌말어린이공원 화장실,서울특별시 강북구 번동 235,서울특별시 강북구 번동 235,37.62967901,127.0398094,3,Y,N,N,X,2017,2019-06-03,Y,강북구청 공원녹지과,02-901-6925,2019-06-04
공원녹지과-,1,1,벌리어린이공원 화장실,서울특별시 강북구 번동 240,서울특별시 강북구 번동 240,37.62752574,127.0444469,3,Y,N,N,X,2017,2019-06-03,Y,강북구청 공원녹지과,02-901-6925,2019-06-04
공원녹지과-,1,1,오현어린이공원 화장실,서울특별시 강북구 한천로105길 23,서울특별시 강북구 번동 244,37.62453264,127.046543,3,Y,N,N,X,2017,2019-06-03,Y,강북구청 공원녹지과,02-901-6925,2019-06-04
공원녹지과-,1,1,흰구름어린이공원 화장실,서울특별시 강북구 노해로23길 58,서울특별시 강북구 수유동 252-16,37.64559789,127.0205227,3,Y,N,N,X,2017,2019-06-03,Y,강북구청 공원녹지과,02-901-6925,2019-06-04
공원녹지과-,1,1,은모루어린이공원 화장실,서울특별시 강북구 수유동 172-209,서울특별시 강북구 수유동 172-209,37.64240115,127.0267987,3,Y,N,N,X,2017,2019-06-03,Y,강북구청 공원녹지과,02-901-6925,2019-06-04
공원녹지과-,1,1,응달마을어린이공원 화장실,서울특별시 강북구 송천동 860-116,서울특별시 강북구 송천동 860-116,37.618383,127.02428,3,Y,N,N,X,2017,2019-06-03,Y,강북구청 공원녹지과,02-901-6925,2019-06-04
공원녹지과-,1,1,색동어린이공원 화장실,서울특별시 강북구 삼양로80나길 56,서울특별시 강북구 수유동 49-7,37.63333727,127.0206236,3,Y,N,N,X,2017,2019-06-03,Y,강북구청 공원녹지과,02-901-6925,2019-06-04
공원녹지과-,1,1,오동공원 유아숲체험장 화장실,서울특별시 강북구 번동 산17-10,서울특별시 강북구 번동 산17-10,37.6327684,127.0326112,3,Y,N,N,X,2017,2019-06-03,Y,강북구청 공원녹지과,02-901-6925,2019-06-04
공원녹지과-,1,99,삼양체육과학공원 화장실,서울특별시 강북구 삼양동 산108-83,서울특별시 강북구 삼양동 산108-83,37.621883,127.013021,3,Y,N,N,X,2017,2019-06-03,Y,강북구청 공원녹지과,02-901-6925,2019-06-04
