안전비상벨관리번호,설치목적,설치장소유형,설치위치,소재지도로명주소,소재지지번주소,위도,경도,연계방식,경찰연계유무,경비업체연계유무,관리사무소연계유무,부가기능,안전비상벨설치년도,최종점검일자,최종점검결과구분,관리기관명,관리기관전화번호,데이터기준일자
82000001,1,2,가양동 1459-9,,서울특별시 강서구 가양동 1459-9,37.569929,126.8413725,3,Y,N,N,이상음원감지,2019,2019-01-01,Y,강서구청 공원녹지과,02-2600-4112,2019-03-22
82000002,1,2,가양동 산3,,서울특별시 강서구 가양동 산3,37.5740992,126.8320968,3,Y,N,N,,2016,2019-01-01,Y,강서구청 공원녹지과,02-2600-4112,2019-03-22
82000003,1,2,화곡동 산162-1,,서울특별시 강서구 화곡동 산162-1,37.537547,126.843945,3,Y,N,N,,2016,2019-01-01,Y,강서구청 공원녹지과,02-2600-4112,2019-03-22
82000004,1,2,화곡동 산164-3,,서울특별시 강서구 화곡동 산164-3,37.53475,126.844812,3,Y,N,N,,2016,2019-01-01,Y,강서구청 공원녹지과,02-2600-4112,2019-03-22
82000005,1,2,방화동 산135-3,,서울특별시 강서구 방화동 산135-3,37.5779834,126.8081049,3,Y,N,N,,2016,2019-01-01,Y,강서구청 공원녹지과,02-2600-4112,2019-03-22
82000006,1,2,등촌동 687-4,,서울특별시 강서구 등촌동 687-4,37.5633836,126.8330348,3,Y,N,N,,2016,2019-01-01,Y,강서구청 공원녹지과,02-2600-4112,2019-03-22
82000007,1,2,내발산동 739,,서울특별시 강서구 내발산동 739,37.5552353,126.816945,3,Y,N,N,,2016,2019-01-01,Y,강서구청 공원녹지과,02-2600-4112,2019-03-22
82000008,1,2,방화동 855,,서울특별시 강서구 방화동 855,37.5809066,126.8053528,3,Y,N,N,,2016,2019-01-01,Y,강서구청 공원녹지과,02-2600-4112,2019-03-22
82000009,1,2,등촌동 706,,서울특별시 강서구 등촌동 706,37.5585664,126.8412098,3,Y,N,N,,2016,2019-01-01,Y,강서구청 공원녹지과,02-2600-4112,2019-03-22
82000010,1,2,내발산동 748,,서울특별시 강서구 내발산동 748,37.545715,126.825253,3,Y,N,N,,2018,2019-01-01,Y,강서구청 공원녹지과,02-2600-4112,2019-03-22
82000011,1,2,내발산동 748,,서울특별시 강서구 내발산동 748,37.543486,126.824343,3,Y,N,N,,2016,2019-01-01,Y,강서구청 공원녹지과,02-2600-4112,2019-03-22
82000012,1,2,방화동 842,,서울특별시 강서구 방화동 842,37.5741604,126.8120789,3,Y,N,N,,2016,2019-01-01,Y,강서구청 공원녹지과,02-2600-4112,2019-03-22
82000013,1,2,내발산동 산19-1,,서울특별시 강서구 내발산동 산19-1,37.553421,126.84313,3,Y,N,N,,2016,2019-01-01,Y,강서구청 공원녹지과,02-2600-4112,2019-03-22
82000014,1,2,우장산동 산60-1,,서울특별시 강서구 우장산동 산60-1,37.550478,126.845619,3,Y,N,N,,2016,2019-01-01,Y,강서구청 공원녹지과,02-2600-4112,2019-03-22
82000015,1,2,등촌동 690-5,,서울특별시 강서구 등촌동 690-5,37.5597817,126.8332728,3,Y,N,N,,2016,2019-01-01,Y,강서구청 공원녹지과,02-2600-4112,2019-03-22
82000016,1,2,가양동 1471,,서울특별시 강서구 가양동 1471,37.5677661,126.8438258,3,Y,N,N,이상음원감지,2019,2019-01-01,Y,강서구청 공원녹지과,02-2600-4112,2019-03-22
82000017,1,2,가양동 1485-5,,서울특별시 강서구 가양동 1485-5,37.562001,126.8549772,3,Y,N,N,,2016,2019-01-01,Y,강서구청 공원녹지과,02-2600-4112,2019-03-22
82000018,1,2,가양동 1482-1,,서울특별시 강서구 가양동 1482-1,37.529554,126.844986,3,Y,N,N,이상음원감지,2019,2019-01-01,Y,강서구청 공원녹지과,02-2600-4112,2019-03-22
82000019,1,2,화곡동 98-22,,서울특별시 강서구 화곡동 98-22,37.543449,126.844116,3,Y,N,N,,2016,2019-01-01,Y,강서구청 공원녹지과,02-2600-4112,2019-03-22
82000020,1,2,가양동 1461-1,,서울특별시 강서구 가양동 1461-1,37.570173,126.846815,3,Y,N,N,이상음원감지,2019,2019-01-01,Y,강서구청 공원녹지과,02-2600-4112,2019-03-22
82000021,1,2,가양1동 1459-1,,서울특별시 강서구 가양1동 1459-1,37.571792,126.844243,3,Y,N,N,,2016,2019-01-01,Y,강서구청 공원녹지과,02-2600-4112,2019-03-22
82000022,1,2,방화동 184-66,,서울특별시 강서구 방화동 184-66,37.571792,126.819136,3,Y,N,N,,2016,2019-01-01,Y,강서구청 공원녹지과,02-2600-4112,2019-03-22
82000023,1,2,가양동 1478-1,,서울특별시 강서구 가양동 1478-1,37.565086,126.851657,3,Y,N,N,이상음원감지,2019,2019-01-01,Y,강서구청 공원녹지과,02-2600-4112,2019-03-22
82000024,1,2,가양동 1489-1,,서울특별시 강서구 가양동 1489-1,37.559482,126.862878,3,Y,N,N,,2016,2019-01-01,Y,강서구청 공원녹지과,02-2600-4112,2019-03-22
82000025,1,2,방화동 583,,서울특별시 강서구 방화동 583,37.569441,126.809396,3,Y,N,N,이상음원감지,2019,2019-01-01,Y,강서구청 공원녹지과,02-2600-4112,2019-03-22
82000026,1,2,가양동 1465,,서울특별시 강서구 가양동 1465,37.568692,126.848747,3,Y,N,N,이상음원감지,2019,2019-01-01,Y,강서구청 공원녹지과,02-2600-4112,2019-03-22
82000027,1,2,공항동 668,,서울특별시 강서구 공항동 668,37.556809,126.813805,3,Y,N,N,이상음원감지,2019,2019-01-01,Y,강서구청 공원녹지과,02-2600-4112,2019-03-22
82000028,1,2,염창동 281-3,,서울특별시 강서구 염창동 281-3,37.548414,126.874399,3,Y,N,N,,2016,2019-01-01,Y,강서구청 공원녹지과,02-2600-4112,2019-03-22
82000029,1,2,등촌동 646-41,,서울특별시 강서구 등촌동 646-41,37.552792,126.863421,3,Y,N,N,,2016,2019-01-01,Y,강서구청 공원녹지과,02-2600-4112,2019-03-22
82000030,1,2,화곡동 24-138,,서울특별시 강서구 화곡동 24-138,37.545972,126.845352,3,Y,N,N,,2016,2019-01-01,Y,강서구청 공원녹지과,02-2600-4112,2019-03-22
82000031,1,2,공항동 687-15,,서울특별시 강서구 공항동 687-15,37.555736,126.811966,3,Y,N,N,이상음원감지,2019,2019-01-01,Y,강서구청 공원녹지과,02-2600-4112,2019-03-22
82000032,1,2,화곡동 산41-6,,서울특별시 강서구 화곡동 산41-6,37.542488,126.852475,3,Y,N,N,,2016,2019-01-01,Y,강서구청 공원녹지과,02-2600-4112,2019-03-22
82000033,1,2,화곡동 산42-5,,서울특별시 강서구 화곡동 산42-5,37.541955,126.855264,3,Y,N,N,,2018,2019-01-01,Y,강서구청 공원녹지과,02-2600-4112,2019-03-22
82000034,1,2,화곡동 산 22-83,,서울특별시 강서구 화곡동 산 22-83,37.538048,126.854926,3,Y,N,N,,2016,2019-01-01,Y,강서구청 공원녹지과,02-2600-4112,2019-03-22
82000035,1,2,화곡동 산5-5,,서울특별시 강서구 화곡동 산5-5,37.539871,126.858641,3,Y,N,N,,2016,2019-01-01,Y,강서구청 공원녹지과,02-2600-4112,2019-03-22
