안전비상벨관리번호,설치목적,설치장소유형,설치위치,소재지도로명주소,소재지지번주소,위도,경도,연계방식,경찰연계유무,경비업체연계유무,관리사무소연계유무,부가기능,안전비상벨설치년도,최종점검일자,최종점검결과구분,관리기관명,관리기관전화번호,데이터기준일자
AD005 1-1R,1,1,무장애등산로3,서울특별시 관악구 신림동 산52,서울특별시 관악구 신림동 산52,37.45471388,126.948143,3,N,N,N,음악방송,2017,2018-06-01,Y,관악구청,02-879-5831,2019-04-30
A2035 1-1R,1,1,관악산공원 제2야영장,서울특별시 관악구 신림동 205-1,서울특별시 관악구 신림동 205-1,37.45560656,126.9453963,3,N,N,N,음악방송,2012,2018-06-01,Y,관악구청,02-879-5831,2019-04-30
A3004 1-1R,1,1,무장애등산로1,서울특별시 관악구 신림동 산56-2,서울특별시 관악구 신림동 산56-2,37.45641695,126.9461288,3,N,N,N,음악방송,2013,2018-06-01,Y,관악구청,02-879-5831,2019-04-30
AD004 1-1R,1,1,무장애등산로2,서울특별시 관악구 신림동 산52,서울특별시 관악구 신림동 산52,37.45652999,126.9471459,3,N,N,N,음악방송,2017,2018-06-01,Y,관악구청,02-879-5831,2019-04-30
AB019 1-1R,1,1,안전한산책로3,서울특별시 관악구 신림동 산102-12,서울특별시 관악구 신림동 산102-12,37.45750048,126.9204326,3,N,N,N,음악방송,2015,2018-06-01,Y,관악구청,02-879-5831,2019-04-30
AB018 1-1R,1,1,안전한산책로2,서울특별시 관악구 신림동 산102-12,서울특별시 관악구 신림동 산102-12,37.45766012,126.9185619,3,N,N,N,음악방송,2015,2018-06-01,Y,관악구청,02-879-5831,2019-04-30
A2034 1-2R,1,1,관악산공원 제1야영장,서울특별시 관악구 신림동 205-1,서울특별시 관악구 신림동 205-1,37.45796926,126.9464133,3,N,N,N,음악방송,2012,2018-06-01,Y,관악구청,02-879-5831,2019-04-30
AD024 1-1R,1,1,안전한산책로4,서울특별시 관악구 신림동 산102-7,서울특별시 관악구 신림동 산102-7,37.45822172,126.9214658,3,N,N,N,,2017,2018-06-01,Y,관악구청,02-879-5831,2019-04-30
A2010 1-1R,1,1,관악산공원 호수공원 01,서울특별시 관악구 신림동 205-1,서울특별시 관악구 신림동 205-1,37.45853189,126.946999,3,N,N,N,음악방송,2012,2018-06-01,Y,관악구청,02-879-5831,2019-04-30
AD023 1-1R,1,1,안전한산책로1,서울특별시 관악구 신림동 산105-11,서울특별시 관악구 신림동 산105-11,37.45886082,126.917401,3,N,N,N,,2017,2018-06-01,Y,관악구청,02-879-5831,2019-04-30
