안전비상벨관리번호,설치목적,설치장소유형,설치위치,소재지도로명주소,소재지지번주소,위도,경도,연계방식,경찰연계유무,경비업체연계유무,관리사무소연계유무,부가기능,안전비상벨설치년도,최종점검일자,최종점검결과구분,관리기관명,관리기관전화번호,데이터기준일자
생활방범-001,1,5,광장동 266,서울특별시 광진구 광장로3길 22 (광장동 미도빌라),서울특별시 광진구 광장동 266,37.548589,127.103006,3,N,N,N,경보음+CCTV,2017,2019-02-28,Y,서울특별시 광진구청,02-450-5100,2019-03-08
생활방범-002,1,5,광장동 554,서울특별시 광진구 아차산로70길 35 (광장동),서울특별시 광진구 광장동 554,37.541144,127.103301,3,N,N,N,경보음+CCTV,2017,2019-02-28,Y,서울특별시 광진구청,02-450-5100,2019-03-08
생활방범-003,1,5,광장동 570,서울특별시 광진구 아차산로 540 (광장동 상록타워포철사원임대아파트),서울특별시 광진구 광장동 570,37.542522,127.101472,3,N,N,N,경보음+CCTV,2017,2019-02-28,Y,서울특별시 광진구청,02-450-5100,2019-03-08
생활방범-004,1,5,광장동 107-1,서울특별시 광진구 아차산로78길 53 (광장동 동북아 스위트힐아파트),서울특별시 광진구 광장동 107-1,37.551522,127.109833,3,N,N,N,경보음+CCTV,2017,2019-02-28,Y,서울특별시 광진구청,02-450-5100,2019-03-08
생활방범-005,1,5,광장동 148-6,서울특별시 광진구 아차산로 636 (광장동),서울특별시 광진구 광장동 148-6,37.548995,127.10899,3,N,N,N,경보음+CCTV,2017,2019-02-28,Y,서울특별시 광진구청,02-450-5100,2019-03-08
생활방범-006,1,5,광장동 244-18,서울특별시 광진구 천호대로 809 (광장동),서울특별시 광진구 광장동 244-18,37.545957,127.103591,3,N,N,N,경보음+CCTV,2017,2019-02-28,Y,서울특별시 광진구청,02-450-5100,2019-03-08
생활방범-007,1,5,광장동 248-19,서울특별시 광진구 아차산로75길 25 (광장동 코지하우스),서울특별시 광진구 광장동 248-19,37.546843,127.10344,3,N,N,N,경보음+CCTV,2017,2019-02-28,Y,서울특별시 광진구청,02-450-5100,2019-03-08
생활방범-008,1,5,광장동 320-8,서울특별시 광진구 아차산로76길 19 (광장동),서울특별시 광진구 광장동 320-8,37.547552,127.107957,3,N,N,N,경보음+CCTV,2017,2019-02-28,Y,서울특별시 광진구청,02-450-5100,2019-03-08
생활방범-009,1,5,광장동 323-7,서울특별시 광진구 아차산로78길 176 (광장동),서울특별시 광진구 광장동 323-7,37.548102,127.108064,3,N,N,N,경보음+CCTV,2017,2019-02-28,Y,서울특별시 광진구청,02-450-5100,2019-03-08
생활방범-010,1,5,광장동 370-5,서울특별시 광진구 광장로1다길 60 (광장동),서울특별시 광진구 광장동 370-5,37.550878,127.101337,3,N,N,N,경보음+CCTV,2017,2019-02-28,Y,서울특별시 광진구청,02-450-5100,2019-03-08
생활방범-011,1,5,광장동 393-6,서울특별시 광진구 광장로1나길 16 (광장동),서울특별시 광진구 광장동 393-6,37.548844,127.10184,3,N,N,N,경보음+CCTV,2017,2019-02-28,Y,서울특별시 광진구청,02-450-5100,2019-03-08
생활방범-012,1,5,광장동 401-17,서울특별시 광진구 광장로 1 (광장동),서울특별시 광진구 광장동 401-17,37.54551,127.097798,3,N,N,N,경보음+CCTV,2017,2019-02-28,Y,서울특별시 광진구청,02-450-5100,2019-03-08
생활방범-013,1,5,광장동 458-1,서울특별시 광진구 아차산로66길 66 (광장동),서울특별시 광진구 광장동 458-1,37.54153,127.098991,3,N,N,N,경보음+CCTV,2017,2019-02-28,Y,서울특별시 광진구청,02-450-5100,2019-03-08
생활방범-014,1,5,구의1동 221-21,서울특별시 광진구 구의로 13-6 (구의동 영화빌리지),서울특별시 광진구 구의1동 221-21,37.539461,127.088957,3,N,N,N,경보음+CCTV,2017,2019-02-28,Y,서울특별시 광진구청,02-450-5100,2019-03-08
생활방범-015,1,5,구의1동 221-59,서울특별시 광진구 아차산로57길 14 (구의동),서울특별시 광진구 구의1동 221-59,37.539227,127.088314,3,N,N,N,경보음+CCTV,2017,2019-02-28,Y,서울특별시 광진구청,02-450-5100,2019-03-08
생활방범-016,1,5,구의1동 222-6,서울특별시 광진구 자양로26길 91-14 (구의동),서울특별시 광진구 구의1동 222-6,37.541078,127.089002,3,N,N,N,경보음+CCTV,2017,2019-02-28,Y,서울특별시 광진구청,02-450-5100,2019-03-08
생활방범-017,1,5,구의1동 226-10,서울특별시 광진구 광나루로40길 17 (구의동),서울특별시 광진구 구의1동 226-10,37.544116,127.089441,3,N,N,N,경보음+CCTV,2017,2019-02-28,Y,서울특별시 광진구청,02-450-5100,2019-03-08
생활방범-018,1,5,구의1동 226-18,서울특별시 광진구 자양로30길 79 (구의동),서울특별시 광진구 구의1동 226-18,37.543128,127.089311,3,N,N,N,경보음+CCTV,2017,2019-02-28,Y,서울특별시 광진구청,02-450-5100,2019-03-08
생활방범-019,1,5,구의1동 226-2,서울특별시 광진구 구의로 65 (구의동 KS홈타운),서울특별시 광진구 구의1동 226-2,37.544036,127.090396,3,N,N,N,경보음+CCTV,2017,2019-02-28,Y,서울특별시 광진구청,02-450-5100,2019-03-08
생활방범-020,1,5,구의1동 226-20,서울특별시 광진구 자양로30길 87-10 (구의동),서울특별시 광진구 구의1동 226-20,37.543562,127.089815,3,N,N,N,경보음+CCTV,2017,2019-02-28,Y,서울특별시 광진구청,02-450-5100,2019-03-08
생활방범-021,1,5,구의1동 231-34,서울특별시 광진구 광나루로38길 27 (구의동),서울특별시 광진구 구의1동 231-34,37.543795,127.08808,3,N,N,N,경보음+CCTV,2017,2019-02-28,Y,서울특별시 광진구청,02-450-5100,2019-03-08
생활방범-022,1,5,구의1동 231-60,서울특별시 광진구 구의로11길 28 (구의동),서울특별시 광진구 구의1동 231-60,37.543771,127.088766,3,N,N,N,경보음+CCTV,2017,2019-02-28,Y,서울특별시 광진구청,02-450-5100,2019-03-08
생활방범-023,1,5,구의1동 232-39,서울특별시 광진구 자양로30길 43 (구의동),서울특별시 광진구 구의1동 232-39,37.543481,127.087237,3,N,N,N,경보음+CCTV,2017,2019-02-28,Y,서울특별시 광진구청,02-450-5100,2019-03-08
생활방범-024,1,5,구의1동 233-14,서울특별시 광진구 자양로32길 31 (구의동),서울특별시 광진구 구의1동 233-14,37.544405,127.086601,3,N,N,N,경보음+CCTV,2017,2019-02-28,Y,서울특별시 광진구청,02-450-5100,2019-03-08
생활방범-025,1,5,구의1동 236-55,서울특별시 광진구 자양로30길 14,서울특별시 광진구 구의1동 236-55,37.543915,127.085686,3,N,N,N,경보음+CCTV,2017,2019-02-28,Y,서울특별시 광진구청,02-450-5100,2019-03-08
생활방범-026,1,5,구의1동 239-45,서울특별시 광진구 자양로28길 73 (구의동),서울특별시 광진구 구의1동 239-45,37.541818,127.088231,3,N,N,N,경보음+CCTV,2017,2019-02-28,Y,서울특별시 광진구청,02-450-5100,2019-03-08
생활방범-027,1,5,구의1동 241-9,서울특별시 광진구 자양로22길 89 (구의동),서울특별시 광진구 구의1동 241-9,37.540018,127.087852,3,N,N,N,경보음+CCTV,2017,2019-02-28,Y,서울특별시 광진구청,02-450-5100,2019-03-08
생활방범-028,1,5,구의1동 242-109,서울특별시 광진구 구의로1길 12 (구의동),서울특별시 광진구 구의1동 242-109,37.539246,127.087587,3,N,N,N,경보음+CCTV,2017,2019-02-28,Y,서울특별시 광진구청,02-450-5100,2019-03-08
생활방범-029,1,5,구의1동 242-63,서울특별시 광진구 구의로1길 26 (구의동),서울특별시 광진구 구의1동 242-63,37.539151,127.086802,3,N,N,N,경보음+CCTV,2017,2019-02-28,Y,서울특별시 광진구청,02-450-5100,2019-03-08
생활방범-030,1,5,구의1동 248-16,서울특별시 광진구 아차산로53길 77 (구의동),서울특별시 광진구 구의1동 248-16,37.540818,127.086086,3,N,N,N,경보음+CCTV,2017,2019-02-28,Y,서울특별시 광진구청,02-450-5100,2019-03-08
생활방범-031,1,5,구의1동 249-33,서울특별시 광진구 자양로26길 45-7,서울특별시 광진구 구의1동 249-33,37.541709,127.086686,3,N,N,N,경보음+CCTV,2017,2019-02-28,Y,서울특별시 광진구청,02-450-5100,2019-03-08
생활방범-032,1,5,구의1동 250-1,서울특별시 광진구 광나루로36길 68 (구의동),서울특별시 광진구 구의1동 250-1,37.542254,127.085838,3,N,N,N,경보음+CCTV,2017,2019-02-28,Y,서울특별시 광진구청,02-450-5100,2019-03-08
생활방범-033,1,5,구의1동 251-154,서울특별시 광진구 자양로26길 14 (구의동),서울특별시 광진구 구의1동 251-154,37.541892,127.084881,3,N,N,N,경보음+CCTV,2017,2019-02-28,Y,서울특별시 광진구청,02-450-5100,2019-03-08
생활방범-034,1,5,구의1동 251-72,서울특별시 광진구 아차산로49길 70 (구의동 대림파크빌),서울특별시 광진구 구의1동 251-72,37.540111,127.084191,3,N,N,N,경보음+CCTV,2017,2019-02-28,Y,서울특별시 광진구청,02-450-5100,2019-03-08
생활방범-035,1,5,구의1동 252-119,서울특별시 광진구 아차산로51길 23 (구의동),서울특별시 광진구 구의1동 252-119,37.538301,127.085022,3,N,N,N,경보음+CCTV,2017,2019-02-28,Y,서울특별시 광진구청,02-450-5100,2019-03-08
생활방범-036,1,5,구의1동 252-127,서울특별시 광진구 아차산로49길 32 (구의동),서울특별시 광진구 구의1동 252-127,37.538561,127.084382,3,N,N,N,경보음+CCTV,2017,2019-02-28,Y,서울특별시 광진구청,02-450-5100,2019-03-08
생활방범-037,1,5,구의1동 252-55,서울특별시 광진구 아차산로49길 50 (구의동),서울특별시 광진구 구의1동 252-55,37.539248,127.08429,3,N,N,N,경보음+CCTV,2017,2019-02-28,Y,서울특별시 광진구청,02-450-5100,2019-03-08
생활방범-038,1,5,구의1동 254-97,서울특별시 광진구 자양로23길 86 (구의동),서울특별시 광진구 구의1동 254-97,37.544368,127.084064,3,N,N,N,경보음+CCTV,2017,2019-02-28,Y,서울특별시 광진구청,02-450-5100,2019-03-08
생활방범-039,1,5,구의1동 257-12,서울특별시 광진구 아차산로55길 23 (구의동 신일아트빌라),서울특별시 광진구 구의1동 257-12,37.53862,127.086504,3,N,N,N,경보음+CCTV,2017,2019-02-28,Y,서울특별시 광진구청,02-450-5100,2019-03-08
생활방범-040,1,5,구의1동 257-15,서울특별시 광진구 아차산로53길 53 (구의동),서울특별시 광진구 구의1동 257-15,37.539804,127.085657,3,N,N,N,경보음+CCTV,2017,2019-02-28,Y,서울특별시 광진구청,02-450-5100,2019-03-08
생활방범-041,1,5,구의1동 257-22,서울특별시 광진구 아차산로53길 29 (구의동),서울특별시 광진구 구의1동 257-22,37.538629,127.085809,3,N,N,N,경보음+CCTV,2017,2019-02-28,Y,서울특별시 광진구청,02-450-5100,2019-03-08
