안전비상벨관리번호,설치목적,설치장소유형,설치위치,소재지도로명주소,소재지지번주소,위도,경도,연계방식,경찰연계유무,경비업체연계유무,관리사무소연계유무,부가기능,안전비상벨설치년도,최종점검일자,최종점검결과구분,관리기관명,관리기관전화번호,데이터기준일자
1,1,1,고척근린공원 게이트볼,서울특별시 구로구 고척로45길 39,서울특별시 구로구 고척동 산9-14,37.50658242,126.8532783,3,N,N,N,CCTV,2009,2019-02-28,Y,구로구청,02-860-2114,2019-09-17
2,1,1,고척근린공원 주차장,서울특별시 구로구 고척로45길 39,서울특별시 구로구 고척동 산9-14,37.50658242,126.8532783,3,N,N,N,CCTV,2009,2019-02-28,Y,구로구청,02-860-2114,2019-09-17
3,1,1,고척근린공원 놀이터(상상공원),서울특별시 구로구 고척로45길 39,서울특별시 구로구 고척동 산9-14,37.50658242,126.8532783,3,N,N,N,CCTV,2009,2019-02-28,Y,구로구청,02-860-2114,2019-09-17
4,1,1,절골어린이공원 어린이놀이터,서울특별시 구로구 개봉로3가길 88-9,서울특별시 구로구 개봉3동 312-25,37.482893,126.8517981,3,N,N,N,CCTV,2009,2019-02-28,Y,구로구청,02-860-2114,2019-09-17
5,1,99,구일초교 1지점 회전형,서울특별시 구로구 구일로 68,서울특별시 구로구 구로1동 685-221,37.4927953,126.8729275,3,N,N,N,CCTV,2010,2019-02-28,Y,구로구청,02-860-2114,2019-09-17
6,1,99,구일초교 2지점 회전형,서울특별시 구로구 구일로 62,서울특별시 구로구 구로1동 685-219,37.4917465,126.8743489,3,N,N,N,CCTV,2010,2019-02-28,Y,구로구청,02-860-2114,2019-09-17
7,1,99,구로초교 1지점 회전형,서울특별시 구로구 구로중앙로27가길 23,서울특별시 구로구 구로2동 513-34,37.497634,126.8860371,3,N,N,N,CCTV,2010,2019-02-28,Y,구로구청,02-860-2114,2019-09-17
8,1,99,구로초교 2지점 회전형,서울특별시 구로구 구로중앙로27나길 18,서울특별시 구로구 구로2동 511-25,37.4968092,126.8849632,3,N,N,N,CCTV,2010,2019-02-28,Y,구로구청,02-860-2114,2019-09-17
9,1,99,동구로초교 회전형 구민어린이집 앞,서울특별시 구로구 가마산로26길 34,서울특별시 구로구 구로4동 90 - 1,37.4946196,126.8915683,3,N,N,N,CCTV,2010,2019-02-28,Y,구로구청,02-860-2114,2019-09-17
10,1,99,신구로초교 회전형,서울특별시 구로구 가마산로27길 69,서울특별시 구로구 구로5동 105,37.499552,126.8893658,3,N,N,N,CCTV,2010,2019-02-28,Y,구로구청,02-860-2114,2019-09-17
11,1,99,영일초교 1지점 회전형,서울특별시 구로구 구로동로7나길 32,서울특별시 구로구 가리봉동 10-7,37.4852635,126.8830769,3,N,N,N,CCTV,2010,2019-02-28,Y,구로구청,02-860-2114,2019-09-17
12,1,99,영일초교 2지점 회전형 홈마트 앞,서울특별시 구로구 구로동로7나길 15,서울특별시 구로구 가리봉동 13-21,37.485958,126.883415,3,N,N,N,CCTV,2010,2019-02-28,Y,구로구청,02-860-2114,2019-09-17
13,1,99,덕의초교 회전형,서울특별시 구로구 고척로 211,서울특별시 구로구 고척2동 169-13,37.5054798,126.856587,3,N,N,N,CCTV,2010,2019-02-28,Y,구로구청,02-860-2114,2019-09-17
14,1,99,세곡초교 학교 앞 회전형 태후사랑무궁화슈퍼 앞,서울특별시 구로구 고척로27길 32,서울특별시 구로구 개봉1동 119-13,37.503382,126.8470147,3,N,N,N,CCTV,2010,2019-02-28,Y,구로구청,02-860-2114,2019-09-17
15,1,99,개봉초교 1지점 회전형 팅커벨 피아노학원 앞,서울특별시 구로구 개봉로16길 31,서울특별시 구로구 개봉2동 262-32,37.4901354,126.8579111,3,N,N,N,CCTV,2010,2019-02-28,Y,구로구청,02-860-2114,2019-09-17
