안전비상벨관리번호,설치목적,설치장소유형,설치위치,소재지도로명주소,소재지지번주소,위도,경도,연계방식,경찰연계유무,경비업체연계유무,관리사무소연계유무,부가기능,안전비상벨설치년도,최종점검일자,최종점검결과구분,관리기관명,관리기관전화번호,데이터기준일자
P101,1,5,성창빌라 앞,서울특별시 금천구 독산로58가길 68,서울특별시 금천구 독산동 378-48,37.4649216,126.9069769,3,N,N,N,경보음 + CCTV,2017,2019-08-26,Y,금천구 U-통합운영센터,02-2627-1904,2019-08-26
P102,1,5,GS25 앞,서울특별시 금천구 독산로64길 70,서울특별시 금천구 독산동 377-5,37.466504,126.905941,3,N,N,N,경보음 + CCTV,2018,2019-08-26,Y,금천구 U-통합운영센터,02-2627-1904,2019-08-26
P103,1,5,우리슈퍼마켓 앞,서울특별시 금천구 독산로68길 61,서울특별시 금천구 독산동 945-3,37.4670615,126.9049245,3,N,N,N,경보음 + CCTV,2017,2019-08-26,Y,금천구 U-통합운영센터,02-2627-1904,2019-08-26
P104,1,5,유선레오빌 앞,서울특별시 금천구 독산로58길 42,서울특별시 금천구 독산동 379-3,37.4650051,126.9052925,3,N,N,N,경보음 + CCTV,2017,2019-08-26,Y,금천구 U-통합운영센터,02-2627-1904,2019-08-26
P105,1,5,모인ARTSCHOOL 앞,서울특별시 금천구 독산로60길 24,서울특별시 금천구 독산동 378-273,37.4647062,126.9042512,3,N,N,N,경보음 + CCTV,2017,2019-08-26,Y,금천구 U-통합운영센터,02-2627-1904,2019-08-26
P106,1,5,웰빙아트빌 앞,서울특별시 금천구 독산로56길 18-4,서울특별시 금천구 독산동 378-460,37.4636914,126.9043282,3,N,N,N,경보음 + CCTV,2017,2019-08-26,Y,금천구 U-통합운영센터,02-2627-1904,2019-08-26
P107,1,5,광성빌라 앞,서울특별시 금천구 독산로68길 15,서울특별시 금천구 독산동 1038-16,37.466058,126.9026473,3,N,N,N,경보음 + CCTV,2017,2019-08-26,Y,금천구 U-통합운영센터,02-2627-1904,2019-08-26
P108,1,5,공간어린이집 앞,서울특별시 금천구 독산로67길 19,서울특별시 금천구 독산동 1042-19,37.464831,126.9015277,3,N,N,N,경보음 + CCTV,2017,2019-08-26,Y,금천구 U-통합운영센터,02-2627-1904,2019-08-26
P109,1,5,새천년할인마트,서울특별시 금천구 시흥대로94길 72,서울특별시 금천구 독산동 1062,37.4636142,126.9013451,3,N,N,N,경보음 + CCTV,2017,2019-08-26,Y,금천구 U-통합운영센터,02-2627-1904,2019-08-26
P110,1,5,믿음어린이집 앞,서울특별시 금천구 시흥대로100길 35,서울특별시 금천구 독산동 1052-13,37.4641416,126.8992518,3,N,N,N,경보음 + CCTV,2017,2019-08-26,Y,금천구 U-통합운영센터,02-2627-1904,2019-08-26
P111,1,5,김주연헤어클리닉 앞,서울특별시 금천구 시흥대로84길 31,서울특별시 금천구 독산동 1069-15,37.4606985,126.901082,3,N,N,N,경보음 + CCTV,2018,2019-08-26,Y,금천구 U-통합운영센터,02-2627-1904,2019-08-26
P112,1,5,호정종합상가 앞,서울특별시 금천구 시흥대로88길 21,서울특별시 금천구 독산동 1069,37.4611096,126.9002186,3,N,N,N,경보음 + CCTV,2017,2019-08-26,Y,금천구 U-통합운영센터,02-2627-1904,2019-08-26
P113,1,5,동아타운A동 앞,서울특별시 금천구 독산로50길 141,서울특별시 금천구 시흥동 3-107,37.4622456,126.9119669,3,N,N,N,경보음 + CCTV,2017,2019-08-26,Y,금천구 U-통합운영센터,02-2627-1904,2019-08-26
P114,1,5,법원빌A동 앞,서울특별시 금천구 독산로40길 78,서울특별시 금천구 시흥동 796-36,37.4613724,126.9086359,3,N,N,N,경보음 + CCTV,2018,2019-08-26,Y,금천구 U-통합운영센터,02-2627-1904,2019-08-26
P115,1,5,경원주택 옆,서울특별시 금천구 독산로44다길 11,서울특별시 금천구 시흥동 791-21,37.461587,126.9063675,3,N,N,N,경보음 + CCTV,2017,2019-08-26,Y,금천구 U-통합운영센터,02-2627-1904,2019-08-26
P116,1,5,한빛무궁화아파트 옆,,서울특별시 금천구 시흥동 798-39,37.460219,126.907247,3,N,N,N,경보음 + CCTV,2017,2019-08-26,Y,금천구 U-통합운영센터,02-2627-1904,2019-08-26
P117,1,5,대성알뜰매장문구 앞,서울특별시 금천구 독산로50다길 29,서울특별시 금천구 시흥동 3-222,37.4610441,126.9107499,3,N,N,N,경보음 + CCTV,2017,2019-08-26,Y,금천구 U-통합운영센터,02-2627-1904,2019-08-26
P118,1,5,주택 골목길,서울특별시 금천구 독산로32가길 26,서울특별시 금천구 시흥동 811-6,37.4584004,126.9066536,3,N,N,N,경보음 + CCTV,2017,2019-08-26,Y,금천구 U-통합운영센터,02-2627-1904,2019-08-26
P119,1,5,동도슈퍼 앞,서울특별시 금천구 독산로32나길 36,서울특별시 금천구 시흥동 807-14,37.458659,126.9076713,3,N,N,N,경보음 + CCTV,2017,2019-08-26,Y,금천구 U-통합운영센터,02-2627-1904,2019-08-26
P120,1,5,느티나무어린이공원 입구,,서울특별시 금천구 시흥동 817,37.456286,126.906486,3,N,N,N,경보음 + CCTV,2017,2019-08-26,Y,금천구 U-통합운영센터,02-2627-1904,2019-08-26
P121,1,5,GS25 앞,서울특별시 금천구 독산로24길 14,서울특별시 금천구 시흥동 820-10,37.4549829,126.906697,3,N,N,N,경보등 + 경보음 + CCTV,2018,2019-08-26,Y,금천구 U-통합운영센터,02-2627-1904,2019-08-26
P122,1,5,동네수퍼쌀야채과일 앞,서울특별시 금천구 독산로24길 51,서울특별시 금천구 시흥동 169-29,37.4554279,126.9089009,3,N,N,N,경보음 + CCTV,2017,2019-08-26,Y,금천구 U-통합운영센터,02-2627-1904,2019-08-26
P123,1,5,신세계아파트 옆,서울특별시 금천구 독산로24다길 22,서울특별시 금천구 시흥동 823,37.4541995,126.907411,3,N,N,N,경보음 + CCTV,2018,2019-08-26,Y,금천구 U-통합운영센터,02-2627-1904,2019-08-26
P124,1,5,현주빌 앞,서울특별시 금천구 독산로20길 18,서울특별시 금천구 시흥동 834-26,37.452916,126.9079484,3,N,N,N,경보음 + CCTV,2017,2019-08-26,Y,금천구 U-통합운영센터,02-2627-1904,2019-08-26
P125,1,5,서윤헤어 앞,서울특별시 금천구 독산로22길 49,서울특별시 금천구 시흥동 824-4,37.453222,126.9089502,3,N,N,N,경보음 + CCTV,2017,2019-08-26,Y,금천구 U-통합운영센터,02-2627-1904,2019-08-26
P126,1,5,시흥동주민센터 앞,서울특별시 금천구 금하로21길 20,서울특별시 금천구 시흥동 832-14,37.4523569,126.9082956,3,N,N,N,경보음 + CCTV,2017,2019-08-26,Y,금천구 U-통합운영센터,02-2627-1904,2019-08-26
