안전비상벨관리번호,설치목적,설치장소유형,설치위치,소재지도로명주소,소재지지번주소,위도,경도,연계방식,경찰연계유무,경비업체연계유무,관리사무소연계유무,부가기능,안전비상벨설치년도,최종점검일자,최종점검결과구분,관리기관명,관리기관전화번호,데이터기준일자
10001,1,99,석계로7길 33,서울특별시 노원구 월계동489-12,서울특별시 노원구 석계로7길 33,37.61571034,127.0632052,3,Y,N,N,CCTV 연계,2006,2019-03-01,Y,노원구청,02-2116-4917,2019-06-24
10002,1,99,광운로2나길23 삼창아파트입구,서울특별시 노원구 월계1동 447-2 삼창아파트 입구,서울특별시 노원구 광운로2나길23 삼창아파트입구,37.61821691,127.0596495,3,Y,N,N,CCTV 연계,2006,2018-07-01,Y,노원구청,02-2116-4917,2019-06-24
10003,1,99,석계로3길3 세븐일레븐,서울특별시 노원구 월계1동 59-3 세븐일레븐 앞 (주정차39 같이),서울특별시 노원구 석계로3길3 세븐일레븐,37.61551435,127.0645769,3,Y,N,N,CCTV 연계,2006,2018-09-01,Y,노원구청,02-2116-4917,2019-06-24
10004,1,99,석계로39 카센터앞,서울특별시 노원구 월계1동 76-2 주택가 입구 (카센터앞),서울특별시 노원구 석계로39 카센터앞,37.61836777,127.0637085,3,Y,N,N,CCTV 연계,2006,2018-07-01,Y,노원구청,02-2116-4917,2019-06-24
10005,1,99,화랑로43나길 12,서울특별시 노원구 월계동50-15,서울특별시 노원구 화랑로43나길 12,37.61519855,127.0623649,3,Y,N,N,CCTV 연계,2006,2018-07-01,Y,노원구청,02-2116-4917,2019-06-24
10006,1,99,광운로17길 45 기원사입구,서울특별시 노원구 월계1동 392-76 기원사 입구,서울특별시 노원구 광운로17길 45 기원사입구,37.62231093,127.0571306,3,Y,N,N,CCTV 연계,2006,2019-03-01,Y,노원구청,02-2116-4917,2019-06-24
10007,1,99,월계로44길51 교육촌입구,서울특별시 노원구 월계1동 534-170 교육촌 입구,서울특별시 노원구 월계로44길51 교육촌입구,37.62288526,127.0525112,3,Y,N,N,CCTV 연계,2006,2019-03-01,Y,노원구청,02-2116-4917,2019-06-24
10008,1,99,상계로37길 29 즉석두부,서울특별시 노원구 상계34동 111-444,서울특별시 노원구 상계로37길 29 즉석두부,37.67150349,127.0800697,3,Y,N,N,CCTV 연계,2006,2019-01-01,Y,노원구청,02-2116-4917,2019-06-24
10009,1,99,초안산로2길 60 인덕공고담장,서울특별시 노원구 월계2동 633-1 인덕공고 담장,서울특별시 노원구 초안산로2길 60 인덕공고담장,37.63149134,127.0566254,3,Y,N,N,CCTV 연계,2006,2019-05-01,Y,노원구청,02-2116-4917,2019-06-24
10010,1,99,월계로42길15 장석교회주변,서울특별시 노원구 월계1동 875-1 장석교회 앞 우이천변 도로,서울특별시 노원구 월계로42길15 장석교회주변,37.62399096,127.0507822,3,Y,N,N,CCTV 연계,2005,2019-03-01,Y,노원구청,02-2116-4917,2019-06-24
10011,1,99,석계로95 광운대역앞,서울특별시 노원구 월계1동 411-53 광운대역앞,서울특별시 노원구 석계로95 광운대역앞,37.62305905,127.0613411,3,Y,N,N,CCTV 연계,2007,2019-03-01,Y,노원구청,02-2116-4917,2019-06-24
10012,1,99,동일로190길 46 광명철물앞,서울특별시 노원구 공릉1동 503-1 광명철물 앞,서울특별시 노원구 동일로190길 46 광명철물앞,37.62600855,127.075588,3,Y,N,N,CCTV 연계,2006,2018-05-01,Y,노원구청,02-2116-4917,2019-06-24
10013,1,99,공릉로 111-1 개미공원,서울특별시 노원구 공릉1동 633-9 개미공원 입구,서울특별시 노원구 공릉로 111-1 개미공원,37.62046017,127.077925,3,Y,N,N,CCTV 연계,2006,2019-02-01,Y,노원구청,02-2116-4917,2019-06-24
10014,1,99,덕릉로123길64 당고개역 2번출구,서울특별시 노원구 상계34동 65-36 당고개역 2번출구,서울특별시 노원구 덕릉로123길64 당고개역 2번출구,37.66965433,127.0787731,3,Y,N,N,CCTV 연계,2006,2019-01-01,Y,노원구청,02-2116-4917,2019-06-24
10015,1,99,동일로173가길 2 공릉초교옆,서울특별시 노원구 공릉1동 683-1 공릉초교 옆,서울특별시 노원구 동일로173가길 2 공릉초교옆,37.61839884,127.0739054,3,Y,N,N,CCTV 연계,2006,2018-06-01,Y,노원구청,02-2116-4917,2019-06-24
10016,1,99,동일로182길 6-11 도깨비시장인근,서울특별시 노원구 공릉1동 567-14 도깨비시장인근,서울특별시 노원구 동일로182길 6-11 도깨비시장인근,37.62281303,127.0749927,3,Y,N,N,CCTV 연계,2010,2019-02-01,Y,노원구청,02-2116-4917,2019-06-24
10017,1,99,공릉로34길 34 씨유편의점앞,서울특별시 노원구 공릉2동 248-8 C&U 앞,서울특별시 노원구 공릉로34길 34 씨유편의점앞,37.62313966,127.0810425,3,Y,N,N,CCTV 연계,2006,2018-06-01,Y,노원구청,02-2116-4917,2019-06-24
10018,1,99,공릉로41길 17 세븐일레븐앞,서울특별시 노원구 공릉2동 415-64 세븐일레븐 앞,서울특별시 노원구 공릉로41길 17 세븐일레븐앞,37.6246368,127.0785081,3,Y,N,N,CCTV 연계,2005,2018-07-01,Y,노원구청,02-2116-4917,2019-06-24
10019,1,99,공릉로43가길 16,서울특별시 노원구 공릉2동 441-105 골목,서울특별시 노원구 공릉로43가길 16,37.62665805,127.0778812,3,Y,N,N,CCTV 연계,2007,2019-04-01,Y,노원구청,02-2116-4917,2019-06-24
10020,1,99,공릉로58길 144 하계어린이집앞,서울특별시 노원구 하계1동 252-11 하계어린이집 앞,서울특별시 노원구 공릉로58길 144 하계어린이집앞,37.63692072,127.0761628,3,Y,N,N,CCTV 연계,2006,2018-05-01,Y,노원구청,02-2116-4917,2019-06-24
10021,1,99,동일로56 하계역3번출구,서울특별시 노원구 하계1동 280 하계역 3번 출구 앞,서울특별시 노원구 동일로56 하계역3번출구,37.63589405,127.0684925,3,Y,N,N,CCTV 연계,2005,2018-09-01,Y,노원구청,02-2116-4917,2019-06-24
10022,1,99,공릉로 320 해바라기공원앞,서울특별시 노원구 하계1동 278-5 해바라기 공원,서울특별시 노원구 공릉로 320 해바라기공원앞,37.63512491,127.0711725,3,Y,N,N,CCTV 연계,2007,2019-03-01,Y,노원구청,02-2116-4917,2019-06-24
10023,1,99,한글비석로 254 신한은행뒷길,서울특별시 노원구 중계본동 364-24 신한은행 뒷길,서울특별시 노원구 한글비석로 254 신한은행뒷길,37.65025716,127.0773078,3,Y,N,N,CCTV 연계,2005,2019-02-01,Y,노원구청,02-2116-4917,2019-06-24
10024,1,99,중계로16나길 3 영신여고앞,서울특별시 노원구 중계본동 107-44 영신여고 앞,서울특별시 노원구 중계로16나길 3 영신여고앞,37.65167747,127.0821439,3,Y,N,N,CCTV 연계,2006,2019-02-01,Y,노원구청,02-2116-4917,2019-06-24
10025,1,99,동일로208길 19 중계역2번출구앞,서울특별시 노원구 중계23동 513-2 중계역 2번출구 앞,서울특별시 노원구 동일로208길 19 중계역2번출구앞,37.64551736,127.064471,3,Y,N,N,CCTV 연계,2006,2019-03-01,Y,노원구청,02-2116-4917,2019-06-24
10026,1,99,동일로241가길 21 두산아파트후문,서울특별시 노원구 상계1동 1105-70 두산아파트 후문,서울특별시 노원구 동일로241가길 21 두산아파트후문,37.67658125,127.0535223,3,Y,N,N,CCTV 연계,2006,2019-03-01,Y,노원구청,02-2116-4917,2019-06-24
10027,1,99,동일로237길 46 현대1차입구,서울특별시 노원구 상계1동 1048-6 현대1차(아) 입구,서울특별시 노원구 동일로237길 46 현대1차입구,37.67351726,127.0527861,3,Y,N,N,CCTV 연계,2006,2018-08-01,Y,노원구청,02-2116-4917,2019-06-24
