안전비상벨관리번호,설치목적,설치장소유형,설치위치,소재지도로명주소,소재지지번주소,위도,경도,연계방식,경찰연계유무,경비업체연계유무,관리사무소연계유무,부가기능,안전비상벨설치년도,최종점검일자,최종점검결과구분,관리기관명,관리기관전화번호,데이터기준일자
도봉1C1001,1,5,도봉산3길 57 바다회갯벌,서울특별시 도봉구 도봉산3길 57,,37.684728,127.0438041,3,Y,N,N,,2010,2018-12-31,Y,도봉구청,02-2091-2991,2019-06-25
도봉1C1002,1,5,도봉로187길 10 무지개공원 입구,서울특별시 도봉구 도봉로187길 10,,37.6859609,127.0452803,3,Y,N,N,,2010,2018-12-31,Y,도봉구청,02-2091-2991,2019-06-25
도봉1C1003,1,5,도봉로181길 29 해가온 앞,서울특별시 도봉구 도봉로181길 29,,37.68410653,127.0441865,3,Y,N,N,,2010,2018-12-31,Y,도봉구청,02-2091-2991,2019-06-25
도봉2C1004,1,5,도봉로180길 53 극동아파트상가 뿌리부동산 앞 전주,서울특별시 도봉구 도봉로180길 53,,37.68253694,127.0489787,3,Y,N,N,,2010,2018-12-31,Y,도봉구청,02-2091-2991,2019-06-25
도봉1C1005,1,5,도봉로181가길 29 미래마트 앞,서울특별시 도봉구 도봉로181가길 29,,37.6826291,127.0451903,3,Y,N,N,,2010,2018-12-31,Y,도봉구청,02-2091-2991,2019-06-25
도봉1C1007,1,5,도봉로171길 70-6 사거리 앞 전주,서울특별시 도봉구 도봉로171길 70-6,,37.6789652,127.0401342,3,Y,N,N,,2010,2018-12-31,Y,도봉구청,02-2091-2991,2019-06-25
도봉2C1008,1,5,도봉로164길 5 ABC렌터카 앞 전주,서울특별시 도봉구 도봉로164길 5,,37.6760843,127.0452175,3,Y,N,N,,2010,2018-12-31,Y,도봉구청,02-2091-2991,2019-06-25
도봉2C1009,1,5,도봉로162길 21,서울특별시 도봉구 도봉로162길 21,,37.6748153,127.0460727,3,Y,N,N,,2010,2018-12-31,Y,도봉구청,02-2091-2991,2019-06-25
도봉1C1010,1,5,도봉로169나길 89 한울머리터,서울특별시 도봉구 도봉로169나길 89,,37.6755702,127.0437074,3,Y,N,N,,2010,2018-12-31,Y,도봉구청,02-2091-2991,2019-06-25
도봉1C1011,1,5,시루봉로23길 51 삼성빌라 앞,서울특별시 도봉구 시루봉로23길 51,,37.6729617,127.0408287,3,Y,N,N,,2010,2018-12-31,Y,도봉구청,02-2091-2991,2019-06-25
