안전비상벨관리번호,설치목적,설치장소유형,설치위치,소재지도로명주소,소재지지번주소,위도,경도,연계방식,경찰연계유무,경비업체연계유무,관리사무소연계유무,부가기능,안전비상벨설치년도,최종점검일자,최종점검결과구분,관리기관명,관리기관전화번호,데이터기준일자
1,1,2,장안근린공원 화장실,서울특별시 동대문구 장한로 191,서울특별시 동대문구 장안2동 300,37.577102,127.0712615,3,Y,N,N,경보음,2017,2019-06-17,Y,서울특별시 동대문구 공원녹지과,02-2127-4779,2019-06-20
2,1,2,장평근린공원,서울특별시 동대문구 장안벚꽃로67,서울특별시 동대문구 장안1동 356,37.56653117,127.073474,3,Y,N,N,경보음,2017,2019-06-17,Y,서울특별시 동대문구 공원녹지과,02-2127-4779,2019-06-20
3,1,2,용두근린공원,서울특별시 동대문구 천계천로563,서울특별시 동대문구 용두동34-1,37.573023,127.038554,3,Y,N,N,경보음,2017,2019-06-17,Y,서울특별시 동대문구 공원녹지과,02-2127-4779,2019-06-20
4,1,2,배봉산,서울특별시 동대문구 전농로16길97,서울특별시 동대문구 전농동 산32-20,37.578401,127.062758,3,Y,N,N,경보음,2017,2019-06-17,Y,서울특별시 동대문구 공원녹지과,02-2127-4779,2019-06-20
5,1,2,배봉산,서울특별시 동대문구 휘경동 산6-80,서울특별시 동대문구 휘경동 산6-80,37.583198,127.065476,3,Y,N,N,경보음,2017,2019-06-17,Y,서울특별시 동대문구 공원녹지과,02-2127-4779,2019-06-20
6,1,2,배봉산,서울특별시 동대문구 휘경동 산6-35,서울특별시 동대문구 휘경동 산6-35,37.589637,127.067527,3,Y,N,N,경보음,2017,2019-06-17,Y,서울특별시 동대문구 공원녹지과,02-2127-4779,2019-06-20
7,1,2,배봉산,서울특별시 동대문구 휘경동 산6-35,서울특별시 동대문구 휘경동 산6-35,37.58739,127.067037,3,Y,N,N,경보음,2017,2019-06-17,Y,서울특별시 동대문구 공원녹지과,02-2127-4779,2019-06-20
8,1,2,답십리산,서울특별시 동대문구 답십리동 산 2-1,서울특별시 동대문구 답십리동 산 2-1,37.574565,127.062533,3,Y,N,N,경보음,2017,2019-06-17,Y,서울특별시 동대문구 공원녹지과,02-2127-4779,2019-06-20
9,1,2,답십리산,서울특별시 동대문구 답십리동 2-299,서울특별시 동대문구 답십리동 2-299,37.57114,127.061471,3,Y,N,N,경보음,2017,2019-06-17,Y,서울특별시 동대문구 공원녹지과,02-2127-4779,2019-06-20
10,1,2,홍릉근린공원,서울특별시 동대문구 청량리동 산1-143,서울특별시 동대문구 청량리동 산1-143,37.588982,127.0470016,3,Y,N,N,경보음,2017,2019-06-17,Y,서울특별시 동대문구 공원녹지과,02-2127-4779,2019-06-20
