안전비상벨관리번호,설치목적,설치장소유형,설치위치,소재지도로명주소,소재지지번주소,위도,경도,연계방식,경찰연계유무,경비업체연계유무,관리사무소연계유무,부가기능,안전비상벨설치년도,최종점검일자,최종점검결과구분,관리기관명,관리기관전화번호,데이터기준일자
방범-1,1,99,도로명 주소 참조,서울특별시 동작구 장승배기로23길 10,,37.5100615,126.939452,3,N,N,N,CCTV 관제센터와 양방향 통화기능,2015,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
방범-2,1,99,도로명 주소 참조,서울특별시 동작구 노량진로8길 40 마당쇠숯불갈비,,37.512401,126.937588,3,N,N,N,CCTV 관제센터와 양방향 통화기능,2016,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
방범-3,1,99,도로명 주소 참조,서울특별시 동작구 장승배기로18길 27,,37.5075372,126.9417963,3,N,N,N,CCTV 관제센터와 양방향 통화기능,2017,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
방범-4,1,99,도로명 주소 참조,서울특별시 동작구 만양로14다길 7,,37.511299,126.9454268,3,N,N,N,CCTV 관제센터와 양방향 통화기능,2012,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
방범-5,1,99,도로명 주소 참조,서울특별시 동작구 장승배기로22길 44,,37.5083426,126.9417883,3,N,N,N,CCTV 관제센터와 양방향 통화기능,2012,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
방범-6,1,99,도로명 주소 참조,서울특별시 동작구 장승배기로19다길 24,,37.5091861,126.937572,3,N,N,N,CCTV 관제센터와 양방향 통화기능,2012,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
방범-7,1,99,도로명 주소 참조,서울특별시 동작구 장승배기로24가길 39,,37.511253,126.9419243,3,N,N,N,CCTV 관제센터와 양방향 통화기능,2012,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
방범-8,1,99,도로명 주소 참조,서울특별시 동작구 노량진로26길 65,,37.5097441,126.955522,3,N,N,N,CCTV 관제센터와 양방향 통화기능,2012,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
방범-9,1,99,도로명 주소 참조,서울특별시 동작구 노량진로18길 20,,37.511993,126.9508136,3,N,N,N,CCTV 관제센터와 양방향 통화기능,2015,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
방범-10,1,99,도로명 주소 참조,서울특별시 동작구 상도로60길 35,,37.4921086,126.9546442,3,N,N,N,CCTV 관제센터와 양방향 통화기능,2015,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
방범-11,1,99,도로명 주소 참조,서울특별시 동작구 상도로67길 20,,37.494472,126.9567791,3,N,N,N,CCTV 관제센터와 양방향 통화기능,2016,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
방범-12,1,99,도로명 주소 참조,서울특별시 동작구 상도로41가길 6,,37.5026074,126.9503652,3,N,N,N,CCTV 관제센터와 양방향 통화기능,2017,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
방범-13,1,99,도로명 주소 참조,서울특별시 동작구 상도로 41길 50,,37.5024457,126.9517303,3,N,N,N,CCTV 관제센터와 양방향 통화기능,2018,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
방범-14,1,99,도로명 주소 참조,서울특별시 동작구 상도로47다길 32,,37.501578,126.9532181,3,N,N,N,CCTV 관제센터와 양방향 통화기능,2018,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
방범-15,1,99,도로명 주소 참조,서울특별시 동작구 상도로56길 6,,37.496134,126.952592,3,N,N,N,CCTV 관제센터와 양방향 통화기능,2018,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
방범-16,1,99,도로명 주소 참조,서울특별시 동작구 상도로15마길 22,,37.5034476,126.933614,3,N,N,N,CCTV 관제센터와 양방향 통화기능,2017,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
방범-17,1,99,도로명 주소 참조,서울특별시 동작구 상도로15아길 18,,37.5043161,126.9345999,3,N,N,N,CCTV 관제센터와 양방향 통화기능,2015,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
방범-18,1,99,도로명 주소 참조,서울특별시 동작구 상도로26가길 8,,37.5035,126.938328,3,N,N,N,CCTV 관제센터와 양방향 통화기능,2017,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
방범-19,1,99,도로명 주소 참조,서울특별시 동작구 만양로1길 18,,37.5064893,126.9466372,3,N,N,N,CCTV 관제센터와 양방향 통화기능,2017,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
방범-20,1,99,도로명 주소 참조,서울특별시 동작구 대방동2길 38,,37.5028783,126.9274589,3,N,N,N,CCTV 관제센터와 양방향 통화기능,2015,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
방범-21,1,99,도로명 주소 참조,서울특별시 동작구 국사봉10길 20,,37.495284,126.9310732,3,N,N,N,CCTV 관제센터와 양방향 통화기능,2015,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
방범-22,1,99,도로명 주소 참조,서울특별시 동작구 성대로6가길 41,,37.4970732,126.933476,3,N,N,N,CCTV 관제센터와 양방향 통화기능,2018,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
방범-23,1,99,도로명 주소 참조,서울특별시 동작구 국사봉5길 1,,37.4977296,126.9303214,3,N,N,N,CCTV 관제센터와 양방향 통화기능,2018,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
방범-24,1,99,도로명 주소 참조,서울특별시 동작구 성대로21가길 29,,37.499267,126.9351409,3,N,N,N,CCTV 관제센터와 양방향 통화기능,2015,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
방범-25,1,99,도로명 주소 참조,서울특별시 동작구 성대로10길 55,,37.495933,126.9364428,3,N,N,N,CCTV 관제센터와 양방향 통화기능,2017,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
방범-26,1,99,도로명 주소 참조,서울특별시 동작구 성대로31길 33,,37.5001706,126.938806,3,N,N,N,CCTV 관제센터와 양방향 통화기능,2018,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
방범-27,1,99,도로명 주소 참조,서울특별시 동작구 양녕로28길 54,,37.498074,126.9466284,3,N,N,N,CCTV 관제센터와 양방향 통화기능,2018,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
방범-28,1,99,도로명 주소 참조,서울특별시 동작구 서달로8가길2,,37.5057548,126.961821,3,N,N,N,CCTV 관제센터와 양방향 통화기능,2015,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
방범-29,1,99,도로명 주소 참조,서울특별시 동작구 서달로10길 64,,37.5041718,126.9628251,3,N,N,N,CCTV 관제센터와 양방향 통화기능,2012,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
방범-30,1,99,도로명 주소 참조,서울특별시 동작구 흑석로3길 38-1,,37.5086748,126.9561268,3,N,N,N,CCTV 관제센터와 양방향 통화기능,2018,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
방범-31,1,99,도로명 주소 참조,서울특별시 동작구 서달로6길 19,,37.503286,126.9620065,3,N,N,N,CCTV 관제센터와 양방향 통화기능,2017,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
방범-32,1,99,도로명 주소 참조,서울특별시 동작구 대방동13길 18,,37.5013535,126.9252539,3,N,N,N,CCTV 관제센터와 양방향 통화기능,2017,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
방범-33,1,99,도로명 주소 참조,서울특별시 동작구 대방동2길 22,,37.501632,126.9286186,3,N,N,N,CCTV 관제센터와 양방향 통화기능,2016,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
방범-34,1,99,도로명 주소 참조,서울특별시 동작구 등용로4길 43,,37.5073419,126.9349041,3,N,N,N,CCTV 관제센터와 양방향 통화기능,2017,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
방범-35,1,99,도로명 주소 참조,서울특별시 동작구 여의대방로62길 14,,37.5136604,126.927954,3,N,N,N,CCTV 관제센터와 양방향 통화기능,2018,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
방범-36,1,99,도로명 주소 참조,서울특별시 동작구 대방동 9길 14,,37.502037,126.9262982,3,N,N,N,CCTV 관제센터와 양방향 통화기능,2016,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
방범-37,1,99,도로명 주소 참조,서울특별시 동작구 여의대방로24라길 13,,37.498624,126.9223549,3,N,N,N,CCTV 관제센터와 양방향 통화기능,2017,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
방범-38,1,99,도로명 주소 참조,서울특별시 동작구 신대방2나길 1,,37.488912,126.912848,3,N,N,N,CCTV 관제센터와 양방향 통화기능,2015,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
방범-39,1,99,도로명 주소 참조,서울특별시 동작구 신대방1길 72,,37.4859646,126.907861,3,N,N,N,CCTV 관제센터와 양방향 통화기능,2016,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
방범-40,1,99,도로명 주소 참조,서울특별시 동작구 신대방2길 14,,37.48898312,126.9148425,3,N,N,N,CCTV 관제센터와 양방향 통화기능,2017,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
방범-42,1,99,도로명 주소 참조,서울특별시 동작구 신대방14길 15,,37.4897349,126.9111148,3,N,N,N,CCTV 관제센터와 양방향 통화기능,2017,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
방범-43,1,99,도로명 주소 참조,서울특별시 동작구 신대방14가길 47,,37.4899609,126.91345,3,N,N,N,CCTV 관제센터와 양방향 통화기능,2016,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
방범-44,1,99,도로명 주소 참조,서울특별시 동작구 여의대방로22카길 47,,37.4962146,126.925919,3,N,N,N,CCTV 관제센터와 양방향 통화기능,2015,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
방범-45,1,99,도로명 주소 참조,서울특별시 동작구 국사봉2길 29,,37.4972307,126.9285621,3,N,N,N,CCTV 관제센터와 양방향 통화기능,2017,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
방범-46,1,99,도로명 주소 참조,서울특별시 동작구 보라매로9길 12,,37.4950198,126.926443,3,N,N,N,CCTV 관제센터와 양방향 통화기능,2017,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
방범-47,1,99,도로명 주소 참조,서울특별시 동작구 여의대방로22라길 23,,37.495315,126.923357,3,N,N,N,CCTV 관제센터와 양방향 통화기능,2018,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
방범-48,1,99,도로명 주소 참조,서울특별시 동작구 동작대로29가길 18,,37.488725,126.981507,3,N,N,N,CCTV 관제센터와 양방향 통화기능,2016,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
방범-49,1,99,도로명 주소 참조,서울특별시 동작구 동작대로 43길 35,,37.4969985,126.9805166,3,N,N,N,CCTV 관제센터와 양방향 통화기능,2017,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
방범-50,1,99,도로명 주소 참조,서울특별시 동작구 동작대로35가길 56,,37.491329,126.9788513,3,N,N,N,CCTV 관제센터와 양방향 통화기능,2015,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
방범-51,1,99,도로명 주소 참조,서울특별시 동작구 동작대로27길 38,,37.4876319,126.979921,3,N,N,N,CCTV 관제센터와 양방향 통화기능,2018,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
방범-52,1,99,도로명 주소 참조,서울특별시 동작구 동작대로29길 63-1,,37.4885369,126.978653,3,N,N,N,CCTV 관제센터와 양방향 통화기능,2018,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
방범-53,1,99,도로명 주소 참조,서울특별시 동작구 남부순환로257가길 32,,37.4786991,126.9756153,3,N,N,N,CCTV 관제센터와 양방향 통화기능,2012,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
방범-54,1,99,도로명 주소 참조,서울특별시 동작구 남부순환로259길 10,,37.4765569,126.9724562,3,N,N,N,CCTV 관제센터와 양방향 통화기능,2015,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
방범-55,1,99,도로명 주소 참조,서울특별시 동작구 사당로20길 63,,37.4802984,126.9757155,3,N,N,N,CCTV 관제센터와 양방향 통화기능,2012,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
방범-56,1,99,도로명 주소 참조,서울특별시 동작구 남부순환로265길 21,,37.4771684,126.9746062,3,N,N,N,CCTV 관제센터와 양방향 통화기능,2018,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
방범-57,1,99,도로명 주소 참조,서울특별시 동작구 사당로29길 26,,37.485536,126.9783383,3,N,N,N,CCTV 관제센터와 양방향 통화기능,2015,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
방범-58,1,99,도로명 주소 참조,서울특별시 동작구 동작대로35길 43,,37.4915401,126.9795968,3,N,N,N,CCTV 관제센터와 양방향 통화기능,2012,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
방범-59,1,99,도로명 주소 참조,서울특별시 동작구 사당로27길 12,,37.4850631,126.978734,3,N,N,N,CCTV 관제센터와 양방향 통화기능,2018,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
방범-60,1,99,도로명 주소 참조,서울특별시 동작구 사당로9나길7,,37.4860001,126.9702011,3,N,N,N,CCTV 관제센터와 양방향 통화기능,2017,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
방범-61,1,99,도로명 주소 참조,서울특별시 동작구 솔밭로 74-1,,37.4829857,126.967271,3,N,N,N,CCTV 관제센터와 양방향 통화기능,2017,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
방범-62,1,99,도로명 주소 참조,서울특별시 동작구 사당로2자길 2-15,,37.4894507,126.9644851,3,N,N,N,CCTV 관제센터와 양방향 통화기능,2018,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
방범-63,1,99,도로명 주소 참조,서울특별시 동작구 사당로2차길 36,,37.486902,126.9660785,3,N,N,N,CCTV 관제센터와 양방향 통화기능,2018,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
방범-64,1,99,도로명 주소 참조,서울특별시 동작구 사당로14길 38,,37.4825877,126.9709185,3,N,N,N,CCTV 관제센터와 양방향 통화기능,2015,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
방범-65,1,99,도로명 주소 참조,서울특별시 동작구 사당로16길 14,,37.4828691,126.9733286,3,N,N,N,CCTV 관제센터와 양방향 통화기능,2016,2019-05-24,Y,동작구청,02-820-2906,2019-06-21
