안전비상벨관리번호,설치목적,설치장소유형,설치위치,소재지도로명주소,소재지지번주소,위도,경도,연계방식,경찰연계유무,경비업체연계유무,관리사무소연계유무,부가기능,안전비상벨설치년도,최종점검일자,최종점검결과구분,관리기관명,관리기관전화번호,데이터기준일자
마포-방범-0001,1,99,환일길 27,서울특별시 마포구 환일길 27,서울특별시 마포구 아현동 723-12,37.555886,126.960827,3,N,N,N,CCTV,2006,2019-06-01,Y,마포구청,02-3153-8432,2019-06-25
마포-방범-0002,1,99,신촌로 32길 4,서울특별시 마포구 신촌로 32길 4,서울특별시 마포구 아현동 346-21,37.556945,126.95315,3,N,N,N,CCTV,2006,2019-06-01,Y,마포구청,02-3153-8432,2019-06-25
마포-방범-0003,1,99,숭문16길 38,서울특별시 마포구 숭문16길 38,서울특별시 마포구 아현동 680,37.555743,126.948685,3,N,N,N,CCTV,2006,2019-06-01,Y,마포구청,02-3153-8432,2019-06-25
마포-방범-0004,1,99,대흥로30길 45,서울특별시 마포구 대흥로30길 45,서울특별시 마포구 아현동 676,37.556561,126.948537,3,N,N,N,CCTV,2006,2019-06-01,Y,마포구청,02-3153-8432,2019-06-25
마포-방범-0005,1,99,만리재옛길 41,서울특별시 마포구 만리재옛길 41,서울특별시 마포구 공덕동 120-38,37.547657,126.956403,3,N,N,N,CCTV,2006,2019-06-01,Y,마포구청,02-3153-8432,2019-06-25
마포-방범-0006,1,99,백범로 37길,서울특별시 마포구 백범로 37길,서울특별시 마포구 신공덕동 38-2,37.543324,126.954539,3,N,N,N,CCTV,2006,2019-06-01,Y,마포구청,02-3153-8432,2019-06-25
마포-방범-0007,1,99,마포대로11길 118,서울특별시 마포구 마포대로11길 118,서울특별시 마포구 염리동 128-7,37.54905,126.947884,3,N,N,N,CCTV,2006,2019-06-01,Y,마포구청,02-3153-8432,2019-06-25
마포-방범-0008,1,99,숭문16나길 14,서울특별시 마포구 숭문16나길 14,서울특별시 마포구 염리동 10-5,37.555243,126.948262,3,N,N,N,CCTV,2006,2019-06-01,Y,마포구청,02-3153-8432,2019-06-25
마포-방범-0009,1,99,새창로6길 24,서울특별시 마포구 새창로6길 24,서울특별시 마포구 도화동 1-110,37.541027,126.952523,3,N,N,N,CCTV,2006,2019-06-01,Y,마포구청,02-3153-8432,2019-06-25
마포-방범-0010,1,99,대흥로8길 27,서울특별시 마포구 대흥로8길 27,서울특별시 마포구 대흥동 764-4,37.543962,126.94017,3,N,N,N,CCTV,2006,2019-06-01,Y,마포구청,02-3153-8432,2019-06-25
마포-방범-0011,1,99,고산16길 15,서울특별시 마포구 고산16길 15,서울특별시 마포구 대흥동 18-47,37.553825,126.944829,3,N,N,N,CCTV,2006,2019-06-01,Y,마포구청,02-3153-8432,2019-06-25
마포-방범-0012,1,99,고산길 70,서울특별시 마포구 고산길 70,서울특별시 마포구 노고산동 12-34,37.554501,126.940848,3,N,N,N,CCTV,2006,2019-06-01,Y,마포구청,02-3153-8432,2019-06-25
마포-방범-0013,1,99,신촌로22길9,서울특별시 마포구 신촌로22길9,서울특별시 마포구 노고산동 19-40,37.555588,126.940402,3,N,N,N,CCTV,2006,2019-06-01,Y,마포구청,02-3153-8432,2019-06-25
마포-방범-0014,1,99,와우산로24길38,서울특별시 마포구 와우산로24길38,서울특별시 마포구 창전동 6-100,37.552031,126.926724,3,N,N,N,CCTV,2006,2019-06-01,Y,마포구청,02-3153-8432,2019-06-25
마포-방범-0015,1,99,토정로16길 48,서울특별시 마포구 토정로16길 48,서울특별시 마포구 현석동 156,37.542259,126.933099,3,N,N,N,CCTV,2006,2019-06-01,Y,마포구청,02-3153-8432,2019-06-25
마포-방범-0016,1,99,양화로18길 9,서울특별시 마포구 양화로18길 9,서울특별시 마포구 동교동 166-11,37.556788,126.924698,3,N,N,N,CCTV,2006,2019-06-01,Y,마포구청,02-3153-8432,2019-06-25
마포-방범-0017,1,99,와우산로27길74,서울특별시 마포구 와우산로27길74,서울특별시 마포구 서교동 347-19,37.555636,126.924828,3,N,N,N,CCTV,2006,2019-06-01,Y,마포구청,02-3153-8432,2019-06-25
마포-방범-0018,1,99,와우산로21길 38,서울특별시 마포구 와우산로21길 38,서울특별시 마포구 서교동 358-58,37.552509,126.921806,3,N,N,N,CCTV,2006,2019-06-01,Y,마포구청,02-3153-8432,2019-06-25
마포-방범-0019,1,99,동교로19길 20,서울특별시 마포구 동교로19길 20,서울특별시 마포구 서교동 448-37,37.556257,126.917791,3,N,N,N,CCTV,2006,2019-06-01,Y,마포구청,02-3153-8432,2019-06-25
마포-방범-0020,1,99,연남로3길 81,서울특별시 마포구 연남로3길 81,서울특별시 마포구 연남동 564-25,37.559311,126.918765,3,N,N,N,CCTV,2006,2019-06-01,Y,마포구청,02-3153-8432,2019-06-25
마포-방범-0021,1,99,월드컵로5길48,서울특별시 마포구 월드컵로5길48,서울특별시 마포구 합정동 430-15,37.551594,126.909517,3,N,N,N,CCTV,2006,2019-06-01,Y,마포구청,02-3153-8432,2019-06-25
마포-방범-0022,1,99,월드컵로23길12,서울특별시 마포구 월드컵로23길12,서울특별시 마포구 망원동 485-5,37.557292,126.907917,3,N,N,N,CCTV,2006,2019-06-01,Y,마포구청,02-3153-8432,2019-06-25
마포-방범-0023,1,99,망원로6길 19,서울특별시 마포구 망원로6길 19,서울특별시 마포구 망원동 415-53,37.556107,126.903521,3,N,N,N,CCTV,2006,2019-06-01,Y,마포구청,02-3153-8432,2019-06-25
