안전비상벨관리번호,설치목적,설치장소유형,설치위치,소재지도로명주소,소재지지번주소,위도,경도,연계방식,경찰연계유무,경비업체연계유무,관리사무소연계유무,부가기능,안전비상벨설치년도,최종점검일자,최종점검결과구분,관리기관명,관리기관전화번호,데이터기준일자
1,2,2,안산 공원관리사무소,서울특별시 서대문구 연희동167-10,서울특별시 서대문구 연희동167-10167-10,37.571987,126.932812,3,Y,N,N,,2016,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2019-02-12
2,2,2,안산 만남의광장,서울특별시 서대문구 연희동산 2-37,서울특별시 서대문구 연희동산 2-37산 2-37,37.571987,126.932812,3,Y,N,N,,2016,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2019-02-12
3,2,2,안산 연세배드민턴장,서울특별시 서대문구 연희동산 2-17,서울특별시 서대문구 연희동산 2-17산 2-17,37.571987,126.932812,3,Y,N,N,,2018,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2019-02-12
4,2,2,안산 메타세콰이어길,서울특별시 서대문구 연희동산 2-14,서울특별시 서대문구 연희동산 2-14산 2-14,37.571987,126.932812,3,Y,N,N,,2016,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2019-02-12
5,2,2,안산 북카페쉼터,서울특별시 서대문구 홍제동산 33-88,서울특별시 서대문구 홍제동산 33-88산 33-88,37.58708,126.948935,3,Y,N,N,,2016,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2019-02-12
6,2,2,안산 뜨란채,서울특별시 서대문구 현저동107-508,서울특별시 서대문구 현저동107-508107-508,37.573772,126.954035,3,Y,N,N,,2016,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2019-02-12
7,2,2,안산 무악정,서울특별시 서대문구 연희동산 2-15,서울특별시 서대문구 연희동산 2-15산 2-15,37.571987,126.932812,3,Y,N,N,,2016,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2019-02-12
8,2,2,안산 능안정 전망대,서울특별시 서대문구 현저동산 12-17,서울특별시 서대문구 현저동산 12-17산 12-17,37.573772,126.954035,3,Y,N,N,,2016,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2019-02-12
9,2,2,안산 너와집 쉼터,서울특별시 서대문구 홍제동322-95,서울특별시 서대문구 홍제동322-95322-95,37.58708,126.948935,3,Y,N,N,,2016,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2019-02-12
10,2,2,안산 복수천약수터,서울특별시 서대문구 북아현동1-818,서울특별시 서대문구 북아현동1-8181-818,37.562431,126.954397,3,Y,N,N,,2016,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2019-02-12
11,2,2,안산 고은산놀이터,서울특별시 서대문구 홍제동312-185,서울특별시 서대문구 홍제동312-185312-185,37.58708,126.948935,3,Y,N,N,,2016,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2019-02-12
12,2,2,인왕산 쌈지마당,서울특별시 서대문구 홍제동산 1-1,서울특별시 서대문구 홍제동산 1-1산 1-1,37.58708,126.948935,3,Y,N,N,,2016,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2019-02-12
13,2,2,인왕산 무궁화동산,서울특별시 서대문구 홍제동산 1-52,서울특별시 서대문구 홍제동산 1-52산 1-52,37.58708,126.948935,3,Y,N,N,,2016,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2019-02-12
14,2,2,인왕산 풋살장,서울특별시 서대문구 홍제동40-29,서울특별시 서대문구 홍제동40-2940-29,37.58708,126.948935,3,Y,N,N,,2016,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2019-02-12
15,2,2,북한산 호박골사랑방,서울특별시 서대문구 홍은동10-211,서울특별시 서대문구 홍은동10-21110-211,37.593024,126.938558,3,Y,N,N,,2016,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2019-02-12
16,2,2,북한산 삼하운수 종점,서울특별시 서대문구 홍은동8-669,서울특별시 서대문구 홍은동8-6698-669,37.593024,126.938558,3,Y,N,N,,2016,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2019-02-12
17,2,2,북한산 홍록배드민턴장,서울특별시 서대문구 홍은동산 1-88,서울특별시 서대문구 홍은동산 1-88산 1-88,37.593024,126.938558,3,Y,N,N,,2016,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2019-02-12
18,2,2,북한산 홍은한마당,서울특별시 서대문구 홍은동14-22,서울특별시 서대문구 홍은동14-2214-22,37.593024,126.938558,3,Y,N,N,,2016,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2019-02-12
19,2,2,북한산 돌산축구장,서울특별시 서대문구 홍은동10-305,서울특별시 서대문구 홍은동10-30510-305,37.593024,126.938558,3,Y,N,N,,2018,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2019-02-12
20,2,2,북한산 자락길 입구,서울특별시 서대문구 홍은동산 1-546,서울특별시 서대문구 홍은동산 1-546산 1-546,37.593024,126.938558,3,Y,N,N,,2017,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2019-02-12
21,2,2,백련근린공원 논골,서울특별시 서대문구 홍은동산 11-279,서울특별시 서대문구 홍은동산 11-279산 11-279,37.593024,126.938558,3,Y,N,N,,2016,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2019-02-12
22,2,2,백련근린공원 자연체험학습장,서울특별시 서대문구 홍은동198-8,서울특별시 서대문구 홍은동198-8198-8,37.593024,126.938558,3,Y,N,N,,2016,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2019-02-12
23,2,2,백련근린공원 정원단지,서울특별시 서대문구 홍은동265-147,서울특별시 서대문구 홍은동265-147265-147,37.593024,126.938558,3,Y,N,N,,2016,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2019-02-12
24,2,2,백련근린공원 백련배수지,서울특별시 서대문구 홍은동산 26-170,서울특별시 서대문구 홍은동산 26-170산 26-170,37.593024,126.938558,3,Y,N,N,,2017,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2019-02-12
25,2,2,궁동근린공원,서울특별시 서대문구 연희동 산 118-1,서울특별시 서대문구 연희동 산 118-1산 118-1,37.571987,126.932812,3,Y,N,N,,2016,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2019-02-12
26,2,2,홍제근린공원,서울특별시 서대문구 홍제동454-2,서울특별시 서대문구 홍제동454-2454-2,37.58708,126.948935,3,Y,N,N,,2016,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2019-02-12
27,2,2,독립공원 방문자센터,서울특별시 서대문구 현저동101 일대,서울특별시 서대문구 현저동101 일대101 일대,37.573772,126.954035,3,N,N,N,,2016,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2019-02-12
28,2,2,독립공원 매점,서울특별시 서대문구 현저동101 일대,서울특별시 서대문구 현저동101 일대101 일대,37.573772,126.954035,3,N,N,N,,2016,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2019-02-12
29,1,1,안산 공원관리사무소,서울특별시 서대문구 연희동167-10,서울특별시 서대문구 연희동167-10167-10,37.571987,126.932812,3,N,N,N,,2011,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2019-02-12
30,1,1,안산 벚꽃마당,서울특별시 서대문구 연희동산 2-75,서울특별시 서대문구 연희동산 2-75산 2-75,37.571987,126.932812,3,N,N,N,,2011,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2019-02-12
31,1,1,안산 벚꽃책방,서울특별시 서대문구 연희동산 2-75,서울특별시 서대문구 연희동산 2-75산 2-75,37.571987,126.932812,3,N,N,N,,2011,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2019-02-12
32,1,1,안산 북카페 화장실 앞,서울특별시 서대문구 홍제동산 33-88,서울특별시 서대문구 홍제동산 33-88산 33-88,37.58708,126.948935,3,N,N,N,,2013,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2019-02-12
33,1,1,안산 북카페,서울특별시 서대문구 홍제동산 33-88,서울특별시 서대문구 홍제동산 33-88산 33-88,37.58708,126.948935,3,N,N,N,,2013,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2019-02-12
34,1,1,안산 천연마당,서울특별시 서대문구 현저동107-508,서울특별시 서대문구 현저동107-508107-508,37.573772,126.954035,3,N,N,N,,2013,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2019-02-12
35,1,1,안산 뜨란채 화장실 앞,서울특별시 서대문구 현저동107-508,서울특별시 서대문구 현저동107-508107-508,37.573772,126.954035,3,N,N,N,,2014,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2019-02-12
36,1,1,안산 뜨란채아파트(108동) 앞,서울특별시 서대문구 현저동107-508,서울특별시 서대문구 현저동107-508107-508,37.573772,126.954035,3,N,N,N,,2012,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2019-02-12
37,1,1,안산 뜨란채아파트(112동) 앞,서울특별시 서대문구 현저동107-508,서울특별시 서대문구 현저동107-508107-508,37.573772,126.954035,3,N,N,N,,2012,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2019-02-12
38,1,1,안산 복수천화장실 앞,서울특별시 서대문구 북아현동1-818,서울특별시 서대문구 북아현동1-8181-818,37.562431,126.954397,3,N,N,N,,2014,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2019-02-12
39,1,1,안산 메타세쿼이어 화장실 앞,서울특별시 서대문구 연희동산 2-14,서울특별시 서대문구 연희동산 2-14산 2-14,37.571987,126.932812,3,N,N,N,,2014,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2019-02-12
40,1,1,안산 자연학습장,서울특별시 서대문구 연희동산 4-19,서울특별시 서대문구 연희동산 4-19산 4-19,37.571987,126.932812,3,N,N,N,,2010,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2019-02-12
41,1,1,안산 만남의광장 화장실 앞,서울특별시 서대문구 연희동산 2-37,서울특별시 서대문구 연희동산 2-37산 2-37,37.571987,126.932812,3,N,N,N,,2010,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2019-02-12
42,1,1,고은산놀이터(배드민턴장),서울특별시 서대문구 홍제동312-185,서울특별시 서대문구 홍제동312-185312-185,37.58708,126.948935,3,N,N,N,,2013,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2019-02-12
43,1,1,고은산 전망대,서울특별시 서대문구 홍제동산 37-55,서울특별시 서대문구 홍제동산 37-55산 37-55,37.58708,126.948935,3,N,N,N,,2016,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2019-02-12
44,1,1,인왕산 쌈지마당놀이터,서울특별시 서대문구 홍제동산 1-1,서울특별시 서대문구 홍제동산 1-1산 1-1,37.58708,126.948935,3,N,N,N,,2015,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2019-02-12
45,1,1,인왕산 무궁화동산 화장실 앞,서울특별시 서대문구 홍제동산 1-52,서울특별시 서대문구 홍제동산 1-52산 1-52,37.58708,126.948935,3,N,N,N,,2016,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2019-02-12
46,1,1,인왕산 개미마을놀이터,서울특별시 서대문구 홍제동산 1-100,서울특별시 서대문구 홍제동산 1-100산 1-100,37.58708,126.948935,3,N,N,N,,2015,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2019-02-12
47,1,1,북한산 삼하운수 종점 화장실 앞,서울특별시 서대문구 홍은동산 1-546,서울특별시 서대문구 홍은동산 1-546산 1-546,37.593024,126.938558,3,N,N,N,,2014,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2019-02-12
48,1,1,북한산 홍은한마당 화장실 앞,서울특별시 서대문구 홍은동14-22,서울특별시 서대문구 홍은동14-2214-22,37.593024,126.938558,3,N,N,N,,2017,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2019-02-12
49,1,1,북한산 호박골지구(풍림아이원 앞),서울특별시 서대문구 홍은동10-305,서울특별시 서대문구 홍은동10-30510-305,37.593024,126.938558,3,N,N,N,,2012,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2019-02-12
50,1,1,북한산호박골놀이터,서울특별시 서대문구 홍은동14-30,서울특별시 서대문구 홍은동14-3014-30,37.593024,126.938558,3,N,N,N,,2013,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2019-02-12
51,1,1,궁동근린공원 화장실 앞,서울특별시 서대문구 연희동 산 118-1,서울특별시 서대문구 연희동 산 118-1산 118-1,37.571987,126.932812,3,N,N,N,,2010,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2019-02-12
52,1,1,궁동근린공원 체육관 앞,서울특별시 서대문구 연희동 188-33,서울특별시 서대문구 연희동 188-33188-33,37.571987,126.932812,3,N,N,N,,2010,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2019-02-12
53,1,1,궁동산놀이터,서울특별시 서대문구 연희동 188-43,서울특별시 서대문구 연희동 188-43188-43,37.571987,126.932812,3,N,N,N,,2014,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2019-02-12
54,1,1,백련근린공원 논골,서울특별시 서대문구 홍은동산 11-279,서울특별시 서대문구 홍은동산 11-279산 11-279,37.593024,126.938558,3,N,N,N,,2012,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2019-02-12
55,1,1,백련근린공원 자연체험학습장,서울특별시 서대문구 홍은동198-8,서울특별시 서대문구 홍은동198-8198-8,37.593024,126.938558,3,N,N,N,,2014,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2019-02-12
56,1,1,백련근린공원 정원단지,서울특별시 서대문구 홍은동265-147,서울특별시 서대문구 홍은동265-147265-147,37.593024,126.938558,3,N,N,N,,2016,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2019-02-12
57,1,1,홍제근린공원,서울특별시 서대문구 홍제동454-2,서울특별시 서대문구 홍제동454-2454-2,37.58708,126.948935,3,N,N,N,,2009,2018-07-31,Y,서대문구청 푸른도시과,02-330-1714,2019-02-12
