안전비상벨관리번호,설치목적,설치장소유형,설치위치,소재지도로명주소,소재지지번주소,위도,경도,연계방식,경찰연계유무,경비업체연계유무,관리사무소연계유무,부가기능,안전비상벨설치년도,최종점검일자,최종점검결과구분,관리기관명,관리기관전화번호,데이터기준일자
공원01-01,1,1,당골 어린이공원,서울특별시 서초구 효령로68길49-3,서울특별시 서초구 서초동 1436-6,37.485537,127.0225,3,N,N,N,CCTV,2015,2019-06-01,Y,서초구청,02-2155-6091,2019-06-01
공원02-01,1,1,용허리 근린공원,서울특별시 서초구 서초동 1324-1,서울특별시 서초구 서초동 1324-1,37.494168,127.022908,3,N,N,N,CCTV,2016,2019-06-01,Y,서초구청,02-2155-6091,2019-06-01
공원03-01,1,1,상명달어린이공원,서울특별시 서초구 서초3동 1488-4,서울특별시 서초구 서초3동 1488-4,37.482186,127.005639,3,N,N,N,CCTV,2013,2019-06-01,Y,서초구청,02-2155-6091,2019-06-01
공원03-02,1,1,하명달어린이공원,서울특별시 서초구 서초3동 1518-1,서울특별시 서초구 서초3동 1518-1,37.48589,127.005422,3,N,N,N,CCTV,2013,2019-06-01,Y,서초구청,02-2155-6091,2019-06-01
공원03-03,1,1,장안 어린이공원,서울특별시 서초구 서초대로46길19-18,서울특별시 서초구 서초동 1556-4,37.491627,127.011474,3,N,N,N,CCTV,2015,2019-06-01,Y,서초구청,02-2155-6091,2019-06-01
공원03-04,1,1,꽃마을 소공원1,서울특별시 서초구 서초3동 1500-15,서울특별시 서초구 서초3동 1500-15,37.490644,127.007047,3,N,N,N,CCTV,2018,2019-06-01,Y,서초구청,02-2155-6091,2019-06-01
공원03-05,1,1,꽃마을 소공원1,서울특별시 서초구 서초3동 1500-8,서울특별시 서초구 서초3동 1500-8,37.490304,127.007101,3,N,N,N,CCTV,2018,2019-06-01,Y,서초구청,02-2155-6091,2019-06-01
공원03-06,1,1,꽃마을 소공원2,서울특별시 서초구 서초3동 1499-13,서울특별시 서초구 서초3동 1499-13,37.490898,127.005578,3,N,N,N,CCTV,2018,2019-06-01,Y,서초구청,02-2155-6091,2019-06-01
공원03-07,1,1,꽃마을 교통섬,서울특별시 서초구 서초3동 1498-1,서울특별시 서초구 서초3동 1498-1,37.490624,127.004811,3,N,N,N,CCTV,2018,2019-06-01,Y,서초구청,02-2155-6091,2019-06-01
공원03-08,1,1,꽃마을 교통섬,서울특별시 서초구 서초3동 1498-30,서울특별시 서초구 서초3동 1498-30,37.490254,127.004806,3,N,N,N,CCTV,2018,2019-06-01,Y,서초구청,02-2155-6091,2019-06-01
공원04-01,1,1,명달근린공원,서울특별시 서초구 서운로23길 17,서울특별시 서초구 서초4동1313-17,37.498332,127.021293,3,N,N,N,CCTV,2014,2019-06-01,Y,서초구청,02-2155-6091,2019-06-01
공원04-02,1,1,명달근린공원,서울특별시 서초구 서운로23길 17,서울특별시 서초구 서초4동1313-17,37.498842,127.021261,3,N,N,N,CCTV,2014,2019-06-01,Y,서초구청,02-2155-6091,2019-06-01
