안전비상벨관리번호,설치목적,설치장소유형,설치위치,소재지도로명주소,소재지지번주소,위도,경도,연계방식,경찰연계유무,경비업체연계유무,관리사무소연계유무,부가기능,안전비상벨설치년도,최종점검일자,최종점검결과구분,관리기관명,관리기관전화번호,데이터기준일자
C0001,1,5,CCTV,서울특별시 성북구 정릉로10길 92,,37.6060115,126.9987234,3,N,N,N,,2006,2019-03-31,N,서울시성북구청도시안전과,02-2241-4562,2019-06-21
C0002,1,5,CCTV,서울특별시 성북구 길음로 20,,37.6047095,127.0230189,3,N,N,N,,2007,2019-03-31,N,서울시성북구청도시안전과,02-2241-4562,2019-06-21
C0003,1,5,CCTV,서울특별시 성북구 삼양로 61-1,,37.6084722,127.0229097,3,N,N,N,,2010,2019-03-31,Y,서울시성북구청도시안전과,02-2241-4562,2019-06-21
C0004,1,5,CCTV,서울특별시 성북구 숭인로16길 18,,37.6115773,127.0293579,3,N,N,N,,2011,2019-03-31,Y,서울시성북구청도시안전과,02-2241-4562,2019-06-21
C0005,1,5,CCTV,서울특별시 성북구 도봉로3길 24,,37.6105079,127.028724,3,N,N,N,,2010,2019-03-31,Y,서울시성북구청도시안전과,02-2241-4562,2019-06-21
C0006,1,5,CCTV,서울특별시 성북구 삼선교로10바길 6-7,,37.5855057,127.0094906,3,N,N,N,,2016,2019-03-31,Y,서울시성북구청도시안전과,02-2241-4562,2019-06-21
C0007,1,5,CCTV,서울특별시 성북구 인촌로12길 17-25,,37.5856247,127.0234484,3,N,N,N,,2016,2019-03-31,Y,서울시성북구청도시안전과,02-2241-4562,2019-06-21
C0008,1,5,CCTV,서울특별시 성북구 정릉로40길 26,,37.6008958,127.019369,3,N,N,N,,2010,2019-03-31,Y,서울시성북구청도시안전과,02-2241-4562,2019-06-21
C0009,1,5,CCTV,서울특별시 성북구 동소문로24길 31,,37.592217,127.0189235,3,N,N,N,,2011,2019-03-31,N,서울시성북구청도시안전과,02-2241-4562,2019-06-21
C0010,1,5,CCTV,서울특별시 성북구 보문로30라길 14,,37.5899521,127.0189634,3,N,N,N,,2010,2019-03-31,Y,서울시성북구청도시안전과,02-2241-4562,2019-06-21
C0011,1,5,CCTV,서울특별시 성북구 보문로30다길 11,,37.5896996,127.0215416,3,N,N,N,,2006,2019-03-31,Y,서울시성북구청도시안전과,02-2241-4562,2019-06-21
C0012,1,5,CCTV,서울특별시 성북구 동소문로26가길 11,,37.59455887,127.0197659,3,N,N,N,,2011,2019-03-31,Y,서울시성북구청도시안전과,02-2241-4562,2019-06-21
C0013,1,5,CCTV,서울특별시 성북구 동소문로28길 36,,37.5954476,127.0206001,3,N,N,N,,2006,2019-03-31,N,서울시성북구청도시안전과,02-2241-4562,2019-06-21
C0014,1,5,CCTV,서울특별시 성북구 동소문로26길 29,,37.5938743,127.0205969,3,N,N,N,,2010,2019-03-31,Y,서울시성북구청도시안전과,02-2241-4562,2019-06-21
C0015,1,5,CCTV,서울특별시 성북구 동소문로23길 11,,37.59395739,127.0173154,3,N,N,N,,2010,2019-03-31,Y,서울시성북구청도시안전과,02-2241-4562,2019-06-21
C0016,1,5,CCTV,서울특별시 성북구 동소문로29길 27,,37.5964431,127.0192791,3,N,N,N,,2006,2019-03-31,Y,서울시성북구청도시안전과,02-2241-4562,2019-06-21
C0017,1,5,CCTV,서울특별시 성북구 동소문로25길 51,,37.5954673,127.0164756,3,N,N,N,,2010,2019-03-31,Y,서울시성북구청도시안전과,02-2241-4562,2019-06-21
C0018,1,5,CCTV,서울특별시 성북구 동소문로3길 10,,37.58927332,127.0065444,3,N,N,N,,2007,2019-03-31,N,서울시성북구청도시안전과,02-2241-4562,2019-06-21
C0019,1,5,CCTV,서울특별시 성북구 동소문로6길 4,,37.5888874,127.0080055,3,N,N,N,,2011,2019-03-31,N,서울시성북구청도시안전과,02-2241-4562,2019-06-21
C0020,1,5,CCTV,서울특별시 성북구 동소문로 47,,37.5908815,127.0107102,3,N,N,N,,2007,2019-03-31,Y,서울시성북구청도시안전과,02-2241-4562,2019-06-21
C0021,1,5,CCTV,서울특별시 성북구 동소문로15길 12,,37.5928458,127.0139442,3,N,N,N,,2006,2019-03-31,Y,서울시성북구청도시안전과,02-2241-4562,2019-06-21
C0022,1,5,CCTV,서울특별시 성북구 동소문로 177,,37.59789945,127.0214608,3,N,N,N,,2009,2019-03-31,Y,서울시성북구청도시안전과,02-2241-4562,2019-06-21
C0023,1,5,CCTV,서울특별시 성북구 동소문로34길 29,,37.5994051,127.0221393,3,N,N,N,,2010,2019-03-31,Y,서울시성북구청도시안전과,02-2241-4562,2019-06-21
C0024,1,5,CCTV,서울특별시 성북구 동소문로32길 7,,37.5967187,127.0196815,3,N,N,N,,2010,2019-03-31,Y,서울시성북구청도시안전과,02-2241-4562,2019-06-21
C0025,1,5,CCTV,서울특별시 성북구 보문로25길 10,,37.5862664,127.0181016,3,N,N,N,,2011,2019-03-31,N,서울시성북구청도시안전과,02-2241-4562,2019-06-21
C0026,1,5,CCTV,서울특별시 성북구 지봉로20길 6,,37.5843916,127.0178532,3,N,N,N,,2011,2019-03-31,Y,서울시성북구청도시안전과,02-2241-4562,2019-06-21
