안전비상벨관리번호,설치목적,설치장소유형,설치위치,소재지도로명주소,소재지지번주소,위도,경도,연계방식,경찰연계유무,경비업체연계유무,관리사무소연계유무,부가기능,안전비상벨설치년도,최종점검일자,최종점검결과구분,관리기관명,관리기관전화번호,데이터기준일자
5,1,5,풍납1동 124-5,서울특별시 송파구 바람드리길 2,서울특별시 송파구 풍납1동 124-5,37.5381487,127.1160749,3,N,N,N,CCTV,2009,2019-06-10,Y,송파구청,02-2147-3090,2019-06-10
6,1,5,풍납1동 133-19,서울특별시 송파구 바람드리12길 14-1,서울특별시 송파구 풍납1동 133-19,37.536698,127.118098,3,N,N,N,CCTV,2009,2019-06-10,Y,송파구청,02-2147-3090,2019-06-10
8,1,5,풍납1동 473-1,서울특별시 송파구 천호대로 996,서울특별시 송파구 풍납1동 473-1,37.5384592,127.1224271,3,N,N,N,CCTV,2010,2019-06-10,Y,송파구청,02-2147-3090,2019-06-10
10,1,5,풍납1동 490-7,서울특별시 송파구 올림픽로57길 2,서울특별시 송파구 풍납1동 490-7,37.534559,127.121416,3,N,N,N,CCTV,2010,2019-06-10,Y,송파구청,02-2147-3090,2019-06-10
12,1,5,풍납2동 389,서울특별시 송파구 강동대로 76,서울특별시 송파구 풍납2동 389,37.526222,127.1154777,3,N,N,N,CCTV,2009,2019-06-10,Y,송파구청,02-2147-3090,2019-06-10
15,1,5,풍납2동 281-3,서울특별시 송파구 풍성로14길 46,서울특별시 송파구 풍납2동 281-3,37.5329033,127.113737,3,N,N,N,CCTV,2009,2019-06-10,Y,송파구청,02-2147-3090,2019-06-10
16,1,5,풍납2동 292-1,서울특별시 송파구 풍성로4길 20,서울특별시 송파구 풍납2동 292-1,37.5337172,127.1126887,3,N,N,N,CCTV,2010,2019-06-10,Y,송파구청,02-2147-3090,2019-06-10
18,1,5,풍납2동 297-1,서울특별시 송파구 한가람로 410,서울특별시 송파구 풍납2동 297-1,37.5348472,127.112154,3,N,N,N,CCTV,2010,2019-06-10,Y,송파구청,02-2147-3090,2019-06-10
20,1,5,풍납2동 389-2,서울특별시 송파구 올림픽로43길 20,서울특별시 송파구 풍납2동 389-2,37.5255375,127.1159443,3,N,N,N,CCTV,2005,2019-06-10,Y,송파구청,02-2147-3090,2019-06-10
22,1,5,풍납2동 396,서울특별시 송파구 강동대로3길 12,서울특별시 송파구 풍납2동 396,37.5277929,127.114624,3,N,N,N,CCTV,2009,2019-06-10,Y,송파구청,02-2147-3090,2019-06-10
23,1,5,풍납2동 469-3,서울특별시 송파구 강동대로 13(올림픽대교 아래),서울특별시 송파구 풍납2동 469-3,37.529255,127.1102661,3,N,N,N,CCTV,2010,2019-06-10,Y,송파구청,02-2147-3090,2019-06-10
24,1,5,풍납2동 501-24,서울특별시 송파구 올림픽로51길 15,서울특별시 송파구 풍납2동 501-24,37.5315869,127.1190466,3,N,N,N,CCTV,2005,2019-06-10,Y,송파구청,02-2147-3090,2019-06-10
25,1,5,풍납2동 338-8,서울특별시 송파구 토성로19길 28,서울특별시 송파구 풍납2동 338-8,37.5307258,127.119231,3,N,N,N,CCTV,2010,2019-06-10,Y,송파구청,02-2147-3090,2019-06-10
26,1,5,풍납2동 406-1,서울특별시 송파구 토성로 65,서울특별시 송파구 풍납2동 406-1,37.528844,127.117311,3,N,N,N,CCTV,2010,2019-06-10,Y,송파구청,02-2147-3090,2019-06-10
