안전비상벨관리번호,설치목적,설치장소유형,설치위치,소재지도로명주소,소재지지번주소,위도,경도,연계방식,경찰연계유무,경비업체연계유무,관리사무소연계유무,부가기능,안전비상벨설치년도,최종점검일자,최종점검결과구분,관리기관명,관리기관전화번호,데이터기준일자
목1,1,1,CCTV 폴대,서울특별시 양천구 목동동로 293,서울특별시 양천구 목1동 917-9,37.528153,126.875746,3,N,N,N,,2006,2019-04-30,Y,양천구청,02-2620-4793,2019-05-23
목10,1,1,CCTV 폴대,서울특별시 양천구 목동중앙남로16가길 16-17,서울특별시 양천구 목3동 324-188,37.543506,126.863858,3,N,N,N,,2006,2019-04-30,Y,양천구청,02-2620-4793,2019-05-23
목11,1,1,CCTV 폴대,서울특별시 양천구 목동중앙남로9길 38,서울특별시 양천구 목4동 725-3,37.537977,126.864424,3,N,N,N,,2006,2019-04-30,Y,양천구청,02-2620-4793,2019-05-23
목12,1,1,CCTV 폴대,서울특별시 양천구 목동중앙로5길 49,서울특별시 양천구 목4동 760-1,37.53818,126.869535,3,N,N,N,,2006,2019-04-30,Y,양천구청,02-2620-4793,2019-05-23
목2,1,1,CCTV 폴대,서울특별시 양천구 오목로 319,서울특별시 양천구 목1동 406-35,37.525037,126.873054,3,N,N,N,,2006,2019-04-30,Y,양천구청,02-2620-4793,2019-05-23
목3,1,1,CCTV 폴대,서울특별시 양천구 목동로210,서울특별시 양천구 목1동 810-1,37.527346,126.864459,3,N,N,N,,2006,2019-04-30,Y,양천구청,02-2620-4793,2019-05-23
목4,1,1,CCTV 폴대,서울특별시 양천구 목동동로 12길 53,서울특별시 양천구 목동 404-61,37.522403,126.877315,3,N,N,N,,2006,2019-04-30,Y,양천구청,02-2620-4793,2019-05-23
목5,1,1,CCTV 폴대,서울특별시 양천구 목동서로 77,서울특별시 양천구 목동 907,37.535926,126.877979,3,N,N,N,,2006,2019-04-30,Y,양천구청,02-2620-4793,2019-05-23
목6,1,1,CCTV 폴대,서울특별시 양천구 목동동로 419,서울특별시 양천구 목동 909-9,37.536709,126.883155,3,N,N,N,,2006,2019-04-30,Y,양천구청,02-2620-4793,2019-05-23
목7,1,1,CCTV 폴대,서울특별시 양천구 목동중앙로 129,서울특별시 양천구 목동 199-66,37.539939,126.874743,3,N,N,N,,2006,2019-04-30,Y,양천구청,02-2620-4793,2019-05-23
