안전비상벨관리번호,설치목적,설치장소유형,설치위치,소재지도로명주소,소재지지번주소,위도,경도,연계방식,경찰연계유무,경비업체연계유무,관리사무소연계유무,부가기능,안전비상벨설치년도,최종점검일자,최종점검결과구분,관리기관명,관리기관전화번호,데이터기준일자
1,1,99,이지스빌 앞,서울특별시 용산구 후암로34길 34,서울특별시 용산구 후암동 30-93,37.551584,126.978868,3,N,N,N,CCTV,2013,2019-06-26,Y,용산구청,02-2199-6660,2019-07-25
2,1,99,삼안리치하우스 코너,서울특별시 용산구 한강대로102길 51,서울특별시 용산구 후암동 123-16,37.549328,126.974868,3,N,N,N,CCTV,2016,2019-06-26,Y,용산구청,02-2199-6660,2019-07-25
3,1,99,후암어린이집 코너,서울특별시 용산구 두텁바위로1길 86,서울특별시 용산구 후암동 160-1,37.547592,126.975769,3,N,N,N,CCTV,2015,2019-06-26,Y,용산구청,02-2199-6660,2019-07-25
4,1,99,거주자우선주차지역,서울특별시 용산구 두텁바위로1길 53,서울특별시 용산구 후암동 167-2,37.54645,126.975146,3,N,N,N,CCTV,2015,2019-06-26,Y,용산구청,02-2199-6660,2019-07-25
5,1,99,화인힐빌라 코너,서울특별시 용산구 후암로16길 27,서울특별시 용산구 후암동 244-99,37.548482,126.979252,3,N,N,N,CCTV,2014,2019-06-26,Y,용산구청,02-2199-6660,2019-07-25
6,1,99,앞,서울특별시 용산구 후암로4길 49,서울특별시 용산구 후암동 283-5,37.5479,126.980263,3,N,N,N,CCTV,2016,2019-06-26,Y,용산구청,02-2199-6660,2019-07-25
7,1,99,신주에지앙 뒤쪽 담벼락,서울특별시 용산구 후암로28바길 3,서울특별시 용산구 후암동 302-1,37.549177,126.98027,3,N,N,N,CCTV,2016,2019-06-26,Y,용산구청,02-2199-6660,2019-07-25
8,1,99,출입문 코너,서울특별시 용산구 두텁바위로58길 17,서울특별시 용산구 후암동 358-63,37.5496,126.982527,3,N,N,N,CCTV,2013,2019-06-26,Y,용산구청,02-2199-6660,2019-07-25
9,1,99,후암제일교회 앞,서울특별시 용산구 후암로48길 7,서울특별시 용산구 후암동 1-59,37.552467,126.976783,3,N,N,N,CCTV,2017,2019-06-26,Y,용산구청,02-2199-6660,2019-07-25
10,1,99,남산중앙교회 맞은편,서울특별시 용산구 두텁바위로60길 77,서울특별시 용산구 후암동 406-109,37.54824,126.983918,3,N,N,N,CCTV,2013,2019-06-26,Y,용산구청,02-2199-6660,2019-07-25
11,1,99,옆 인도,서울특별시 용산구 두텁바위로40길 2,서울특별시 용산구 후암동 404-61,37.547245,126.981821,3,N,N,N,CCTV,2017,2019-06-26,Y,용산구청,02-2199-6660,2019-07-25
