안전비상벨관리번호,설치목적,설치장소유형,설치위치,소재지도로명주소,소재지지번주소,위도,경도,연계방식,경찰연계유무,경비업체연계유무,관리사무소연계유무,부가기능,안전비상벨설치년도,최종점검일자,최종점검결과구분,관리기관명,관리기관전화번호,데이터기준일자
1,1,1,진관동 기자촌 공원 1,,서울특별시 은평구 진관동 175 기자촌공원내,37.633574,126.937772,3,N,N,N,CCTV,2014,2019-06-30,Y,은평구청 공원녹지과,02-351-8007,2019-07-01
2,1,1,진관동 기자촌 공원 2,,서울특별시 은평구 진관동 175 기자촌공원내,37.633487,126.938743,3,N,N,N,CCTV,2014,2019-06-30,Y,은평구청 공원녹지과,02-351-8007,2019-07-01
3,1,1,진관동 기자촌 공원 3,,서울특별시 은평구 진관동 175 기자촌공원내,37.63285,126.93875,3,N,N,N,CCTV,2014,2019-06-30,Y,은평구청 공원녹지과,02-351-8007,2019-07-01
4,1,1,진관동 기자촌 공원 4,,서울특별시 은평구 진관동 175 기자촌공원내,37.632892,126.937549,3,N,N,N,CCTV,2014,2019-06-30,Y,은평구청 공원녹지과,02-351-8007,2019-07-01
5,1,1,진관동 기자촌 공원 5,,서울특별시 은평구 진관동 175 기자촌공원내,37.632416,126.936512,3,N,N,N,CCTV,2014,2019-06-30,Y,은평구청 공원녹지과,02-351-8007,2019-07-01
6,1,1,진관동 기자촌 공원 6,,서울특별시 은평구 진관동 175 기자촌공원내,37.631732,126.934947,3,N,N,N,CCTV,2014,2019-06-30,Y,은평구청 공원녹지과,02-351-8007,2019-07-01
7,1,1,진관동 기자촌 공원 7,,서울특별시 은평구 진관동 175 기자촌공원내,37.634594,126.936183,3,N,N,N,CCTV,2014,2019-06-30,Y,은평구청 공원녹지과,02-351-8007,2019-07-01
8,1,1,진관동 기자촌 공원 8,,서울특별시 은평구 진관동 175 기자촌공원내,37.63517,126.936271,3,N,N,N,CCTV,2014,2019-06-30,Y,은평구청 공원녹지과,02-351-8007,2019-07-01
9,1,1,갈현2동 327-21 궁말어린이공원1,서울특별시 은평구 서오릉로20길 15-1,서울특별시 은평구 갈현2동 327-21 (갈현동 327-113뒤),37.6168641,126.9091355,3,N,N,N,CCTV,2009,2019-06-30,Y,은평구청 공원녹지과,02-351-8007,2019-07-01
10,1,1,갈현2동 327-21 궁말어린이공원2,서울특별시 은평구 서오릉로20길 15-1,서울특별시 은평구 갈현2동 327-21 (갈현동 327-113뒤),37.6168641,126.9091355,3,N,N,N,CCTV,2009,2019-06-30,Y,은평구청 공원녹지과,02-351-8007,2019-07-01
