안전비상벨관리번호,설치목적,설치장소유형,설치위치,소재지도로명주소,소재지지번주소,위도,경도,연계방식,경찰연계유무,경비업체연계유무,관리사무소연계유무,부가기능,안전비상벨설치년도,최종점검일자,최종점검결과구분,관리기관명,관리기관전화번호,데이터기준일자
1,2,99,수영장관람석,,서울특별시 종로구 성균관로 91 올림픽기념 생활관,37.590434,126.9987747,3,N,N,Y,무,2017,2019-05-30,Y,서울특별시 종로구시설관리공단,02-3693-4071,2019-06-24
2,2,2,1층 장애인화장실(남),,서울특별시 종로구 성균관로91 올림픽기념 생활관,37.590434,126.9987747,3,N,N,Y,무,2017,2019-05-30,Y,서울특별시 종로구시설관리공단,02-3693-4071,2019-06-24
3,2,2,1층 장애인화장실(여),,서울특별시 종로구 성균관로 91 올림픽기념 생활관,37.590434,126.9987747,3,N,N,Y,무,2017,2019-05-30,Y,서울특별시 종로구시설관리공단,02-3693-4071,2019-06-24
4,2,3,지하주차장,,서울특별시 종로구 성균관로 91 올림픽기념 생활관,37.590434,126.9987747,3,N,N,Y,무,2019,2019-06-07,Y,서울특별시 종로구시설관리공단,02-3693-4071,2019-06-24
5,2,99,엘리베이터,,서울특별시 종로구 성균관로 91 올림픽기념 생활관,37.590434,126.9987747,3,N,Y,Y,무,2006,2019-05-30,Y,서울특별시 종로구시설관리공단,02-3693-4071,2019-06-24
6,2,2,1층 장애인화장실(여),,서울특별시 종로구 인왕산로1길 21 종로문화체육센터,37.5742102,126.9646484,3,N,N,Y,무,2018,2019-04-30,Y,서울특별시 종로구시설관리공단,02-3693-4071,2019-06-24
7,2,2,1층 장애인화장실(남),,서울특별시 종로구 인왕산로1길 21 종로문화체육센터,37.5742102,126.9646484,3,N,N,Y,무,2018,2019-04-30,Y,서울특별시 종로구시설관리공단,02-3693-4071,2019-06-24
8,2,99,엘리베이터,,서울특별시 종로구 인왕산로1길 21 종로문화체육센터,37.5742102,126.9646484,3,N,Y,Y,무,2013,2019-05-30,Y,서울특별시 종로구시설관리공단,02-3693-4071,2019-06-24
9,2,99,엘리베이터,,서울특별시 종로구 인사동6길,37.5714306,126.9873002,3,N,Y,Y,무,2014,2019-06-21,Y,서울특별시 종로구시설관리공단,02-3693-4071,2019-06-24
10,2,99,수유실 내,,서울특별시 종로구 인사동6길,37.5714306,126.9873002,3,N,Y,Y,무,2010,2019-06-21,Y,서울특별시 종로구시설관리공단,02-3693-4071,2019-06-24
11,2,2,장애인화장실(여),,서울특별시 종로구 인사동6길,37.5714306,126.9873002,3,N,N,Y,무,2010,2019-06-21,Y,서울특별시 종로구시설관리공단,02-3693-4071,2019-06-24
12,2,2,장애인화장실(남),,서울특별시 종로구 인사동6길,37.5714306,126.9873002,3,N,N,Y,무,2010,2019-06-21,Y,서울특별시 종로구시설관리공단,02-3693-4071,2019-06-24
13,2,2,공중화장실(남),,서울특별시 종로구 인사동6길,37.5714306,126.9873002,3,N,N,Y,무,2010,2019-06-21,Y,서울특별시 종로구시설관리공단,02-3693-4071,2019-06-24
14,2,2,공중화장실(여),,서울특별시 종로구 인사동6길,37.5714306,126.9873002,3,N,N,Y,무,2010,2019-06-21,Y,서울특별시 종로구시설관리공단,02-3693-4071,2019-06-24
15,2,99,엘리베이터,,서울특별시 종로구 지봉로5길 7-5,37.5734636,127.0143719,3,N,N,N,무,2010,2019-06-24,Y,서울특별시 종로구시설관리공단,02-3693-4071,2019-06-24
16,2,2,화장실,,서울특별시 종로구 지봉로5길 7-5,37.5734636,127.0143719,3,N,N,N,무,2010,2019-06-24,Y,서울특별시 종로구시설관리공단,02-3693-4071,2019-06-24
17,1,3,지하1,,서울특별시 종로구 자하문로 89,37.5888097,126.9696364,3,N,N,Y,무,2010,2019-06-14,Y,서울특별시 종로구시설관리공단,02-3693-4071,2019-06-14
18,1,3,지하1,,서울특별시 종로구 자하문로 89,37.5888097,126.9696364,3,N,N,Y,무,2010,2019-06-14,Y,서울특별시 종로구시설관리공단,02-3693-4071,2019-06-14
19,1,3,지하1,,서울특별시 종로구 자하문로 89,37.5888097,126.9696364,3,N,N,Y,무,2010,2019-06-14,Y,서울특별시 종로구시설관리공단,02-3693-4071,2019-06-14
