안전비상벨관리번호,설치목적,설치장소유형,설치위치,소재지도로명주소,소재지지번주소,위도,경도,연계방식,경찰연계유무,경비업체연계유무,관리사무소연계유무,부가기능,안전비상벨설치년도,최종점검일자,최종점검결과구분,관리기관명,관리기관전화번호,데이터기준일자
공060,1,1,남대문시장 공중화장실,서울특별시 중구 다산로48길 33,서울특별시 중구 남창동 51-1,37.567482,127.018011,3,Y,N,N,,2016,2019-06-30,Y,중구시설관리공단,02-2280-8384,2019-10-18
공061,1,1,광희동 공중화장실,서울특별시 중구 마른내로166,서울특별시 중구 광희동1가 202-1,37.564362,127.006293,3,Y,N,N,,2016,2019-06-30,Y,중구시설관리공단,02-2280-8384,2019-10-18
공062,1,1,광희동 공중화장실,서울특별시 중구 마른내로166,서울특별시 중구 광희동1가 202-1,37.564362,127.006293,3,Y,N,N,,2016,2019-06-30,Y,중구시설관리공단,02-2280-8384,2019-10-18
공063,1,1,광희동 공중화장실,서울특별시 중구 마른내로166,서울특별시 중구 광희동1가 202-1,37.564362,127.006293,3,Y,N,N,,2016,2019-06-30,Y,중구시설관리공단,02-2280-8384,2019-10-18
공064,1,1,광희동 공중화장실,서울특별시 중구 마른내로166,서울특별시 중구 광희동1가 202-1,37.564362,127.006293,3,Y,N,N,,2016,2019-06-30,Y,중구시설관리공단,02-2280-8384,2019-10-18
공065,1,1,광희동 공중화장실,서울특별시 중구 마른내로166,서울특별시 중구 광희동1가 202-1,37.564362,127.006293,3,Y,N,N,,2016,2019-06-30,Y,중구시설관리공단,02-2280-8384,2019-10-18
공066,1,1,신당1호 공중화장실,서울특별시 중구 다산로33다길 25,서울특별시 중구 신당동 236-542,37.563907,127.013604,3,Y,N,N,,2016,2019-06-30,Y,중구시설관리공단,02-2280-8384,2019-10-18
공067,1,1,신당2호 공중화장실,서울특별시 중구 다산로31길 7-5,서울특별시 중구 신당동 298-74,37.561316,127.013785,3,Y,N,N,,2016,2019-06-30,Y,중구시설관리공단,02-2280-8384,2019-10-18
공068,1,1,청구역 공중화장실,서울특별시 중구 다산로29길 9,서울특별시 중구 신당동 297-17,37.560862,127.013459,3,Y,N,N,,2016,2019-06-30,Y,중구시설관리공단,02-2280-8384,2019-10-18
공069,1,1,황학동 공중화장실,서울특별시 중구 다산로48길 33,서울특별시 중구 황학동 755,37.567482,127.018011,3,Y,N,N,,2016,2019-06-30,Y,중구시설관리공단,02-2280-8384,2019-10-18
