안전비상벨관리번호,설치목적,설치장소유형,설치위치,소재지도로명주소,소재지지번주소,위도,경도,연계방식,경찰연계유무,경비업체연계유무,관리사무소연계유무,부가기능,안전비상벨설치년도,최종점검일자,최종점검결과구분,관리기관명,관리기관전화번호,데이터기준일자
C-JH01-0001,1,5,가로변,서울특별시 중랑구 봉화산로27길 42,서울특별시 중랑구 중화1동 21-9,37.6036701,127.0830255,2,N,N,N,경보음+CCTV,2008,2019-05-30,Y,서울특별시 중랑구청,02-2094-0284,2019-09-01
C-JH01-0002,1,5,가로변,서울특별시 중랑구 봉화산로30길 19,서울특별시 중랑구 중화1동 126,37.60141323,127.0853121,2,N,N,N,경보음+CCTV,2008,2019-05-30,Y,서울특별시 중랑구청,02-2094-0284,2019-09-01
C-JH01-0007,1,5,가로변,서울특별시 중랑구 상봉중앙로9길 20,서울특별시 중랑구 중화1동 9-3,37.60187125,127.0861592,2,N,N,N,경보음+CCTV,2008,2019-05-30,Y,서울특별시 중랑구청,02-2094-0284,2019-09-01
C-JH01-0008,1,5,가로변,서울특별시 중랑구 동일로140길 16,서울특별시 중랑구 중화1동 281-1,37.604112,127.080062,2,N,N,N,경보음+CCTV,2009,2019-05-30,Y,서울특별시 중랑구청,02-2094-0284,2019-09-01
C-JH01-0009,1,5,가로변,서울특별시 중랑구 봉화산로26길 28,서울특별시 중랑구 중화1동 148-48,37.6005639,127.0836775,2,N,N,N,경보음+CCTV,2009,2019-05-30,Y,서울특별시 중랑구청,02-2094-0284,2019-09-01
C-JH01-0010,1,5,가로변,서울특별시 중랑구 동일로126길 18,서울특별시 중랑구 중화1동 295-41,37.5986931,127.0812988,2,N,N,N,경보음+CCTV,2009,2019-05-30,Y,서울특별시 중랑구청,02-2094-0284,2019-09-01
C-JH01-0012,1,5,가로변,서울특별시 중랑구 봉화산로24길 9-8,서울특별시 중랑구 중화1동 148,37.600941,127.0833988,2,N,N,N,경보음+CCTV,2010,2019-05-30,Y,서울특별시 중랑구청,02-2094-0284,2019-09-01
C-JH01-0013,1,5,가로변,서울특별시 중랑구 동일로138길 10,서울특별시 중랑구 중화1동 285-9,37.6030646,127.0799038,2,N,N,N,경보음+CCTV,2010,2019-05-30,Y,서울특별시 중랑구청,02-2094-0284,2019-09-01
C-JH01-0014,1,5,가로변,서울특별시 중랑구 봉화산로21길 15,서울특별시 중랑구 중화1동 86-9,37.6025075,127.0818382,2,N,N,N,경보음+CCTV,2010,2019-05-30,Y,서울특별시 중랑구청,02-2094-0284,2019-09-01
C-JH01-0015,1,5,가로변,서울특별시 중랑구 봉화산로26길 62,서울특별시 중랑구 중화1동 178-97,37.59916255,127.0828325,2,N,N,N,경보음+CCTV,2010,2019-05-30,Y,서울특별시 중랑구청,02-2094-0284,2019-09-01
C-JH01-0016,1,5,가로변,서울특별시 중랑구 동일로144가길 25-18,서울특별시 중랑구 중화1동 274-49,37.6064469,127.0819552,2,N,N,N,경보음+CCTV,2010,2019-05-30,Y,서울특별시 중랑구청,02-2094-0284,2019-09-01
C-JH01-0017,1,5,가로변,서울특별시 중랑구 봉화산로35길 22,서울특별시 중랑구 중화1동 445-1,37.6036644,127.0859732,2,N,N,N,경보음+CCTV,2010,2019-05-30,Y,서울특별시 중랑구청,02-2094-0284,2019-09-01
C-JH01-0027,1,5,가로변,서울특별시 중랑구 봉화산로21길 28,서울특별시 중랑구 중화1동 29-10,37.6029026,127.0820066,2,N,N,N,경보음+CCTV,2014,2019-05-30,Y,서울특별시 중랑구청,02-2094-0284,2019-09-01
C-JH01-0028,1,5,가로변,서울특별시 중랑구 봉화산로19길 5,서울특별시 중랑구 중화1동 103-5,37.6019669,127.0810249,2,N,N,N,경보음+CCTV,2015,2019-05-30,Y,서울특별시 중랑구청,02-2094-0284,2019-09-01
C-JH01-0029,1,5,가로변,서울특별시 중랑구 봉화산로24길 10,서울특별시 중랑구 중화1동 145-1,37.6012798,127.0830538,2,N,N,N,경보음+CCTV,2015,2019-05-30,Y,서울특별시 중랑구청,02-2094-0284,2019-09-01
C-JH01-0030,1,5,가로변,서울특별시 중랑구 동일로140길 19-12,서울특별시 중랑구 중화1동 279-22,37.60486065,127.0803201,2,N,N,N,경보음+CCTV,2015,2019-05-30,Y,서울특별시 중랑구청,02-2094-0284,2019-09-01
