위도,경도
37.505818,126.853614
37.504137,126.85274
37.505272,126.851803
37.482971,126.851614
37.492044,126.873512
37.49133,126.874711
37.497634,126.886133
37.496688,126.885267
37.494722,126.891765
37.499603,126.88993
37.485118,126.883111
37.485958,126.883415
37.505552,126.856818
37.503911,126.848661
37.490041,126.85789
37.489055,126.859018
37.49728,126.841764
37.497795,126.842772
37.497468,126.843493
37.498495,126.843026
37.48965,126.839274
37.488758,126.83814
37.490591,126.839175
37.493173,126.825576
37.495322,126.825406
37.494347,126.826761
37.503524,126.844537
37.504697,126.843967
37.489809,126.82683
37.489847,126.825636
37.484131,126.890367
37.484751,126.88955
37.480598,126.889996
37.490072,126.852825
37.489891,126.852993
37.485004,126.888273
37.496147,126.825387
37.496589,126.824714
37.498915,126.886776
37.499297,126.887446
37.499766,126.888358
37.500198,126.889152
37.506681,126.853969
37.506711,126.854798
37.505154,126.854177
37.505844,126.855888
37.503813,126.854508
37.502737,126.852996
37.500501,126.852964
37.500497,126.88865
37.500101,126.887833
37.499986,126.886414
37.500783,126.886772
37.501581,126.887286
37.502979,126.887792
37.503125,126.887118
37.503889,126.890916
37.504558,126.892164
37.501377,126.886162
37.505083,126.890759
37.480629,126.896856
37.502921,126.847552
37.502878,126.847536
37.494609,126.881181
37.494845,126.8816
37.495258,126.881602
37.502461,126.866235
37.492874,126.859934
37.503564,126.850933
37.504489,126.849931
37.507099,126.848945
37.488888,126.853916
37.50396,126.849204
37.506503,126.848749
37.486721,126.854093
37.485328,126.853568
37.49344,126.85423
37.493711,126.8524
37.490365,126.841511
37.504668,126.890328
37.488603,126.896356
37.496285,126.886746
37.494928,126.883529
37.496429,126.883932
37.498347,126.884144
37.504232,126.891818
37.498727,126.88878
37.497046,126.88822
37.500832,126.884865
37.502611,126.886953
37.504738,126.885784
37.502342,126.884618
37.494926,126.884476
37.496165,126.884381
37.494393,126.881213
37.498384,126.883208
37.49804,126.881749
37.509248,126.878392
37.509329,126.884858
37.489942,126.888059
37.489501,126.877812
37.488868,126.882597
37.491911,126.887894
37.492855,126.887168
37.48721,126.883501
37.488298,126.883588
37.489426,126.882977
37.490745,126.885675
37.490227,126.885602
37.487875,126.886091
37.487043,126.887501
37.48668,126.88618
37.493936,126.892674
37.492237,126.893075
37.491756,126.890726
37.49034,126.891504
