관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
서울특별시 강남구청,서울특별시 강남구 헌릉로622길 27,서울특별시 강남구 세곡동 151-12,생활방범,4,200,360전방면,30,Jul-18,02-3423-6772,37.4628186,127.1068432,2019-09-09
서울특별시 강남구청,서울특별시 강남구 밤고개로36길 6,서울특별시 강남구 세곡동 164-10 건너,생활방범,3,400,360전방면,30,Jul-16,02-3423-6772,37.4631924,127.1073011,2019-09-09
서울특별시 강남구청,서울특별시 강남구 밤고개로34길 23 (세곡동),서울특별시 강남구 세곡동 171-17,생활방범,4,200,360전방면,30,Jan-14,02-3423-6772,37.4635675,127.105896,2019-09-09
서울특별시 강남구청,서울특별시 강남구 헌릉로590길 11 (세곡동 리엔파크3단지),서울특별시 강남구 세곡동 516,생활방범,4,200,360전방면,30,Aug-15,02-3423-6772,37.4636638,127.1044593,2019-09-09
서울특별시 강남구청,서울특별시 강남구 헌릉로590길 11 (세곡동 리엔파크3단지),서울특별시 강남구 세곡동 516,교통단속,1,200,360전방면,30,Jun-17,02-3423-6772,37.4636638,127.1044593,2019-09-09
서울특별시 강남구청,서울특별시 강남구 헌릉로618길 8,서울특별시 강남구 세곡동 517,생활방범,3,200,360전방면,30,Sep-19,02-3423-6772,37.4641998,127.1056319,2019-09-09
서울특별시 강남구청,서울특별시 강남구 헌릉로645길 17 (세곡동),서울특별시 강남구 세곡동 102-17 (윗반고개공원 내),생활방범,5,200,360전방면,30,Aug-15,02-3423-6772,37.4660796,127.1095966,2019-09-09
서울특별시 강남구청,서울특별시 강남구 헌릉로637길 22(세곡동),서울특별시 강남구 세곡동 103-3,생활방범,3,300,360전방면,30,Dec-16,02-3423-6772,37.4663017,127.109182,2019-09-09
서울특별시 강남구청,서울특별시 강남구 헌릉로569길 19,서울특별시 강남구 세곡동 592,생활방범,5,200,360전방면,30,Nov-18,02-3423-6772,37.4667973,127.0995892,2019-09-09
서울특별시 강남구청,서울특별시 강남구 헌릉로645길 31 (세곡동),서울특별시 강남구 세곡동 108-9,생활방범,3,400,360전방면,30,Jun-16,02-3423-6772,37.4669405,127.1096406,2019-09-09
서울특별시 강남구청,서울특별시 강남구 헌릉로571길 23-15(세곡동),서울특별시 강남구 세곡동 572,생활방범,4,200,360전방면,30,Jun-17,02-3423-6772,37.46728215,127.1002939,2019-09-09
서울특별시 강남구청,서울특별시 강남구 밤고개로29길 8,서울특별시 강남구 세곡동 111-16,생활방범,4,200,360전방면,30,Jul-18,02-3423-6772,37.4673068,127.1092237,2019-09-09
서울특별시 강남구청,서울특별시 강남구 헌릉로637길 36 (세곡동),서울특별시 강남구 세곡동 113,생활방범,3,400,360전방면,30,Jun-16,02-3423-6772,37.4673118,127.1090552,2019-09-09
서울특별시 강남구청,서울특별시 강남구 자곡로 21 (세곡동 세곡푸르지오),서울특별시 강남구 세곡동 533 (LH푸르지오 213동 주변 은곡교),생활방범,5,200,360전방면,30,Dec-15,02-3423-6772,37.46734557,127.0932629,2019-09-09
서울특별시 강남구청,서울특별시 강남구 헌릉로571길 20(세곡동 강남엘에이치1단지),서울특별시 강남구 세곡동 579 (강남LH1단지 이편한세상 주변),교통단속,1,200,360전방면,30,Dec-15,02-3423-6772,37.4673828,127.1192919,2019-09-09
서울특별시 강남구청,서울특별시 강남구 헌릉로571길 66-1 (세곡동),서울특별시 강남구 세곡동 421-2 (은곡마을 앞 사거리),생활방범,5,200,360전방면,30,Sep-14,02-3423-6772,37.46756549,127.0976355,2019-09-09
서울특별시 강남구청,서울특별시 강남구 헌릉로569길 52-29(세곡동),서울특별시 강남구 세곡동 429,생활방범,3,200,360전방면,30,Dec-16,02-3423-6772,37.46839781,127.0978989,2019-09-09
서울특별시 강남구청,서울특별시 강남구 헌릉로569길 52-37,서울특별시 강남구 세곡동 426-1,생활방범,4,200,360전방면,30,Sep-19,02-3423-6772,37.468498,127.0987672,2019-09-09
서울특별시 강남구청,서울특별시 강남구 헌릉로571길 34-15 (세곡동),서울특별시 강남구 세곡동 367-1,생활방범,1,200,360전방면,30,Sep-14,02-3423-6772,37.46868025,127.1006123,2019-09-09
서울특별시 강남구청,서울특별시 강남구 자곡로55 (세곡동),서울특별시 강남구 세곡동 529 (세명초등학교 주변),교통단속,1,400,360전방면,30,Jun-16,02-3423-6772,37.46885737,127.0910762,2019-09-09
서울특별시 강남구청,서울특별시 강남구 밤고개로26길 43,서울특별시 강남구 율현동 333 (6단지 입구 인도),생활방범,4,400,360전방면,30,Jul-16,02-3423-6772,37.46899785,127.1042527,2019-09-09
