관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
서울특별시 강동구청,서울특별시 강동구 강동구 명일로 248 (길동),서울특별시 강동구 길동 94,어린이보호,1,200,360도전방면,30,Aug-11,02-3425-7090,37.54075241,127.1472321,2019-11-19
서울특별시 강동구청,서울특별시 강동구 강동구 명일로 262(길동),서울특별시 강동구 길동 82-4,어린이보호,1,200,360도전방면,30,Dec-14,02-3425-7090,37.54191589,127.1475296,2019-11-19
서울특별시 강동구청,서울특별시 강동구 강동대로 235 (성내동),서울특별시 강동구 성내동 449-7,생활방범,3,200,360도전방면,30,Dec-16,02-3425-7090,37.52241898,127.1338806,2019-11-19
서울특별시 강동구청,서울특별시 강동구 강동대로 305 (둔촌동),서울특별시 강동구 둔촌동 180-2,생활방범,4,200,360도전방면,30,Dec-16,02-3425-7090,37.51939011,127.1392517,2019-11-19
서울특별시 강동구청,서울특별시 강동구 강동대로143-22 (성내동),서울특별시 강동구 성내동 459-6,생활방범,3,200,360도전방면,30,Nov-17,02-3425-7090,37.52715683,127.1217346,2019-11-19
서울특별시 강동구청,서울특별시 강동구 강동대로199 (성내동),서울특별시 강동구 성내동 448-8,생활방범,2,200,360도전방면,30,Nov-17,02-3425-7090,37.52411652,127.1285858,2019-11-19
서울특별시 강동구청,서울특별시 강동구 강동대로199 (성내동),서울특별시 강동구 성내동 448-8,생활방범,1,200,360도전방면,30,Nov-17,02-3425-7090,37.5242157,127.1285629,2019-11-19
서울특별시 강동구청,서울특별시 강동구 강동대로199 (성내동),서울특별시 강동구 성내동 448-8,생활방범,1,200,360도전방면,30,Nov-17,02-3425-7090,37.52418518,127.128624,2019-11-19
서울특별시 강동구청,서울특별시 강동구 강동대로51길 57 (성내동),서울특별시 강동구 성내동 435-22,생활방범,2,200,360도전방면,30,Dec-17,02-3425-7090,37.52599716,127.1305618,2019-11-19
서울특별시 강동구청,서울특별시 강동구 강동대로51길 57 (성내동),서울특별시 강동구 성내동 435-22,생활방범,1,200,360도전방면,30,Dec-17,02-3425-7090,37.52597427,127.1306229,2019-11-19
서울특별시 강동구청,서울특별시 강동구 강동대로53길 21 (성내동),서울특별시 강동구 성내동 445-4,생활방범,1,200,360도전방면,30,Jun-16,02-3425-7090,37.52366638,127.1316452,2019-11-19
서울특별시 강동구청,서울특별시 강동구 강동대로53길 68 (성내동),서울특별시 강동구 성내동 438,생활방범,3,200,360도전방면,30,Oct-09,02-3425-7090,37.52592468,127.1325378,2019-11-19
서울특별시 강동구청,서울특별시 강동구 강동대로53길 83-14(성내3동),서울특별시 강동구 성내동 431-7,생활방범,1,200,360도전방면,30,Dec-15,02-3425-7090,37.5267626,127.1320586,2019-11-19
서울특별시 강동구청,서울특별시 강동구 강동대로55길 72 (성내동),서울특별시 강동구 성내동 439-1,생활방범,1,200,360도전방면,30,Oct-09,02-3425-7090,37.52525711,127.1338272,2019-11-19
서울특별시 강동구청,서울특별시 강동구 강동대로55길 83 (성내동),서울특별시 강동구 성내동 430-6,어린이보호,1,130,360도전방면,30,Nov-12,02-3425-7090,37.52604294,127.1339798,2019-11-19
서울특별시 강동구청,서울특별시 강동구 강일동 144-8,서울특별시 강동구 강일동 144-8,생활방범,2,200,360도전방면,30,Dec-17,02-3425-7090,37.57645798,127.1671829,2019-11-19
서울특별시 강동구청,서울특별시 강동구 강일동 177,서울특별시 강동구 강일동 177,생활방범,1,200,360도전방면,30,Feb-06,02-3425-7090,37.57459259,127.1667328,2019-11-19
서울특별시 강동구청,서울특별시 강동구 강일동 406-1,서울특별시 강동구 강일동 406-1,생활방범,1,200,360도전방면,30,Feb-06,02-3425-7090,37.57159424,127.164238,2019-11-19
서울특별시 강동구청,서울특별시 강동구 강일동 445,서울특별시 강동구 강일동 445,생활방범,1,200,360도전방면,30,Jun-16,02-3425-7090,37.56264114,127.1779785,2019-11-19
서울특별시 강동구청,서울특별시 강동구 강일동 445,서울특별시 강동구 강일동 445,생활방범,3,200,360도전방면,30,Dec-16,02-3425-7090,37.5628891,127.178009,2019-11-19
서울특별시 강동구청,서울특별시 강동구 강일동 469-6,서울특별시 강동구 강일동 469-6,생활방범,3,200,360도전방면,30,Dec-16,02-3425-7090,37.5585556,127.1763153,2019-11-19
서울특별시 강동구청,서울특별시 강동구 강일동 472-1,서울특별시 강동구 강일동 472-1,생활방범,1,200,360도전방면,30,Jun-16,02-3425-7090,37.55900574,127.1816788,2019-11-19
서울특별시 강동구청,서울특별시 강동구 강일동 511-1,서울특별시 강동구 강일동 511-1,생활방범,1,200,360도전방면,30,Sep-13,02-3425-7090,37.55822372,127.173439,2019-11-19
서울특별시 강동구청,서울특별시 강동구 강일동 565,서울특별시 강동구 강일동 565,교통단속,1,200,360도전방면,30,,02-3425-7090,37.56384659,127.1738434,2019-11-19
서울특별시 강동구청,서울특별시 강동구 고덕1동 산86-1,서울특별시 강동구 고덕동 산86-1,생활방범,3,200,360도전방면,30,Nov-17,02-3425-7090,37.562464,127.154983,2019-11-19
서울특별시 강동구청,서울특별시 강동구 고덕2동 229,서울특별시 강동구 고덕동 229,생활방범,2,200,360도전방면,30,Sep-13,02-3425-7090,37.56124878,127.164566,2019-11-19
