관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
서울특별시 강서구청,서울특별시 강서구 우장산로114,서울특별시 강서구 화곡6동 1103-6,차량방범,1,200,360도전방면,30,Jan-15,02-2600-1884,37.553146,126.84872,2019-03-01
서울특별시 강서구청,서울특별시 강서구 화곡로 302,서울특별시 강서구 화곡6동 980-16,차량방범,1,200,360도전방면,30,Jan-15,02-2600-1884,37.55115,126.84977,2019-03-01
서울특별시 강서구청,서울특별시 강서구 까치산로4길 22,서울특별시 강서구 화곡본동98-99,차량방범,1,200,360도전방면,30,Jan-15,02-2600-1884,37.541805,126.84432,2019-03-01
서울특별시 강서구청,서울특별시 강서구 가로공원로지하189,서울특별시 강서구 화곡1동 662-15,차량방범,1,200,360도전방면,30,Jan-15,02-2600-1884,37.53745,126.83912,2019-03-01
서울특별시 강서구청,서울특별시 강서구 양천로47가길 39-24,서울특별시 강서구 가양1동 239-6,생활방범,2,200,360도전방면,30,Feb-11,02-2600-1884,37.572,126.83961,2019-03-01
서울특별시 강서구청,서울특별시 강서구 양천로47가길 40,서울특별시 강서구 가양1동 251-6,생활방범,2,200,360도전방면,30,Feb-11,02-2600-1884,37.57115,126.840034,2019-03-01
서울특별시 강서구청,서울특별시 강서구 강서로76길 26,서울특별시 강서구 가양1동 146-11,생활방범,2,200,360도전방면,30,Apr-12,02-2600-1884,37.569275,126.84274,2019-03-01
서울특별시 강서구청,서울특별시 강서구 강서로76길7,서울특별시 강서구 가양1동151-11,생활방범,1,130,360도전방면,30,Dec-13,02-2600-1884,37.56932,126.84223,2019-03-01
서울특별시 강서구청,서울특별시 강서구 강서로532,서울특별시 강서구 가양1동1459,생활방범,1,130,360도전방면,30,Dec-13,02-2600-1884,37.572647,126.84272,2019-03-01
서울특별시 강서구청,서울특별시 강서구 강서로532,서울특별시 강서구 가양1동1459,생활방범,2,200,360도전방면,30,Dec-13,02-2600-1884,37.573273,126.844635,2019-03-01
서울특별시 강서구청,서울특별시 강서구 허준로23,서울특별시 강서구 가양1동1460,생활방범,1,130,360도전방면,30,Dec-13,02-2600-1884,37.5722,126.846535,2019-03-01
서울특별시 강서구청,서울특별시 강서구 양천로 47가길 25-18,서울특별시 강서구 가양1동 246-1,생활방범,2,200,360도전방면,30,Sep-15,02-2600-1884,37.571747,126.83893,2019-03-01
서울특별시 강서구청,서울특별시 강서구 양천로 53길 52,서울특별시 강서구 가양동 30-10,생활방범,2,200,360도전방면,30,Dec-15,02-2600-1884,37.567222,126.847921,2019-03-01
서울특별시 강서구청,서울특별시 강서구 강서로 76길 24,서울특별시 강서구 가양동 146-58,생활방범,1,200,360도전방면,30,Dec-15,02-2600-1884,37.569302,126.842833,2019-03-01
서울특별시 강서구청,서울특별시 강서구 강서로74길 21,서울특별시 강서구 가양1동 130-3,생활방범,3,200,360도전방면,30,May-16,02-2600-1884,37.56723,126.84237,2019-03-01
서울특별시 강서구청,서울특별시 강서구 방화대로5가길 25,서울특별시 강서구 공항동 1338-1,생활방범,2,200,360도전방면,30,Mar-10,02-2600-1884,37.554474,126.815155,2019-03-01
서울특별시 강서구청,서울특별시 강서구 방화대로8길 28,서울특별시 강서구 공항동 1344,생활방범,1,200,360도전방면,30,Mar-10,02-2600-1884,37.556152,126.816986,2019-03-01
서울특별시 강서구청,서울특별시 강서구 방화대로6바길 5-14,서울특별시 강서구 공항동 1357,생활방범,1,41,360도전방면,30,Mar-10,02-2600-1884,37.555607,126.818855,2019-03-01
서울특별시 강서구청,서울특별시 강서구 방화대로6가길 5,서울특별시 강서구 공항동 1362-13,생활방범,2,200,360도전방면,30,Mar-10,02-2600-1884,37.55469,126.817,2019-03-01
서울특별시 강서구청,서울특별시 강서구 공항대로7길 19,서울특별시 강서구 공항동 22-3,생활방범,1,41,360도전방면,30,Mar-10,02-2600-1884,37.5633,126.811874,2019-03-01
서울특별시 강서구청,서울특별시 강서구 공항대로4길 11,서울특별시 강서구 공항동 42-10,생활방범,2,200,360도전방면,30,Mar-10,02-2600-1884,37.560505,126.810776,2019-03-01
서울특별시 강서구청,서울특별시 강서구 공항대로2가길 19,서울특별시 강서구 공항동 51-2,생활방범,2,200,360도전방면,30,Mar-10,02-2600-1884,37.559925,126.80925,2019-03-01
서울특별시 강서구청,서울특별시 강서구 공항대로8길 56,서울특별시 강서구 공항동 55-135,생활방범,2,200,360도전방면,30,Mar-10,02-2600-1884,37.558514,126.81223,2019-03-01
서울특별시 강서구청,서울특별시 강서구 방화대로7다길 13,서울특별시 강서구 공항동 663,생활방범,1,200,360도전방면,30,Mar-10,02-2600-1884,37.55751,126.81483,2019-03-01
서울특별시 강서구청,서울특별시 강서구 방화대로5나길 24,서울특별시 강서구 공항동 672-2,생활방범,2,200,360도전방면,30,Mar-10,02-2600-1884,37.555974,126.816314,2019-03-01
서울특별시 강서구청,서울특별시 강서구 남부순환로11가길 28,서울특별시 강서구 공항동 677,생활방범,2,200,360도전방면,30,Mar-10,02-2600-1884,37.554928,126.81371,2019-03-01
