관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
서울특별시 광진구청,서울특별시 광진구 광장로3길 22 (광장동 미도빌라),서울특별시 광진구 광장동 266,생활방범,1,200,360도 전방향,30,Apr-17,02-450-7678,37.548408,127.103,2019-03-06
서울특별시 광진구청,서울특별시 광진구 아차산로70길 35 (광장동),서울특별시 광진구 광장동 554,생활방범,2,200,360도 전방향,30,Apr-17,02-450-7678,37.54094,127.10338,2019-03-06
서울특별시 광진구청,서울특별시 광진구 아차산로 540 (광장동 상록타워포철사원임대아파트),서울특별시 광진구 광장동 570,생활방범,1,200,360도 전방향,30,Dec-15,02-450-7678,37.542268,127.101518,2019-03-06
서울특별시 광진구청,서울특별시 광진구 아차산로78길 53 (광장동 동북아 스위트힐아파트),서울특별시 광진구 광장동 107-1,생활방범,1,200,360도 전방향,30,Apr-17,02-450-7678,37.551333,127.109903,2019-03-06
서울특별시 광진구청,서울특별시 광진구 아차산로 636 (광장동),서울특별시 광진구 광장동 148-6,생활방범,1,200,360도 전방향,30,Dec-17,02-450-7678,37.548804,127.108978,2019-03-06
서울특별시 광진구청,서울특별시 광진구 천호대로 809 (광장동),서울특별시 광진구 광장동 244-18,생활방범,4,200,360도 전방향,30,Dec-13,02-450-7678,37.54584,127.10352,2019-03-06
서울특별시 광진구청,서울특별시 광진구 아차산로75길 25 (광장동 코지하우스),서울특별시 광진구 광장동 248-19,생활방범,3,200,360도 전방향,30,Apr-17,02-450-7678,37.546682,127.103426,2019-03-06
서울특별시 광진구청,서울특별시 광진구 아차산로76길 19 (광장동),서울특별시 광진구 광장동 320-8,생활방범,1,200,360도 전방향,30,Dec-12,02-450-7678,37.547348,127.107975,2019-03-06
서울특별시 광진구청,서울특별시 광진구 아차산로78길 176 (광장동),서울특별시 광진구 광장동 323-7,생활방범,1,200,360도 전방향,30,Dec-08,02-450-7678,37.547929,127.108083,2019-03-06
서울특별시 광진구청,서울특별시 광진구 광장로1다길 60 (광장동),서울특별시 광진구 광장동 370-5,생활방범,1,200,360도 전방향,30,Dec-13,02-450-7678,37.550643,127.101513,2019-03-06
