관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
서울특별시 구로구청,서울특별시 구로구 고척로45길 39,서울특별시 구로구 고척동 산9-14,생활방범,1,41,,30,Jan-09,02-860-2295,37.505818,126.853614,2019-10-29
서울특별시 구로구청,서울특별시 구로구 고척로45길 39,서울특별시 구로구 고척동 산9-14,생활방범,2,200,,30,Jan-09,02-860-2295,37.504137,126.85274,2019-10-29
서울특별시 구로구청,서울특별시 구로구 고척로45길 39,서울특별시 구로구 고척동 산9-14,생활방범,1,41,,30,Jan-09,02-860-2295,37.505272,126.851803,2019-10-29
서울특별시 구로구청,,서울특별시 구로구 개봉동 312-25,생활방범,2,41,,30,Jan-09,02-860-2295,37.482971,126.851614,2019-10-29
서울특별시 구로구청,서울특별시 구로구 구일로 68,서울특별시 구로구 구로동 685-221,생활방범,3,200,,30,Jan-10,02-860-2295,37.492044,126.873512,2019-10-29
서울특별시 구로구청,서울특별시 구로구 구일로 62,서울특별시 구로구 구로동 685-219,생활방범,4,200,,30,Jan-10,02-860-2295,37.49133,126.874711,2019-10-29
서울특별시 구로구청,서울특별시 구로구 구로중앙로27가길 23,서울특별시 구로구 구로동 513-34,생활방범,3,200,,30,Jan-10,02-860-2295,37.497634,126.886133,2019-10-29
서울특별시 구로구청,서울특별시 구로구 구로중앙로27나길 18,서울특별시 구로구 구로동 511-25,생활방범,3,200,,30,Jan-10,02-860-2295,37.496688,126.885267,2019-10-29
서울특별시 구로구청,서울특별시 구로구 구로중앙로 48,서울특별시 구로구 구로동 90 - 1,생활방범,5,41,,30,Jan-10,02-860-2295,37.494722,126.891765,2019-10-29
서울특별시 구로구청,서울특별시 구로구 가마산로27길 69,서울특별시 구로구 구로동 105,생활방범,3,200,,30,Jan-10,02-860-2295,37.499603,126.88993,2019-10-29
서울특별시 구로구청,서울특별시 구로구 구로동로7나길 32,서울특별시 구로구 가리봉동 10-7,생활방범,3,200,,30,Jan-10,02-860-2295,37.485118,126.883111,2019-10-29
서울특별시 구로구청,서울특별시 구로구 구로동로7나길 15,서울특별시 구로구 가리봉동 13-21,생활방범,3,200,,30,Jan-10,02-860-2295,37.485958,126.883415,2019-10-29
서울특별시 구로구청,서울특별시 구로구 고척로 211,서울특별시 구로구 고척동 169-13,생활방범,3,130,,30,Jan-10,02-860-2295,37.505552,126.856818,2019-10-29
서울특별시 구로구청,서울특별시 구로구 고척로27길 32,서울특별시 구로구 개봉동 119-13,생활방범,3,200,,30,Jan-10,02-860-2295,37.503911,126.848661,2019-10-29
서울특별시 구로구청,서울특별시 구로구 개봉로16길 31,서울특별시 구로구 개봉동 262-32,생활방범,3,130,,30,Jan-10,02-860-2295,37.490041,126.85789,2019-10-29
서울특별시 구로구청,서울특별시 구로구 개봉로2길 87-15,서울특별시 구로구 개봉동 276-21,생활방범,3,130,,30,Jan-10,02-860-2295,37.489055,126.859018,2019-10-29
서울특별시 구로구청,서울특별시 구로구 고척로10길 45,서울특별시 구로구 오류동 13-46,생활방범,3,200,,30,Jan-10,02-860-2295,37.49728,126.841764,2019-10-29
서울특별시 구로구청,,서울특별시 구로구 오류동 16-4,생활방범,5,41,,30,Jan-10,02-860-2295,37.497795,126.842772,2019-10-29
서울특별시 구로구청,서울특별시 구로구 고척로16길 75,서울특별시 구로구 오류동 30-5,생활방범,3,200,,30,Jan-10,02-860-2295,37.497468,126.843493,2019-10-29
서울특별시 구로구청,서울특별시 구로구 경인로25길 56,서울특별시 구로구 오류동 27-56,생활방범,3,200,,30,Jan-10,02-860-2295,37.498495,126.843026,2019-10-29
서울특별시 구로구청,서울특별시 구로구 서해안로24길 21-4,서울특별시 구로구 오류동 165-3,생활방범,4,200,,30,Jan-10,02-860-2295,37.48965,126.839274,2019-10-29
서울특별시 구로구청,서울특별시 구로구 서해안로20길 24,서울특별시 구로구 오류동 187-24,생활방범,5,200,,30,Jan-10,02-860-2295,37.488758,126.83814,2019-10-29
서울특별시 구로구청,서울특별시 구로구 서해안로24길 22,서울특별시 구로구 오류동 332-59,생활방범,3,130,,30,Jan-10,02-860-2295,37.490591,126.839175,2019-10-29
서울특별시 구로구청,,서울특별시 구로구 온수동 8-2,생활방범,3,200,,30,Jan-10,02-860-2295,37.493173,126.825576,2019-10-29
서울특별시 구로구청,서울특별시 구로구 부일로9길 57,서울특별시 구로구 온수동 7-5,생활방범,3,200,,30,Jan-10,02-860-2295,37.495322,126.825406,2019-10-29
서울특별시 구로구청,,서울특별시 구로구 온수동 산1-2,생활방범,3,200,,30,Jan-10,02-860-2295,37.494347,126.826761,2019-10-29
서울특별시 구로구청,서울특별시 구로구 고척로21다길 14,서울특별시 구로구 개봉동 7-33,생활방범,3,200,,30,Jan-10,02-860-2295,37.503524,126.844537,2019-10-29
서울특별시 구로구청,,서울특별시 구로구 개봉동 산 1-2,생활방범,3,41,,30,Jan-10,02-860-2295,37.504697,126.843967,2019-10-29
서울특별시 구로구청,서울특별시 구로구 경인로2길 11,서울특별시 구로구 오류동 108-80,생활방범,3,200,,30,Jan-10,02-860-2295,37.489809,126.82683,2019-10-29
서울특별시 구로구청,서울특별시 구로구 경인로2길 10,서울특별시 구로구 오류동 108-28,생활방범,3,200,,30,Jan-10,02-860-2295,37.489847,126.825636,2019-10-29
서울특별시 구로구청,서울특별시 구로구 디지털로27길 64,서울특별시 구로구 구로동 252-60,생활방범,3,130,,30,Jan-10,02-860-2295,37.484131,126.890367,2019-10-29
서울특별시 구로구청,서울특별시 구로구 디지털로27다길 9,서울특별시 구로구 구로동 797-14,생활방범,3,200,,30,Jan-10,02-860-2295,37.484751,126.88955,2019-10-29
서울특별시 구로구청,서울특별시 구로구 우마3길 44,서울특별시 구로구 가리봉동 131-43,생활방범,3,200,,30,Jan-10,02-860-2295,37.480598,126.889996,2019-10-29
서울특별시 구로구청,서울특별시 구로구 개봉로15길 58-2,서울특별시 구로구 개봉동 340-8,생활방범,3,200,,30,Jan-10,02-860-2295,37.490072,126.852825,2019-10-29
서울특별시 구로구청,서울특별시 구로구 개봉로15길 58-2,서울특별시 구로구 개봉동 340-8,생활방범,3,200,,30,Jan-10,02-860-2295,37.489891,126.852993,2019-10-29
서울특별시 구로구청,서울특별시 구로구 도림로6길 30,서울특별시 구로구 구로동 797-1,생활방범,3,200,,30,Jan-10,02-860-2295,37.485004,126.888273,2019-10-29
서울특별시 구로구청,서울특별시 구로구 오리로21길 104,서울특별시 구로구 궁동 237-12,생활방범,3,200,,30,Jan-10,02-860-2295,37.496147,126.825387,2019-10-29
서울특별시 구로구청,서울특별시 구로구 부일로9길 86,서울특별시 구로구 궁동 237-1,생활방범,3,200,,30,Jan-10,02-860-2295,37.496589,126.824714,2019-10-29
서울특별시 구로구청,서울특별시 구로구 구로중앙로28길 12,서울특별시 구로구 구로동 530-24,생활방범,3,200,,30,Sep-19,02-860-2295,37.498915,126.886776,2019-10-29
서울특별시 구로구청,서울특별시 구로구 구로중앙로28길 24,서울특별시 구로구 구로동 528-1,생활방범,3,200,,30,Sep-19,02-860-2295,37.499297,126.887446,2019-10-29
서울특별시 구로구청,서울특별시 구로구 구로중앙로28길 54,서울특별시 구로구 구로동 109-1,생활방범,3,200,,30,Sep-19,02-860-2295,37.499766,126.888358,2019-10-29
서울특별시 구로구청,서울특별시 구로구 구로중앙로28길 66,서울특별시 구로구 구로동 109-4,생활방범,3,200,,30,Sep-19,02-860-2295,37.500198,126.889152,2019-10-29
서울특별시 구로구청,서울특별시 구로구 구로중앙로28길 24,서울특별시 구로구 구로동 528-1,교통단속,3,200,,30,Jan-10,02-860-2295,37.499142,126.887142,2019-10-29
서울특별시 구로구청,서울특별시 구로구 구로중앙로28길 54,서울특별시 구로구 구로동 109-2,교통단속,3,200,,30,Jan-10,02-860-2295,37.499942,126.888541,2019-10-29
서울특별시 구로구청,서울특별시 구로구 새말로 117-6,서울특별시 구로구 구로동 3-55,시설물관리,1,41,,30,Jan-10,02-860-2295,37.507187,126.892439,2019-10-29
서울특별시 구로구청,서울특별시 구로구 새말로 117-6,서울특별시 구로구 구로동 3-55,시설물관리,1,41,,30,Jan-10,02-860-2295,37.507183,126.892478,2019-10-29
서울특별시 구로구청,서울특별시 구로구 새말로 117-6,서울특별시 구로구 구로동 3-55,시설물관리,1,41,,30,Jan-10,02-860-2295,37.507426,126.892482,2019-10-29
서울특별시 구로구청,서울특별시 구로구 새말로 117-6,서울특별시 구로구 구로동 3-55,시설물관리,1,41,,30,Jan-10,02-860-2295,37.507238,126.892636,2019-10-29
서울특별시 구로구청,서울특별시 구로구 새말로 117-6,서울특별시 구로구 구로동 3-55,시설물관리,1,41,,30,Jan-10,02-860-2295,37.5074,126.892601,2019-10-29
서울특별시 구로구청,서울특별시 구로구 새말로 117-6,서울특별시 구로구 구로동 3-55,시설물관리,1,41,,30,Jan-10,02-860-2295,37.507197,126.892671,2019-10-29
서울특별시 구로구청,,서울특별시 구로구 개봉동 417-7,시설물관리,1,200,,30,Jan-10,02-860-2295,37.495271,126.85954,2019-10-29
서울특별시 구로구청,,서울특별시 구로구 개봉동 417-7,시설물관리,1,200,,30,Jan-10,02-860-2295,37.495271,126.85954,2019-10-29
서울특별시 구로구청,,서울특별시 구로구 개봉동 417-7,시설물관리,1,200,,30,Jan-10,02-860-2295,37.495271,126.85954,2019-10-29
서울특별시 구로구청,,서울특별시 구로구 개봉동 417-7,시설물관리,1,200,,30,Jan-10,02-860-2295,37.495271,126.85954,2019-10-29
서울특별시 구로구청,,서울특별시 구로구 개봉동 417-7,시설물관리,1,200,,30,Jan-10,02-860-2295,37.495271,126.859542,2019-10-29
서울특별시 구로구청,서울특별시 구로구 고척로51길 46,서울특별시 구로구 고척동 166-3,생활방범,2,200,,30,Jan-04,02-860-2295,37.506681,126.853969,2019-10-29
서울특별시 구로구청,서울특별시 구로구 고척로47길 56-2,서울특별시 구로구 고척동 220-10,생활방범,2,200,,30,Jan-04,02-860-2295,37.506711,126.854798,2019-10-29
서울특별시 구로구청,서울특별시 구로구 고척로47길 16,서울특별시 구로구 고척동 165-15,생활방범,3,200,,30,Jan-04,02-860-2295,37.505154,126.854177,2019-10-29
서울특별시 구로구청,서울특별시 구로구 고척로55길 21,서울특별시 구로구 고척동 168-1,생활방범,2,200,,30,Jan-04,02-860-2295,37.505844,126.855888,2019-10-29
서울특별시 구로구청,서울특별시 구로구 고척로52가길 22,서울특별시 구로구 고척동 161-38,생활방범,3,200,,30,Jan-04,02-860-2295,37.503813,126.854508,2019-10-29
서울특별시 구로구청,서울특별시 구로구 경인로35다길 20-2,서울특별시 구로구 고척동 271-131,생활방범,2,200,,30,Jan-04,02-860-2295,37.502737,126.852996,2019-10-29
서울특별시 구로구청,서울특별시 구로구 경인로35나길 17,서울특별시 구로구 고척동 312,생활방범,3,200,,30,Jan-04,02-860-2295,37.500501,126.852964,2019-10-29
서울특별시 구로구청,서울특별시 구로구 공원로7길 23-30,서울특별시 구로구 구로동 111-40,생활방범,3,200,,30,Jan-05,02-860-2295,37.500497,126.88865,2019-10-29
서울특별시 구로구청,서울특별시 구로구 공원로7길 41-30,서울특별시 구로구 구로동 112-39,생활방범,3,200,,30,Jan-05,02-860-2295,37.500101,126.887833,2019-10-29
서울특별시 구로구청,서울특별시 구로구 구로중앙로28가길 22,서울특별시 구로구 구로동 543-2,생활방범,3,200,,30,Jan-05,02-860-2295,37.499986,126.886414,2019-10-29
서울특별시 구로구청,서울특별시 구로구 구로중앙로28길 35-30,서울특별시 구로구 구로동 112-51,생활방범,1,200,,30,Jan-05,02-860-2295,37.500783,126.886772,2019-10-29
서울특별시 구로구청,서울특별시 구로구 공원로7길 37,서울특별시 구로구 구로동 112-2,생활방범,2,200,,30,Jul-05,02-860-2295,37.501581,126.887286,2019-10-29
서울특별시 구로구청,서울특별시 구로구 공원로11길 19,서울특별시 구로구 구로동 545-18,생활방범,3,200,,30,Jan-05,02-860-2295,37.502979,126.887792,2019-10-29
서울특별시 구로구청,서울특별시 구로구 공원로9길 11,서울특별시 구로구 구로동 546-11,생활방범,1,200,,30,Jan-05,02-860-2295,37.503125,126.887118,2019-10-29
서울특별시 구로구청,서울특별시 구로구 공원로6나길 17-2,서울특별시 구로구 구로동 31-11,생활방범,4,200,,30,Jan-05,02-860-2295,37.503889,126.890916,2019-10-29
서울특별시 구로구청,서울특별시 구로구 공원로6나길 43-2,서울특별시 구로구 구로동 28-22,생활방범,2,200,,30,Jan-05,02-860-2295,37.504558,126.892164,2019-10-29
서울특별시 구로구청,서울특별시 구로구 구로중앙로34길 58,서울특별시 구로구 구로동 549-69,생활방범,3,200,,30,Jan-05,02-860-2295,37.501377,126.886162,2019-10-29
서울특별시 구로구청,서울특별시 구로구 공원로6나길 29-22,서울특별시 구로구 구로동 30-2,생활방범,1,200,,30,Jan-05,02-860-2295,37.505083,126.890759,2019-10-29
서울특별시 구로구청,서울특별시 구로구 디지털로32가길 76-9,서울특별시 구로구 구로동 1129-65,생활방범,1,200,,30,Jan-06,02-860-2295,37.480629,126.896856,2019-10-29
서울특별시 구로구청,서울특별시 구로구 고척로27길 16-7,서울특별시 구로구 개봉동 120-5,생활방범,2,200,,30,Jan-06,02-860-2295,37.502921,126.847552,2019-10-29
서울특별시 구로구청,,서울특별시 구로구 개봉동 120-25,생활방범,3,200,,30,Jan-06,02-860-2295,37.502878,126.847536,2019-10-29
서울특별시 구로구청,서울특별시 구로구 벚꽃로74길 20,서울특별시 구로구 구로동 466-58,생활방범,3,200,,30,Jan-06,02-860-2295,37.494609,126.881181,2019-10-29
서울특별시 구로구청,서울특별시 구로구 구로동로41길 30,서울특별시 구로구 구로동 466-33,생활방범,3,200,,30,Jan-06,02-860-2295,37.494845,126.8816,2019-10-29
서울특별시 구로구청,서울특별시 구로구 구로동로41길 22-7,서울특별시 구로구 구로동 466-25,생활방범,2,41,,30,Jan-06,02-860-2295,37.495258,126.881602,2019-10-29
서울특별시 구로구청,서울특별시 구로구 경인로47나길 18,서울특별시 구로구 고척동 52-154,생활방범,3,200,,30,Jan-06,02-860-2295,37.502461,126.866235,2019-10-29
서울특별시 구로구청,서울특별시 구로구 개봉로20길 101,서울특별시 구로구 개봉동 198-21,생활방범,3,200,,30,Jan-06,02-860-2295,37.492874,126.859934,2019-10-29
서울특별시 구로구청,서울특별시 구로구 고척로39길 5,서울특별시 구로구 고척동 260-15,생활방범,1,41,,30,Jan-06,02-860-2295,37.503564,126.850933,2019-10-29
서울특별시 구로구청,서울특별시 구로구 고척로35길 39,서울특별시 구로구 고척동 253-241,생활방범,1,41,,30,Jan-06,02-860-2295,37.504489,126.849931,2019-10-29
서울특별시 구로구청,서울특별시 구로구 고척로33라길 14-12,서울특별시 구로구 고척동 241-30,생활방범,2,200,,30,Jan-06,02-860-2295,37.507099,126.848945,2019-10-29
서울특별시 구로구청,서울특별시 구로구 개봉로11길 38-14,서울특별시 구로구 개봉동 344-20,생활방범,1,41,,30,Jan-07,02-860-2295,37.488888,126.853916,2019-10-29
