관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
서울특별시 금천구,서울특별시 금천구 독산로58가길 68,서울특별시 금천구 독산동 378-48,다목적,4,130,360도전방면,30,Feb-06,02-2627-1904,37.4649216,126.9069769,2019-08-26
서울특별시 금천구,서울특별시 금천구 독산로64길 70,서울특별시 금천구 독산동 377-5,다목적,4,200,360도전방면,30,Feb-06,02-2627-1904,37.466504,126.905941,2019-08-26
서울특별시 금천구,서울특별시 금천구 독산로68길 61,서울특별시 금천구 독산동 945-3,다목적,3,130,270도전방면,30,Feb-06,02-2627-1904,37.4670615,126.9049245,2019-08-26
서울특별시 금천구,서울특별시 금천구 독산로58길 42,서울특별시 금천구 독산동 379-3,다목적,1,200,360도전방면,30,Feb-06,02-2627-1904,37.4650051,126.9052925,2019-08-26
서울특별시 금천구,서울특별시 금천구 독산로60길 24,서울특별시 금천구 독산동 378-273,다목적,4,130,360도전방면,30,Feb-06,02-2627-1904,37.4647062,126.9042512,2019-08-26
서울특별시 금천구,서울특별시 금천구 독산로56길 18-4,서울특별시 금천구 독산동 378-460,다목적,3,130,270도전방면,30,Feb-06,02-2627-1904,37.4636914,126.9043282,2019-08-26
서울특별시 금천구,서울특별시 금천구 독산로68길 15,서울특별시 금천구 독산동 1038-16,다목적,3,130,270도전방면,30,Feb-06,02-2627-1904,37.466058,126.9026473,2019-08-26
서울특별시 금천구,서울특별시 금천구 독산로67길 19,서울특별시 금천구 독산동 1042-19,다목적,4,130,360도전방면,30,Feb-06,02-2627-1904,37.464831,126.9015277,2019-08-26
서울특별시 금천구,서울특별시 금천구 시흥대로94길 72,서울특별시 금천구 독산동 1062,다목적,3,130,270도전방면,30,Feb-06,02-2627-1904,37.4636142,126.9013451,2019-08-26
서울특별시 금천구,서울특별시 금천구 시흥대로100길 35,서울특별시 금천구 독산동 1052-13,다목적,2,200,360도전방면,30,Feb-06,02-2627-1904,37.4641416,126.8992518,2019-08-26
서울특별시 금천구,서울특별시 금천구 시흥대로84길 31,서울특별시 금천구 독산동 1069-15,다목적,4,200,360도전방면,30,Feb-06,02-2627-1904,37.4606985,126.901082,2019-08-26
서울특별시 금천구,서울특별시 금천구 시흥대로88길 21,서울특별시 금천구 독산동 1069,다목적,1,200,360도전방면,30,Feb-06,02-2627-1904,37.4611096,126.9002186,2019-08-26
서울특별시 금천구,서울특별시 금천구 독산로50길 141,서울특별시 금천구 시흥동 3-107,다목적,3,130,270도전방면,30,Feb-06,02-2627-1904,37.4622456,126.9119669,2019-08-26
서울특별시 금천구,서울특별시 금천구 독산로40길 78,서울특별시 금천구 시흥동 796-36,다목적,5,200,360도전방면,30,Feb-06,02-2627-1904,37.4613724,126.9086359,2019-08-26
서울특별시 금천구,서울특별시 금천구 독산로44다길 11,서울특별시 금천구 시흥동 791-21,다목적,1,200,360도전방면,30,Feb-06,02-2627-1904,37.461587,126.9063675,2019-08-26
서울특별시 금천구,,서울특별시 금천구 시흥동 805-54,다목적,3,130,270도전방면,30,Feb-06,02-2627-1904,37.460219,126.907247,2019-08-26
서울특별시 금천구,서울특별시 금천구 독산로50다길 29,서울특별시 금천구 시흥동 3-222,다목적,1,200,360도전방면,30,Feb-06,02-2627-1904,37.4610441,126.9107499,2019-08-26
서울특별시 금천구,서울특별시 금천구 독산로32가길 26,서울특별시 금천구 시흥동 811-6,다목적,1,200,360도전방면,30,Feb-06,02-2627-1904,37.4584004,126.9066536,2019-08-26
서울특별시 금천구,서울특별시 금천구 독산로32나길 36,서울특별시 금천구 시흥동 807-14,다목적,1,200,360도전방면,30,Feb-06,02-2627-1904,37.458659,126.9076713,2019-08-26
서울특별시 금천구,,서울특별시 금천구 시흥동 817,다목적,4,130,360도전방면,30,Feb-06,02-2627-1904,37.456286,126.906486,2019-08-26
서울특별시 금천구,서울특별시 금천구 독산로24길 14,서울특별시 금천구 시흥동 820-10,다목적,5,200,360도전방면,30,Feb-06,02-2627-1904,37.4549829,126.906697,2019-08-26
서울특별시 금천구,서울특별시 금천구 독산로24길 51,서울특별시 금천구 시흥동 169-29,다목적,1,200,360도전방면,30,Feb-06,02-2627-1904,37.4554279,126.9089009,2019-08-26
서울특별시 금천구,서울특별시 금천구 독산로24다길 22,서울특별시 금천구 시흥동 823,다목적,3,200,360도전방면,30,Feb-06,02-2627-1904,37.4541995,126.907411,2019-08-26
서울특별시 금천구,서울특별시 금천구 독산로20길 18,서울특별시 금천구 시흥동 834-26,다목적,1,200,360도전방면,30,Feb-06,02-2627-1904,37.452916,126.9079484,2019-08-26
서울특별시 금천구,서울특별시 금천구 독산로22길 49,서울특별시 금천구 시흥동 824-4,다목적,4,130,360도전방면,30,Feb-06,02-2627-1904,37.453222,126.9089502,2019-08-26
서울특별시 금천구,서울특별시 금천구 금하로21길 20,서울특별시 금천구 시흥동 832-14,다목적,1,200,360도전방면,30,Feb-06,02-2627-1904,37.4523569,126.9082956,2019-08-26
서울특별시 금천구,서울특별시 금천구 탑골로 15-5,서울특별시 금천구 시흥동 827-19,다목적,3,130,270도전방면,30,Feb-06,02-2627-1904,37.4519412,126.910699,2019-08-26
서울특별시 금천구,서울특별시 금천구 금하로23가길 25,서울특별시 금천구 시흥동 827-29,다목적,1,200,360도전방면,30,Feb-06,02-2627-1904,37.4517249,126.910138,2019-08-26
서울특별시 금천구,서울특별시 금천구 독산로22가길 6,서울특별시 금천구 시흥동 203-15,다목적,1,200,360도전방면,30,Feb-06,02-2627-1904,37.4529457,126.9106843,2019-08-26
서울특별시 금천구,서울특별시 금천구 은행나무로10길 6,서울특별시 금천구 시흥동 921-10,다목적,1,200,360도전방면,30,Feb-06,02-2627-1904,37.450526,126.906579,2019-08-26
서울특별시 금천구,서울특별시 금천구 독산로10길 37,서울특별시 금천구 시흥동 910-15,다목적,1,200,360도전방면,30,Feb-06,02-2627-1904,37.4502134,126.9080115,2019-08-26
서울특별시 금천구,서울특별시 금천구 독산로10길 56,서울특별시 금천구 시흥동 917-6,다목적,1,200,360도전방면,30,Feb-06,02-2627-1904,37.4500242,126.9089805,2019-08-26
서울특별시 금천구,서울특별시 금천구 금하로24길 40,서울특별시 금천구 시흥동 918-20,다목적,1,200,360도전방면,30,Feb-06,02-2627-1904,37.4491259,126.9082092,2019-08-26
서울특별시 금천구,서울특별시 금천구 독산로8길 37,서울특별시 금천구 시흥동 919-78,다목적,3,130,270도전방면,30,Feb-06,02-2627-1904,37.4487684,126.9074583,2019-08-26
서울특별시 금천구,서울특별시 금천구 금하로24길 82,서울특별시 금천구 시흥동 930,다목적,4,130,360도전방면,30,Feb-06,02-2627-1904,37.4473174,126.9090763,2019-08-26
서울특별시 금천구,서울특별시 금천구 벚꽃로56길 30,서울특별시 금천구 가산동 32-19,다목적,5,200,360도전방면,30,Mar-10,02-2627-1904,37.4845446,126.8824284,2019-08-26
서울특별시 금천구,서울특별시 금천구 가산로3길 113,서울특별시 금천구 독산동 335-14,다목적,6,200,360도전방면,30,Mar-10,02-2627-1904,37.4718207,126.8893761,2019-08-26
서울특별시 금천구,서울특별시 금천구 범안로14길 18,서울특별시 금천구 독산동 1006-181,다목적,4,200,360도전방면,30,Mar-10,02-2627-1904,37.4658676,126.892827,2019-08-26
서울특별시 금천구,서울특별시 금천구 독산로80길 35,서울특별시 금천구 독산동 181-46,다목적,6,200,360도전방면,30,Mar-10,02-2627-1904,37.4704649,126.904945,2019-08-26
서울특별시 금천구,서울특별시 금천구 독산로14길 3,서울특별시 금천구 시흥동 835-31,다목적,4,200,360도전방면,30,Mar-10,02-2627-1904,37.4523581,126.906962,2019-08-26
서울특별시 금천구,서울특별시 금천구 독산로70길 84,서울특별시 금천구 독산동 941,다목적,6,200,360도전방면,30,Mar-10,02-2627-1904,37.4677741,126.9060785,2019-08-26
서울특별시 금천구,서울특별시 금천구 시흥대로118길 23,서울특별시 금천구 독산동 1017-21,다목적,6,200,360도전방면,30,Mar-10,02-2627-1904,37.4683903,126.9000487,2019-08-26
서울특별시 금천구,서울특별시 금천구 시흥대로136길 24,서울특별시 금천구 독산동 161-1,다목적,5,200,360도전방면,30,Mar-10,02-2627-1904,37.472065,126.900464,2019-08-26
서울특별시 금천구,서울특별시 금천구 시흥대로150길 41,서울특별시 금천구 독산동 964-26,다목적,4,200,360도전방면,30,Mar-10,02-2627-1904,37.4761498,126.9010813,2019-08-26
