관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
서울특별시 노원구청,서울특별시 노원구 석계로7길 33,서울특별시 노원구 월계동489-12,생활방범,1,130,회전,30,May-06,02-2116-4917,37.61571034,127.0632052,2019-04-08
서울특별시 노원구청,서울특별시 노원구 광운로2나길23 삼창아파트입구,서울특별시 노원구 월계1동 447-2 삼창아파트 입구,생활방범,1,200,회전,30,May-06,02-2116-4917,37.61821691,127.0596495,2019-04-08
서울특별시 노원구청,서울특별시 노원구 석계로3길3 세븐일레븐,서울특별시 노원구 월계1동 59-3 세븐일레븐 앞 (주정차39 같이),생활방범,1,130,회전,30,May-06,02-2116-4917,37.61551435,127.0645769,2019-04-08
서울특별시 노원구청,서울특별시 노원구 석계로39 카센터앞,서울특별시 노원구 월계1동 76-2 주택가 입구 (카센터앞),생활방범,1,200,회전,30,May-06,02-2116-4917,37.61836777,127.0637085,2019-04-08
서울특별시 노원구청,서울특별시 노원구 화랑로43나길 12,서울특별시 노원구 월계동50-15,생활방범,1,200,회전,30,May-06,02-2116-4917,37.61519855,127.0623649,2019-04-08
서울특별시 노원구청,서울특별시 노원구 광운로17길 45 기원사입구,서울특별시 노원구 월계1동 392-76 기원사 입구,생활방범,1,130,회전,30,May-06,02-2116-4917,37.62231093,127.0571306,2019-04-08
서울특별시 노원구청,서울특별시 노원구 월계로44길51 교육촌입구,서울특별시 노원구 월계1동 534-170 교육촌 입구,생활방범,1,130,회전,30,May-06,02-2116-4917,37.62288526,127.0525112,2019-04-08
서울특별시 노원구청,서울특별시 노원구 상계로37길 29 즉석두부,서울특별시 노원구 상계34동 111-444,생활방범,1,200,회전,30,May-06,02-2116-4917,37.67150349,127.0800697,2019-04-08
서울특별시 노원구청,서울특별시 노원구 초안산로2길 60 인덕공고담장,서울특별시 노원구 월계2동 633-1 인덕공고 담장,생활방범,1,130,회전,30,May-06,02-2116-4917,37.63149134,127.0566254,2019-04-08
서울특별시 노원구청,서울특별시 노원구 월계로42길15 장석교회주변,서울특별시 노원구 월계1동 875-1 장석교회 앞 우이천변 도로,생활방범,1,200,회전,30,Jan-05,02-2116-4917,37.62399096,127.0507822,2019-04-08
서울특별시 노원구청,서울특별시 노원구 석계로95 광운대역앞,서울특별시 노원구 월계1동 411-53 광운대역앞,생활방범,1,130,회전,30,Jun-07,02-2116-4917,37.62305905,127.0613411,2019-04-08
서울특별시 노원구청,서울특별시 노원구 동일로190길 46 광명철물앞,서울특별시 노원구 공릉1동 503-1 광명철물 앞,생활방범,1,130,회전,30,May-06,02-2116-4917,37.62600855,127.075588,2019-04-08
서울특별시 노원구청,서울특별시 노원구 공릉로 111-1 개미공원,서울특별시 노원구 공릉1동 633-9 개미공원 입구,생활방범,1,200,회전,30,May-06,02-2116-4917,37.62046017,127.077925,2019-04-08
서울특별시 노원구청,서울특별시 노원구 덕릉로123길64 당고개역 2번출구,서울특별시 노원구 상계34동 65-36 당고개역 2번출구,생활방범,1,200,회전,30,May-06,02-2116-4917,37.66965433,127.0787731,2019-04-08
서울특별시 노원구청,서울특별시 노원구 동일로173가길 2 공릉초교옆,서울특별시 노원구 공릉1동 683-1 공릉초교 옆,생활방범,1,200,회전,30,May-06,02-2116-4917,37.61839884,127.0739054,2019-04-08
서울특별시 노원구청,서울특별시 노원구 동일로182길 6-11 도깨비시장인근,서울특별시 노원구 공릉1동 567-14 도깨비시장인근,생활방범,1,200,회전,30,Jan-10,02-2116-4917,37.62281303,127.0749927,2019-04-08
서울특별시 노원구청,서울특별시 노원구 공릉로34길 34 씨유편의점앞,서울특별시 노원구 공릉2동 248-8 C&U 앞,생활방범,1,200,회전,30,May-06,02-2116-4917,37.62313966,127.0810425,2019-04-08
서울특별시 노원구청,서울특별시 노원구 공릉로41길 17 세븐일레븐앞,서울특별시 노원구 공릉2동 415-64 세븐일레븐 앞,생활방범,1,200,회전,30,Jan-05,02-2116-4917,37.6246368,127.0785081,2019-04-08
서울특별시 노원구청,서울특별시 노원구 공릉로43가길16,서울특별시 노원구 공릉2동 441-105 골목,생활방범,1,200,회전,30,Jun-07,02-2116-4917,37.62665805,127.0778812,2019-04-08
서울특별시 노원구청,서울특별시 노원구 공릉로58길 144 하계어린이집앞,서울특별시 노원구 하계1동 252-11 하계어린이집 앞,생활방범,1,200,회전,30,May-06,02-2116-4917,37.63692072,127.0761628,2019-04-08
서울특별시 노원구청,서울특별시 노원구 동일로56 하계역3번출구,서울특별시 노원구 하계1동 280 하계역 3번 출구 앞,생활방범,1,200,회전,30,Jan-05,02-2116-4917,37.63589405,127.0684925,2019-04-08
서울특별시 노원구청,서울특별시 노원구 공릉로 320 해바라기공원앞,서울특별시 노원구 하계1동 278-5 해바라기 공원,생활방범,1,200,회전,30,Jan-07,02-2116-4917,37.63512491,127.0711725,2019-04-08
서울특별시 노원구청,서울특별시 노원구 한글비석로 254 신한은행뒷길,서울특별시 노원구 중계본동 364-24 신한은행 뒷길,생활방범,1,200,회전,30,Jan-05,02-2116-4917,37.65025716,127.0773078,2019-04-08
서울특별시 노원구청,서울특별시 노원구 중계로16나길 3 영신여고앞,서울특별시 노원구 중계본동 107-44 영신여고 앞,생활방범,1,200,회전,30,May-06,02-2116-4917,37.65167747,127.0821439,2019-04-08
서울특별시 노원구청,서울특별시 노원구 동일로208길 19 중계역2번출구앞,서울특별시 노원구 중계23동 513-2 중계역 2번출구 앞,생활방범,1,200,회전,30,May-06,02-2116-4917,37.64551736,127.064471,2019-04-08
서울특별시 노원구청,서울특별시 노원구 동일로241가길 21 두산아파트후문,서울특별시 노원구 상계1동 1105-70 두산아파트 후문,생활방범,1,200,회전,30,May-06,02-2116-4917,37.67658125,127.0535223,2019-04-08
서울특별시 노원구청,서울특별시 노원구 동일로237길 46 현대1차입구,서울특별시 노원구 상계1동 1048-6 현대1차(아) 입구,생활방범,1,200,회전,30,May-06,02-2116-4917,37.67351726,127.0527861,2019-04-08
서울특별시 노원구청,서울특별시 노원구 동일로230다길74 남광하이빌A동 앞,서울특별시 노원구 상계1동 1007-14,생활방범,1,200,회전,30,May-06,02-2116-4917,37.6744254,127.0580607,2019-04-08
서울특별시 노원구청,서울특별시 노원구 동일로230가길 50 진양주류앞,서울특별시 노원구 상계1동 1025-37,생활방범,1,200,회전,30,May-06,02-2116-4917,37.67374881,127.0569304,2019-04-08
서울특별시 노원구청,서울특별시 노원구 동일로242나길14 두부마을앞,서울특별시 노원구 상계1동 1117-39 두부마을 앞,생활방범,1,200,회전,30,May-06,02-2116-4917,37.67617623,127.0563471,2019-04-08
서울특별시 노원구청,서울특별시 노원구 동일로 1661 수락산역4번출구,서울특별시 노원구 상계1동 1132-34 수락산역 4번출구,생활방범,1,200,회전,30,Jun-07,02-2116-4917,37.67668884,127.0551462,2019-04-08
서울특별시 노원구청,서울특별시 노원구 한글비석로23길 15 벽산아파트 담벼락,서울특별시 노원구 상계5동 173-2 벽산아파트 담벼락,생활방범,1,130,회전,30,May-06,02-2116-4917,37.65993681,127.0714265,2019-04-08
서울특별시 노원구청,서울특별시 노원구 노해로81길 12-41 떡삼시대앞,서울특별시 노원구 상계2동 328-8 떡쌈시대 앞,생활방범,1,200,회전,30,May-06,02-2116-4917,37.65580797,127.064283,2019-04-08
서울특별시 노원구청,서울특별시 노원구 상계로3길10 금호플라자앞,서울특별시 노원구 상계2동 593-3 금호프라자 앞,생활방범,1,200,회전,30,May-06,02-2116-4917,37.65677446,127.0624392,2019-04-08
서울특별시 노원구청,서울특별시 노원구 상계로 59 노원문고앞,서울특별시 노원구 상계2동 603-14  노원문고 앞,생활방범,1,200,회전,30,May-06,02-2116-4917,37.656419,127.0615907,2019-04-08
서울특별시 노원구청,서울특별시 노원구 상계로1길62-57,서울특별시 노원구 상계2동 581-214 현대(아) 101동 뒷골목,생활방범,1,200,회전,30,May-06,02-2116-4917,37.65888031,127.0626652,2019-04-08
서울특별시 노원구청,서울특별시 노원구 상계로27길 48 중앙시장입구,서울특별시 노원구 상계5동 389-599 중앙시장 입구 (중앙과일 건어물),생활방범,1,200,회전,30,May-06,02-2116-4917,37.66038982,127.0691373,2019-04-08
서울특별시 노원구청,서울특별시 노원구 상계로27길 26 중앙시장 농협앞,서울특별시 노원구 상계5동 389-638 중앙시장앞 삼거리(농협앞),생활방범,1,200,회전,30,May-06,02-2116-4917,37.65974569,127.0698454,2019-04-08
서울특별시 노원구청,서울특별시 노원구 노원로30길 32 상계제일교회,서울특별시 노원구 상계2동 320-87 상계제일교회 (꽃동산교회),생활방범,1,200,회전,30,May-06,02-2116-4917,37.65464647,127.0690737,2019-04-08
서울특별시 노원구청,서울특별시 노원구 상계로 81 노원역10번출구,서울특별시 노원구 상계2동 338-1 동양메이저 입구 (노원10출구),생활방범,1,200,회전,30,May-06,02-2116-4917,37.65669302,127.0641066,2019-04-08
서울특별시 노원구청,서울특별시 노원구 노원로 461 노원스마트요양원,서울특별시 노원구 상계2동 366-4 뉴스터디학원 옆(한우리뷔페),생활방범,1,200,회전,30,May-06,02-2116-4917,37.65745524,127.0651975,2019-04-08
