관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
서울특별시 도봉구청,서울특별시 도봉구 삼양로146길 16앞,서울특별시 도봉구 쌍문동 422-76,생활방범,1,,360도전방면,30,Sep-18,02-2091-4273,37.6523152,127.013572,2018-10-06
서울특별시 도봉구청,서울특별시 도봉구 도봉로113길 34,서울특별시 도봉구 쌍문동 120-10,생활방범,1,,360도전방면,30,Sep-18,02-2091-4273,37.648521,127.0322815,2018-10-06
서울특별시 도봉구청,서울특별시 도봉구 도봉로115길 23,서울특별시 도봉구 쌍문동 94-39,생활방범,1,,360도전방면,30,Sep-18,02-2091-4273,37.6487326,127.0331513,2018-10-06
서울특별시 도봉구청,서울특별시 도봉구 도봉로109길 46-18,서울특별시 도봉구 쌍문동 123-24,생활방범,1,,360도전방면,30,Jun-11,02-2091-4273,37.6477045,127.0309447,2018-10-06
서울특별시 도봉구청,서울특별시 도봉구 도봉로 489,서울특별시 도봉구 쌍문동 88-21,생활방범,1,,360도전방면,30,Jun-11,02-2091-4273,37.6493624,127.0347965,2018-10-06
서울특별시 도봉구청,서울특별시 도봉구 방학로6길 26,서울특별시 도봉구 방학동 697-4,생활방범,1,,360도전방면,30,Dec-14,02-2091-4273,37.6640563,127.0371089,2018-10-06
서울특별시 도봉구청,서울특별시 도봉구 방학로 130-30,서울특별시 도봉구 방학동 690-16,생활방범,1,,360도전방면,30,Dec-14,02-2091-4273,37.6642775,127.0378201,2018-10-06
서울특별시 도봉구청,서울특별시 도봉구 방학로12가길 5-16,서울특별시 도봉구 방학동 306,생활방범,1,,360도전방면,30,Dec-14,02-2091-4273,37.6634104,127.0306295,2018-10-06
서울특별시 도봉구청,서울특별시 도봉구 도당로9길 3,서울특별시 도봉구 방학동 665-5,생활방범,1,,360도전방면,30,Dec-14,02-2091-4273,37.662932,127.0343647,2018-10-06
서울특별시 도봉구청,서울특별시 도봉구 도봉로110나길 42,서울특별시 도봉구 창동 657-45,생활방범,1,,360도전방면,30,Jul-05,02-2091-4273,37.6478109,127.0354636,2018-10-06
서울특별시 도봉구청,서울특별시 도봉구 덕릉로63가길 50,서울특별시 도봉구 창동 593-21,생활방범,1,,360도전방면,30,Jun-11,02-2091-4273,37.6430913,127.0376719,2018-10-06
서울특별시 도봉구청,서울특별시 도봉구 덕릉로59다길 14-6,서울특별시 도봉구 창동 581-29,생활방범,1,,360도전방면,30,Sep-18,02-2091-4273,37.6402934,127.0377545,2018-10-06
서울특별시 도봉구청,서울특별시 도봉구 덕릉로60길 135-70,서울특별시 도봉구 창동 474-15,생활방범,1,,360도전방면,30,Jun-11,02-2091-4273,37.6346659,127.0434433,2018-10-06
서울특별시 도봉구청,서울특별시 도봉구 우이천로 138,서울특별시 도봉구 창동 518-12,생활방범,1,,360도전방면,30,Jun-11,02-2091-4273,37.6332235,127.039689,2018-10-06
서울특별시 도봉구청,서울특별시 도봉구 우이천로 156,서울특별시 도봉구 창동 525-27,생활방범,1,,360도전방면,30,Jun-11,02-2091-4273,37.6346442,127.0386703,2018-10-06
서울특별시 도봉구청,서울특별시 도봉구 도봉로129길 49,서울특별시 도봉구 쌍문2동 69-34,생활방범,1,,360도전방면,30,Aug-14,02-2091-4273,37.6552938,127.0355561,2018-10-06
서울특별시 도봉구청,서울특별시 도봉구 도봉로180길 6-23,서울특별시 도봉구 도봉2동 654,생활방범,1,,360도전방면,30,Sep-16,02-2091-4273,37.6814584,127.0468345,2018-10-06
서울특별시 도봉구청,서울특별시 도봉구 도봉로164길 26-20,서울특별시 도봉구 도봉2동 625-66,생활방범,1,,360도전방면,30,Sep-16,02-2091-4273,37.6752437,127.0461148,2018-10-06
서울특별시 도봉구청,서울특별시 도봉구 노해로 60길 34-7,서울특별시 도봉구 쌍문3동 141-46,생활방범,1,,360도전방면,30,Aug-14,02-2091-4273,37.6498562,127.033811,2018-10-06
서울특별시 도봉구청,서울특별시 도봉구 도봉로118길 37,서울특별시 도봉구 창1동 662-54,생활방범,1,,360도전방면,30,Sep-16,02-2091-4273,37.6489316,127.0372113,2018-10-06
서울특별시 도봉구청,서울특별시 도봉구 도봉산3길 79,서울특별시 도봉구 도봉1동 567-4,생활방범,1,,360도전방면,30,Sep-16,02-2091-4273,37.6837845,127.0436733,2018-10-06
서울특별시 도봉구청,서울특별시 도봉구 도봉로173가길 18-1,서울특별시 도봉구 도봉1동 422-2,생활방범,1,,360도전방면,30,Sep-16,02-2091-4273,37.6800142,127.0399557,2018-10-06
서울특별시 도봉구청,서울특별시 도봉구 도봉로168길 6,서울특별시 도봉구 도봉2동 92-42,생활방범,1,,360도전방면,30,Sep-16,02-2091-4273,37.6777316,127.0454719,2018-10-06
서울특별시 도봉구청,서울특별시 도봉구 노해로41길28,서울특별시 도봉구 쌍문1동 306-28,생활방범,1,,360도전방면,30,Aug-14,02-2091-4273,37.6498233,127.0258642,2018-10-06
서울특별시 도봉구청,서울특별시 도봉구 삼양로 534-7,서울특별시 도봉구 쌍문동 423-50,생활방범,1,,360도전방면,30,Aug-14,02-2091-4273,37.6509059,127.0136677,2018-10-06
서울특별시 도봉구청,서울특별시 도봉구 해등로16길 81,서울특별시 도봉구 창동 266,생활방범,1,,360도전방면,30,Aug-14,02-2091-4273,37.6551924,127.0446861,2018-10-06
서울특별시 도봉구청,서울특별시 도봉구 도봉로134길 28,서울특별시 도봉구 창동 731-66,생활방범,1,,360도전방면,30,Aug-14,02-2091-4273,37.6571718,127.0417821,2018-10-06
서울특별시 도봉구청,서울특별시 도봉구 도봉로 883-10,서울특별시 도봉구 도봉동 562-9,생활방범,1,,360도전방면,30,Sep-16,02-2091-4273,37.6833254,127.0451655,2018-10-06
서울특별시 도봉구청,서울특별시 도봉구 우이천로39가길,서울특별시 도봉구 쌍문동 434-8,생활방범,1,,360도전방면,30,Aug-14,02-2091-4273,37.649466,127.0188257,2018-10-06
서울특별시 도봉구청,서울특별시 도봉구 노해로37길,서울특별시 도봉구 노해로37길,생활방범,1,,360도전방면,30,Aug-14,02-2091-4273,37.6483371,127.0226626,2018-10-06
서울특별시 도봉구청,서울특별시 도봉구 우이천로16길 6-4,서울특별시 도봉구 창동 553-37,생활방범,1,,360도전방면,30,Aug-17,02-2091-4273,37.6381332,127.0350494,2018-10-06
서울특별시 도봉구청,서울특별시 도봉구 우이천로22길 30,서울특별시 도봉구 창동 645-4,생활방범,1,,360도전방면,30,Jun-18,02-2091-4273,37.6425337,127.0343727,2018-10-06
서울특별시 도봉구청,서울특별시 도봉구 덕릉로60길 78,서울특별시 도봉구 창동 456-13,생활방범,1,,360도전방면,30,Aug-17,02-2091-4273,37.6367761,127.0408964,2018-10-06
서울특별시 도봉구청,서울특별시 도봉구 노해로 66,서울특별시 도봉구 창동 370,생활방범,1,,360도전방면,30,Sep-18,02-2091-4273,37.6474354,127.0480903,2018-10-06
서울특별시 도봉구청,서울특별시 도봉구 도봉로175길 17,서울특별시 도봉구 도봉동 578,생활방범,1,,360도전방면,30,Dec-14,02-2091-4273,37.682645,127.0424862,2018-10-06
서울특별시 도봉구청,서울특별시 도봉구 도봉로167길 55,서울특별시 도봉구 도봉동 산98-11,생활방범,1,,360도전방면,30,Feb-15,02-2091-4273,37.677674,127.0418189,2018-10-06
서울특별시 도봉구청,서울특별시 도봉구 도봉로169나길 56,서울특별시 도봉구 도봉동 597-56,생활방범,1,,360도전방면,30,Feb-15,02-2091-4273,37.677198,127.0435584,2018-10-06
서울특별시 도봉구청,서울특별시 도봉구 마들로766,서울특별시 도봉구 도봉동 629-29,생활방범,1,,360도전방면,30,Feb-15,02-2091-4273,37.6781646,127.0494341,2018-10-06
서울특별시 도봉구청,서울특별시 도봉구 마들로699,서울특별시 도봉구 도봉동 624-83,생활방범,1,,360도전방면,30,Dec-17,02-2091-4273,37.6726942,127.0463866,2018-10-06
서울특별시 도봉구청,서울특별시 도봉구 도봉산3길 57 바다회갯벌,,생활방범,1,,360도 전방면,30,Dec-14,02-2091-4273,37.6848405,127.0438287,2018-10-06
서울특별시 도봉구청,서울특별시 도봉구 도봉로187길 10 무지개공원 입구,,생활방범,1,,360도 전방면,30,Sep-16,02-2091-4273,37.6859009,127.0451245,2018-10-06
서울특별시 도봉구청,서울특별시 도봉구 도봉로181길 29 해가온 앞,,생활방범,1,,360도 전방면,30,Dec-14,02-2091-4273,37.6841894,127.0441004,2018-10-06
서울특별시 도봉구청,서울특별시 도봉구 도봉로180길 53 극동아파트상가 뿌리부동산 앞 전주,,생활방범,1,,360도 전방면,30,Dec-14,02-2091-4273,37.6825838,127.0488438,2018-10-06
서울특별시 도봉구청,서울특별시 도봉구 도봉로181가길 29 미래마트 앞,,생활방범,1,,360도 전방면,30,Dec-14,02-2091-4273,37.6826009,127.0452076,2018-10-06
서울특별시 도봉구청,서울특별시 도봉구 도봉로173길 7 무수공원 입구,,생활방범,1,,360도 전방면,30,Dec-14,02-2091-4273,37.680497,127.042885,2018-10-06
서울특별시 도봉구청,서울특별시 도봉구 도봉로171길 70-6 사거리 앞 전주,,생활방범,1,,360도 전방면,30,Feb-12,02-2091-4273,37.6789449,127.039679,2018-10-06
서울특별시 도봉구청,서울특별시 도봉구 도봉로164길 5 ABC렌터카 앞 전주,,생활방범,1,,360도 전방면,30,Feb-15,02-2091-4273,37.6760598,127.0451016,2018-10-06
서울특별시 도봉구청,서울특별시 도봉구 도봉로162길 21,,생활방범,1,,360도 전방면,30,Sep-16,02-2091-4273,37.6748071,127.046155,2018-10-06
서울특별시 도봉구청,서울특별시 도봉구 도봉로169나길 89 한울머리터,,생활방범,1,,360도 전방면,30,Sep-16,02-2091-4273,37.6755399,127.043605,2018-10-06
서울특별시 도봉구청,서울특별시 도봉구 시루봉로23길 51 삼성빌라 앞,,생활방범,1,,360도 전방면,30,Feb-15,02-2091-4273,37.6729484,127.0410416,2018-10-06
