관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
서울특별시 동대문구청,서울특별시 동대문구 고산자로 468,서울특별시 동대문구 제기동 922,교통단속,3,200,,,Dec-04,02-2127-4091,37.581389,127.038779,2019-10-01
서울특별시 동대문구청,서울특별시 동대문구 고산자로 454,서울특별시 동대문구 제기동 1034,교통단속,3,200,,,Dec-04,02-2127-4091,37.580054,127.038683,2019-10-01
서울특별시 동대문구청,서울특별시 동대문구 이문로 161-1,서울특별시 동대문구 이문2동 257-348,교통단속,3,200,,,Jul-05,02-2127-4091,37.601046,127.061833,2019-10-01
서울특별시 동대문구청,서울특별시 동대문구 고미술로 57,서울특별시 동대문구 답십리동 994,교통단속,2,200,,,Jul-05,02-2127-4091,37.566995,127.053963,2019-10-01
서울특별시 동대문구청,서울특별시 동대문구 이문로 133,서울특별시 동대문구 이문2동 291-31,교통단속,2,200,,,Jul-05,02-2127-4091,37.598518,127.061208,2019-10-01
서울특별시 동대문구청,서울특별시 동대문구 휘경로 58-1,서울특별시 동대문구 휘경1동 146-11,교통단속,2,200,,,Jul-05,02-2127-4091,37.594079,127.066167,2019-10-01
서울특별시 동대문구청,서울특별시 동대문구 한천로4길 12,서울특별시 동대문구 장안1동 412-1,교통단속,2,200,,,Jul-05,02-2127-4091,37.563604,127.059156,2019-10-01
서울특별시 동대문구청,서울특별시 동대문구 한천로 17,서울특별시 동대문구 답십리2동 952-6,교통단속,2,200,,,Jul-05,02-2127-4091,37.564785,127.059209,2019-10-01
서울특별시 동대문구청,서울특별시 동대문구 한천로10길 22,서울특별시 동대문구 장안1동 218-9,교통단속,2,200,,,Jul-05,02-2127-4091,37.565873,127.0623355,2019-10-01
서울특별시 동대문구청,서울특별시 동대문구 한천로 36,서울특별시 동대문구 장안1동 237-2,교통단속,2,200,,,Jul-05,02-2127-4091,37.565087,127.060994,2019-10-01
서울특별시 동대문구청,서울특별시 동대문구 황물로 168,서울특별시 동대문구 답십리1동 530-17,교통단속,2,200,,,Feb-06,02-2127-4091,37.565229,127.056204,2019-10-01
서울특별시 동대문구청,서울특별시 동대문구 황물로 185-1,서울특별시 동대문구 답십리2동 959-18,교통단속,2,200,,,Feb-06,02-2127-4091,37.56446746,127.0580785,2019-10-01
서울특별시 동대문구청,서울특별시 동대문구 경희대로 16,서울특별시 동대문구 회기동 16-42,교통단속,2,200,,,Jan-07,02-2127-4091,37.592846,127.052764,2019-10-01
서울특별시 동대문구청,서울특별시 동대문구 답십리로72길 40,서울특별시 동대문구 장안1동 337-8,교통단속,2,200,,,Jan-08,02-2127-4091,37.570431,127.073549,2019-10-01
서울특별시 동대문구청,서울특별시 동대문구 이문로 42,서울특별시 동대문구 휘경1동 183-110,교통단속,2,200,,,May-08,02-2127-4091,37.591067,127.0568718,2019-10-01
서울특별시 동대문구청,서울특별시 동대문구 무학로 81,서울특별시 동대문구 용두동 250-46,교통단속,2,200,,,Feb-09,02-2127-4091,37.571498,127.030269,2019-10-01
서울특별시 동대문구청,서울특별시 동대문구 겸재로 16,서울특별시 동대문구 휘경2동 49-324,교통단속,2,200,,,Feb-09,02-2127-4091,37.584152,127.069903,2019-10-01
서울특별시 동대문구청,서울특별시 동대문구 장안벚꽃로 29,서울특별시 동대문구 장안1동 440-8,교통단속,2,200,,,Feb-09,02-2127-4091,37.563397,127.071678,2019-10-01
서울특별시 동대문구청,서울특별시 동대문구 한천로 248,서울특별시 동대문구 휘경동 57,교통단속,2,200,,,Feb-09,02-2127-4091,37.58323658,127.071884,2019-10-01
서울특별시 동대문구청,서울특별시 동대문구 휘경로 7-1,서울특별시 동대문구 이문1동 288-37,교통단속,2,200,,,Feb-09,02-2127-4091,37.596229,127.061146,2019-10-01
서울특별시 동대문구청,서울특별시 동대문구 휘경로 43,서울특별시 동대문구 휘경1동 150-47,교통단속,2,200,,,Jul-09,02-2127-4091,37.594735,127.064766,2019-10-01
서울특별시 동대문구청,서울특별시 동대문구 천장산로 8,서울특별시 동대문구 이문1동 268-3,교통단속,2,200,,,Jul-09,02-2127-4091,37.597941,127.060128,2019-10-01
서울특별시 동대문구청,서울특별시 동대문구 천장산로 31,서울특별시 동대문구 이문1동 264-210,교통단속,2,200,,,Jul-09,02-2127-4091,37.598715,127.057661,2019-10-01
서울특별시 동대문구청,서울특별시 동대문구 장한로26길 27,서울특별시 동대문구 장안2동 335-10,교통단속,2,200,,,Jul-09,02-2127-4091,37.571705,127.072899,2019-10-01
서울특별시 동대문구청,서울특별시 동대문구 고산자로28길 21,서울특별시 동대문구 용두동 39-951,교통단속,2,200,,,Jul-09,02-2127-4091,37.575213,127.039493,2019-10-01
