관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
서울특별시 마포구청,서울특별시 마포구 홍익로 10,서울특별시 마포구 서교동 486,생활방범,1,200,360도전방면,30,Apr-11,02-3153-8432,37.553725,126.923758,2019-06-25
서울특별시 마포구청,서울특별시 마포구 와우산로23길 20,서울특별시 마포구 서교동 342-14,생활방범,1,200,360도전방면,30,Apr-11,02-3153-8432,37.553884,126.924321,2019-06-25
서울특별시 마포구청,서울특별시 마포구 와우산로27길 44,서울특별시 마포구 서교동 333-22,생활방범,1,200,360도전방면,30,Apr-11,02-3153-8432,37.554883,126.926186,2019-06-25
서울특별시 마포구청,서울특별시 마포구 와우산로25길 12,서울특별시 마포구 서교동 340-23,생활방범,1,200,360도전방면,30,Apr-11,02-3153-8432,37.554101,126.926401,2019-06-25
서울특별시 마포구청,서울특별시 마포구 와우산로 111,서울특별시 마포구 서교동 343-2,생활방범,1,200,360도전방면,30,Apr-11,02-3153-8432,37.553464,126.925742,2019-06-25
서울특별시 마포구청,서울특별시 마포구 와우산로 133-1,서울특별시 마포구 서교동 337-29,생활방범,1,200,360도전방면,30,Apr-11,02-3153-8432,37.553794,126.928363,2019-06-25
서울특별시 마포구청,서울특별시 마포구 와우산로27길 35,서울특별시 마포구 서교동 340-5,생활방범,1,200,360도전방면,30,Apr-11,02-3153-8432,37.554524,126.926428,2019-06-25
서울특별시 마포구청,서울특별시 마포구 와우산로27길 56,서울특별시 마포구 서교동 332-14,생활방범,1,200,360도전방면,30,Apr-11,02-3153-8432,37.555239,126.925784,2019-06-25
서울특별시 마포구청,서울특별시 마포구 어울마당로 130,서울특별시 마포구 서교동 347-21,생활방범,1,200,360도전방면,30,Apr-11,02-3153-8432,37.555814,126.92452,2019-06-25
서울특별시 마포구청,서울특별시 마포구 홍익로 17,서울특별시 마포구 서교동 358-2,생활방범,1,200,360도전방면,30,Apr-11,02-3153-8432,37.553852,126.922782,2019-06-25
서울특별시 마포구청,서울특별시 마포구 와우산로 149,서울특별시 마포구 서교동 327-15,생활방범,1,200,360도전방면,30,Apr-11,02-3153-8432,37.554608,126.929709,2019-06-25
서울특별시 마포구청,서울특별시 마포구 서교동 338-1,서울특별시 마포구 서교동 338-1,생활방범,1,200,360도전방면,30,Apr-11,02-3153-8432,37.553833,126.927649,2019-06-25
서울특별시 마포구청,서울특별시 마포구 월드컵북로2길 25,서울특별시 마포구 동교동 161-15,생활방범,1,200,360도전방면,30,Oct-13,02-3153-8432,37.556476,126.9221,2019-06-25
서울특별시 마포구청,서울특별시 마포구 희우정로12길 24,서울특별시 마포구 망원동 395-33,생활방범,1,200,360도전방면,30,Oct-13,02-3153-8432,37.553709,126.904337,2019-06-25
서울특별시 마포구청,서울특별시 마포구 월드컵로 87,서울특별시 마포구 망원동 377-1,생활방범,1,200,360도전방면,30,Oct-13,02-3153-8432,37.55652,126.90923,2019-06-25
서울특별시 마포구청,서울특별시 마포구 포은로5길 22,서울특별시 마포구 망원동 410-37,생활방범,1,200,360도전방면,30,Oct-13,02-3153-8432,37.555469,126.903711,2019-06-25
서울특별시 마포구청,서울특별시 마포구 월드컵로31길 107,서울특별시 마포구 망원동 491,생활방범,1,200,360도전방면,30,Oct-13,02-3153-8432,37.559387,126.899681,2019-06-25
서울특별시 마포구청,서울특별시 마포구 월드컵로13길 55-32,서울특별시 마포구 망원동 57-233,생활방범,1,200,360도전방면,30,Oct-13,02-3153-8432,37.554106,126.906357,2019-06-25
서울특별시 마포구청,서울특별시 마포구 와우산로3안길 19,서울특별시 마포구 상수동 334-3,생활방범,1,200,360도전방면,30,Oct-13,02-3153-8432,37.546437,126.921882,2019-06-25
서울특별시 마포구청,서울특별시 마포구 굴레방로7길 38,서울특별시 마포구 아현동 570-51,생활방범,1,200,360도전방면,30,Oct-13,02-3153-8432,37.556379,126.953418,2019-06-25
서울특별시 마포구청,서울특별시 마포구 동교로38안길 17,서울특별시 마포구 연남동 390-92,생활방범,1,200,360도전방면,30,Oct-13,02-3153-8432,37.56236,126.925105,2019-06-25
서울특별시 마포구청,서울특별시 마포구 대흥로6길 10-7,서울특별시 마포구 용강동 494-100,생활방범,1,200,360도전방면,30,Oct-13,02-3153-8432,37.54239,126.938642,2019-06-25
서울특별시 마포구청,서울특별시 마포구 월드컵로7길 51,서울특별시 마포구 합정동 431-17,생활방범,1,200,360도전방면,30,Oct-13,02-3153-8432,37.552817,126.90916,2019-06-25
서울특별시 마포구청,서울특별시 마포구 토정로4길 18,서울특별시 마포구 합정동 81-2,생활방범,1,200,360도전방면,30,Oct-13,02-3153-8432,37.544841,126.914866,2019-06-25
서울특별시 마포구청,서울특별시 마포구 어울마당로 65,서울특별시 마포구 서교동 367-5,생활방범,1,200,360도전방면,30,May-18,02-3153-8432,37.550961,126.921059,2019-06-25
서울특별시 마포구청,서울특별시 마포구 월드컵북로27길 48,서울특별시 마포구 성산동200-160,생활방범,1,130,360도전방면,30,Jan-13,02-3153-8432,37.566334,126.907435,2019-06-25
서울특별시 마포구청,서울특별시 마포구 월드컵북로27길 42,서울특별시 마포구 성산동200-166,생활방범,1,130,360도전방면,30,Jan-13,02-3153-8432,37.566354,126.907638,2019-06-25
서울특별시 마포구청,서울특별시 마포구 새터산10길 19,서울특별시 마포구 성산동200-369,생활방범,1,130,360도전방면,30,Jan-13,02-3153-8432,37.566213,126.908003,2019-06-25
서울특별시 마포구청,서울특별시 마포구 새터산14안길 13,서울특별시 마포구 성산동200-114,생활방범,1,130,360도전방면,30,Jan-13,02-3153-8432,37.566767,126.907474,2019-06-25
서울특별시 마포구청,서울특별시 마포구 월드컵북로27길 23,서울특별시 마포구 성산동200-258,생활방범,1,130,360도전방면,30,Jan-13,02-3153-8432,37.566499,126.908734,2019-06-25
서울특별시 마포구청,서울특별시 마포구 월드컵북로27길 16,서울특별시 마포구 성산동200-84,생활방범,1,130,360도전방면,30,Jan-13,02-3153-8432,37.566879,126.908898,2019-06-25
서울특별시 마포구청,서울특별시 마포구 월드컵북로27길 6,서울특별시 마포구 성산동200-39,생활방범,1,130,360도전방면,30,Jan-13,02-3153-8432,37.567242,126.909187,2019-06-25
서울특별시 마포구청,서울특별시 마포구 새터산12길 38,서울특별시 마포구 성산동200-293,생활방범,1,130,360도전방면,30,Jan-13,02-3153-8432,37.565519,126.907956,2019-06-25
서울특별시 마포구청,서울특별시 마포구 새터산12길 39,서울특별시 마포구 성산동200-223,생활방범,1,130,360도전방면,30,Jan-13,02-3153-8432,37.56554,126.908227,2019-06-25
서울특별시 마포구청,서울특별시 마포구 새터산2길 19,서울특별시 마포구 성산동200-213,생활방범,1,130,360도전방면,30,Jan-13,02-3153-8432,37.56527,126.908288,2019-06-25
서울특별시 마포구청,서울특별시 마포구 새터산14길 15,서울특별시 마포구 성산동200-73,생활방범,1,130,360도전방면,30,Jan-13,02-3153-8432,37.567252,126.908316,2019-06-25
서울특별시 마포구청,서울특별시 마포구 모래내로7길 70,서울특별시 마포구 성산동140-48,생활방범,1,130,360도전방면,30,Jan-13,02-3153-8432,37.567855,126.909201,2019-06-25
서울특별시 마포구청,서울특별시 마포구 성암로3길 46,서울특별시 마포구 성산동137-16,생활방범,1,130,360도전방면,30,Jan-13,02-3153-8432,37.567571,126.910665,2019-06-25
서울특별시 마포구청,서울특별시 마포구 새터산14길 1,서울특별시 마포구 성산동200-61,생활방범,1,130,360도전방면,30,Jan-13,02-3153-8432,37.567552,126.907598,2019-06-25
서울특별시 마포구청,서울특별시 마포구 월드컵로31길 38-4,서울특별시 마포구 망원동470-25,생활방범,1,130,360도전방면,30,Jan-13,02-3153-8432,37.561253,126.902642,2019-06-25
서울특별시 마포구청,서울특별시 마포구 성미산로26길 26,서울특별시 마포구 연남동256-7,생활방범,1,130,360도전방면,30,Jan-13,02-3153-8432,37.562709,126.922814,2019-06-25
서울특별시 마포구청,서울특별시 마포구 월드컵북로 332,서울특별시 마포구 상암동34-35,생활방범,1,130,360도전방면,30,Jan-13,02-3153-8432,37.575877,126.894978,2019-06-25
서울특별시 마포구청,서울특별시 마포구 월드컵북로20안길 22,서울특별시 마포구 성산동 36-57,생활방범,1,130,360도전방면,30,Jan-13,02-3153-8432,37.56529,126.914355,2019-06-25
서울특별시 마포구청,서울특별시 마포구 환일길 27,서울특별시 마포구 아현동 723-12,생활방범,1,130,360도전방면,30,Sep-06,02-3153-8432,37.555886,126.960827,2019-06-25
서울특별시 마포구청,서울특별시 마포구 신촌로 32길 4,서울특별시 마포구 아현동 346-21,생활방범,2,130,360도전방면,30,Sep-06,02-3153-8432,37.556945,126.95315,2019-06-25
서울특별시 마포구청,서울특별시 마포구 숭문16길 38,서울특별시 마포구 아현동 680,생활방범,1,130,360도전방면,30,Sep-06,02-3153-8432,37.555743,126.948685,2019-06-25
서울특별시 마포구청,서울특별시 마포구 대흥로30길 45,서울특별시 마포구 아현동 676,생활방범,1,130,360도전방면,30,Sep-06,02-3153-8432,37.556561,126.948537,2019-06-25
서울특별시 마포구청,서울특별시 마포구 만리재옛길 41,서울특별시 마포구 공덕동 120-38,생활방범,1,130,360도전방면,30,Sep-06,02-3153-8432,37.547657,126.956403,2019-06-25
