관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
서울특별시 서대문구,,서울특별시 서대문구 창천동 57-18(창천문화공원),생활방범,6,41,,30,Mar-09,02-330-8753,37.556785,126.935439,2019-02-22
서울특별시 서대문구,,서울특별시 서대문구 홍은1동 11-23(홍박공원),생활방범,8,200,,30,Mar-09,02-330-8753,37.601375,126.948912,2019-02-22
서울특별시 서대문구,,서울특별시 서대문구 홍은2동 405-3(홍남어린이공원),생활방범,5,41,,30,Mar-09,02-330-8753,37.578007,126.929143,2019-02-22
서울특별시 서대문구,,서울특별시 서대문구 홍은2동 421-1(백련어린이공원),생활방범,4,41,,30,Mar-09,02-330-8753,37.582336,126.924143,2019-02-22
서울특별시 서대문구,,서울특별시 서대문구 남가좌2동 326-8(연남어린이공원),생활방범,6,41,,30,Mar-09,02-330-8753,37.578159,126.925292,2019-02-22
서울특별시 서대문구,,서울특별시 서대문구 홍제3동 454-2(홍제근린공원),생활방범,8,200,,30,Aug-09,02-330-8753,37.593882,126.952475,2019-02-22
서울특별시 서대문구,,서울특별시 서대문구 홍은2동 408-4(홍연어린이공원),생활방범,4,41,,30,Dec-09,02-330-8753,37.580101,126.926829,2019-02-22
서울특별시 서대문구,,서울특별시 서대문구 연희동 산 118(궁동근린공원 실내체육관),생활방범,4,41,,30,Feb-10,02-330-8753,37.571019,126.925303,2019-02-22
서울특별시 서대문구,,서울특별시 서대문구 북아현동 210-24(명수어린이공원),생활방범,9,41,,30,Jun-10,02-330-8753,37.560084,126.950754,2019-02-22
서울특별시 서대문구,,서울특별시 서대문구 연희동 73-8(대궐재어린이공원),생활방범,6,41,,30,Jun-10,02-330-8753,37.574081,126.937054,2019-02-22
서울특별시 서대문구,,서울특별시 서대문구 연희동 519-7(연서어린이공원),생활방범,9,41,,30,Jun-10,02-330-8753,37.572133,126.923224,2019-02-22
서울특별시 서대문구,,서울특별시 서대문구 연희동 산 1 (안산도시자연공원),생활방범,6,41,,30,Jun-10,02-330-8753,37.578819,126.93998,2019-02-22
서울특별시 서대문구,,서울특별시 서대문구 홍제3동 287-121(불천어린이공원),생활방범,6,41,,30,Jun-10,02-330-8753,37.597109,126.94778,2019-02-22
