관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
서울특별시 성동구청,서울특별시 성동구 용답길 133,서울특별시 성동구 용답동 24-37,생활방범,4,200,360도 전방면,30,Jan-15,02-2286-5878,37.5609359,127.0546245,2019-06-03
서울특별시 성동구청,서울특별시 성동구 용답중앙길 80-1,서울특별시 성동구 용답동 44-6,생활방범,4,200,360도 전방면,30,Jan-15,02-2286-5878,37.5626248,127.0541074,2019-06-03
서울특별시 성동구청,서울특별시 성동구 용답29길 23,서울특별시 성동구 용답동 58-1,생활방범,4,200,360도 전방면,30,Jan-15,02-2286-5878,37.5645879,127.0536219,2019-06-03
서울특별시 성동구청,서울특별시 성동구 천호대로 276,서울특별시 성동구 용답동 103-9,생활방범,3,200,360도 전방면,30,Jan-15,02-2286-5878,37.5671822,127.0515119,2019-06-03
서울특별시 성동구청,서울특별시 성동구 용답15길 1,서울특별시 성동구 용답동 170-8,생활방범,3,200,360도 전방면,30,Jan-15,02-2286-5878,37.5636013,127.0508193,2019-06-03
서울특별시 성동구청,서울특별시 성동구 용답중앙1길 1,서울특별시 성동구 용답동 114-3,생활방범,4,200,360도 전방면,30,Jan-15,02-2286-5878,37.5673666,127.0499146,2019-06-03
서울특별시 성동구청,서울특별시 성동구 무학로2나길 28,서울특별시 성동구 도선동 185-28,생활방범,3,200,360도 전방면,30,Jan-15,02-2286-5878,37.5641413,127.0341879,2019-06-03
서울특별시 성동구청,서울특별시 성동구 무학로4길 21,서울특별시 성동구 도선동 177,생활방범,4,200,360도 전방면,30,Jan-15,02-2286-5878,37.5647318,127.0333017,2019-06-03
서울특별시 성동구청,서울특별시 성동구 왕십리로26길 1,서울특별시 성동구 도선동 284-2,생활방범,4,200,360도 전방면,30,Jan-15,02-2286-5878,37.5632241,127.032468,2019-06-03
서울특별시 성동구청,서울특별시 성동구 왕십리로 318,서울특별시 성동구 도선동 45,생활방범,3,200,360도 전방면,30,Jan-15,02-2286-5878,37.5621259,127.0344471,2019-06-03
서울특별시 성동구청,서울특별시 성동구 왕십리로21길 3,서울특별시 성동구 행당동 286-14,생활방범,5,200,360도 전방면,30,Jan-15,02-2286-5878,37.5617941,127.0337553,2019-06-03
서울특별시 성동구청,서울특별시 성동구 왕십리로 271-1,서울특별시 성동구 행당동 134-4,생활방범,3,200,360도 전방면,30,Jan-15,02-2286-5878,37.5586851,127.037212,2019-06-03
서울특별시 성동구청,서울특별시 성동구 무학봉26길 2,서울특별시 성동구 하왕십리동 966-43,생활방범,4,200,360도 전방면,30,Jan-15,02-2286-5878,37.5619243,127.0320512,2019-06-03
서울특별시 성동구청,서울특별시 성동구 무학봉15길 22,서울특별시 성동구 하왕십리동 955-13,생활방범,4,200,360도 전방면,30,Jan-13,02-2286-5878,37.5631947,127.0306074,2019-06-03
서울특별시 성동구청,서울특별시 성동구 금호산2길 16,서울특별시 성동구 금호동3가 451,생활방범,5,200,360도 전방면,30,Jan-13,02-2286-5878,37.5487298,127.0213758,2019-06-03
서울특별시 성동구청,서울특별시 성동구 동호로 84,서울특별시 성동구 금호동4가 1250,생활방범,4,200,360도 전방면,30,Jan-13,02-2286-5878,37.5470635,127.0174345,2019-06-03
서울특별시 성동구청,서울특별시 성동구 마조로1길 42,서울특별시 성동구 행당동 1-17,생활방범,3,200,360도 전방면,30,Jan-15,02-2286-5878,37.5610797,127.0393956,2019-06-03
서울특별시 성동구청,서울특별시 성동구 마조로11길 3-1,서울특별시 성동구 행당동 1-93,생활방범,4,200,360도 전방면,30,Jan-15,02-2286-5878,37.5616583,127.0410769,2019-06-03
서울특별시 성동구청,서울특별시 성동구 둘레길 61,서울특별시 성동구 성수동1가 343,생활방범,3,200,360도 전방면,30,Jan-17,02-2286-5878,37.5363304,127.0502912,2019-06-03
서울특별시 성동구청,서울특별시 성동구 독서당로59가길 4,서울특별시 성동구 응봉동 265-166,생활방범,3,200,360도 전방면,30,Jan-17,02-2286-5878,37.5514448,127.0301406,2019-06-03
서울특별시 성동구청,서울특별시 성동구 상원12길 10,서울특별시 성동구 성수동1가 13-54,생활방범,5,200,360도 전방면,30,Jan-17,02-2286-5878,37.5503301,127.0487242,2019-06-03
서울특별시 성동구청,서울특별시 성동구 성수일로11길 15,서울특별시 성동구 성수동1가 13-117,생활방범,3,200,360도 전방면,30,Jan-17,02-2286-5878,37.5494244,127.0498232,2019-06-03
서울특별시 성동구청,서울특별시 성동구 상원길 48-1,서울특별시 성동구 성수동1가 13-145,생활방범,4,200,360도 전방면,30,Jan-17,02-2286-5878,37.5482487,127.0485017,2019-06-03
서울특별시 성동구청,서울특별시 성동구 왕십리로14길 18,서울특별시 성동구 성수동1가 656-805,생활방범,3,200,360도 전방면,30,Jan-17,02-2286-5878,37.5485937,127.0455854,2019-06-03
서울특별시 성동구청,서울특별시 성동구 뚝섬로13길 22,서울특별시 성동구 성수동2가 268,생활방범,4,200,360도 전방면,30,Jan-17,02-2286-5878,37.54043604,127.0580689,2019-06-03
서울특별시 성동구청,서울특별시 성동구 뚝섬로 447,서울특별시 성동구 성수동2가 231-1,생활방범,4,200,360도 전방면,30,Jan-17,02-2286-5878,37.53783643,127.0603885,2019-06-03
서울특별시 성동구청,서울특별시 성동구 뚝섬로17길 29,서울특별시 성동구 성수동2가 255-1,생활방범,4,200,360도 전방면,30,Jan-17,02-2286-5878,37.5401225,127.060363,2019-06-03
서울특별시 성동구청,서울특별시 성동구 둘레15길 13,서울특별시 성동구 성수동2가 655,생활방범,3,200,360도 전방면,30,Jan-17,02-2286-5878,37.5359783,127.0554703,2019-06-03
