관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
서울특별시 성북구청,서울특별시 성북구 정릉로10길 92,서울특별시 성북구 정릉동 924-1,생활방범,3,200,360,30,Dec-06,02-2241-4562,37.60605355,126.9987316,2019-10-21
서울특별시 성북구청,서울특별시 성북구 길음로 20,서울특별시 성북구 길음동 1283-4,생활방범,3,200,360,30,Dec-07,02-2241-4562,37.60475389,127.0230392,2019-10-21
서울특별시 성북구청,서울특별시 성북구 삼양로 61-1,서울특별시 성북구 동소문동4가 176,생활방범,3,200,360,30,Dec-10,02-2241-4562,37.60851284,127.0229271,2019-10-21
서울특별시 성북구청,서울특별시 성북구 숭인로16길,서울특별시 성북구 길음동 478-24,생활방범,3,130,360,30,Dec-11,02-2241-4562,37.6115194,127.0272924,2019-10-21
서울특별시 성북구청,서울특별시 성북구 도봉로3길 24,서울특별시 성북구 길음동 489-5,생활방범,3,200,360,30,Dec-10,02-2241-4562,37.6105478,127.02874,2019-10-21
서울특별시 성북구청,서울특별시 성북구 삼선교로10바길 6-7,서울특별시 성북구 삼선동1가 274-96,생활방범,3,200,360,30,Dec-16,02-2241-4562,37.58552139,127.0094153,2019-10-21
서울특별시 성북구청,서울특별시 성북구 고려대로12길 17-25,서울특별시 성북구 안암동2가 160-10,생활방범,3,200,360,30,Dec-16,02-2241-4562,37.5856636,127.0234545,2019-10-21
서울특별시 성북구청,서울특별시 성북구 정릉로40길 26,서울특별시 성북구 정릉동 16-99,생활방범,3,200,360,30,Dec-10,02-2241-4562,37.60097759,127.0194007,2019-10-21
서울특별시 성북구청,서울특별시 성북구 동소문로24길 31,서울특별시 성북구 동선동1가 85-38,생활방범,3,130,360,30,Dec-11,02-2241-4562,37.59226328,127.0189364,2019-10-21
서울특별시 성북구청,서울특별시 성북구 보문로30라길 14,서울특별시 성북구 동선동2가 84,생활방범,3,200,360,30,Dec-10,02-2241-4562,37.58998917,127.0189811,2019-10-21
서울특별시 성북구청,서울특별시 성북구 보문로30다길 11,서울특별시 성북구 동선동2가 261,생활방범,3,200,360,30,Dec-06,02-2241-4562,37.58973645,127.0215536,2019-10-21
서울특별시 성북구청,서울특별시 성북구 동소문로26가길 11,서울특별시 성북구 동선동3가 1,생활방범,3,130,360,30,Dec-11,02-2241-4562,37.59455887,127.0197659,2019-10-21
서울특별시 성북구청,서울특별시 성북구 동소문로28길 36,서울특별시 성북구 동선동3가 23,생활방범,3,200,360,30,Dec-06,02-2241-4562,37.59548855,127.0206176,2019-10-21
서울특별시 성북구청,서울특별시 성북구 동소문로26길 29,서울특별시 성북구 동선동3가 130-6,생활방범,3,200,360,30,Dec-10,02-2241-4562,37.59391361,127.0206081,2019-10-21
서울특별시 성북구청,서울특별시 성북구 동소문로23길 11,서울특별시 성북구 동선동4가 85,생활방범,3,200,360,30,Dec-10,02-2241-4562,37.59395739,127.0173154,2019-10-21
서울특별시 성북구청,서울특별시 성북구 동소문로29길 27,서울특별시 성북구 동선동4가 310-3,생활방범,3,200,360,30,Dec-06,02-2241-4562,37.59648346,127.0192999,2019-10-21
서울특별시 성북구청,서울특별시 성북구 동소문로25길 51,서울특별시 성북구 동선동5가 48-2,생활방범,3,200,360,30,Dec-10,02-2241-4562,37.59550361,127.0164914,2019-10-21
서울특별시 성북구청,서울특별시 성북구 동소문로3길 10,서울특별시 성북구 동소문동1가 45-1,생활방범,3,200,360,30,Dec-07,02-2241-4562,37.58927332,127.0065444,2019-10-21
서울특별시 성북구청,서울특별시 성북구 동소문로6길 12,서울특별시 성북구 동소문동2가 61,생활방범,3,130,360,30,Dec-11,02-2241-4562,37.58865693,127.0082699,2019-10-21
서울특별시 성북구청,서울특별시 성북구 동소문로 47,서울특별시 성북구 동소문동4가 13,생활방범,3,200,360,30,Dec-07,02-2241-4562,37.59090201,127.0107294,2019-10-21
서울특별시 성북구청,서울특별시 성북구 동소문로15길 12,서울특별시 성북구 동소문동6가 71-3,생활방범,3,200,360,30,Dec-06,02-2241-4562,37.59288385,127.0139635,2019-10-21
서울특별시 성북구청,서울특별시 성북구 동소문로 177,서울특별시 성북구 돈암동 51-49,생활방범,2,200,360,30,Dec-09,02-2241-4562,37.59789945,127.0214608,2019-10-21
서울특별시 성북구청,서울특별시 성북구 동소문로34길 29,서울특별시 성북구 돈암동 13-127,생활방범,3,200,360,30,Dec-10,02-2241-4562,37.59934811,127.0221588,2019-10-21
서울특별시 성북구청,서울특별시 성북구 동소문로32길 7-3 (동선동3가 위더스빌),서울특별시 성북구 돈암동 80-9,생활방범,3,200,360,30,Dec-10,02-2241-4562,37.59673529,127.0219089,2019-10-21
서울특별시 성북구청,서울특별시 성북구 보문로25길 10,서울특별시 성북구 보문동2가 57-1,생활방범,3,200,360,30,Dec-11,02-2241-4562,37.5862664,127.0181016,2019-10-21
서울특별시 성북구청,서울특별시 성북구 지봉로20길 6,서울특별시 성북구 보문동3가 215-3,생활방범,3,130,360,30,Dec-11,02-2241-4562,37.58443202,127.0178657,2019-10-21
서울특별시 성북구청,서울특별시 성북구 지봉로24길 42,서울특별시 성북구 보문동5가 72,생활방범,3,200,360,30,Dec-10,02-2241-4562,37.58327124,127.0197221,2019-10-21
서울특별시 성북구청,서울특별시 성북구 보문로15길 30,서울특별시 성북구 보문동6가 133,생활방범,3,130,360,30,Dec-11,02-2241-4562,37.58052856,127.0200429,2019-10-21
서울특별시 성북구청,서울특별시 성북구 보문로15길 43,서울특별시 성북구 보문동6가 153-3,생활방범,3,200,360,30,Dec-06,02-2241-4562,37.58012863,127.0194134,2019-10-21
서울특별시 성북구청,서울특별시 성북구 보문로9길 30,서울특별시 성북구 보문동6가 274,생활방범,3,130,360,30,Dec-11,02-2241-4562,37.57892813,127.0215504,2019-10-21
서울특별시 성북구청,서울특별시 성북구 한천로58길 273,서울특별시 성북구 석관동 27-3,생활방범,3,130,360,30,Dec-11,02-2241-4562,37.60881522,127.0697329,2019-10-21
서울특별시 성북구청,서울특별시 성북구 화랑로32길 121,서울특별시 성북구 석관동 261-15,생활방범,3,130,360,30,Dec-11,02-2241-4562,37.60560249,127.0594831,2019-10-21
서울특별시 성북구청,서울특별시 성북구 돌곶이로8가길 15,서울특별시 성북구 석관동 320-7,생활방범,3,130,360,30,Dec-11,02-2241-4562,37.60760532,127.0613782,2019-10-21
서울특별시 성북구청,서울특별시 성북구 화랑로22다길 9,서울특별시 성북구 석관동 338-160,생활방범,3,130,360,30,Dec-11,02-2241-4562,37.60621881,127.0517599,2019-10-21
서울특별시 성북구청,서울특별시 성북구 화랑로24길 57,서울특별시 성북구 석관동 340-239,생활방범,3,130,360,30,Dec-11,02-2241-4562,37.60609199,127.0532909,2019-10-21
서울특별시 성북구청,서울특별시 성북구 보문로 168,서울특별시 성북구 석관동 27-2,생활방범,3,200,360,30,Dec-07,02-2241-4562,37.5894561,127.0168479,2019-10-21
서울특별시 성북구청,서울특별시 성북구 보문로 168,서울특별시 성북구 석관동 27-2,생활방범,3,200,360,30,Dec-07,02-2241-4562,37.5894561,127.0168479,2019-10-21
서울특별시 성북구청,서울특별시 성북구 돌곶이로6길 22,서울특별시 성북구 석관동 47-3,생활방범,3,200,360,30,Dec-10,02-2241-4562,37.6058862,127.0609684,2019-10-21
서울특별시 성북구청,서울특별시 성북구 한천로80길 45,서울특별시 성북구 석관동 130-15,생활방범,2,200,360,30,Dec-06,02-2241-4562,37.61272866,127.0641777,2019-10-21
서울특별시 성북구청,서울특별시 성북구 한천로81길 25,서울특별시 성북구 석관동 192-1,생활방범,3,200,360,30,Dec-10,02-2241-4562,37.61139011,127.0601536,2019-10-21
서울특별시 성북구청,서울특별시 성북구 돌곶이로14길 51,서울특별시 성북구 석관동 280-25,생활방범,1,200,360,30,Dec-07,02-2241-4562,37.60891295,127.0625345,2019-10-21
