관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
서울특별시 송파구청,서울특별시 송파구 바람드리길 2,서울특별시 송파구 풍납1동 124-5,다목적,1,41,360도 전방,30,Dec-19,02-2147-3090,37.538288,127.115963,2019-06-25
서울특별시 송파구청,서울특별시 송파구 바람드리12길 14-1,서울특별시 송파구 풍납1동 133-19,다목적,1,41,360도 전방,30,Dec-19,02-2147-3090,37.536698,127.118098,2019-06-25
서울특별시 송파구청,서울특별시 송파구 천호대로 996,서울특별시 송파구 풍납1동 473-1,다목적,1,200,360도 전방,30,Dec-19,02-2147-3090,37.538177,127.122626,2019-06-25
서울특별시 송파구청,서울특별시 송파구 올림픽로57길 2,서울특별시 송파구 풍납1동 490-7,다목적,1,41,360도 전방,30,Dec-19,02-2147-3090,37.534559,127.121416,2019-06-25
서울특별시 송파구청,서울특별시 송파구 강동대로 76,서울특별시 송파구 풍납2동 389,다목적,1,41,360도 전방,30,Dec-19,02-2147-3090,37.526222,127.115766,2019-06-25
서울특별시 송파구청,서울특별시 송파구 풍성로14길 46,서울특별시 송파구 풍납2동 281-3,다목적,1,41,360도 전방,30,Dec-19,02-2147-3090,37.532863,127.113641,2019-06-25
서울특별시 송파구청,서울특별시 송파구 풍성로4길 20,서울특별시 송파구 풍납2동 292-1,다목적,1,41,360도 전방,30,Dec-19,02-2147-3090,37.533814,127.1128,2019-06-25
서울특별시 송파구청,서울특별시 송파구 한가람로 410,서울특별시 송파구 풍납2동 297-1,다목적,1,41,360도 전방,30,Dec-19,02-2147-3090,37.534993,127.112154,2019-06-25
서울특별시 송파구청,서울특별시 송파구 올림픽로43길 20,서울특별시 송파구 풍납2동 389-2,다목적,1,200,360도 전방,30,Dec-19,02-2147-3090,37.524823,127.115447,2019-06-25
서울특별시 송파구청,서울특별시 송파구 강동대로3길 12,서울특별시 송파구 풍납2동 396,다목적,1,41,360도 전방,30,Dec-19,02-2147-3090,37.527979,127.114624,2019-06-25
서울특별시 송파구청,서울특별시 송파구 강동대로 13(올림픽대교 아래),서울특별시 송파구 풍납2동 469-3,다목적,1,41,360도 전방,30,Dec-19,02-2147-3090,37.529113,127.109213,2019-06-25
서울특별시 송파구청,서울특별시 송파구 올림픽로51길 15,서울특별시 송파구 풍납2동 501-24,다목적,1,200,360도 전방,30,Dec-19,02-2147-3090,37.531857,127.119111,2019-06-25
서울특별시 송파구청,서울특별시 송파구 토성로19길 28,서울특별시 송파구 풍납2동 338-8,다목적,1,41,360도 전방,30,Dec-19,02-2147-3090,37.530952,127.119231,2019-06-25
서울특별시 송파구청,서울특별시 송파구 토성로 65,서울특별시 송파구 풍납2동 406-1,다목적,1,41,360도 전방,30,Dec-19,02-2147-3090,37.528844,127.117311,2019-06-25
서울특별시 송파구청,서울특별시 송파구 올림픽로45길 20,서울특별시 송파구 풍납2동 399-20,다목적,1,130,360도 전방,30,Dec-19,02-2147-3090,37.527286,127.116231,2019-06-25
서울특별시 송파구청,서울특별시 송파구 거마로13길 14-2,서울특별시 송파구 거여1동 129-49,다목적,1,200,360도 전방,30,Dec-19,02-2147-3090,37.497779,127.144888,2019-06-25
서울특별시 송파구청,서울특별시 송파구 오금로54길 10(102동도로변),서울특별시 송파구 거여1동 358-1 (현대1차 아파트 102동 도로변),다목적,1,200,360도 전방,30,Dec-19,02-2147-3090,37.492976,127.141734,2019-06-25
서울특별시 송파구청,서울특별시 송파구 오금로 61길 21,서울특별시 송파구 거여2동 198-1,다목적,1,200,360도 전방,30,Dec-19,02-2147-3090,37.494503,127.147147,2019-06-25
서울특별시 송파구청,서울특별시 송파구 오금로64길 11,서울특별시 송파구 거여동258-30,다목적,1,200,360도 전방,30,Dec-19,02-2147-3090,37.491707,127.147385,2019-06-25
서울특별시 송파구청,서울특별시 송파구 양산로8길 45,서울특별시 송파구 거여동258-119,다목적,1,200,360도 전방,30,Dec-19,02-2147-3090,37.490185,127.148468,2019-06-25
서울특별시 송파구청,서울특별시 송파구 오금로68길 30,서울특별시 송파구 거여2동 258-9,다목적,1,200,360도 전방,30,Dec-19,02-2147-3090,37.490804,127.149137,2019-06-25
