관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
서울특별시 양천구청,서울특별시 양천구 목동동로 293,서울특별시 양천구 목1동 917-9,생활방범,5,200,360도 전방,30,Dec-06,02-2620-4793,37.528153,126.875746,2019-05-23
서울특별시 양천구청,서울특별시 양천구 오목로 319,서울특별시 양천구 목1동 406-35,생활방범,4,200,360도 전방,30,Dec-06,02-2620-4793,37.52503,126.873054,2019-05-23
서울특별시 양천구청,서울특별시 양천구 목동로210,서울특별시 양천구 목1동 목동 810-1,생활방범,5,200,360도 전방,30,Dec-06,02-2620-4793,37.527346,126.864459,2019-05-23
서울특별시 양천구청,서울특별시 양천구 목동동로 12길 53,서울특별시 양천구 목동 404-61,생활방범,5,200,360도 전방,30,Dec-06,02-2620-4793,37.522403,126.877315,2019-05-23
서울특별시 양천구청,서울특별시 양천구 목동서로 77,서울특별시 양천구 목동 907,생활방범,4,200,360도 전방,30,Dec-06,02-2620-4793,37.535926,126.877979,2019-05-23
서울특별시 양천구청,서울특별시 양천구 목동동로 419,서울특별시 양천구 목동 909-9,생활방범,5,200,360도 전방,30,Dec-06,02-2620-4793,37.536709,126.883155,2019-05-23
서울특별시 양천구청,서울특별시 양천구 목동중앙로 129,서울특별시 양천구 목동 199-66,생활방범,4,200,360도 전방,30,Dec-06,02-2620-4793,37.539939,126.874743,2019-05-23
서울특별시 양천구청,서울특별시 양천구 목동중앙본로18길 39,서울특별시 양천구 목2동 231-98,생활방범,5,200,360도 전방,30,Dec-06,02-2620-4793,37.541126,126.87119,2019-05-23
서울특별시 양천구청,서울특별시 양천구 목동중앙북로16길 33,서울특별시 양천구 목동 536,생활방범,4,200,360도 전방,30,Dec-06,02-2620-4793,37.544581,126.87397,2019-05-23
서울특별시 양천구청,서울특별시 양천구 목동중앙남로16가길 16-17,서울특별시 양천구 목3동 324-188,생활방범,5,200,360도 전방,30,Dec-06,02-2620-4793,37.543582,126.863858,2019-05-23
서울특별시 양천구청,서울특별시 양천구 목동중앙남로9길 38,서울특별시 양천구 목4동 725-3,생활방범,5,200,360도 전방,30,Dec-06,02-2620-4793,37.537908,126.864424,2019-05-23
서울특별시 양천구청,서울특별시 양천구 목동중앙로5길 49,서울특별시 양천구 목4동 760-1,생활방범,4,200,360도 전방,30,Dec-06,02-2620-4793,37.53818,126.869531,2019-05-23
서울특별시 양천구청,서울특별시 양천구 목동중앙본로15길 20,서울특별시 양천구 목2동 315-33,생활방범,3,200,360도 전방,30,Dec-08,02-2620-4793,37.541565,126.867915,2019-05-23
서울특별시 양천구청,서울특별시 양천구 목동중앙본로22길 63-1,서울특별시 양천구 목2동 231-145,생활방범,3,200,360도 전방,30,Dec-09,02-2620-4793,37.541224,126.872639,2019-05-23
서울특별시 양천구청,서울특별시 양천구 목동중앙본로32길 39,서울특별시 양천구 목2동 527-19,생활방범,3,200,360도 전방,30,Dec-09,02-2620-4793,37.545367,126.873329,2019-05-23
서울특별시 양천구청,서울특별시 양천구 목동동로 379,서울특별시 양천구 목5동 907-17,생활방범,3,200,360도 전방,30,Dec-09,02-2620-4793,37.53557,126.878709,2019-05-23
서울특별시 양천구청,서울특별시 양천구 목동중앙남로16다길 1,서울특별시 양천구 목3동 318-31,생활방범,3,200,360도 전방,30,Dec-09,02-2620-4793,37.543178,126.865474,2019-05-23
서울특별시 양천구청,서울특별시 양천구 목동중앙남로13길 7-12,서울특별시 양천구 목동 720-11,생활방범,3,200,360도 전방,30,Dec-09,02-2620-4793,37.539758,126.865005,2019-05-23
서울특별시 양천구청,서울특별시 양천구 목동중앙남로 61,서울특별시 양천구 목동 723-11,생활방범,3,200,360도 전방,30,Dec-09,02-2620-4793,37.53915,126.865866,2019-05-23
서울특별시 양천구청,서울특별시 양천구 오목로 276-6,서울특별시 양천구 목1동 408-53,생활방범,3,200,360도 전방,30,Dec-10,02-2620-4793,37.524948,126.867868,2019-05-23
서울특별시 양천구청,서울특별시 양천구 목동동로 240,서울특별시 양천구 목1동 932-4,생활방범,3,200,360도 전방,30,Dec-10,02-2620-4793,37.525863,126.872887,2019-05-23
서울특별시 양천구청,서울특별시 양천구 목동중앙본로32길 42,서울특별시 양천구 목2동 535-1,생활방범,3,200,360도 전방,30,Dec-10,02-2620-4793,37.545198,126.873413,2019-05-23
서울특별시 양천구청,서울특별시 양천구 목동중앙북로16길 56,서울특별시 양천구 목2동 543-15,생활방범,3,200,360도 전방,30,Dec-10,02-2620-4793,37.543705,126.873779,2019-05-23
서울특별시 양천구청,서울특별시 양천구 목동중앙본로20길 19,서울특별시 양천구 목2동 231-25,생활방범,3,200,360도 전방,30,Dec-10,02-2620-4793,37.541889,126.870351,2019-05-23
