관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
서울특별시 영등포구,서울특별시 영등포구 도영로 18근처 횡단보도앞 인도,서울특별시 영등포구 도림동 265-6 근처 횡단보도앞 인도,생활방범,1,200,360도 전방면,30,Dec-13,02-2670-4069,37.50807318,126.895284,2019-04-30
서울특별시 영등포구,서울특별시 영등포구 가마산로61길 20-8,서울특별시 영등포구 신길동 310-32,생활방범,1,200,360도 전방면,30,Dec-13,02-2670-4069,37.50690588,126.9047748,2019-04-30
서울특별시 영등포구,서울특별시 영등포구 신길로56길 7,서울특별시 영등포구 신길동 190-120,생활방범,1,200,360도 전방면,30,Dec-13,02-2670-4069,37.51234234,126.9110614,2019-04-30
서울특별시 영등포구,서울특별시 영등포구 도신로54길 12-13,서울특별시 영등포구 신길동 199-19,생활방범,1,200,360도 전방면,30,Dec-13,02-2670-4069,37.50996689,126.9146548,2019-04-30
서울특별시 영등포구,서울특별시 영등포구 영등포로5길 31,서울특별시 영등포구 양평동2가 34-15 앞,생활방범,1,200,360도 전방면,30,Dec-13,02-2670-4069,37.52451605,126.8846718,2019-04-30
서울특별시 영등포구,서울특별시 영등포구 시흥대로 589-8LG신대림자이APT 202동 주차장출입구앞 부근,서울특별시 영등포구 대림동 1122 LG신대림자이APT 202동 주차장출입구앞 부근,생활방범,1,200,360도 전방면,30,Dec-13,02-2670-4069,37.48559959,126.902171,2019-04-30
서울특별시 영등포구,서울특별시 영등포구 디지털로69나길 10-1,서울특별시 영등포구 대림동 882-12,생활방범,1,200,360도 전방면,30,Dec-13,02-2670-4069,37.49359203,126.9028902,2019-04-30
서울특별시 영등포구,서울특별시 영등포구 도영로 2-5 대림코오롱APT 104동 부근 APT출입구앞,서울특별시 영등포구 대림동 607-1 대림코오롱APT 104동 부근 APT출입구앞,생활방범,1,200,360도 전방면,30,Dec-13,02-2670-4069,37.50694958,126.8942344,2019-04-30
서울특별시 영등포구,서울특별시 영등포구 영중로18길 12영상빌딩앞,서울특별시 영등포구 영등포동5가 42-9 영상빌딩앞,생활방범,1,200,360도 전방면,30,Dec-13,02-2670-4069,37.52104723,126.9062956,2019-04-30
서울특별시 영등포구,서울특별시 영등포구 국회대로56길 19한강성심병원 장례식장 사이골목,서울특별시 영등포구 영등포동7가 94-249 한강성심병원 장례식장 사이골목,생활방범,1,200,360도 전방면,30,Dec-13,02-2670-4069,37.52348798,126.909799,2019-04-30
서울특별시 영등포구,서울특별시 영등포구 대림로8가길 9,서울특별시 영등포구 대림동 988-10,생활방범,1,200,360도 전방면,30,Dec-13,02-2670-4069,37.48990762,126.9058192,2019-04-30
서울특별시 영등포구,서울특별시 영등포구 양산로17길 17사거리앞,서울특별시 영등포구 당산동3가 555-1 ~ 더파크365오피스텔 사이 사거리앞,생활방범,1,200,360도 전방면,30,Dec-13,02-2670-4069,37.52613691,126.8937467,2019-04-30
서울특별시 영등포구,서울특별시 영등포구 도림로57길 10-2,서울특별시 영등포구 대림동 752-45,생활방범,1,200,360도 전방면,30,Dec-13,02-2670-4069,37.49747231,126.9021533,2019-04-30
서울특별시 영등포구,서울특별시 영등포구 영등포로79길 7혜영빌라앞,서울특별시 영등포구 신길동 65-102 혜영빌라앞,생활방범,1,200,360도 전방면,30,Dec-13,02-2670-4069,37.51447363,126.9212844,2019-04-30
서울특별시 영등포구,서울특별시 영등포구 영등포로 399-5,서울특별시 영등포구 신길동 69-17 대문앞,생활방범,1,200,360도 전방면,30,Dec-13,02-2670-4069,37.5138282,126.9223365,2019-04-30
서울특별시 영등포구,서울특별시 영등포구 당산로27길 12 당산근린공원1,서울특별시 영등포구 당산동3가 385 당산근린공원1,생활방범,1,200,360도 전방면,30,Jan-11,02-2670-4069,37.52562382,126.8951779,2019-04-30
서울특별시 영등포구,서울특별시 영등포구 당산로27길 12 당산근린공원2,서울특별시 영등포구 당산동3가 385 당산근린공원2,생활방범,1,200,360도 전방면,30,Jan-11,02-2670-4069,37.52505685,126.8956225,2019-04-30
서울특별시 영등포구,서울특별시 영등포구 영등포로27길 20-1,서울특별시 영등포구 당산동1가 186-107,쓰레기단속,1,41,360도 전방면,30,Jan-05,02-2670-4069,37.52280394,126.8994287,2019-04-30
서울특별시 영등포구,서울특별시 영등포구 당산로12길 19-1,서울특별시 영등포구 당산동1가 256-5,쓰레기단속,1,41,360도 전방면,30,Jan-05,02-2670-4069,37.5220854,126.8980568,2019-04-30
서울특별시 영등포구,서울특별시 영등포구 영신로43길 18삼거리앞,서울특별시 영등포구 당산동1가 185-82 삼거리앞,쓰레기단속,1,41,360도 전방면,30,Jan-09,02-2670-4069,37.52231507,126.8996436,2019-04-30
서울특별시 영등포구,서울특별시 영등포구 당산로20길 5,서울특별시 영등포구 당산동1가 310-3,쓰레기단속,1,200,360도 전방면,30,Dec-15,02-2670-4069,37.52352004,126.8966998,2019-04-30
서울특별시 영등포구,서울특별시 영등포구 영등포로27길 16사거리앞,서울특별시 영등포구 당산동1가 185-39 사거리앞,생활방범,1,130,360도 전방면,30,Sep-11,02-2670-4069,37.52234824,126.8992653,2019-04-30
서울특별시 영등포구,서울특별시 영등포구 영등포로25길 23-19삼거리 큰성당어린이집앞,서울특별시 영등포구 당산동1가 377-1 삼거리 큰성당어린이집앞,생활방범,3,200,360도 전방면,30,Nov-10,02-2670-4069,37.5232163,126.897223,2019-04-30
서울특별시 영등포구,서울특별시 영등포구 영등포로 112대우미래사랑3차APT 101동앞,서울특별시 영등포구 당산동2가 15-1 대우미래사랑3차APT 101동앞,생활방범,3,200,360도 전방면,30,Nov-10,02-2670-4069,37.52043705,126.893828,2019-04-30
서울특별시 영등포구,서울특별시 영등포구 영등포로19길 15삼거리앞,서울특별시 영등포구 당산동2가 123 삼거리앞,생활방범,3,200,360도 전방면,30,Nov-10,02-2670-4069,37.52334544,126.893062,2019-04-30
서울특별시 영등포구,서울특별시 영등포구 국회대로28길 13삼익APT 2동앞 사거리,서울특별시 영등포구 당산동3가 395-13 삼익APT 2동앞 사거리,생활방범,3,200,360도 전방면,30,Nov-10,02-2670-4069,37.52783668,126.8945732,2019-04-30
서울특별시 영등포구,서울특별시 영등포구 당산로16길 4,서울특별시 영등포구 당산동1가 254-52,생활방범,1,200,360도 전방면,30,Jan-13,02-2670-4069,37.52251799,126.8963908,2019-04-30
서울특별시 영등포구,서울특별시 영등포구 영신로39길 16삼거리앞,서울특별시 영등포구 당산동1가 104-5 삼거리 담벼락앞,생활방범,1,130,360도 전방면,30,Jul-13,02-2670-4069,37.52175503,126.8995429,2019-04-30
서울특별시 영등포구,서울특별시 영등포구 국회대로34길 5-3,서울특별시 영등포구 당산동3가 151-1,생활방범,1,130,360도 전방면,30,Jan-13,02-2670-4069,37.5269668,126.8978048,2019-04-30
서울특별시 영등포구,서울특별시 영등포구 영신로45길 9-2,서울특별시 영등포구 당산동1가 186-95,생활방범,3,200,360도 전방면,30,Jan-10,02-2670-4069,37.52281389,126.900506,2019-04-30
