관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
용산구청,,서울특별시 용산구 후암동 30-93,생활방범,4,,,,,02-2199-6662,37.551584,126.978868,2019-07-31
용산구청,서울특별시 용산구 한강대로102길 51,서울특별시 용산구 후암동 123-16,생활방범,3,,,,,02-2199-6662,37.549328,126.974868,2019-07-31
용산구청,서울특별시 용산구 두텁바위로1길 86,서울특별시 용산구 후암동 160-1,생활방범,3,,,,,02-2199-6662,37.547592,126.975769,2019-07-31
용산구청,,서울특별시 용산구 후암동 167-2,생활방범,3,,,,,02-2199-6662,37.54645,126.975146,2019-07-31
용산구청,서울특별시 용산구 후암로16길 27,서울특별시 용산구 후암동 244-99,생활방범,3,,,,,02-2199-6662,37.548482,126.979252,2019-07-31
용산구청,,서울특별시 용산구 후암동 283-5,생활방범,3,,,,,02-2199-6662,37.5479,126.980263,2019-07-31
용산구청,,서울특별시 용산구 후암동 302-1,생활방범,3,,,,,02-2199-6662,37.549177,126.98027,2019-07-31
용산구청,서울특별시 용산구 두텁바위로58길 17,서울특별시 용산구 후암동 358-63,생활방범,3,,,,,02-2199-6662,37.549616,126.982527,2019-07-31
용산구청,,서울특별시 용산구 후암동 1-59,생활방범,3,,,,,02-2199-6662,37.552467,126.976783,2019-07-31
용산구청,,서울특별시 용산구 후암동 406-109,생활방범,4,,,,,02-2199-6662,37.54824,126.983918,2019-07-31
용산구청,서울특별시 용산구 두텁바위로40길 2,서울특별시 용산구 후암동 404-61,생활방범,3,,,,,02-2199-6662,37.547245,126.981821,2019-07-31
용산구청,,서울특별시 용산구 후암동 448-29,생활방범,3,,,,,02-2199-6662,37.553241,126.978719,2019-07-31
용산구청,서울특별시 용산구 후암로13가길 25,서울특별시 용산구 후암동 239-1,기타,3,,,,,02-2199-6662,37.548155,126.976278,2019-07-31
용산구청,서울특별시 용산구 후암로13가길 25,서울특별시 용산구 후암동 239-1,기타,3,,,,,02-2199-6662,37.548053,126.976501,2019-07-31
용산구청,,서울특별시 용산구 후암동 25-1,생활방범,3,,,,,02-2199-6662,37.551059,126.977431,2019-07-31
용산구청,,서울특별시 용산구 후암동 336-41,생활방범,4,,,,,02-2199-6662,37.550038,126.981518,2019-07-31
용산구청,,서울특별시 용산구 후암동 55-12,생활방범,3,,,,,02-2199-6662,37.549802,126.979413,2019-07-31
용산구청,,서울특별시 용산구 후암동 410-26,생활방범,3,,,,,02-2199-6662,37.547139,126.982841,2019-07-31
용산구청,,서울특별시 용산구 후암동 142-103,생활방범,3,,,,,02-2199-6662,37.548053,126.974861,2019-07-31
용산구청,서울특별시 용산구 소월로2다길 1,서울특별시 용산구 후암동 448-158,생활방범,3,,,,,02-2199-6662,37.553732,126.977711,2019-07-31
용산구청,,서울특별시 용산구 후암동 116-21,생활방범,4,,,,,02-2199-6662,37.549136,126.976056,2019-07-31
용산구청,서울특별시 용산구 후암로 69-1,서울특별시 용산구 후암동 95-3,생활방범,3,,,,,02-2199-6662,37.552154,126.976705,2019-07-31
용산구청,서울특별시 용산구 후암로13가길 25,서울특별시 용산구 후암동 239-1,어린이보호,4,,,,,02-2199-6662,37.548388,126.97635,2019-07-31
