관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
서울특별시 은평구청,,서울특별시 은평구 진관동 175 기자촌공원내,기타,4,200,360도 전방면,30,Dec-14,02-351-8007,37.633574,126.937772,2019-07-01
서울특별시 은평구청,,서울특별시 은평구 진관동 175 기자촌공원내,기타,3,200,360도 전방면,30,Dec-14,02-351-8007,37.633487,126.938743,2019-07-01
서울특별시 은평구청,,서울특별시 은평구 진관동 175 기자촌공원내,기타,4,200,360도 전방면,30,Dec-14,02-351-8007,37.63285,126.93875,2019-07-01
서울특별시 은평구청,,서울특별시 은평구 진관동 175 기자촌공원내,기타,4,200,360도 전방면,30,Dec-14,02-351-8007,37.632892,126.937549,2019-07-01
서울특별시 은평구청,,서울특별시 은평구 진관동 175 기자촌공원내,기타,4,200,360도 전방면,30,Dec-14,02-351-8007,37.632416,126.936512,2019-07-01
서울특별시 은평구청,,서울특별시 은평구 진관동 175 기자촌공원내,기타,4,200,360도 전방면,30,Dec-14,02-351-8007,37.631732,126.934947,2019-07-01
서울특별시 은평구청,,서울특별시 은평구 진관동 175 기자촌공원내,기타,4,200,360도 전방면,30,Dec-14,02-351-8007,37.634594,126.936183,2019-07-01
서울특별시 은평구청,,서울특별시 은평구 진관동 175 기자촌공원내,기타,4,200,360도 전방면,30,Dec-14,02-351-8007,37.63517,126.936271,2019-07-01
서울특별시 은평구청,서울특별시 은평구 서오릉로20길 15-1,서울특별시 은평구 갈현2동 327-21 (갈현동 327-113뒤),기타,2,200,360도 전방면,30,May-19,02-351-8007,37.6168641,126.9091355,2019-07-01
서울특별시 은평구청,서울특별시 은평구 서오릉로20길 15-1,서울특별시 은평구 갈현2동 327-21 (갈현동 327-113뒤),기타,2,200,360도 전방면,30,May-19,02-351-8007,37.6168641,126.9091355,2019-07-01
