관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
서울특별시 종로구청,서울특별시 종로구 옥인6가길 8,서울특별시 종로구 누상동 166-121,생활방범,3,200,360도전방면,30,Dec-13,02-2148-4301,37.5815212,126.9647453,2019-09-18
서울특별시 종로구청,서울특별시 종로구 옥인6길 39,서울특별시 종로구 누상동 166-16 건물 앞 주차장입구,생활방범,2,200,360도전방면,30,Dec-13,02-2148-4301,37.5803648,126.9649096,2019-09-18
서울특별시 종로구청,서울특별시 종로구 옥인6길 23,서울특별시 종로구 누상동 166-125,생활방범,2,200,360도전방면,30,Dec-13,02-2148-4301,37.5809943,126.9646711,2019-09-18
서울특별시 종로구청,서울특별시 종로구 옥인6길 32,서울특별시 종로구 누상동 166-214 건물 옆 전신주,생활방범,1,200,360도전방면,30,Dec-13,02-2148-4301,37.5807521,126.9645929,2019-09-18
서울특별시 종로구청,서울특별시 종로구 옥인3길 32-1,서울특별시 종로구 누상동 166-3,생활방범,3,200,360도전방면,30,Dec-13,02-2148-4301,37.5798557,126.9656311,2019-09-18
서울특별시 종로구청,서울특별시 종로구 옥인길 40,서울특별시 종로구 옥인동 171-1,생활방범,4,200,360도전방면,30,Dec-13,02-2148-4301,37.581074,126.9665664,2019-09-18
서울특별시 종로구청,서울특별시 종로구 필운대로5나길 26,서울특별시 종로구 누상동 80,생활방범,3,200,360도전방면,30,Dec-13,02-2148-4301,37.5800428,126.9670403,2019-09-18
서울특별시 종로구청,서울특별시 종로구 자하문로23길 19,서울특별시 종로구 신교동 17-47,생활방범,3,200,360도전방면,30,Dec-13,02-2148-4301,37.5833447,126.9692591,2019-09-18
서울특별시 종로구청,서울특별시 종로구 필운대로 116,서울특별시 종로구 신교동 59 새마을금고,생활방범,2,200,360도전방면,30,Dec-13,02-2148-4301,37.5836571,126.9700541,2019-09-18
서울특별시 종로구청,서울특별시 종로구 필운대로13길 17-1,서울특별시 종로구 신교동 2-20 건물 앞,생활방범,2,200,360도전방면,30,Dec-13,02-2148-4301,37.5848996,126.9665486,2019-09-18
서울특별시 종로구청,서울특별시 종로구 자하문로14길 13,서울특별시 종로구 창성동 98-2,생활방범,2,200,360도전방면,30,Dec-13,02-2148-4301,37.5807457,126.9715841,2019-09-18
서울특별시 종로구청,서울특별시 종로구 자하문로30길 15,서울특별시 종로구 청운동 82,생활방범,3,200,360도전방면,30,Dec-13,02-2148-4301,37.5855396,126.9708094,2019-09-18
서울특별시 종로구청,서울특별시 종로구 자하문로33다길 28,서울특별시 종로구 청운동 52-50,생활방범,2,200,360도전방면,30,Dec-13,02-2148-4301,37.5874034,126.9669442,2019-09-18
서울특별시 종로구청,서울특별시 종로구 자하문로33가길 6,서울특별시 종로구 청운동 52-6,생활방범,2,200,360도전방면,30,Dec-13,02-2148-4301,37.5865421,126.968496,2019-09-18
서울특별시 종로구청,서울특별시 종로구 자하문로33가길 27,서울특별시 종로구 청운동 53-76 건물근처,생활방범,3,200,360도전방면,30,Dec-13,02-2148-4301,37.5874392,126.9682526,2019-09-18
서울특별시 종로구청,서울특별시 종로구 자하문로33길 2,서울특별시 종로구 청운동 59-1 큰도로쪽,생활방범,3,200,360도전방면,30,Dec-13,02-2148-4301,37.5861563,126.9697151,2019-09-18
