관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
서울특별시 중구,서울특별시 중구 손기정로 101 (만리동2가),서울특별시 중구 만리동1가 57-7,생활방범,1,200,손기정체육공원 관리사무소앞,30,Feb-18,02-3396-4744,37.555239,126.964572,2019-05-28
서울특별시 중구,서울특별시 중구 손기정로 101 (만리동2가),서울특별시 중구 만리동2가 6-1,생활방범,1,130,손기정체육공원 체육생활관,30,Jul-12,02-3396-4744,37.555758,126.964083,2019-05-28
서울특별시 중구,서울특별시 중구 손기정로 101 (만리동2가),서울특별시 중구 만리동2가 6-1,생활방범,1,200,손기정체육공원 정문출입구,30,Feb-18,02-3396-4744,37.555316,126.964395,2019-05-28
서울특별시 중구,서울특별시 중구 손기정로 101 (만리동2가),서울특별시 중구 만리동2가 6-1,생활방범,1,130,손기정체육공원 후문출입구,30,Jul-12,02-3396-4744,37.556724,126.966318,2019-05-28
서울특별시 중구,서울특별시 중구 매봉18길 79 (금호동2가),서울특별시 중구 약수동 333-771,생활방범,1,200,응봉근린공원 도로변 화장실,30,Apr-17,02-3396-4744,37.55453372,127.0169896,2019-05-28
서울특별시 중구,서울특별시 중구 칠패로 27 (순화동),서울특별시 중구 순화동 9-5,생활방범,1,200,순화공원 광장뒤,30,May-13,02-3396-4744,37.560286,126.971651,2019-05-28
서울특별시 중구,서울특별시 중구 칠패로 27 (순화동),서울특별시 중구 순화동 9-5,생활방범,1,200,순화공원 펜스옆,30,Jan-14,02-3396-4744,37.559958,126.971562,2019-05-28
서울특별시 중구,서울특별시 중구 매봉18길 11 (금호동3가),서울특별시 중구 약수동 산55,생활방범,1,200,응봉공원,30,Sep-17,02-3396-4744,37.550378,127.013653,2019-05-28
서울특별시 중구,서울특별시 중구 매봉18길 11 (금호동3가),서울특별시 중구 약수동 844-10,생활방범,1,200,응봉공원,30,Sep-17,02-3396-4744,37.548794,127.010394,2019-05-28
서울특별시 중구,서울특별시 중구 매봉18길 11 (금호동3가),서울특별시 중구 약수동 351-104,생활방범,1,200,응봉공원,30,Sep-17,02-3396-4744,37.544995,127.00817,2019-05-28
서울특별시 중구,서울특별시 중구 정동길 21-8,서울특별시 중구 정동 15-1,생활방범,2,200,정동근린공원,30,Jan-14,02-3396-4744,37.568377,126.971341,2019-05-28
서울특별시 중구,서울특별시 중구 정동길 21-8,서울특별시 중구 정동 15-1,생활방범,2,200,정동근린공원,30,Jan-14,02-3396-4744,37.56792,126.97164,2019-05-28
서울특별시 중구,서울특별시 중구 통일로 102 옆,서울특별시 중구 의주로1가 44-2,생활방범,2,200,의주로소공원,30,Jan-14,02-3396-4744,37.563955,126.968679,2019-05-28
서울특별시 중구,서울특별시 중구 중구 남대문로10길 29 옆,서울특별시 중구 삼각동 118,생활방범,2,200,한빛미디어파크,30,Feb-18,02-3396-4744,37.568213,126.984877,2019-05-28
서울특별시 중구,서울특별시 중구 을지로 3길 49,서울특별시 중구 다동 51-2,생활방범,2,200,다동소공원,30,Jan-14,02-3396-4744,37.568163,126.980836,2019-05-28
서울특별시 중구,서울특별시 중구 을지로 3길 49,서울특별시 중구 다동 51-2,생활방범,2,200,다동소공원 화장실 앞,30,Jan-14,02-3396-4744,37.56807,126.980653,2019-05-28
서울특별시 중구,서울특별시 중구 퇴계로 303-9 옆,서울특별시 중구 광희동 1가 238,생활방범,2,200,쌍림어린이공원,30,Feb-18,02-3396-4744,37.564287,127.005003,2019-05-28
서울특별시 중구,서울특별시 중구 퇴계로 45길 32-12,서울특별시 중구 충무로5가 21,생활방범,2,200,묵정어린이공원,30,May-18,02-3396-4744,37.56389,127.000153,2019-05-28
서울특별시 중구,서울특별시 중구 퇴계로 45길 32-12,서울특별시 중구 충무로5가 21,생활방범,2,200,묵정어린이공원,30,Jan-14,02-3396-4744,37.563781,126.999448,2019-05-28
서울특별시 중구,서울특별시 중구,서울특별시 중구 정동 34-31,생활방범,2,200,배재공원,30,Jan-14,02-3396-4744,37.564228,126.9727401,2019-05-28
서울특별시 중구,서울특별시 중구 동호로 11차길 1 옆,서울특별시 중구 다산동 432-517,생활방범,2,200,충현어린이공원,30,Jan-14,02-3396-4744,37.552099,127.005081,2019-05-28
서울특별시 중구,서울특별시 중구 동호로 11차길 1 옆,서울특별시 중구 다산동 432-517,생활방범,2,200,충현어린이공원,30,Jan-14,02-3396-4744,37.552165,127.004883,2019-05-28
서울특별시 중구,서울특별시 중구 동호로 11자길 19 옆,서울특별시 중구 다산동 432-1971,생활방범,2,200,늘푸른어린이공원,30,Jan-14,02-3396-4744,37.551162,127.005732,2019-05-28
서울특별시 중구,서울특별시 중구 다산로14길 47,서울특별시 중구 청구동 340-15,생활방범,2,200,약수어린이공원,30,Jan-14,02-3396-4744,37.555803,127.014,2019-05-28
서울특별시 중구,서울특별시 중구 다산로14길 47,서울특별시 중구 청구동 340-15,생활방범,2,200,약수어린이공원,30,Jan-14,02-3396-4744,37.555576,127.013793,2019-05-28
서울특별시 중구,서울특별시 중구 난계로 6길 8,서울특별시 중구 신당5동 산12-75,생활방범,2,200,무학봉근린공원,30,Jan-14,02-3396-4744,37.562486,127.024522,2019-05-28
서울특별시 중구,서울특별시 중구 난계로 6길 8,서울특별시 중구 신당5동 산12-75,생활방범,2,200,무학봉근린공원,30,Jan-14,02-3396-4744,37.562546,127.024957,2019-05-28
서울특별시 중구,서울특별시 중구 난계로 6길 8,서울특별시 중구 신당5동 산12-75,생활방범,2,200,무학봉근린공원,30,Feb-18,02-3396-4744,37.562913,127.025051,2019-05-28
서울특별시 중구,서울특별시 중구 다산로42나길 12 앞,서울특별시 중구 다산동 122-10,생활방범,2,200,다산어린이공원,30,Jan-14,02-3396-4744,37.563662,127.018424,2019-05-28
서울특별시 중구,서울특별시 중구 다산로42나길 12 앞,서울특별시 중구 다산동 122-10,생활방범,2,200,다산어린이공원,30,Feb-18,02-3396-4744,37.563894,127.018922,2019-05-28
서울특별시 중구,서울특별시 중구 다산로33가길 17 앞,서울특별시 중구 신당동 241-26,생활방범,2,200,신당동떡볶이마을마당,30,Jan-14,02-3396-4744,37.563383,127.014276,2019-05-28
서울특별시 중구,서울특별시 중구 동호로 8나길 15,서울특별시 중구 약수동 349-214,생활방범,2,200,약수동마을마당,30,Jan-14,02-3396-4744,37.552819,127.012604,2019-05-28
서울특별시 중구,서울특별시 중구 다산로 24길 23 맞은편,서울특별시 중구 청구동 333-370,생활방범,2,200,청구동마을마당,30,Jan-14,02-3396-4744,37.556129,127.016358,2019-05-28
서울특별시 중구,서울특별시 중구 다산로 24길 23 맞은편,서울특별시 중구 청구동 333-370,생활방범,2,200,청구동마을마당,30,Apr-18,02-3396-4744,37.555859,127.016294,2019-05-28
서울특별시 중구,서울특별시 중구 퇴계로 36가길 60 앞,서울특별시 중구 필동 2가 111-2,생활방범,2,200,필동마을마당,30,Jan-14,02-3396-4744,37.557823,126.995394,2019-05-28
서울특별시 중구,서울특별시 중구 동호로11차길 1 옆,서울특별시 중구 다산동 432-813,생활방범,2,200,충현마을마당,30,Feb-18,02-3396-4744,37.552579,127.005797,2019-05-28
서울특별시 중구,서울특별시 중구 동호로 15길 60 옆,서울특별시 중구 다산동 432-1584,생활방범,2,200,다산동마을마당,30,Jan-14,02-3396-4744,37.554279,127.008593,2019-05-28
서울특별시 중구,서울특별시 중구 서소문로2길 46 위,서울특별시 중구 중림동 1046,생활방범,2,200,충정녹지대,30,Jan-14,02-3396-4744,37.557191,126.963249,2019-05-28
서울특별시 중구,서울특별시 중구 청구로1길 23,서울특별시 중구 신당동 843,생활방범,2,200,용봉근린공원,30,Jan-14,02-3396-4744,37.557572,127.017005,2019-05-28
서울특별시 중구,서울특별시 중구 다산로36가길26-14,서울특별시 중구 신당5동57-295,생활방범,3,200,꿈누리어린이공원,30,Nov-14,02-3396-4744,37.5605853,127.0206778,2019-05-28
서울특별시 중구,서울특별시 중구 다산로36길64 114동뒤,서울특별시 중구 동화동45-42,생활방범,3,200,동화어린이공원,30,Nov-14,02-3396-4744,37.560174,127.018256,2019-05-28
서울특별시 중구,서울특별시 중구 다산로36길64 114동뒤,서울특별시 중구 동화동45-42,생활방범,3,200,동화어린이공원,30,May-18,02-3396-4744,37.560058,127.018157,2019-05-28
서울특별시 중구,서울특별시 중구 동호로5길19,서울특별시 중구 약수동309-262,생활방범,3,200,금호터널 쉼터,30,Nov-14,02-3396-4744,37.5514986,127.0133512,2019-05-28
서울특별시 중구,서울특별시 중구 다산로48길33,서울특별시 중구 황학동 755,생활방범,5,200,황학어린이공원1,30,Dec-15,02-3396-4744,37.5679118,127.018121,2019-05-28
서울특별시 중구,서울특별시 중구 다산로48길33,서울특별시 중구 황학동 755,생활방범,3,200,황학어린이공원2,30,Dec-15,02-3396-4744,37.567439,127.017971,2019-05-28
서울특별시 중구,서울특별시 중구 신당동294-40,서울특별시 중구 신당동294-40,생활방범,3,200,청구역 쉼터,30,Dec-15,02-3396-4744,37.559914,127.013956,2019-05-28
서울특별시 중구,서울특별시 중구 태평로1가2-2,서울특별시 중구 태평로1가2-2,생활방범,3,200,무교소공원,30,Dec-15,02-3396-4744,37.568953,126.977344,2019-05-28
서울특별시 중구,서울특별시 중구 신당동296-15,서울특별시 중구 신당동296-15,생활방범,2,130,신당동마을마당,30,Jul-12,02-3396-4744,37.560564,127.01346,2019-05-28
서울특별시 중구,서울특별시 중구 서소문로89-31,서울특별시 중구 순화동 3-12,생활방범,3,200,순화어린이공원,30,Jul-16,02-3396-4744,37.563526,126.9712644,2019-05-28
서울특별시 중구,서울특별시 중구 서소문로89-31,서울특별시 중구 순화동 3-12,생활방범,3,200,순화어린이공원,30,Jul-16,02-3396-4744,37.563422,126.971315,2019-05-28
서울특별시 중구,서울특별시 중구 퇴계로 36가길 60 앞,서울특별시 중구 필동 2가 111-2,생활방범,2,200,필동마을마당 엘리베이터 내,30,Jun-16,02-3396-4744,37.557949,126.995473,2019-05-28
서울특별시 중구,서울특별시 중구 삼일대로 340,서울특별시 중구 저동1가 1-14,생활방범,3,200,남대문세무서 앞 저동어린이공원,30,Dec-16,02-3396-4744,37.564642,126.988488,2019-05-28
서울특별시 중구,서울특별시 중구 명동길 91-1,서울특별시 중구 저동1가 90-10,생활방범,4,200,명동문화공원,30,Dec-16,02-3396-4744,37.564718,126.987226,2019-05-28
서울특별시 중구,서울특별시 중구 명동길 91-1,서울특별시 중구 저동1가 90-10,생활방범,4,200,명동문화공원,30,Dec-16,02-3396-4744,37.564796,126.987226,2019-05-28
서울특별시 중구,서울특별시 중구 명동길 91-1,서울특별시 중구 저동1가 90-10,생활방범,4,200,명동문화공원,30,Dec-16,02-3396-4744,37.564795,126.987117,2019-05-28
서울특별시 중구,서울특별시 중구 명동길 91-1,서울특별시 중구 저동1가 90-10,생활방범,4,200,명동문화공원,30,Dec-16,02-3396-4744,37.564695,126.987103,2019-05-28
서울특별시 중구,서울특별시 중구 다동길13,서울특별시 중구 다동 45-6,생활방범,4,200,다동소공원,30,Jul-17,02-3396-4744,37.567986,126.980421,2019-05-28
서울특별시 중구,서울특별시 중구 만리재로 21길 9,서울특별시 중구 만리동2가 218-26,생활방범,3,200,만리재 공원,30,Sep-17,02-3396-4744,37.552609,126.962871,2019-05-28
서울특별시 중구,서울특별시 중구 만리재로 21길 9,서울특별시 중구 만리동2가 218-26,생활방범,3,200,만리재 공원,30,Sep-17,02-3396-4744,37.552573,126.962836,2019-05-28
서울특별시 중구,서울특별시 중구,서울특별시 중구 신당동 837-4,생활방범,1,200,대현산배수지 공원,30,Sep-18,02-3396-4744,37.5595,127.0206,2019-05-28
서울특별시 중구,서울특별시 중구,서울특별시 중구 신당동 837-4,생활방범,3,200,대현산배수지 공원,30,Sep-18,02-3396-4744,37.5593,127.0208,2019-05-28
서울특별시 중구,서울특별시 중구,서울특별시 중구 신당동 837-4,생활방범,2,200,대현산배수지 공원,30,Sep-18,02-3396-4744,37.55925,127.0209,2019-05-28
서울특별시 중구,서울특별시 중구 칠패로 5,서울특별시 중구 의주로2가 16-4,생활방범,2,200,서소문역사공원,30,Apr-19,02-3396-4744,37.561332,126.968414,2019-05-28
서울특별시 중구,서울특별시 중구 칠패로 5,서울특별시 중구 의주로2가 16-4,생활방범,1,200,서소문역사공원,30,Apr-19,02-3396-4744,37.560825,126.968627,2019-05-28
서울특별시 중구,서울특별시 중구 칠패로 5,서울특별시 중구 의주로2가 16-4,생활방범,2,200,서소문역사공원,30,Apr-19,02-3396-4744,37.56076,126.968948,2019-05-28
서울특별시 중구,서울특별시 중구 칠패로 5,서울특별시 중구 의주로2가 16-4,생활방범,2,200,서소문역사공원,30,Apr-19,02-3396-4744,37.560006,126.969342,2019-05-28
서울특별시 중구,서울특별시 중구 칠패로 5,서울특별시 중구 의주로2가 16-4,생활방범,2,200,서소문역사공원,30,Apr-19,02-3396-4744,37.559894,126.970283,2019-05-28
서울특별시 중구,서울특별시 중구 칠패로 5,서울특별시 중구 의주로2가 16-4,생활방범,2,200,서소문역사공원,30,Apr-19,02-3396-4744,37.560207,126.970268,2019-05-28
서울특별시 중구,서울특별시 중구 칠패로 5,서울특별시 중구 의주로2가 16-4,생활방범,1,200,서소문역사공원,30,Apr-19,02-3396-4744,37.560409,126.969889,2019-05-28
서울특별시 중구,서울특별시 중구 칠패로 5,서울특별시 중구 의주로2가 16-4,생활방범,2,200,서소문역사공원,30,Apr-19,02-3396-4744,37.560733,126.96968,2019-05-28
