관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
서울특별시 중랑구청,서울특별시 중랑구 봉화산로27길 42,서울특별시 중랑구 중화1동 21-9,생활방범,4,200,0,30,Jan-08,02-2094-0284,37.6036701,127.0830255,2019-09-11
서울특별시 중랑구청,서울특별시 중랑구 봉화산로30길 19,서울특별시 중랑구 중화1동 126,생활방범,1,200,0,30,Jan-08,02-2094-0284,37.6010783,127.0853121,2019-09-11
서울특별시 중랑구청,서울특별시 중랑구 상봉중앙로9길 20,서울특별시 중랑구 중화1동 9-3,생활방범,2,200,0,30,Aug-08,02-2094-0284,37.6018713,127.0861592,2019-09-11
서울특별시 중랑구청,서울특별시 중랑구 동일로140길 16,서울특별시 중랑구 중화1동 281-1,생활방범,4,200,0,30,Mar-09,02-2094-0284,37.604112,127.080062,2019-09-11
서울특별시 중랑구청,서울특별시 중랑구 봉화산로26길 28,서울특별시 중랑구 중화1동 148-48,생활방범,4,200,0,30,Sep-09,02-2094-0284,37.6005639,127.0836775,2019-09-11
서울특별시 중랑구청,서울특별시 중랑구 동일로126길 18,서울특별시 중랑구 중화1동 295-41,생활방범,1,200,0,30,Sep-09,02-2094-0284,37.598835,127.0812988,2019-09-11
서울특별시 중랑구청,서울특별시 중랑구 봉화산로24길 9-8,서울특별시 중랑구 중화1동 148,생활방범,3,200,0,30,Mar-10,02-2094-0284,37.600941,127.0833988,2019-09-11
서울특별시 중랑구청,서울특별시 중랑구 동일로138길 10,서울특별시 중랑구 중화1동 285-9,생활방범,4,200,0,30,Mar-10,02-2094-0284,37.6030646,127.0799038,2019-09-11
서울특별시 중랑구청,서울특별시 중랑구 봉화산로21길 15,서울특별시 중랑구 중화1동 86-9,생활방범,1,200,0,30,Mar-10,02-2094-0284,37.6025075,127.0818382,2019-09-11
서울특별시 중랑구청,서울특별시 중랑구 봉화산로26길 62,서울특별시 중랑구 중화1동 178-97,생활방범,4,200,0,30,Mar-10,02-2094-0284,37.59916255,127.0828325,2019-09-11
서울특별시 중랑구청,서울특별시 중랑구 동일로144가길 25-20,서울특별시 중랑구 중화1동 274-49,생활방범,1,200,0,30,Mar-10,02-2094-0284,37.6066628,127.0817947,2019-09-11
서울특별시 중랑구청,서울특별시 중랑구 봉화산로35길 22,서울특별시 중랑구 중화1동 445-1,생활방범,1,200,0,30,Mar-10,02-2094-0284,37.6036064,127.0859732,2019-09-11
