지방청,관서,발생건수(2014년)
서울,서울중부경찰서,8049 
서울,서울종로경찰서,6824 
서울,서울남대문경찰서,6572 
서울,서울서대문경찰서,10760 
서울,서울혜화경찰서,6943 
서울,서울용산경찰서,10952 
서울,서울성북경찰서,6389 
서울,서울동대문경찰서,12537 
서울,서울마포경찰서,14750 
서울,서울영등포경찰서,19076 
서울,서울성동경찰서,9634 
서울,서울동작경찰서,10494 
서울,서울광진경찰서,14669 
서울,서울서부경찰서,5517 
서울,서울강북경찰서,10550 
서울,서울금천경찰서,12308 
서울,서울중랑경찰서,12498 
서울,서울강남경찰서,21092 
서울,서울관악경찰서,15814 
서울,서울강서경찰서,15121 
서울,서울강동경찰서,13014 
서울,서울종암경찰서,5653 
서울,서울구로경찰서,14377 
서울,서울서초경찰서,15581 
서울,서울양천경찰서,12690 
서울,서울송파경찰서,20028 
서울,서울노원경찰서,12562 
서울,서울방배경찰서,4644 
서울,서울은평경찰서,7274 
서울,서울도봉경찰서,7561 
서울,서울수서경찰서,12058 
부산,부산지방경찰청,6 
부산,부산중부경찰서,4871 
부산,부산동래경찰서,10019 
부산,부산영도경찰서,3589 
부산,부산동부경찰서,6245 
부산,부산진경찰서,18210 
부산,부산서부경찰서,4619 
부산,부산남부경찰서,14696 
부산,부산해운대경찰서,13838 
부산,부산사상경찰서,10675 
부산,부산금정경찰서,9272 
부산,부산사하경찰서,10567 
부산,부산연제경찰서,9792 
부산,부산강서경찰서,4325 
부산,부산북부경찰서,8256 
부산,부산기장경찰서,4775 
대구,대구중부경찰서,8476 
대구,대구동부경찰서,13588 
대구,대구서부경찰서,9324 
대구,대구남부경찰서,7497 
대구,대구북부경찰서,7720 
대구,대구수성경찰서,14039 
대구,대구달서경찰서,9075 
대구,대구성서경찰서,13160 
대구,대구달성경찰서,5532 
대구,대구강북경찰서,7342 
인천,인천중부경찰서,9400 
인천,인천남부경찰서,17173 
인천,인천남동경찰서,16689 
인천,인천부평경찰서,9664 
인천,인천삼산경찰서,7613 
인천,인천서부경찰서,14630 
인천,인천계양경찰서,9352 
인천,인천연수경찰서,7991 
인천,인천강화경찰서,1698 
광주,광주동부경찰서,6938 
광주,광주서부경찰서,16445 
광주,광주남부경찰서,7256 
광주,광주북부경찰서,18252 
광주,광주광산경찰서,15931 
대전,대전중부경찰서,9658 
대전,대전동부경찰서,8532 
대전,대전서부경찰서,6554 
대전,대전대덕경찰서,5756 
대전,대전둔산경찰서,17065 
울산,울산중부경찰서,12245 
울산,울산남부경찰서,13768 
울산,울산동부경찰서,7059 
울산,울산울주경찰서,8095 
경기,경기수원중부경찰서,12973 
경기,경기수원남부경찰서,17635 
경기,경기수원서부경찰서,10225 
경기,경기안양동안경찰서,9586 
경기,경기안양만안경찰서,8353 
경기,경기군포경찰서,7638 
경기,경기성남수정경찰서,8412 
경기,경기성남중원경찰서,9687 
경기,경기분당경찰서,12717 
경기,경기부천소사경찰서,6914 
경기,경기부천원미경찰서,21196 
경기,경기부천오정경찰서,6346 
경기,경기의정부경찰서,15593 
경기,경기고양경찰서,13406 
경기,경기일산경찰서,17673 
경기,경기광명경찰서,9693 
경기,경기안산단원경찰서,15138 
경기,경기안산상록경찰서,11612 
경기,경기시흥경찰서,17081 
경기,경기평택경찰서,19897 
경기,경기남양주경찰서,15122 
경기,경기화성동부경찰서,15336 
경기,경기화성서부경찰서,9287 
경기,경기용인동부경찰서,12995 
경기,경기용인서부경찰서,7407 
경기,경기광주경찰서,9086 
경기,경기파주경찰서,13671 
경기,경기김포경찰서,9631 
경기,경기과천경찰서,1755 
경기,경기의왕경찰서,3439 
경기,경기양주경찰서,6969 
경기,경기동두천경찰서,3814 
경기,경기구리경찰서,7354 
경기,경기하남경찰서,4614 
경기,경기이천경찰서,7187 
경기,경기포천경찰서,6812 
경기,경기안성경찰서,6676 
경기,경기여주경찰서,3927 
경기,경기양평경찰서,2874 
경기,경기가평경찰서,3104 
경기,경기연천경찰서,1555 
강원,강원춘천경찰서,10609 
강원,강원강릉경찰서,7363 
강원,강원원주경찰서,12834 
강원,강원동해경찰서,3242 
강원,강원태백경찰서,1301 
강원,강원속초경찰서,4319 
강원,강원삼척경찰서,2452 
강원,강원영월경찰서,1020 
강원,강원정선경찰서,1587 
강원,강원홍천경찰서,2365 
강원,강원평창경찰서,1401 
강원,강원횡성경찰서,1351 
강원,강원고성경찰서,1007 
강원,강원인제경찰서,863 
강원,강원철원경찰서,1029 
강원,강원화천경찰서,502 
강원,강원양구경찰서,477 
충북,충북청주흥덕경찰서,12166 
충북,충북청주상당경찰서,7083 
충북,충북청주청원경찰서,7695 
충북,충북충주경찰서,7130 
충북,충북제천경찰서,4850 
충북,충북영동경찰서,1119 
충북,충북괴산경찰서,2011 
충북,충북단양경찰서,820 
충북,충북보은경찰서,824 
충북,충북옥천경찰서,1367 
충북,충북음성경찰서,3450 
충북,충북진천경찰서,2342 
충남,충남천안서북경찰서,13879 
충남,충남천안동남경찰서,10949 
충남,충남서산경찰서,6864 
충남,충남논산경찰서,4300 
충남,충남아산경찰서,8412 
충남,충남공주경찰서,3591 
충남,충남보령경찰서,3999 
충남,충남당진경찰서,5158 
충남,충남세종경찰서,3484 
충남,충남홍성경찰서,2875 
충남,충남예산경찰서,2142 
충남,충남부여경찰서,1771 
충남,충남서천경찰서,1440 
충남,충남금산경찰서,1515 
충남,충남청양경찰서,757 
전북,전북지방경찰청,1 
전북,전북전주완산경찰서,11307 
전북,전북전주덕진경찰서,9754 
전북,전북군산경찰서,10152 
