지방청,관서,검거건수(2014년)
서울,서울지방경찰청,4662 
서울,서울중부경찰서,5280 
서울,서울종로경찰서,4562 
서울,서울남대문경찰서,4022 
서울,서울서대문경찰서,8198 
서울,서울혜화경찰서,5560 
서울,서울용산경찰서,8128 
서울,서울성북경찰서,5126 
서울,서울동대문경찰서,9372 
서울,서울마포경찰서,10518 
서울,서울영등포경찰서,13305 
서울,서울성동경찰서,6972 
서울,서울동작경찰서,7506 
서울,서울광진경찰서,10147 
서울,서울서부경찰서,4215 
서울,서울강북경찰서,8290 
서울,서울금천경찰서,8075 
서울,서울중랑경찰서,9491 
서울,서울강남경찰서,14147 
서울,서울관악경찰서,10667 
서울,서울강서경찰서,11194 
서울,서울강동경찰서,9861 
서울,서울종암경찰서,4427 
서울,서울구로경찰서,9580 
서울,서울서초경찰서,9698 
서울,서울양천경찰서,8911 
서울,서울송파경찰서,14431 
서울,서울노원경찰서,9426 
서울,서울방배경찰서,3335 
서울,서울은평경찰서,5608 
서울,서울도봉경찰서,5819 
서울,서울수서경찰서,8330 
부산,부산지방경찰청,1700 
부산,부산중부경찰서,3585 
부산,부산동래경찰서,8125 
부산,부산영도경찰서,3211 
부산,부산동부경찰서,4396 
부산,부산진경찰서,13399 
부산,부산서부경찰서,3890 
부산,부산남부경찰서,10688 
부산,부산해운대경찰서,10944 
부산,부산사상경찰서,8210 
부산,부산금정경찰서,7425 
부산,부산사하경찰서,8285 
부산,부산연제경찰서,7370 
부산,부산강서경찰서,3371 
부산,부산북부경찰서,7039 
부산,부산기장경찰서,3784 
대구,대구지방경찰청,1081 
대구,대구중부경찰서,6137 
대구,대구동부경찰서,10834 
대구,대구서부경찰서,7348 
대구,대구남부경찰서,6025 
대구,대구북부경찰서,6106 
대구,대구수성경찰서,10744 
대구,대구달서경찰서,7024 
대구,대구성서경찰서,9804 
대구,대구달성경찰서,4231 
대구,대구강북경찰서,6528 
인천,인천지방경찰청,1496 
인천,인천중부경찰서,7495 
인천,인천남부경찰서,13229 
인천,인천남동경찰서,13153 
인천,인천부평경찰서,8201 
인천,인천삼산경찰서,6230 
인천,인천서부경찰서,11862 
인천,인천계양경찰서,7521 
인천,인천연수경찰서,6622 
인천,인천강화경찰서,1409 
광주,광주지방경찰청,421 
광주,광주동부경찰서,5375 
광주,광주서부경찰서,13459 
광주,광주남부경찰서,5845 
광주,광주북부경찰서,14238 
광주,광주광산경찰서,12533 
대전,대전지방경찰청,1002 
대전,대전중부경찰서,7544 
대전,대전동부경찰서,6737 
대전,대전서부경찰서,5401 
대전,대전대덕경찰서,4476 
대전,대전둔산경찰서,11763 
울산,울산지방경찰청,623 
울산,울산중부경찰서,9635 
울산,울산남부경찰서,11462 
울산,울산동부경찰서,5424 
울산,울산울주경찰서,6318 
경기,경기지방경찰청,1693 
경기,경기수원중부경찰서,10879 
경기,경기수원남부경찰서,13761 
경기,경기수원서부경찰서,7940 
경기,경기안양동안경찰서,7818 
경기,경기안양만안경찰서,6487 
경기,경기군포경찰서,6130 
경기,경기성남수정경찰서,6728 
경기,경기성남중원경찰서,7688 
경기,경기분당경찰서,9107 
경기,경기부천소사경찰서,5229 
경기,경기부천원미경찰서,15793 
경기,경기부천오정경찰서,4790 
경기,경기의정부경찰서,11996 
경기,경기고양경찰서,9655 
경기,경기일산동부경찰서,13506 
경기,경기광명경찰서,7124 
경기,경기안산단원경찰서,11454 
경기,경기안산상록경찰서,8753 
경기,경기시흥경찰서,13851 
경기,경기평택경찰서,15736 
경기,경기남양주경찰서,12616 
경기,경기화성동부경찰서,12404 
경기,경기화성서부경찰서,7093 
경기,경기용인동부경찰서,10622 
경기,경기용인서부경찰서,6036 
경기,경기광주경찰서,7169 
경기,경기파주경찰서,10013 
경기,경기김포경찰서,7653 
경기,경기과천경찰서,1432 
경기,경기의왕경찰서,2843 
경기,경기양주경찰서,5670 
경기,경기동두천경찰서,3074 
경기,경기구리경찰서,5966 
경기,경기하남경찰서,3459 
경기,경기이천경찰서,5746 
경기,경기포천경찰서,5628 
경기,경기안성경찰서,5349 
경기,경기여주경찰서,3059 
경기,경기양평경찰서,2413 
경기,경기가평경찰서,2432 
경기,경기연천경찰서,1270 
강원,강원지방경찰청,385 
강원,강원춘천경찰서,7919 
강원,강원강릉경찰서,5830 
강원,강원원주경찰서,9896 
강원,강원동해경찰서,2799 
강원,강원태백경찰서,1212 
강원,강원속초경찰서,3440 
강원,강원삼척경찰서,2006 
강원,강원영월경찰서,938 
강원,강원정선경찰서,1445 
강원,강원홍천경찰서,2031 
강원,강원평창경찰서,1101 
강원,강원횡성경찰서,1102 
강원,강원고성경찰서,844 
강원,강원인제경찰서,755 
강원,강원철원경찰서,874 
강원,강원화천경찰서,411 
강원,강원양구경찰서,421 
충북,충북지방경찰청,529 
충북,충북청주흥덕경찰서,9818 
충북,충북청주상당경찰서,5493 
충북,충북청주청원경찰서,6312 
충북,충북충주경찰서,5351 
충북,충북제천경찰서,4174 
충북,충북영동경찰서,951 
충북,충북괴산경찰서,1477 
충북,충북단양경찰서,701 
충북,충북보은경찰서,679 
충북,충북옥천경찰서,1150 
충북,충북음성경찰서,2648 
충북,충북진천경찰서,1703 
충남,충남지방경찰청,354 
충남,충남천안서북경찰서,9974 
충남,충남천안동남경찰서,7285 
충남,충남서산경찰서,5631 
충남,충남논산경찰서,3069 
충남,충남아산경찰서,6530 
충남,충남공주경찰서,2773 
충남,충남보령경찰서,3108 
충남,충남당진경찰서,4206 
충남,충남세종경찰서,2712 
충남,충남홍성경찰서,2128 
충남,충남예산경찰서,1662 
충남,충남부여경찰서,1587 
충남,충남서천경찰서,1281 
충남,충남금산경찰서,1162 
충남,충남청양경찰서,673 
전북,전북지방경찰청,548 
전북,전북전주완산경찰서,9666 
전북,전북전주덕진경찰서,8028 
전북,전북군산경찰서,8484 
전북,전북익산경찰서,8393 
전북,전북정읍경찰서,2816 
전북,전북남원경찰서,1863 
전북,전북김제경찰서,2216 
전북,전북완주경찰서,1853 
전북,전북고창경찰서,1189 
전북,전북부안경찰서,1323 
전북,전북임실경찰서,467 
전북,전북순창경찰서,510 
전북,전북진안경찰서,369 
전북,전북장수경찰서,344 
전북,전북무주경찰서,523 
전남,전남지방경찰청,378 
전남,전남목포경찰서,9054 
전남,전남여수경찰서,7789 
전남,전남순천경찰서,8199 
전남,전남나주경찰서,2646 
전남,전남광양경찰서,4099 
전남,전남고흥경찰서,1249 
전남,전남해남경찰서,1688 
전남,전남무안경찰서,1835 
전남,전남장흥경찰서,1055 
전남,전남보성경찰서,998 
전남,전남영광경찰서,1469 
전남,전남화순경찰서,1350 
전남,전남함평경찰서,688 
전남,전남영암경찰서,1802 
전남,전남장성경찰서,1017 
전남,전남강진경찰서,907 
