자치구,인구수
종로구,240314 
중구,201935 
용산구,277116 
성동구,339000 
광진구,403827 
동대문구,376537 
중랑구,394880 
성북구,460497 
강북구,333700 
도봉구,315069 
노원구,560035 
은평구,487851 
서대문구,377596 
마포구,467451 
양천구,423055 
강서구,573863 
구로구,405443 
금천구,208143 
영등포구,428442 
동작구,437037 
관악구,550356 
서초구,520445 
강남구,693432 
송파구,755490 
강동구,513026 
종로구,235456 
중구,197338 
용산구,274213 
성동구,338866 
광진구,402908 
동대문구,376721 
중랑구,396635 
성북구,461773 
강북구,334532 
도봉구,317382 
노원구,561778 
은평구,490791 
서대문구,377457 
마포구,461485 
양천구,424654 
강서구,576025 
구로구,403900 
금천구,208376 
영등포구,423483 
동작구,438477 
관악구,552256 
서초구,514942 
강남구,681217 
송파구,755025 
강동구,514668 
종로구,232102 
중구,192254 
용산구,272106 
성동구,339752 
광진구,402393 
동대문구,377468 
중랑구,397762 
성북구,462949 
강북구,335265 
도봉구,318961 
노원구,562459 
은평구,492696 
서대문구,378040 
마포구,456885 
양천구,425654 
강서구,577483 
구로구,403199 
금천구,208874 
영등포구,420768 
동작구,440043 
관악구,554091 
서초구,510897 
강남구,672335 
송파구,755350 
강동구,515065 
종로구,229750 
중구,188959 
용산구,270415 
성동구,340518 
광진구,401915 
동대문구,377983 
중랑구,398765 
성북구,464028 
강북구,335798 
도봉구,319834 
노원구,563033 
은평구,493669 
서대문구,377779 
마포구,452699 
양천구,426907 
강서구,578930 
구로구,403696 
금천구,209299 
영등포구,419855 
동작구,440934 
관악구,555324 
서초구,507969 
강남구,666452 
송파구,755577 
강동구,515291 
종로구,230147 
중구,186939 
용산구,268855 
성동구,341764 
광진구,402166 
동대문구,379725 
중랑구,398462 
성북구,464422 
강북구,335193 
도봉구,320289 
노원구,562523 
은평구,493088 
서대문구,378746 
마포구,449565 
양천구,427396 
강서구,580542 
구로구,403484 
금천구,208727 
영등포구,420294 
동작구,441648 
관악구,554567 
서초구,507684 
강남구,663418 
송파구,755697 
강동구,515668 
종로구,231121 
중구,184835 
용산구,270770 
성동구,345142 
광진구,401851 
동대문구,380522 
중랑구,396249 
성북구,464437 
강북구,332506 
도봉구,319390 
노원구,560355 
은평구,491032 
서대문구,378469 
마포구,449000 
양천구,426806 
강서구,581910 
구로구,401032 
금천구,206712 
영등포구,423757 
동작구,440966 
관악구,551606 
서초구,514449 
강남구,663585 
송파구,756588 
강동구,516230 
종로구,233991 
중구,191256 
용산구,274248 
성동구,345766 
광진구,399860 
동대문구,379785 
중랑구,390841 
성북구,461565 
강북구,327749 
도봉구,315953 
노원구,554900 
은평구,486846 
서대문구,377046 
마포구,446408 
양천구,422165 
강서구,580294 
구로구,396524 
금천구,205800 
영등포구,425568 
동작구,439046 
관악구,545891 
서초구,525356 
강남구,674251 
송파구,756904 
강동구,513244 
종로구,241111 
중구,201424 
용산구,278564 
성동구,346918 
광진구,397114 
동대문구,381826 
중랑구,384344 
성북구,458765 
강북구,321849 
도봉구,312740 
노원구,549733 
은평구,479645 
서대문구,375724 
마포구,446112 
양천구,416251 
강서구,574369 
구로구,395658 
금천구,206455 
영등포구,429387 
동작구,436486 
관악구,538005 
서초구,534277 
강남구,684497 
송파구,755392 
강동구,505987 
종로구,255427 
중구,220573 
용산구,286212 
성동구,351457 
광진구,394754 
동대문구,385125 
중랑구,377737 
성북구,455521 
강북구,314721 
도봉구,307027 
노원구,542419 
은평구,470727 
서대문구,377819 
마포구,449480 
양천구,410186 
강서구,566774 
구로구,393468 
금천구,207532 
영등포구,439566 
동작구,435330 
관악구,527129 
서초구,553875 
강남구,712082 
송파구,757617 
강동구,497216 
종로구,278017 
중구,244252 
용산구,296008 
성동구,353943 
광진구,393142 
동대문구,384760 
중랑구,368502 
성북구,447502 
강북구,307793 
도봉구,301395 
노원구,537834 
은평구,459284 
서대문구,378720 
마포구,456013 
양천구,407997 
강서구,559725 
구로구,392009 
금천구,209802 
영등포구,451614 
동작구,430748 
관악구,516539 
서초구,583735 
강남구,757493 
송파구,765234 
강동구,489649 
종로구,301846 
중구,268863 
용산구,306239 
성동구,353181 
광진구,395623 
동대문구,385855 
중랑구,363083 
성북구,440590 
강북구,302347 
도봉구,296865 
노원구,530002 
은평구,449513 
서대문구,378730 
마포구,464624 
양천구,403293 
강서구,554116 
구로구,396616 
금천구,210226 
영등포구,467762 
동작구,421198 
관악구,506657 
서초구,612049 
강남구,796865 
송파구,769783 
강동구,481605 
종로구,331688 
중구,300747 
용산구,316453 
성동구,351452 
광진구,399107 
동대문구,386828 
중랑구,357702 
성북구,434364 
강북구,296469 
도봉구,290958 
노원구,522896 
은평구,437482 
서대문구,377932 
마포구,474224 
양천구,397873 
강서구,547397 
구로구,401928 
금천구,211544 
영등포구,483470 
동작구,415010 
관악구,496874 
서초구,633598 
강남구,829609 
송파구,776481 
강동구,475262 
종로구,360725 
중구,326347 
용산구,322882 
성동구,349317 
광진구,402089 
동대문구,387355 
중랑구,352082 
성북구,426291 
강북구,292538 
도봉구,285661 
노원구,518657 
은평구,430457 
서대문구,379029 
마포구,487306 
양천구,392742 
강서구,540236 
구로구,406397 
금천구,213457 
영등포구,499188 
동작구,410621 
관악구,489310 
서초구,646248 
강남구,856841 
송파구,781955 
강동구,469829 
종로구,386074 
중구,347490 
용산구,329779 
성동구,345224 
광진구,402029 
동대문구,386194 
중랑구,348255 
성북구,421474 
강북구,289012 
도봉구,279908 
노원구,513711 
은평구,424528 
서대문구,377191 
마포구,499513 
양천구,390920 
강서구,534754 
구로구,412243 
금천구,212311 
영등포구,506377 
동작구,407702 
관악구,481998 
서초구,653529 
강남구,872530 
송파구,790054 
강동구,462167 
종로구,402072 
중구,357750 
용산구,334010 
성동구,345788 
광진구,400757 
동대문구,386960 
중랑구,344962 
성북구,418756 
강북구,286836 
도봉구,278309 
노원구,510219 
은평구,422669 
서대문구,377569 
마포구,507731 
양천구,386915 
강서구,532011 
구로구,417670 
금천구,212262 
영등포구,513924 
동작구,404807 
관악구,477780 
서초구,653008 
강남구,874258 
송파구,797194 
강동구,458733 
종로구,403119 
중구,356033 
용산구,337728 
성동구,347309 
광진구,402754 
동대문구,384988 
중랑구,347385 
성북구,417136 
강북구,285989 
도봉구,281122 
노원구,511346 
은평구,422784 
서대문구,377867 
마포구,513868 
양천구,387753 
강서구,529460 
구로구,420712 
금천구,213295 
영등포구,515074 
동작구,404231 
관악구,476623 
서초구,649600 
강남구,867703 
송파구,796716 
강동구,459807 
종로구,396531 
중구,345183 
용산구,338242 
성동구,351567 
광진구,404683 
동대문구,378169 
중랑구,350479 
성북구,418536 
강북구,288561 
도봉구,282380 
노원구,513751 
은평구,424025 
서대문구,376797 
마포구,522324 
양천구,389005 
강서구,526768 
구로구,427110 
금천구,214890 
영등포구,517799 
동작구,403256 
관악구,477955 
서초구,646314 
강남구,852250 
송파구,800211 
강동구,461855 
종로구,380673 
중구,322765 
용산구,337057 
성동구,350423 
광진구,412895 
동대문구,375353 
중랑구,357284 
성북구,420529 
강북구,293533 
도봉구,284361 
노원구,515054 
은평구,429750 
서대문구,377731 
마포구,531061 
양천구,390084 
강서구,526915 
구로구,435919 
금천구,212950 
영등포구,510174 
동작구,407177 
관악구,484344 
서초구,643134 
강남구,833061 
송파구,799995 
강동구,466440 
종로구,354972 
중구,300088 
용산구,330196 
성동구,345730 
광진구,418252 
동대문구,368680 
중랑구,363850 
성북구,425967 
강북구,300064 
도봉구,287809 
노원구,521665 
은평구,438847 
서대문구,379077 
마포구,534960 
양천구,395350 
강서구,531653 
구로구,435497 
금천구,210245 
영등포구,496894 
동작구,409390 
관악구,492937 
서초구,630156 
강남구,809188 
송파구,801877 
강동구,472346 
종로구,332390 
중구,276524 
용산구,324666 
성동구,340926 
광진구,418368 
동대문구,368044 
중랑구,368932 
성북구,432357 
강북구,308232 
도봉구,291998 
노원구,530999 
은평구,446148 
서대문구,380201 
마포구,531872 
양천구,401498 
강서구,536682 
구로구,434003 
금천구,209985 
영등포구,484348 
동작구,413809 
관악구,502790 
서초구,607876 
강남구,778578 
송파구,795708 
강동구,478906 
종로구,308163 
중구,249743 
용산구,318076 
성동구,342988 
광진구,419069 
동대문구,369126 
중랑구,374750 
성북구,438530 
강북구,315976 
도봉구,298162 
노원구,536724 
은평구,455815 
서대문구,381097 
마포구,524915 
양천구,406563 
강서구,541638 
구로구,438446 
금천구,210054 
영등포구,472534 
동작구,418603 
관악구,511888 
서초구,587037 
강남구,745821 
송파구,788180 
강동구,483755 
종로구,282843 
중구,222730 
용산구,312446 
성동구,344628 
광진구,419319 
동대문구,371232 
중랑구,379445 
성북구,443541 
강북구,321670 
도봉구,304184 
노원구,543229 
은평구,465277 
서대문구,379554 
마포구,515520 
양천구,412499 
강서구,548735 
구로구,440810 
금천구,208266 
영등포구,459910 
동작구,423262 
관악구,522680 
서초구,566710 
강남구,719056 
송파구,773783 
강동구,490001 
종로구,258190 
중구,200309 
용산구,299292 
성동구,343245 
광진구,417709 
동대문구,375188 
중랑구,384395 
성북구,450101 
강북구,328102 
도봉구,309983 
노원구,550238 
은평구,474679 
서대문구,376371 
마포구,496644 
양천구,416786 
강서구,558327 
구로구,442075 
금천구,208759 
영등포구,447914 
동작구,427522 
관악구,534803 
서초구,544262 
강남구,681410 
송파구,758104 
강동구,498000 
종로구,238346 
중구,179468 
용산구,284645 
성동구,336932 
광진구,407124 
동대문구,374835 
중랑구,392480 
성북구,457060 
강북구,336050 
도봉구,313449 
노원구,558339 
은평구,486864 
서대문구,373681 
마포구,472458 
양천구,419722 
강서구,570823 
구로구,420965 
금천구,207820 
영등포구,427787 
동작구,435165 
관악구,545416 
서초구,510876 
강남구,657250 
송파구,741518 
강동구,508437 
종로구,233533 
중구,173173 
용산구,280613 
성동구,333590 
광진구,403328 
동대문구,375211 
중랑구,394870 
성북구,461435 
강북구,337449 
도봉구,316242 
노원구,560270 
은평구,489761 
서대문구,373328 
마포구,465692 
양천구,422914 
강서구,572728 
구로구,405963 
금천구,207924 
영등포구,418600 
동작구,431344 
관악구,548204 
서초구,503369 
강남구,650539 
송파구,742000 
강동구,509362 
종로구,229489 
중구,169820 
용산구,278202 
성동구,334750 
광진구,401828 
동대문구,375474 
중랑구,396694 
성북구,461735 
강북구,338111 
도봉구,318036 
노원구,560995 
은평구,491596 
서대문구,373001 
마포구,460810 
양천구,423941 
강서구,574253 
구로구,404217 
금천구,208376 
영등포구,415972 
동작구,432755 
관악구,549812 
서초구,499317 
강남구,644482 
송파구,740619 
강동구,509952 
종로구,226806 
중구,168117 
용산구,276530 
성동구,335111 
광진구,401037 
동대문구,376071 
중랑구,397609 
성북구,462474 
강북구,338094 
도봉구,319575 
노원구,561599 
은평구,492988 
서대문구,372639 
마포구,456581 
양천구,424605 
강서구,576011 
구로구,404034 
금천구,209158 
영등포구,414422 
동작구,433644 
관악구,550275 
서초구,496127 
강남구,640032 
송파구,740244 
강동구,510488 
종로구,225282 
중구,166708 
용산구,273922 
성동구,335268 
광진구,400552 
동대문구,376870 
중랑구,398193 
성북구,463092 
강북구,338124 
도봉구,320695 
노원구,561882 
은평구,493838 
서대문구,372795 
마포구,451919 
양천구,425815 
강서구,576949 
구로구,404400 
금천구,209444 
영등포구,413558 
동작구,434195 
관악구,551229 
서초구,494522 
강남구,636645 
송파구,740403 
강동구,510707 
종로구,223819 
중구,166403 
용산구,271508 
성동구,335627 
광진구,399985 
동대문구,377745 
중랑구,398480 
성북구,463963 
강북구,337515 
도봉구,321449 
노원구,561676 
은평구,493916 
서대문구,373647 
마포구,448469 
양천구,426120 
강서구,578215 
구로구,405064 
금천구,209193 
영등포구,413039 
동작구,434908 
관악구,550911 
서초구,494011 
강남구,634797 
송파구,740252 
강동구,510974 
종로구,223790 
중구,166233 
용산구,270145 
성동구,337183 
광진구,399660 
동대문구,378046 
중랑구,397610 
성북구,464026 
강북구,335799 
도봉구,321648 
노원구,560834 
은평구,492577 
서대문구,373597 
마포구,444830 
양천구,426242 
강서구,579487 
구로구,404409 
금천구,208049 
영등포구,414965 
동작구,434494 
관악구,549660 
서초구,497439 
강남구,634521 
송파구,740456 
강동구,510569 
종로구,226047 
중구,171077 
용산구,270293 
성동구,337168 
광진구,398096 
동대문구,379568 
중랑구,395346 
성북구,463335 
강북구,333705 
도봉구,320193 
노원구,558163 
은평구,490341 
서대문구,371974 
마포구,440098 
양천구,424180 
강서구,579167 
구로구,402753 
금천구,207534 
영등포구,419897 
동작구,433575 
관악구,545977 
서초구,501030 
강남구,638091 
송파구,740467 
강동구,509135 
종로구,229284 
중구,177250 
용산구,272187 
성동구,337119 
광진구,397255 
동대문구,380592 
중랑구,392697 
성북구,462155 
강북구,330822 
도봉구,319097 
노원구,555222 
은평구,486953 
서대문구,371204 
마포구,439100 
양천구,420458 
강서구,575842 
구로구,401478 
금천구,206391 
영등포구,428305 
동작구,430167 
관악구,541390 
서초구,506924 
강남구,644188 
송파구,741178 
강동구,507214 
종로구,237822 
중구,191250 
용산구,283826 
성동구,341555 
광진구,395841 
동대문구,381244 
중랑구,387974 
성북구,459152 
강북구,326227 
도봉구,318716 
노원구,550629 
은평구,482863 
서대문구,369948 
마포구,441947 
양천구,417969 
강서구,570157 
구로구,402582 
금천구,205516 
영등포구,437109 
동작구,428424 
관악구,536139 
서초구,521026 
강남구,662825 
송파구,744720 
강동구,502728 
종로구,252590 
중구,212756 
용산구,296424 
성동구,341652 
광진구,395585 
동대문구,380833 
중랑구,380530 
성북구,455101 
강북구,321080 
도봉구,316793 
노원구,547446 
은평구,474364 
서대문구,368947 
마포구,446079 
양천구,415311 
강서구,564825 
구로구,403363 
금천구,206990 
영등포구,453024 
동작구,423337 
관악구,528501 
서초구,546059 
강남구,688055 
송파구,748705 
강동구,499712 
종로구,272697 
중구,235028 
용산구,307192 
성동구,341476 
광진구,396471 
동대문구,382900 
중랑구,375526 
성북구,450163 
강북구,315424 
도봉구,314702 
노원구,539154 
은평구,464060 
서대문구,370792 
마포구,454725 
양천구,409829 
강서구,559004 
구로구,408883 
금천구,206772 
영등포구,470739 
동작구,416995 
관악구,521456 
서초구,564323 
강남구,714852 
송파구,755672 
강동구,497178 
종로구,295059 
중구,257566 
용산구,316739 
성동구,337739 
광진구,397302 
동대문구,383793 
중랑구,372424 
성북구,443681 
강북구,310206 
도봉구,310484 
노원구,533197 
은평구,455224 
서대문구,367784 
마포구,462131 
양천구,405058 
강서구,552423 
구로구,410346 
금천구,206313 
영등포구,485921 
동작구,407974 
관악구,512796 
서초구,579493 
강남구,740079 
송파구,763782 
강동구,490915 
종로구,316749 
중구,274957 
용산구,322400 
성동구,336075 
광진구,400061 
동대문구,385119 
중랑구,369652 
성북구,437990 
강북구,307714 
도봉구,305274 
노원구,530673 
은평구,447732 
서대문구,365749 
마포구,469708 
양천구,402121 
