기준일ID,시간대구분,자치구코드,총생활인구수,남자0세부터9세생활인구수,남자10세부터14세생활인구수,남자15세부터19세생활인구수,남자20세부터24세생활인구수,남자25세부터29세생활인구수,남자30세부터34세생활인구수,남자35세부터39세생활인구수,남자40세부터44세생활인구수,남자45세부터49세생활인구수,남자50세부터54세생활인구수,남자55세부터59세생활인구수,남자60세부터64세생활인구수,남자65세부터69세생활인구수,남자70세이상생활인구수,여자0세부터9세생활인구수,여자10세부터14세생활인구수,여자15세부터19세생활인구수,여자20세부터24세생활인구수,여자25세부터29세생활인구수,여자30세부터34세생활인구수,여자35세부터39세생활인구수,여자40세부터44세생활인구수,여자45세부터49세생활인구수,여자50세부터54세생활인구수,여자55세부터59세생활인구수,여자60세부터64세생활인구수,여자65세부터69세생활인구수,여자70세이상생활인구수
20181201,0,11110 ,240314 ,4871 ,2908 ,5829 ,11537 ,11631 ,9508 ,9732 ,9201 ,10755 ,8806 ,9093 ,7308 ,4959 ,11601 ,4856 ,2909 ,6342 ,12342 ,10275 ,8559 ,8814 ,8234 ,10186 ,8496 ,8905 ,8080 ,6138 ,18439 
20181201,0,11140 ,201935 ,3934 ,1633 ,3302 ,8560 ,9586 ,10631 ,11399 ,9165 ,9313 ,7511 ,7410 ,5823 ,4182 ,7689 ,3978 ,1674 ,3352 ,9186 ,9970 ,9999 ,9470 ,7730 ,7942 ,6717 ,7501 ,6599 ,4746 ,12933 
20181201,0,11170 ,277116 ,6712 ,3359 ,5555 ,9928 ,13406 ,14136 ,14119 ,11728 ,11781 ,9021 ,8914 ,7060 ,5165 ,11589 ,7452 ,3638 ,5829 ,12065 ,15039 ,13708 ,12934 ,11082 ,10531 ,8340 ,9241 ,8612 ,6492 ,19677 
20181201,0,11200 ,339000 ,11927 ,5271 ,7520 ,13429 ,14660 ,13854 ,15601 ,13274 ,13741 ,11408 ,12033 ,9678 ,6860 ,13569 ,11186 ,5010 ,7473 ,14286 ,14382 ,15139 ,15279 ,12324 ,12991 ,11425 ,13033 ,11705 ,8647 ,23291 
20181201,0,11215 ,403827 ,12213 ,6610 ,10972 ,18831 ,19471 ,16953 ,16110 ,14435 ,15749 ,13431 ,13933 ,10690 ,7247 ,15237 ,11521 ,6411 ,10833 ,21148 ,19781 ,17806 ,16766 ,14817 ,15695 ,14773 ,15495 ,13479 ,9431 ,23988 
20181201,0,11230 ,376537 ,11533 ,5769 ,9331 ,19029 ,16798 ,13322 ,14489 ,14062 ,14049 ,12018 ,12792 ,11120 ,8262 ,18383 ,10385 ,5132 ,10451 ,22277 ,14934 ,13347 ,14139 ,12348 ,13517 ,12312 ,14131 ,12903 ,9707 ,29997 
20181201,0,11260 ,394880 ,13824 ,6717 ,9505 ,12784 ,13252 ,13869 ,16624 ,13970 ,15471 ,14358 ,15330 ,12504 ,9473 ,18788 ,13140 ,6302 ,9053 ,12752 ,14398 ,14664 ,15597 ,13488 ,15927 ,16095 ,18587 ,15437 ,11663 ,31309 
20181201,0,11290 ,460497 ,17410 ,9810 ,13104 ,19451 ,17151 ,13658 ,16109 ,16348 ,18546 ,14326 ,15078 ,12912 ,9664 ,20965 ,15886 ,8752 ,14165 ,24442 ,16481 ,15104 ,17363 ,17081 ,18456 ,15976 ,17476 ,15872 ,12247 ,36664 
20181201,0,11305 ,333700 ,10687 ,5874 ,8299 ,11161 ,11124 ,10409 ,12014 ,12106 ,12970 ,11071 ,11729 ,10104 ,7943 ,18748 ,9782 ,5357 ,8181 ,13358 ,11516 ,10281 ,11589 ,11908 ,13868 ,12947 ,14765 ,12802 ,11269 ,31836 
20181201,0,11320 ,315069 ,11495 ,6391 ,8112 ,8997 ,9220 ,9358 ,11013 ,10909 ,12133 ,10991 ,12098 ,10708 ,7851 ,16864 ,10346 ,5835 ,7910 ,10251 ,9860 ,10128 ,11565 ,11047 ,13699 ,12587 ,14725 ,13584 ,9625 ,27765 
