기간	행정구역별	성별	계	0세	1세	2세	3세	4세	5세	6세	7세	8세	9세	10세	11세	12세	13세	14세	15세	16세	17세	18세	19세	20세	21세	22세	23세	24세	25세	26세	27세	28세	29세	30세	31세	32세	33세	34세	35세	36세	37세	38세	39세	40세	41세	42세	43세	44세	45세	46세	47세	48세	49세	50세	51세	52세	53세	54세	55세	56세	57세	58세	59세	60세	61세	62세	63세	64세	65세	66세	67세	68세	69세	70세	71세	72세	73세	74세	75세	76세	77세	78세	79세	80세	81세	82세	83세	84세	85세	86세	87세	88세	89세	90세	91세	92세	93세	94세	95세	96세	97세	98세	99세	100세 이상
2019.3/4	합계	계	9,740,398	51,316	55,644	60,385	67,918	69,836	69,391	70,847	75,318	75,271	72,153	71,115	77,082	77,951	72,935	73,440	80,936	81,104	85,225	98,573	110,217	111,828	119,778	129,465	140,435	147,554	158,205	166,344	170,726	161,176	154,831	150,079	144,991	143,110	143,829	142,208	146,785	155,832	164,409	163,977	163,356	152,106	139,669	142,781	140,609	148,695	162,216	164,231	167,586	177,581	168,623	170,184	162,361	149,811	144,870	149,884	140,985	153,085	146,320	164,883	164,533	149,334	140,250	139,507	128,060	135,199	110,631	101,336	106,128	77,445	86,565	86,908	85,093	85,281	63,534	63,963	61,977	64,166	67,497	54,053	47,301	44,772	38,928	34,678	30,071	27,258	21,823	18,279	15,760	12,013	10,893	9,449	7,567	5,856	4,033	3,239	2,480	2,463	1,710	1,211	924	6,175
2019.3/4	합계	남자	4,751,696	26,702	28,842	30,903	34,641	35,741	35,658	36,319	38,640	38,608	37,052	36,379	39,680	40,149	37,683	37,980	41,672	41,800	43,924	50,623	55,524	55,544	58,269	62,345	67,554	71,397	77,353	82,468	84,301	80,065	77,196	75,194	71,901	70,915	71,853	71,257	73,757	78,299	82,086	82,716	81,139	75,518	69,125	70,488	70,009	73,587	80,605	80,822	83,743	88,202	83,448	84,141	79,584	73,187	72,810	73,419	69,310	75,774	72,015	79,116	78,155	71,660	67,467	66,292	60,664	63,371	52,067	47,610	49,962	36,200	40,627	40,095	39,445	38,848	28,957	29,377	28,146	29,338	30,853	24,346	20,703	19,321	16,174	13,877	11,679	10,026	7,724	6,131	5,137	3,589	3,008	2,691	1,997	1,449	950	762	619	680	465	347	269	1,586
2019.3/4	합계	여자	4,988,702	24,614	26,802	29,482	33,277	34,095	33,733	34,528	36,678	36,663	35,101	34,736	37,402	37,802	35,252	35,460	39,264	39,304	41,301	47,950	54,693	56,284	61,509	67,120	72,881	76,157	80,852	83,876	86,425	81,111	77,635	74,885	73,090	72,195	71,976	70,951	73,028	77,533	82,323	81,261	82,217	76,588	70,544	72,293	70,600	75,108	81,611	83,409	83,843	89,379	85,175	86,043	82,777	76,624	72,060	76,465	71,675	77,311	74,305	85,767	86,378	77,674	72,783	73,215	67,396	71,828	58,564	53,726	56,166	41,245	45,938	46,813	45,648	46,433	34,577	34,586	33,831	34,828	36,644	29,707	26,598	25,451	22,754	20,801	18,392	17,232	14,099	12,148	10,623	8,424	7,885	6,758	5,570	4,407	3,083	2,477	1,861	1,783	1,245	864	655	4,589
2019.3/4	종로구	계	151,767	605	597	716	827	865	892	905	969	960	950	973	1,075	1,122	1,030	1,014	1,131	1,165	1,213	1,427	1,806	1,921	1,967	2,262	2,394	2,488	2,471	2,659	2,626	2,517	2,304	2,139	2,156	2,072	1,926	1,929	1,904	2,058	2,144	2,190	2,162	2,029	1,906	1,939	1,958	2,144	2,396	2,541	2,621	2,862	2,785	2,743	2,608	2,500	2,422	2,497	2,461	2,648	2,428	2,788	2,636	2,419	2,198	2,244	2,075	2,207	1,797	1,682	1,715	1,227	1,387	1,457	1,463	1,438	1,130	1,193	1,174	1,251	1,338	1,136	998	956	831	733	647	607	486	398	343	307	244	214	160	148	109	87	67	63	66	42	38	249
2019.3/4	종로구	남자	73,952	309	303	338	410	431	455	451	491	495	479	500	568	549	535	513	564	611	601	732	853	842	894	1,075	1,189	1,261	1,244	1,330	1,363	1,317	1,178	1,094	1,106	970	980	971	964	1,021	1,024	1,071	1,044	966	933	891	954	1,032	1,139	1,194	1,322	1,458	1,355	1,352	1,289	1,239	1,195	1,278	1,254	1,366	1,287	1,378	1,282	1,269	1,126	1,140	1,028	1,065	917	845	832	552	637	657	666	649	504	518	500	574	603	499	428	409	343	314	273	234	186	144	142	99	78	77	46	50	36	32	23	27	26	20	13	81
2019.3/4	종로구	여자	77,815	296	294	378	417	434	437	454	478	465	471	473	507	573	495	501	567	554	612	695	953	1,079	1,073	1,187	1,205	1,227	1,227	1,329	1,263	1,200	1,126	1,045	1,050	1,102	946	958	940	1,037	1,120	1,119	1,118	1,063	973	1,048	1,004	1,112	1,257	1,347	1,299	1,404	1,430	1,391	1,319	1,261	1,227	1,219	1,207	1,282	1,141	1,410	1,354	1,150	1,072	1,104	1,047	1,142	880	837	883	675	750	800	797	789	626	675	674	677	735	637	570	547	488	419	374	373	300	254	201	208	166	137	114	98	73	55	44	36	40	22	25	168
2019.3/4	중구	계	126,409	684	675	756	825	789	810	736	762	751	658	651	704	677	563	598	702	672	748	939	1,176	1,281	1,354	1,562	1,759	1,790	2,033	2,255	2,275	2,111	2,092	2,025	2,087	2,054	1,971	2,006	2,048	2,157	2,161	2,103	2,119	1,891	1,737	1,706	1,606	1,722	1,898	1,848	1,970	2,193	2,019	2,215	2,185	2,007	1,885	2,045	1,939	2,161	2,075	2,351	2,250	2,076	1,969	1,993	1,874	1,942	1,583	1,417	1,532	1,078	1,289	1,216	1,251	1,246	917	1,006	954	985	1,117	902	769	746	635	596	546	473	400	343	282	229	228	192	159	116	77	63	50	51	46	24	25	190
2019.3/4	중구	남자	62,161	347	342	366	426	402	398	377	409	368	338	318	340	333	288	322	347	352	381	502	579	599	605	727	830	914	986	1,104	1,118	1,057	1,045	1,038	1,009	1,040	964	1,017	1,032	1,077	1,079	1,069	1,094	966	934	885	822	881	991	919	1,003	1,093	1,016	1,191	1,064	1,035	1,005	984	977	1,135	1,075	1,191	1,143	1,049	969	1,037	935	967	786	687	742	539	627	555	592	562	374	477	434	432	485	388	327	317	254	223	209	170	124	108	86	74	75	66	50	35	22	12	20	15	12	5	9	62
2019.3/4	중구	여자	64,248	337	333	390	399	387	412	359	353	383	320	333	364	344	275	276	355	320	367	437	597	682	749	835	929	876	1,047	1,151	1,157	1,054	1,047	987	1,078	1,014	1,007	989	1,016	1,080	1,082	1,034	1,025	925	803	821	784	841	907	929	967	1,100	1,003	1,024	1,121	972	880	1,061	962	1,026	1,000	1,160	1,107	1,027	1,000	956	939	975	797	730	790	539	662	661	659	684	543	529	520	553	632	514	442	429	381	373	337	303	276	235	196	155	153	126	109	81	55	51	30	36	34	19	16	128
2019.3/4	용산구	계	228,830	1,212	1,261	1,346	1,505	1,499	1,477	1,492	1,518	1,496	1,449	1,417	1,554	1,519	1,424	1,476	1,601	1,606	1,708	2,011	2,319	2,374	2,509	2,738	2,881	3,280	3,390	3,774	3,956	4,002	3,885	3,785	3,731	3,603	3,743	3,629	3,717	3,849	4,025	4,072	3,907	3,483	3,289	3,236	3,205	3,403	3,760	3,726	4,002	4,221	4,095	4,030	3,892	3,483	3,385	3,538	3,352	3,663	3,505	3,803	3,774	3,487	3,243	3,259	3,073	3,110	2,593	2,290	2,327	1,786	2,028	2,012	2,070	1,954	1,526	1,608	1,576	1,703	1,856	1,504	1,328	1,277	1,233	1,122	974	841	710	577	546	409	384	331	277	206	149	137	107	105	82	61	38	346
