위도,경도
37.5446,127.06901
37.54741,127.0672
37.54939,127.07504
37.55613,127.08617
37.57046,127.08274
37.54769,127.10515
37.543,127.08786
37.53699,127.08432
37.5337,127.07883
37.5335,127.07108
37.53996,127.06353
37.54555,127.07616
37.542971,127.07086
37.54458,127.07035
37.55423,127.0747
37.55393,127.0924
37.53893,127.076782
37.534346,127.081837
37.5298,127.0787
37.53167,127.07796
37.54124,127.09717
37.53965,127.08495
37.53136,127.08095
37.52942,127.06466
37.52996,127.07042
37.53104,127.06329
37.54351,127.072
37.54159,127.06755
37.551,127.09136
37.56804,127.08569
37.560766,127.088653
37.53449,127.09405
