점포명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,여성안심지킴이집전화번호,관할경찰서명,지정년도,운영여부,데이터기준일자
CU 강남거평타운점,서울특별시,강남구,11680,서울특별시 강남구 봉은사로 129,,37.5058828,127.0283077,02-542-6851,강남경찰서,,Y,2019-09-10
CU 강남시티점,서울특별시,강남구,11680,서울특별시 강남구 선릉로93길 50,,37.5043533,127.0447344,02-567-1844,강남경찰서,,Y,2019-09-10
CU 강남푸르지오점,서울특별시,강남구,11680,서울특별시 강남구 테헤란로4길 6,,37.497689,127.029031,02-873-1232,강남경찰서,,Y,2019-09-10
CU 개포사랑점,서울특별시,강남구,11680,서울특별시 강남구 선릉로10길 4,,37.483083,127.060656,02-573-1039,수서경찰서,,Y,2019-09-10
CU 논현강남점,서울특별시,강남구,11680,서울특별시 강남구 선릉로131길 25,,37.5171263,127.038928,02-543-6794,강남경찰서,,Y,2019-09-10
CU 논현한미점,서울특별시,강남구,11680,서울특별시 강남구 봉은사로 179,,37.507432,127.033347,02-3448-3500,강남경찰서,,Y,2019-09-10
CU 대치동부점,서울특별시,강남구,11680,서울특별시 강남구 테헤란로78길 8,,37.5055912,127.055221,02-557-3112,수서경찰서,,Y,2019-09-10
CU 대치메트로칸점,서울특별시,강남구,11680,서울특별시 강남구 테헤란로88길 10,,37.5068062,127.0594495,02-508-7822,수서경찰서,,Y,2019-09-10
CU 대치세정점,서울특별시,강남구,11680,서울특별시 강남구 삼성로 348,,37.5026175,127.059118,02-508-6562,수서경찰서,,Y,2019-09-10
CU 대치예영점,서울특별시,강남구,11680,서울특별시 강남구 삼성로63길 5,,37.4998355,127.05965,02-566-5206,수서경찰서,,Y,2019-09-10
CU 대치우일점,서울특별시,강남구,11680,서울특별시 강남구 선릉로 406,,37.5011164,127.050858,02-508-1082,수서경찰서,,Y,2019-09-10
CU 대치태양점,서울특별시,강남구,11680,서울특별시 강남구 선릉로68길 9,,37.4990743,127.052486,02-555-2817,수서경찰서,,Y,2019-09-10
CU 대치한국점,서울특별시,강남구,11680,서울특별시 강남구 선릉로86길 7,,37.5032613,127.050312,02-501-9691,수서경찰서,,Y,2019-09-10
CU 도곡아이파크점,서울특별시,강남구,11680,서울특별시 강남구 도곡로28길 8,,37.49206973,127.0421146,02-542-1003,수서경찰서,,Y,2019-09-10
CU 선릉SK허브점,서울특별시,강남구,11680,서울특별시 강남구 선릉로 431,,37.5033975,127.049029,02-556-6606,강남경찰서,,Y,2019-09-10
CU 선정릉역점,서울특별시,강남구,11680,서울특별시 강남구 봉은사로 409,,37.5108229,127.0447138,02-3443-6240,강남경찰서,,Y,2019-09-10
CU 신사현대점,서울특별시,강남구,11680,서울특별시 강남구 논현로176길 20,,37.5272065,127.0301094,02-563-9677,강남경찰서,,Y,2019-09-10
CU 역삼가화점,서울특별시,강남구,11680,서울특별시 강남구 역삼로34길 19,,37.49600873,127.0426913,02-562-0932,강남경찰서,,Y,2019-09-10
CU 역삼건화점,서울특별시,강남구,11680,서울특별시 강남구 논현로64길 18,,37.4934452,127.041948,02-501-4023,강남경찰서,,Y,2019-09-10
CU 역삼경남점,서울특별시,강남구,11680,서울특별시 강남구 언주로85길 13,,37.5002722,127.042336,02-569-8795,강남경찰서,,Y,2019-09-10
CU 역삼벚꽃길점,서울특별시,강남구,11680,서울특별시 강남구 도곡로7길 8,,37.491271,127.035067,02-564-0601,강남경찰서,,Y,2019-09-10
CU 역삼사랑점,서울특별시,강남구,11680,서울특별시 강남구 언주로104길 6,,37.5069682,127.040809,02-3453-0996,강남경찰서,,Y,2019-09-10
CU 역삼시티점,서울특별시,강남구,11680,서울특별시 강남구 테헤란로7길 11,,37.4998502,127.030312,02-554-4838,강남경찰서,,Y,2019-09-10
CU 역삼에클라트점,서울특별시,강남구,11680,서울특별시 강남구 테헤란로20길 19,,37.498524,127.0350122,02-5475-0601,강남경찰서,,Y,2019-09-10
CU 역삼유토빌점,서울특별시,강남구,11680,서울특별시 강남구 논현로87길 41,,37.498821,127.033588,02-557-5700,강남경찰서,,Y,2019-09-10
CU 역삼점,서울특별시,강남구,11680,서울특별시 강남구 테헤란로51길 10,,37.5047409,127.046954,02-539-0456,강남경찰서,,Y,2019-09-10
CU 역삼카이로스점,서울특별시,강남구,11680,서울특별시 강남구 강남대로66길 8,,37.4916831,127.031564,02-568-0840,강남경찰서,,Y,2019-09-10
CU 역삼타운점,서울특별시,강남구,11680,서울특별시 강남구 언주로75길 16,,37.4986676,127.0430309,02-554-9418,강남경찰서,,Y,2019-09-10
CU 역삼포스틸점,서울특별시,강남구,11680,서울특별시 강남구 테헤란로20길 10,,37.4990484,127.034161,02-553-2891,강남경찰서,,Y,2019-09-10
CU 역삼푸르지오점,서울특별시,강남구,11680,서울특별시 강남구 언주로70길 10,,37.4969176,127.046391,02-558-4262,강남경찰서,,Y,2019-09-10
CU 역삼푸른점,서울특별시,강남구,11680,서울특별시 강남구 도곡로1길 7,,37.490414,127.032327,02-563-8832,강남경찰서,,Y,2019-09-10
CU 역삼하나점,서울특별시,강남구,11680,서울특별시 강남구 테헤란로25길 59,,37.5042701,127.034133,02-557-6606,강남경찰서,,Y,2019-09-10
