"점포명",시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,여성안심지킴이집전화번호,관할경찰서명,지정년도,운영여부,데이터기준일자
"세븐일레븐 성내삼성점",서울특별시,강동구,32400,서울특별시 강동구 성내로9길 35,서울특별시 강동구 성내동 534-7,37.5304459,127.1250701,02-470-2149,성내지구대,,Y,2019-11-23
CU 성내새빛점,서울특별시,강동구,32400,서울특별시 강동구 천호옛12길 18,서울특별시 강동구 성내동135-1,37.5347181764,127.1254483,02-472-5524,성내지구대,,Y,2019-11-23
GS25 성내스타,서울특별시,강동구,32400,서울특별시 강동구 풍성로37길 41,서울특별시 강동구 성내동 139-4,37.5337189676,127.1263145720,02-475-1816,성내지구대,,Y,2019-11-23
GS25 성내신공원,서울특별시,강동구,32400,서울특별시 강동구 성안로13길 38,서울특별시 강동구 성내동 505-4,37.5318445,127.1302143,02-486-3945,성내지구대,,Y,2019-11-23
GS25 성내이안,서울특별시,강동구,32400,서울특별시 강동구 천호대로162길 34,서울특별시 강동구 성내동 25-1,37.5355768699,127.1279514942,02-482-4842,성내지구대,,Y,2019-11-23
GS25 성내제일,서울특별시,강동구,32400,서울특별시 강동구 천호대로170길 66,서울특별시 강동구 성내동 501-21,37.5326026651,127.1320298,02-470-2006,성내지구대,,Y,2019-11-23
GS25 성내하이츠,서울특별시,강동구,32400,서울특별시 강동구 양재대로95길 47,서울특별시 강동구 성내동 410-4,37.5306035875,127.1342117,02-483-5866,성내지구대,,Y,2019-11-23
GS25 둔촌역,서울특별시,강동구,32400,서울특별시 강동구 양재대로1367,서울특별시 강동구 성내동 416-4,37.5283094944,127.1359081,02-476-7470,성내지구대,,Y,2019-11-23
"세븐일레븐 강동오륜점",서울특별시,강동구,32400,서울특별시 강동구 양재대로81길 30,서울특별시 강동구 성내동 442-10,37.5232099267,127.132659,02-470-1544,성내지구대,,Y,2019-11-23
CU 강풀만화거리점,서울특별시,강동구,32400,서울특별시 강동구 천호대로1034,서울특별시 강동구 성내동 9-14,37.5372071537,127.1267613,02-478-4282,성내지구대,,Y,2019-11-23
GS25 성내삼성점,서울특별시,강동구,32400,서울특별시 강동구 풍성로135,서울특별시 강동구 성내동 276-2,37.531525,127.1272061,02-475-0441,성내지구대,,Y,2019-11-23
GS25 천호타운,서울특별시,강동구,32400,서울특별시 강동구 천중로35길 66,서울특별시 강동구 천호동 48-1,37.5440018234,127.1385731,02-427-4222,천호지구대,,Y,2019-11-23
GS25 천호중앙점,서울특별시,강동구,32400,서울특별시 강동구 상암로162,서울특별시 강동구 천호동 39-14,37.54576919,127.140448,02-479-4648,천호지구대,,Y,2019-11-23
CU 천호고분,서울특별시,강동구,32400,서울특별시 강동구 구천면로33길 11,서울특별시 강동구 천호동 398-3,37.5423248,127.1303551,,천호지구대,,Y,2019-11-23
GS25 천호역,서울특별시,강동구,32400,서울특별시 강동구 올림픽로 651,서울특별시 강동구 천호동 431-4,37.5397441,127.1233149757,02-471-3989,천호지구대,,Y,2019-11-23
"미니스톱 천호현대점",서울특별시,강동구,32400,서울특별시 강동구 올림픽로70길 39,서울특별시 강동구 천호동 416-3,37.53935246,127.1258986,02-471-0213,천호지구대,,Y,2019-11-23
"세븐일레븐 천호쌍용점",서울특별시,강동구,32400,서울특별시 강동구 올림픽로659,서울특별시 강동구 천호동 432-10,37.5403063841,127.1235413,02-472-4610,천호지구대,,Y,2019-11-23
"세븐일레븐 천호역점",서울특별시,강동구,32400,서울특별시 강동구 올림픽로 654,서울특별시 강동구 천호동 429-2,37.5398589434,127.1240845646,02-474-3969,천호지구대,,Y,2019-11-23
GS25 천호후레쉬,서울특별시,강동구,32400,서울특별시 강동구 천중로35길 11,서울특별시 강동구 천호동 112-5,37.5417564,127.1372655,02-475-2177,천호지구대,,Y,2019-11-23
GS25 강동암사,서울특별시,강동구,32400,서울특별시 강동구 고덕로20마길 29,서울특별시 강동구 암사동 469-30,37.5521612,127.1320255,070-7559-9279,암사지구대,,Y,2019-11-23
GS25 암사성모,서울특별시,강동구,32400,서울특별시 강동구 암사길54,서울특별시 강동구 암사동 478,37.5518262716,127.1353017,02-441-6323,암사지구대,,Y,2019-11-23
GS25 암사시장,서울특별시,강동구,32400,서울특별시 강동구 올림픽로98길 50,서울특별시 강동구 암사동 496-11,37.5499258,127.1296101896,,암사지구대,,Y,2019-11-23
GS25 암사우성,서울특별시,강동구,32400,서울특별시 강동구 구천면로361,서울특별시 강동구 암사동 422-13,37.5507772407,127.1386887,02-428-7142,암사지구대,,Y,2019-11-23
GS25 암사햇살,서울특별시,강동구,32400,서울특별시 강동구 구천면로47가길 33,서울특별시 강동구 암사동 490-29,37.5489289,127.1328495,02-3426-5090,암사지구대,,Y,2019-11-23
"세븐일레븐 암사희망점",서울특별시,강동구,32400,서울특별시 강동구 암사길25,서울특별시 강동구 암사동 469-17,37.551753,127.1320257,02-426-2385,암사지구대,,Y,2019-11-23
CU 암사한강점,서울특별시,강동구,32400,서울특별시 강동구 올림픽로104길 36,서울특별시 강동구 암사동 442-1,37.55547042,127.1316795,02-429-6359,암사지구대,,Y,2019-11-23
GS25 암사현대,서울특별시,강동구,32400,서울특별시 강동구 고덕로27길 28,서울특별시 강동구 암사동 400-5,37.5559112,127.1380327,02-426-8549,암사지구대,,Y,2019-11-23
GS25 둔촌프라자,서울특별시,강동구,32400,서울특별시 강동구 천호대로198길 32,서울특별시 강동구 둔촌동 611-1,37.5345370407,127.1480484,02-484-7264,둔촌지구대,,Y,2019-11-23
CU 길동마루,서울특별시,강동구,32400,서울특별시 강동구 양재대로1465,서울특별시 강동구 길동 412-8,37.5368082,127.1393134253,02-475-2595,길동지구대,,Y,2019-11-23
GS25 길동하이브,서울특별시,강동구,32400,서울특별시 강동구 진황도로100,서울특별시 강동구 길동 456-2,37.5353382,127.1373813,02-420-4474,길동지구대,,Y,2019-11-23
GS25 우성스타,서울특별시,강동구,32400,서울특별시 강동구 양재대로114길 31,서울특별시 강동구 길동 393-7,37.5376117296,127.1417854,02-474-4994,길동지구대,,Y,2019-11-23
GS25 길동삼익,서울특별시,강동구,32400,서울특별시 강동구 명일로275,서울특별시 강동구 길동 48,37.5433313849,127.147576,,길동지구대,,Y,2019-11-23
"세븐일레븐 강동길동점",서울특별시,강동구,32400,서울특별시 강동구 양재대로113길 22,서울특별시 강동구 길동 379-18,37.5382315,127.138742,02-477-2622,길동지구대,,Y,2019-11-23
"세븐일레븐 길동스위트점",서울특별시,강동구,32400,서울특별시 강동구 양재대로111길 15,서울특별시 강동구 길동 413-1,37.5369812631,127.1385858,02-487-1650,길동지구대,,Y,2019-11-23
"세븐일레븐 길동와이시티점",서울특별시,강동구,32400,서울특별시 강동구 천호대로175길 42,서울특별시 강동구 길동 414-4,37.53650327,127.1374255,02-476-3434,길동지구대,,Y,2019-11-23
"세븐일레븐 길동으뜸점",서울특별시,강동구,32400,서울특별시 강동구 천중로49길 26,서울특별시 강동구 길동338-3,37.5420442,127.1431272,02-484-7506,길동지구대,,Y,2019-11-23
"세븐일레븐 길동제일점",서울특별시,강동구,32400,서울특별시 강동구 천호대로1203,서울특별시 강동구 길동 148-2,37.5354025460,127.1447004,02-485-7637,길동지구대,,Y,2019-11-23
