"점포명",시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,여성안심지킴이집전화번호,관할경찰서명,지정년도,운영여부,데이터기준일자
"강북삼양점",서울특별시,강북구,11305,서울특별시 강북구 삼양로 190,서울특별시 강북구 미아동 734-286,37.6208351336,127.0209055549,02-980-0506,강북경찰서,,Y,2019-05-27
"미아대양점",서울특별시,강북구,11305,서울특별시 강북구 도봉로 132,서울특별시 강북구 미아동 134-94,37.6207218,127.0287077296,02-987-7440,강북경찰서,,Y,2019-05-27
"미아동부점",서울특별시,강북구,11305,서울특별시 강북구 도봉로13길 58,서울특별시 강북구 미아동 450-64,37.6151288366,127.0270141,02-980-2998,강북경찰서,,Y,2019-05-27
"미아삼양점",서울특별시,강북구,11305,서울특별시 강북구 솔샘로 231,서울특별시 강북구 미아동 838-8,37.6201985,127.018377,02-989-3700,강북경찰서,,Y,2019-05-27
"미아창문점",서울특별시,강북구,11305,서울특별시 강북구 월계로 83,서울특별시 강북구 미아동 8-144,37.6138176142,127.0378674,02-981-0684,강북경찰서,,Y,2019-05-27
"번동센트로힐점",서울특별시,강북구,11305,서울특별시 강북구 한천로 936,서울특별시 강북구 번동 761,37.634672,127.0361184,02-990-0424,강북경찰서,,Y,2019-05-27
"삼양중앙점",서울특별시,강북구,11305,서울특별시 강북구 솔매로 38,서울특별시 강북구 미아동 791-2486,37.6254344851,127.0163884,02-983-8779,강북경찰서,,Y,2019-05-27
"수유번동점",서울특별시,강북구,11305,서울특별시 강북구 한천로132길 10,서울특별시 강북구 번동 461-80,37.6394262382,127.0287221,02-997-9648,강북경찰서,,Y,2019-05-27
"수유행복점",서울특별시,강북구,11305,서울특별시 강북구 4.19로1길 16,서울특별시 강북구 수유동 281-40,37.64729997,127.0133935,02-900-5571,강북경찰서,,Y,2019-05-27
"미아한솔점",서울특별시,강북구,11305,서울특별시 강북구 도봉로67길 50,서울특별시 강북구 미아동 791-17,37.6297234,127.0218623,02-945-3441,강북경찰서,,Y,2019-05-27
"수유우이점",서울특별시,강북구,11305,서울특별시 강북구 삼양로93길 23,서울특별시 강북구 수유동 409,37.6378366,127.0158415,02-6212-7221,강북경찰서,,Y,2019-05-27
"수유동양점",서울특별시,강북구,11305,서울특별시 강북구 도봉로83길 20,서울특별시 강북구 수유동 229-18,37.6377262949,127.0237058,02-900-6579,강북경찰서,,Y,2019-05-27
"수유광산점",서울특별시,강북구,11305,서울특별시 강북구 노해로27길 21,서울특별시 강북구 수유동 252-40,37.6452516,127.0224126253,02-998-5684,강북경찰서,,Y,2019-05-27
"미아솔매점",서울특별시,강북구,11305,서울특별시 강북구 솔매로45길 99,서울특별시 강북구 미아동 217-2,37.6303346258,127.0236063,02-986-2306,강북경찰서,,Y,2019-05-27
"미아삼성점",서울특별시,강북구,11305,서울특별시 강북구 삼양로27길 20,서울특별시 강북구 미아동 693,37.6190008558,127.0201231,02-982-6659,강북경찰서,,Y,2019-05-27
