점포명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,여성안심지킴이집전화번호,관할경찰서명,지정년도,운영여부,데이터기준일자
GS25 염창꿈나무,서울특별시,강서구,11500,서울특별시 강서구 공항대로65길 26 1층 105호,,37.550049,126.8685067,02-3665-6221,강서경찰서,,Y,2019-05-29
CU 등촌두산점,서울특별시,강서구,11501,서울특별시 강서구 양천로 564 103호,,37.557359,126.859179,02-2658-7723,강서경찰서,,Y,2019-05-29
세븐일레븐 강서공항대로점,서울특별시,강서구,11502,서울특별시 강서구 공항대로59길 16,,37.552307,126.8639321,02-3661-3379,강서경찰서,,Y,2019-05-29
세븐일레븐 강서등촌로얄점,서울특별시,강서구,11503,서울특별시 강서구 공항대로41길 76 104호,,37.560928,126.844625,,강서경찰서,,Y,2019-05-29
GS25 강서메트로칸,서울특별시,강서구,11504,서울특별시 강서구 공항대로45가길 11 101호,,37.558839,126.849205,02-3665-8796,강서경찰서,,Y,2019-05-29
세븐일레븐 강서등촌로점,서울특별시,강서구,11505,서울특별시 강서구 등촌로51길 47,,37.549204,126.8605955,02-2652-3573,강서경찰서,,Y,2019-05-29
세븐일레븐 강서등촌점,서울특별시,강서구,11506,서울특별시 강서구 공항대로41길 43 새한프라자 101호,,37.559839,126.843344,070-7715-9193,강서경찰서,,Y,2019-05-29
세븐일레븐 등촌5호점,서울특별시,강서구,11507,서울특별시 강서구 강서로68길 12,,37.566177,126.8415424,02-3662-1609,강서경찰서,,Y,2019-05-29
세븐일레븐 화곡본동점,서울특별시,강서구,11508,서울특별시 강서구 초록마을로14길 37,,37.540868,126.8484767,02-2608-1119,강서경찰서,,Y,2019-05-29
세븐일레븐 화곡제일점,서울특별시,강서구,11509,서울특별시 강서구 초록마을로 3,,37.54503,126.8450778,02-2691-6951,강서경찰서,,Y,2019-05-29
미니스톱 화곡공원점,서울특별시,강서구,11510,서울특별시 강서구 까치산로4길 34,,37.54126,126.8449323,02-2602-6249,강서경찰서,,Y,2019-05-29
GS25 화곡성당,서울특별시,강서구,11511,서울특별시 강서구 강서로 132,,37.538888,126.8425893,02-2608-4642,강서경찰서,,Y,2019-05-29
GS25 화곡나누리,서울특별시,강서구,11512,서울특별시 강서구 가로공원로 188,,37.536871,126.836911,02-2608-1846,강서경찰서,,Y,2019-05-29
세븐일레븐 화곡화원점,서울특별시,강서구,11513,서울특별시 강서구 가로공원로76가길 76,,37.534286,126.8429003,,강서경찰서,,Y,2019-05-29
미니스톱 화곡사거리점,서울특별시,강서구,11514,서울특별시 강서구 강서로 27,,37.5303228,126.8471952,02-2606-2193,강서경찰서,,Y,2019-05-29
미니스톱 까치산점,서울특별시,강서구,11515,서울특별시 강서구 강서로7길 19,,37.529458,126.846679,02-2608-0511,강서경찰서,,Y,2019-05-29
GS25 화곡월정,서울특별시,강서구,11516,서울특별시 강서구 가로공원로76길 100,,37.532784,126.8388232,02-2606-2163,강서경찰서,,Y,2019-05-29
CU 화곡대원,서울특별시,강서구,11517,서울특별시 강서구 화곡로21길 43,,37.542712,126.8364514,,강서경찰서,,Y,2019-05-29
GS25 화곡행복,서울특별시,강서구,11518,서울특별시 강서구 등촌로13길 90 지층,,37.537159,126.857181,02-2645-0802,강서경찰서,,Y,2019-05-29
GS25 화곡가온,서울특별시,강서구,11519,서울특별시 강서구 강서로8길 200,,37.530904,126.8593036,02-2645-1193,강서경찰서,,Y,2019-05-29
GS25 화곡달래길,서울특별시,강서구,11520,서울특별시 강서구 곰달래로49길 112,,37.53601,126.8550597,02-2061-5882,강서경찰서,,Y,2019-05-29
CU 화곡영광,서울특별시,강서구,11521,서울특별시 강서구 곰달래로53길 121,,37.536252,126.8560098,,강서경찰서,,Y,2019-05-29
GS25 화곡도담,서울특별시,강서구,11522,서울특별시 강서구 화곡로44가길 43,,37.549648,126.8484797,02-2603-3647,강서경찰서,,Y,2019-05-29
