점포명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,여성안심지킴이집전화번호,관할경찰서명,지정년도,운영여부,데이터기준일자
CU 관악낙성점,서울특별시,관악구,11620,서울특별시 관악구 솔밭로 5,,37.478149,126.9625528,02-889-1069,관악경찰서,,Y,2019-06-04
CU 관악리베로점,서울특별시,관악구,11620,서울특별시 관악구 봉천로4길 58,,37.487164,126.924366,02-883-0963,관악경찰서,,Y,2019-06-04
CU 관악미림점,서울특별시,관악구,11620,서울특별시 관악구 호암로20길 1,,37.4677522,126.9321527,02-883-1032,관악경찰서,,Y,2019-06-04
CU 관악브라운점,서울특별시,관악구,11620,서울특별시 관악구 관악로29길 6-14,,37.486984,126.9568493,02-887-3831,관악경찰서,,Y,2019-06-04
CU 관악샛별점,서울특별시,관악구,11620,서울특별시 관악구 조원로 87,,37.4845488,126.911933,02-830-6288,관악경찰서,,Y,2019-06-04
CU 관악에스식스점,서울특별시,관악구,11620,서울특별시 관악구 양지5길 2,,37.4715575,126.9312811,02-882-6925,관악경찰서,,Y,2019-06-04
CU 관악진우점,서울특별시,관악구,11620,서울특별시 관악구 남부순환로 1536,,37.482738,126.921302,02-865-5258,관악경찰서,,Y,2019-06-04
CU 낙성대역점,서울특별시,관악구,11620,서울특별시 관악구 봉천로 604-1,,37.4758259,126.9641723,02-877-7084,관악경찰서,,Y,2019-06-04
CU 서림태양점,서울특별시,관악구,11620,서울특별시 관악구 쑥고개로 1564-55,,37.4758259,126.9641723,02-874-8131,관악경찰서,,Y,2019-06-04
GS25 관악봉천,서울특별시,관악구,11620,서울특별시 관악구 관악로17길 25,,37.4806588,126.9502494,02-873-9368,관악경찰서,,Y,2019-06-04
GS25 관악세봉,서울특별시,관악구,11620,서울특별시 관악구 관악로 125 상가 101호,,37.47648006,126.9520515,,관악경찰서,,Y,2019-06-04
GS25 관악원앙,서울특별시,관악구,11620,서울특별시 관악구 남부순환로 218길 46,,37.479344,126.9500349,02-882-4442,관악경찰서,,Y,2019-06-04
GS25 관악푸르지오,서울특별시,관악구,11620,서울특별시 관악구 관악로30길 17,,37.4865146,126.9589952,02-882-0008,관악경찰서,,Y,2019-06-04
GS25 관악한일,서울특별시,관악구,11620,서울특별시 관악구 승방2길 2,,37.4739242,126.9813264,02-581-7071,관악경찰서,,Y,2019-06-04
GS25 관악행운,서울특별시,관악구,11620,서울특별시 관악구 남부순환로245길 9,,37.4771387,126.9649953,02-883-3421,관악경찰서,,Y,2019-06-04
GS25 남현번영,서울특별시,관악구,11620,서울특별시 관악구 승방4길 27,,37.4748374,126.9804277,02-445-5896,관악경찰서,,Y,2019-06-04
GS25 봉천동부,서울특별시,관악구,11620,서울특별시 관악구 은천로 143,,37.4865601,126.9513044,02-877-5549,관악경찰서,,Y,2019-06-04
GS25 봉천동신,서울특별시,관악구,11620,서울특별시 관악구 봉천로21나길 35 1층,,37.4888351,126.9361745,02-875-0329,관악경찰서,,Y,2019-06-04
