점포명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,여성안심지킴이집전화번호,관할경찰서명,지정년도,운영여부,데이터기준일자
CU 화양중앙점,서울특별시,광진구,11215,서울특별시 광진구 능동로13길 69,서울특별시 광진구 화양동 33-40,37.5446,127.06901,02-499-4217,광진경찰서,,Y,2019-02-28
CU 화양사거리점,서울특별시,광진구,11215,서울특별시 광진구 동일로 174,서울특별시 광진구 화양동 23-7,37.54741,127.0672,02-461-3757,광진경찰서,,Y,2019-02-28
CU 세종대학생회관점,서울특별시,광진구,11215,서울특별시 광진구 능동로 209,서울특별시 광진구 군자동 98,37.54939,127.07504,02-466-4027,광진경찰서,,Y,2019-02-28
CU 중곡빌리지점,서울특별시,광진구,11215,서울특별시 광진구 용마산로3길 32,서울특별시 광진구 중곡동 121-43,37.55613,127.08617,02-916-8131,광진경찰서,,Y,2019-02-28
CU 중곡3동,서울특별시,광진구,11215,서울특별시 광진구 면목로17길 6,서울특별시 광진구 중곡동 559-4,37.57046,127.08274,02-437-1480,광진경찰서,,Y,2019-02-28
CU 장신대점,서울특별시,광진구,11215,서울특별시 광진구 광장로 71-1,서울특별시 광진구 광장동 285-7,37.54769,127.10515,02-446-2239,광진경찰서,,Y,2019-02-28
CU 구의에이스,서울특별시,광진구,11215,서울특별시 광진구 자양로30길 56,서울특별시 광진구 구의동 239-107,37.543,127.08786,02-446-6843,광진경찰서,,Y,2019-02-28
CU 구의크레신점,서울특별시,광진구,11215,서울특별시 광진구 아차산로 375,서울특별시 광진구 구의동 246-14,37.53699,127.08432,02-456-5112,광진경찰서,,Y,2019-02-28
CU 자양명성점,서울특별시,광진구,11215,서울특별시 광진구 뚝섬로 620,서울특별시 광진구 자양동 606-17,37.5337,127.07883,02-458-0615,광진경찰서,,Y,2019-02-28
CU 자양태성점,서울특별시,광진구,11215,서울특별시 광진구 뚝섬로34길 25-19,서울특별시 광진구 자양동 792,37.5335,127.07108,02-3437-0988,광진경찰서,,Y,2019-02-28
CU 자양리안점,서울특별시,광진구,11215,서울특별시 광진구 동일로18길 11,서울특별시 광진구 자양동 24-5,37.53996,127.06353,02-466-6888,광진경찰서,,Y,2019-02-28
GS25 건국,서울특별시,광진구,11215,서울특별시 광진구 광나루로24길 14,서울특별시 광진구 화양동 495-17,37.54555,127.07616,02-3436-9934,광진경찰서,,Y,2019-02-28
GS25 건대수정,서울특별시,광진구,11215,서울특별시 광진구 능동로13길 15,서울특별시 광진구 화양동 11-1,37.542971,127.07086,02-2205-2042,광진경찰서,,Y,2019-02-28
GS25 화양한아름,서울특별시,광진구,11215,서울특별시 광진구 군자로3길 14,서울특별시 광진구 화양동 15-20,37.54458,127.07035,02-468-2205,광진경찰서,,Y,2019-02-28
GS25 군자행운,서울특별시,광진구,11215,서울특별시 광진구 군자로 141,서울특별시 광진구 군자동 48-24,37.55423,127.0747,080-855-5525,광진경찰서,,Y,2019-02-28
GS25 구의센터,서울특별시,광진구,11215,서울특별시 광진구 자양로51길 22,서울특별시 광진구 구의동 28-40,37.55393,127.0924,02-452-4878,광진경찰서,,Y,2019-02-28
GS25 건대호수,서울특별시,광진구,11215,서울특별시 광진구 아차산로39길 16,서울특별시 광진구 자양동 225-90,37.53893,127.076782,02-3437-7140,광진경찰서,,Y,2019-02-28
GS25 자양스타,서울특별시,광진구,11215,서울특별시 광진구 자양로13길 47,서울특별시 광진구 자양동 631,37.534346,127.081837,02-3437-0343,광진경찰서,,Y,2019-02-28
GS25 자양강변,서울특별시,광진구,11215,서울특별시 광진구 뚝섬로52라길 3,서울특별시 광진구 자양동 639-11,37.5298,127.0787,02-3436-9802,광진경찰서,,Y,2019-02-28
GS25 자양한양,서울특별시,광진구,11215,서울특별시 광진구 뚝섬로50길 16,서울특별시 광진구 자양동 604-3,37.53167,127.07796,02-475-1903,광진경찰서,,Y,2019-02-28
미니스톱 광장현대점,서울특별시,광진구,11215,서울특별시 광진구 아차산로 502,서울특별시 광진구 광장동 470-3,37.54124,127.09717,,광진경찰서,,Y,2019-02-28
미니스톱 구의명성점,서울특별시,광진구,11215,서울특별시 광진구 아차산로51길 62,서울특별시 광진구 구의동 248-138,37.53965,127.08495,02-3436-5966,광진경찰서,,Y,2019-02-28
미니스톱 자양점,서울특별시,광진구,11215,서울특별시 광진구 뚝섬로 644,서울특별시 광진구 자양동 652,37.53136,127.08095,1577-9621,광진경찰서,,Y,2019-02-28
미니스톱 뚝섬1점,서울특별시,광진구,11215,서울특별시 광진구 자양동 427-13,서울특별시 광진구 자양동 427-13,37.52942,127.06466,02-444-8189,광진경찰서,,Y,2019-02-28
미니스톱 뚝섬2점,서울특별시,광진구,11215,서울특별시 광진구 자양동 427-28,서울특별시 광진구 자양동 427-28,37.52996,127.07042,02-444-5189,광진경찰서,,Y,2019-02-28
미니스톱 뚝섬3점,서울특별시,광진구,11215,서울특별시 광진구 자양동 99-2,서울특별시 광진구 자양동 99-2,37.53104,127.06329,02-461-1989,광진경찰서,,Y,2019-02-28
세븐일레븐 건대예술점,서울특별시,광진구,11215,서울특별시 광진구 능동로 143,서울특별시 광진구 화양동 3-21,37.54351,127.072,02-468-3711,광진경찰서,,Y,2019-02-28
세븐일레븐 건대제일점,서울특별시,광진구,11215,서울특별시 광진구 동일로22길 59,서울특별시 광진구 화양동 47-67,37.54159,127.06755,02-469-0711,광진경찰서,,Y,2019-02-28
세븐일레븐 구의아차산점,서울특별시,광진구,11215,서울특별시 광진구 자양로 281,서울특별시 광진구 구의동 55-22,37.551,127.09136,02-453-2190,광진경찰서,,Y,2019-02-28
씨스페이스 중곡2점,서울특별시,광진구,11215,서울특별시 광진구 능동로 442,서울특별시 광진구 중곡동 29-56,37.56804,127.08569,02-461-5583,광진경찰서,,Y,2019-02-28
씨스페이스 중곡대원점,서울특별시,광진구,11215,서울특별시 광진구 용마산로8가길 25,서울특별시 광진구 중곡동 147-42,37.560766,127.088653,02-446-9169,광진경찰서,,Y,2019-02-28
씨스페이스 터미널점,서울특별시,광진구,11215,서울특별시 광진구 강변역로 50,서울특별시 광진구 구의동 546-1,37.53449,127.09405,02-455-0863,광진경찰서,,Y,2019-02-28
