점포명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,여성안심지킴이집전화번호,관할경찰서명,지정년도,운영여부,데이터기준일자
CU 고척리가점,서울특별시,구로구,11530,서울특별시 구로구 중앙로14길 23(고척동),서울특별시 구로구 고척동 41-3,37.5069602,126.8625612,02-707-2250,구로경찰서,2019,Y,2019-07-17
CU 구로포스큐,서울특별시,구로구,11530,서울특별시 구로구 공원로11(구로동102호),서울특별시 구로구 구로동 106-2,37.4981598,126.8919457,02-830-7248,구로경찰서,2019,Y,2019-07-17
CU 오류현대점,서울특별시,구로구,11530,서울특별시 구로구 경인로20나길 30(오류동),서울특별시 구로구 오류동 46-1,37.4948667,126.8419912,02-2066-2287,구로경찰서,2019,Y,2019-07-17
CU 한신IT타워점,서울특별시,구로구,11530,서울특별시 구로구 디지털로 272(구로동),서울특별시 구로구 구로동 235,37.4824724,126.894424,02-866-2101,구로경찰서,2019,Y,2019-07-17
CU 구로파트너점,서울특별시,구로구,11530,서울특별시 구로구 디지털로32가길 16(구로동),서울특별시 구로구 구로동 1128-3,37.4829104,126.898574,02-2028-3335,구로경찰서,2019,Y,2019-07-17
CU 구로희망점,서울특별시,구로구,11530,서울특별시 구로구 디지털로31길 53(구로동),서울특별시 구로구 구로동 197-13,37.485463,126.8924069,02-852-3658,구로경찰서,2019,Y,2019-07-17
CU 신세계I&C점,서울특별시,구로구,11530,서울특별시 구로구 디지털로31길 61(구로동),서울특별시 구로구 구로동197-12,37.4858711,126.8915302,02-851-2337,구로경찰서,2019,Y,2019-07-17
GS25 고척세곡,서울특별시,구로구,11530,서울특별시 구로구 고척로33길 60(고척동),서울특별시 구로구 고척동 241-129,37.5052065,126.8480204,02-2613-9980,구로경찰서,2019,Y,2019-07-17
GS25 구로W타워,서울특별시,구로구,11530,서울특별시 구로구 경인로53길 90(구로동),서울특별시 구로구 구로동 615-3,37.5043018,126.8751353,02-6124-3343,구로경찰서,2019,Y,2019-07-17
GS25 구로가리봉,서울특별시,구로구,11530,서울특별시 구로구 우마길 1 (가리봉동),서울특별시 구로구 가리봉동 122-21,37.4825185,126.8875206,02-858-6648,구로경찰서,2019,Y,2019-07-17
GS25 구로개봉,서울특별시,구로구,11530,서울특별시 구로구 고척로19길 16(개봉동),서울특별시 구로구 개봉동 62-19,37.5019437,126.8453347,02-2611-8663,구로경찰서,2019,Y,2019-07-17
GS25 구로문성,서울특별시,구로구,11530,서울특별시 구로구 디지털로32가길 72(구로동101호),서울특별시 구로구 구로동 1129-18,37.4805275,126.8969729,02-830-8770,구로경찰서,2019,Y,2019-07-17
GS25 구로미성,서울특별시,구로구,11530,서울특별시 구로구 구로중앙로 228(신도림동),서울특별시 구로구 신도림동 399,37.5061286,126.8765952,02-2635-2025,구로경찰서,2019,Y,2019-07-17
GS25 구로제일,서울특별시,구로구,11530,서울특별시 구로구 구일로4길 33(구로동),서울특별시 구로구 구로동 685-215,37.4919882,126.875787,02-830-1963,구로경찰서,2019,Y,2019-07-17
GS25 구로현대,서울특별시,구로구,11530,서울특별시 구로구 신도림로19길 16(신도림동),서울특별시 구로구 신도림동 641,37.5119989,126.8840088,02-2675-6088,구로경찰서,2019,Y,2019-07-17
GS25 신도림,서울특별시,구로구,11530,서울특별시 구로구 공원로6가길 52(구로동),서울특별시 구로구 구로동 33-1,37.5036144,126.8900917,02-852-7023,구로경찰서,2019,Y,2019-07-17
GS25 오류행운,서울특별시,구로구,11530,서울특별시 구로구 경인로15길 80-4 (오류동),서울특별시 구로구 오류동 4-1,37.4971867,126.837019,02-2625-0025,구로경찰서,2019,Y,2019-07-17
GS25 구로지벨리몰점,서울특별시,구로구,11530,서울특별시 구로구 디지털로 300(구로동),서울특별시 구로구 구로동 188-25,37.484796,126.896629,02-6344-3904,구로경찰서,2019,Y,2019-07-17
GS25 디큐브시티,서울특별시,구로구,11530,서울특별시 구로구 경인로 662(신도림동지하1층),서울특별시 구로구 신도림동 692,37.5084321,126.8887332,,구로경찰서,2019,Y,2019-07-17
GS25 구로사랑,서울특별시,구로구,11530,서울특별시 구로구 경인로 661(신도림동154호),서울특별시 구로구 신도림동 337,37.5093957,126.8877258,02-2069-1049,구로경찰서,2019,Y,2019-07-17
GS25 구로이편한점,서울특별시,구로구,11530,서울특별시 구로구 신도림로 16 101호(신도림동 대림2차),서울특별시 구로구 신도림동 642 대림2차),37.5057794,126.880714,02-2634-2810,구로경찰서,2019,Y,2019-07-17
GS25 구로경인점,서울특별시,구로구,11530,서울특별시 구로구 경인로35길 38(개봉동1층),서울특별시 구로구 개봉동 149-20,37.4988748,126.8543162,02-2688-1153,구로경찰서,2019,Y,2019-07-17
GS25 구로아울렛,서울특별시,구로구,11530,서울특별시 구로구 경인로43길 18(고척동1층),서울특별시 구로구 고척동 85-20,37.4973918,126.8620618,02-2625-1052,구로경찰서,2019,Y,2019-07-17
GS25 개봉으뜸,서울특별시,구로구,11530,서울특별시 구로구 경인로40길 41(개봉동107호),서울특별시 구로구 개봉동 181-5,37.4949883,126.8590223,02-2066-9123,구로경찰서,2019,Y,2019-07-17
GS25 구로미래,서울특별시,구로구,11530,서울특별시 구로구 경인로 661(신도림동1104호),서울특별시 구로구 신도림동 337,37.5093957,126.8877258,02-2069-1185,구로경찰서,2019,Y,2019-07-17
GS25 고척,서울특별시,구로구,11530,서울특별시 구로구 경인로47길 10(고척동),서울특별시 구로구 고척동 62-98,37.5001115,126.8671606,02-2616-0574,구로경찰서,2019,Y,2019-07-17
미니스톱 천왕역점,서울특별시,구로구,11530,서울특별시 구로구 오리로 1154-7(오류동),서울특별시 구로구 오류동 183-8,37.4875288,126.8387982,,구로경찰서,2019,Y,2019-07-17
미니스톱 구로구청점,서울특별시,구로구,11530,서울특별시 구로구 가마산로22길 9(구로동),서울특별시 구로구 구로동 84,37.4939413,126.8876497,02-859-1390,구로경찰서,2019,Y,2019-07-17
미니스톱 구로공단역점,서울특별시,구로구,11530,서울특별시 구로구 디지털로32나길 35(구로동),서울특별시 구로구 구로동 1124-44,37.4846578,126.9008335,02-864-6872,구로경찰서,2019,Y,2019-07-17
미니스톱 구로지플러스점,서울특별시,구로구,11530,서울특별시 구로구 디지털로32가길 16(구로동),서울특별시 구로구 구로동 1128-3,37.4829104,126.898574,02-851-4366,구로경찰서,2019,Y,2019-07-17
미니스톱 구로빌란트점,서울특별시,구로구,11530,서울특별시 구로구 디지털로30길 31(구로동),서울특별시 구로구 구로동 222-8,37.4829591,126.8961638,,구로경찰서,2019,Y,2019-07-17
미니스톱 구로하이엔드점,서울특별시,구로구,11530,서울특별시 구로구 디지털로26길 5(구로동),서울특별시 구로구 구로동 235-2,37.4815733,126.8934683,,구로경찰서,2019,Y,2019-07-17
미니스톱 구일역점,서울특별시,구로구,11530,서울특별시 구로구 구일로10길 49(구로동 다원그린빌),서울특별시 구로구 구로동 685-154,37.4957011,126.8744343,,구로경찰서,2019,Y,2019-07-17
세븐일레븐 고척푸르지오점,서울특별시,구로구,11530,서울특별시 구로구 중앙로 109(고척동),서울특별시 구로구 고척동339-1,37.5070541,126.8594992,02-2060-8367,구로경찰서,2019,Y,2019-07-17
세븐일레븐 고척청마루점,서울특별시,구로구,11530,서울특별시 구로구 중앙로 14길 31(고척동),서울특별시 구로구 고척동 39-6,37.5075827,126.8631037,02-2684-1719,구로경찰서,2019,Y,2019-07-17
세븐일레븐 구일역점,서울특별시,구로구,11530,서울특별시 구로구 구일로 110(구로동),서울특별시 구로구 구로동 642-108,37.4950273,126.872004,02-851-1795,구로경찰서,2019,Y,2019-07-17
