점포명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,여성안심지킴이집전화번호,관할경찰서명,지정년도,운영여부,데이터기준일자
CU 가산원룸점,서울특별시,금천구,11545,서울특별시 금천구 시흥대로153길 42 (가산동),서울특별시 금천구 가산동 147-7,37.4771571,126.896092,02-856-1108,금천경찰서,2014,Y,2019-09-06
CU 독산시장점,서울특별시,금천구,11545,서울특별시 금천구 시흥대로138길 13 (독산동),서울특별시 금천구 독산동 988-13,37.4727679,126.8994239,02-830-6930,금천경찰서,2014,Y,2019-09-06
CU 시흥금빛점,서울특별시,금천구,11545,서울특별시 금천구 금하로 657 (시흥동),서울특별시 금천구 시흥동 839,37.4535966,126.9039994,02-896-5287,금천경찰서,2014,Y,2019-09-06
CU 독산AK점,서울특별시,금천구,11545,서울특별시 금천구 독산로72길 50 (독산동),서울특별시 금천구 독산동 910-6,37.4682942,126.9045539,02-853-5613,금천경찰서,2017,Y,2019-09-06
GS25 금천금하로점,서울특별시,금천구,11545,서울특별시 금천구 독산로29길 13,서울특별시 금천구 시흥동 844-31,37.45604838,126.9047329,02-891-6525,금천경찰서,2016,Y,2019-09-06
GS25 금천왕창점,서울특별시,금천구,11545,서울특별시 금천구 독산로106길 19,서울특별시 금천구 독산동 878-41,37.478054,126.9049435,02-866-1959,금천경찰서,2016,Y,2019-09-06
GS25 금천유진점,서울특별시,금천구,11545,서울특별시 금천구 가산로5길 66,서울특별시 금천구 가산동 236-10,37.4737037,126.8909434,02-867-2232,금천경찰서,2016,Y,2019-09-06
GS25 금천중앙점,서울특별시,금천구,11545,서울특별시 금천구 시흥대로 406,서울특별시 금천구 독산동 286-8,37.4695765,126.8984645,02-839-3117,금천경찰서,2014,Y,2019-09-06
GS25 금천태양점,서울특별시,금천구,11545,서울특별시 금천구 시흥대로141길 47 (독산동),서울특별시 금천구 독산동 144-49,37.47494847,126.8974852,02-855-3174,금천경찰서,2014,Y,2019-09-06
GS25 독산우림점,서울특별시,금천구,11545,서울특별시 금천구 가산디지털1로 2,서울특별시 금천구 가산동 680,37.4667551,126.8881386,02-2027-2278,금천경찰서,2014,Y,2019-09-06
GS25 독산우정점,서울특별시,금천구,11545,서울특별시 금천구 독산로75길 34,서울특별시 금천구 독산동 196-21,37.46925504,126.9005498,02-869-4159,금천경찰서,2014,Y,2019-09-06
GS25 시흥별장점,서울특별시,금천구,11545,서울특별시 금천구 금하로24가길 4,서울특별시 금천구 시흥동 915,37.44908395,126.9086884,02-893-8722,금천경찰서,2016,Y,2019-09-06
미니스톱 가산하이엔드점,서울특별시,금천구,11545,서울특별시 금천구 벚꽃로 234 (가산동),서울특별시 금천구 가산동 60-25,37.47599523,126.886138,1577-9621,금천경찰서,2014,Y,2019-09-06
