점포명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,여성안심지킴이집전화번호,관할경찰서명,지정년도,운영여부,데이터기준일자
GS25노원석계역,서울특별시,노원구,11350,서울특별시 노원구 석계로8길 6,,37.6166009,127.0645473,02-942-8928,노원경찰서,,Y,2019-06-24
GS25상계현대,서울특별시,노원구,11350,서울특별시 노원구 동일로 237길 46 1층,,37.6736192,127.0528328,02-935-8984,노원경찰서,,Y,2019-06-24
GS25월계주공,서울특별시,노원구,11350,서울특별시 노원구 월계로45길 28,,37.6267357,127.0511204,02-904-2072,노원경찰서,,Y,2019-06-24
GS25노원아이파크,서울특별시,노원구,11350,서울특별시 노원구 상계로23다길 13-8 101동 118119호,,37.6595599,127.0691688,02-931-1386,노원경찰서,,Y,2019-06-24
GS25상계으뜸,서울특별시,노원구,11350,서울특별시 노원구 노원로28길 73,,37.6549994,127.0709472,02-935-8984,노원경찰서,,Y,2019-06-24
GS25공릉행복,서울특별시,노원구,11350,서울특별시 노원구 동일로190길 26,,37.6255301,127.0747127,02-976-6401,노원경찰서,,Y,2019-06-24
GS25월계성원,서울특별시,노원구,11350,서울특별시 노원구 마들로 3길37104,,37.6292875,127.0626221,02-979-4379,노원경찰서,,Y,2019-06-24
GS25공릉풍림,서울특별시,노원구,11350,서울특별시 노원구 섬밭로 134,,37.6282818,127.0690945,02-979-0199,노원경찰서,,Y,2019-06-24
GS25노원상계역,서울특별시,노원구,11350,서울특별시 노원구 한글비석로20길 46,,37.6609844,127.0745448,02-937-5003,노원경찰서,,Y,2019-06-24
CU상계한신,서울특별시,노원구,11350,서울특별시 노원구 동일로230길 3,,37.682827,127.056581,02-930-6764,노원경찰서,,Y,2019-06-24
CU상계계상,서울특별시,노원구,11350,서울특별시 노원구 한글비석로41가길 1,,37.661949,127.0684283,02-935-5517,노원경찰서,,Y,2019-06-24
CU상계주공,서울특별시,노원구,11350,서울특별시 노원구 동일로1345,,37.6486688,127.0618482,02-931-3570,노원경찰서,,Y,2019-06-24
CU상계현대,서울특별시,노원구,11350,서울특별시 노원구 덕릉로118길 17,,37.6678799,127.0798354,02-938-3579,노원경찰서,,Y,2019-06-24
CU공릉건설,서울특별시,노원구,11350,서울특별시 노원구 공릉로 187,,37.6264058,127.0788436,02-972-8285,노원경찰서,,Y,2019-06-24
CU하계한신,서울특별시,노원구,11350,서울특별시 노원구 노원로 248,,37.6399026,127.0738093,02-977-2590,노원경찰서,,Y,2019-06-24
CU공릉마중,서울특별시,노원구,11350,서울특별시 노원구 동일로183길 9,,37.623019,127.0731103,02-977-4007,노원경찰서,,Y,2019-06-24
CU중계주공,서울특별시,노원구,11350,서울특별시 노원구 한글비석로8길 41,,37.6484769,127.0784226,02-937-9634,노원경찰서,,Y,2019-06-24
CU서울여대후문,서울특별시,노원구,11350,서울특별시 노원구 화랑로51길 18,,37.6239499,127.0896879,02-976-5992,노원경찰서,,Y,2019-06-24
CU하계을지병원,서울특별시,노원구,11350,서울특별시 노원구 공릉로321,,37.6355185,127.0708771,02-954-5834,노원경찰서,,Y,2019-06-24
CU노원상계중앙,서울특별시,노원구,11350,서울특별시 노원구 동일로238길 26,,37.6740806,127.0568897,02-935-8984,노원경찰서,,Y,2019-06-24
세븐일레븐공릉점,서울특별시,노원구,11350,서울특별시 노원구 공릉로101,,37.6192382,127.0778185,02-971-0831,노원경찰서,,Y,2019-06-24
세븐일레븐상계4호점,서울특별시,노원구,11350,서울특별시 노원구 동일로217가길 23,,37.6532418,127.0590584,02-937-5907,노원경찰서,,Y,2019-06-24
세븐일레븐중계은행서거리,서울특별시,노원구,11350,서울특별시 노원구 한글비석로 264,,37.6510283,127.0772272,02-930-9441,노원경찰서,,Y,2019-06-24
세븐일레븐중계은행,서울특별시,노원구,11350,서울특별시 노원구 중계로220,,37.6508341,127.075668,02-930-2301,노원경찰서,,Y,2019-06-24
세븐일레븐노원중앙점 B,서울특별시,노원구,11350,서울특별시 노원구 노해로 85길 10-2,,37.6557416,127.0653269,02-930-8431,노원경찰서,,Y,2019-06-24
세븐일레븐광운대후문,서울특별시,노원구,11350,서울특별시 노원구 석계로13길 48,,37.6212056,127.0610833,070-8844-0864,노원경찰서,,Y,2019-06-24
세븐일레븐중계8단지,서울특별시,노원구,11350,서울특별시 노원구 한글비석로5길 62,,37.6462151,127.0751689,02-951-0871,노원경찰서,,Y,2019-06-24
세븐일레븐노원순복음,서울특별시,노원구,11350,서울특별시 노원구 석계로10길 23,,37.618414,127.063065,02-930-8431,노원경찰서,,Y,2019-06-24
세븐일레븐노원역,서울특별시,노원구,11350,서울특별시 노원구 동일로217가길 11,,37.6534006,127.0598701,02-930-4880,노원경찰서,,Y,2019-06-24
세븐일레븐노원제일점 B,서울특별시,노원구,11350,서울특별시 노원구 동일로1417,,37.6549923,127.0599384,02-934-9102,노원경찰서,,Y,2019-06-24
세븐일레븐월계초안,서울특별시,노원구,11350,서울특별시 노원구 덕릉로60길 234,,37.6304897,127.0450138,02-900-9611,노원경찰서,,Y,2019-06-24
세븐일레븐공릉금강,서울특별시,노원구,11350,서울특별시 노원구 공릉로38길 17,,37.6232617,127.0804117,02-948-8633,노원경찰서,,Y,2019-06-24
