점포명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,여성안심지킴이집전화번호,관할경찰서명,지정년도,운영여부,데이터기준일자
덕성여대점,서울특별시,도봉구,11320,서울특별시 도봉구 삼양로144길 11,,37.6516418,127.0135356,02-991-1562,도봉경찰서,,Y,2019-08-01
도봉가든점,서울특별시,도봉구,11320,서울특별시 도봉구 도봉산길 43,,37.6869341,127.0406318,02-956-9552,도봉경찰서,,Y,2019-08-01
방학중앙점,서울특별시,도봉구,11320,서울특별시 도봉구 시루봉로 194,,37.6664411,127.0323379,02-955-9483,도봉경찰서,,Y,2019-08-01
쌍문꽃동네점,서울특별시,도봉구,11320,서울특별시 도봉구 우이천로38길 51,,37.6515842,127.0233967,02-900-4694,도봉경찰서,,Y,2019-08-01
쌍문정의점,서울특별시,도봉구,11320,서울특별시 도봉구 도봉로121길 22,,37.6522234,127.0352683,02-903-0929,도봉경찰서,,Y,2019-08-01
쌍문제일점,서울특별시,도봉구,11320,서울특별시 도봉구 우이천로34길 24,,37.6498737,127.0237886,02-990-4275,도봉경찰서,,Y,2019-08-01
쌍문중앙점,서울특별시,도봉구,11320,서울특별시 도봉구 도봉로113길 54,,37.648386,127.0312101,02-900-1501,도봉경찰서,,Y,2019-08-01
쌍문프라자점,서울특별시,도봉구,11320,서울특별시 도봉구 해등로25길 32,,37.6564933,127.0328549,02-900-0153,도봉경찰서,,Y,2019-08-01
창동미소점,서울특별시,도봉구,11320,서울특별시 도봉구 노해로63가길 14,,37.6532901,127.0452114,02-904-0133,도봉경찰서,,Y,2019-08-01
창동중앙점,서울특별시,도봉구,11320,서울특별시 도봉구 도봉로110길 72,,37.646124,127.0375387,02-992-6950,도봉경찰서,,Y,2019-08-01
창동푸르지오점,서울특별시,도봉구,11320,서울특별시 도봉구 덕릉로59아길 30,,37.6421226,127.038762,02-998-7818,도봉경찰서,,Y,2019-08-01
창동프라자점,서울특별시,도봉구,11320,서울특별시 도봉구 마들로11가길 16,,37.6525237,127.0489497,02-906-7020,도봉경찰서,,Y,2019-08-01
창동현대점,서울특별시,도봉구,11320,서울특별시 도봉구 도봉로136길 111,,37.66164247,127.046381,02-994-2678,도봉경찰서,,Y,2019-08-01
방학,서울특별시,도봉구,11320,서울특별시 도봉구 시루봉로 219,,37.6680715,127.0342652,02-3493-5800,도봉경찰서,,Y,2019-08-01
쌍문보람,서울특별시,도봉구,11320,서울특별시 도봉구 도봉로125길 84,,37.6561646,127.0373774,02-906-4370,도봉경찰서,,Y,2019-08-01
창동성원점,서울특별시,도봉구,11320,서울특별시 도봉구 도봉로106길 86,,37.6448299,127.037509,02-997-8955,도봉경찰서,,Y,2019-08-01
방학명문,서울특별시,도봉구,11320,서울특별시 도봉구 도당로 133,,37.6674182,127.0411018,02-956-5775,도봉경찰서,,Y,2019-08-01
쌍문성원,서울특별시,도봉구,11320,서울특별시 도봉구 시루봉로 88,,37.6586956,127.0280376,02-902-1126,도봉경찰서,,Y,2019-08-01
도봉방학점,서울특별시,도봉구,11320,서울특별시 도봉구 도당로27길 43,,37.6692727,127.0408002,02-956-7050,도봉경찰서,,Y,2019-08-01
도봉산길점,서울특별시,도봉구,11320,서울특별시 도봉구 도봉산길 12,,37.6875513,127.0444084,02-954-4034,도봉경찰서,,Y,2019-08-01
도봉창2동점,서울특별시,도봉구,11320,서울특별시 도봉구 도봉로108길 84,,37.6456141,127.0385402,02-907-3618,도봉경찰서,,Y,2019-08-01
방학신우점,서울특별시,도봉구,11320,서울특별시 도봉구 방학로10길 10,,37.6628276,127.033066,02-955-0921,도봉경찰서,,Y,2019-08-01
창동3호점,서울특별시,도봉구,11320,서울특별시 도봉구 덕릉로 404,,37.6456701,127.0538303,02-906-4965,도봉경찰서,,Y,2019-08-01
창동점,서울특별시,도봉구,11320,서울특별시 도봉구 덕릉로63가길 42,,37.6432188,127.038051,02-903-9158,도봉경찰서,,Y,2019-08-01
세븐일레븐 쌍문점,서울특별시,도봉구,11320,서울특별시 도봉구 삼양로 542,,37.6515523,127.0129588,02-900-4081,도봉경찰서,,Y,2019-08-01
세븐일레븐 도봉하늘채점,서울특별시,도봉구,11320,서울특별시 도봉구 우이천로 367,,37.64788572,127.0240723,,도봉경찰서,,Y,2019-08-01
