점포명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,여성안심지킴이집전화번호,관할경찰서명,지정년도,운영여부,데이터기준일자
CU 경동사거리점,서울특별시,동대문구,11230,서울특별시 동대문구 천호대로27길 73,,37.5774366,127.0374431,02-959-2391,동대문경찰서,,Y,2019-06-30
CU 경동시장점,서울특별시,동대문구,11230,서울특별시 동대문구 왕산로138-1,,37.5779115,127.0387854,02-963-0923,동대문경찰서,,Y,2019-06-30
CU 고대어진재점,서울특별시,동대문구,11230,서울특별시 동대문구 회기로 14,,37.59099732,127.037913,,동대문경찰서,,Y,2019-06-30
CU 답십리대림점,서울특별시,동대문구,11230,서울특별시 동대문구 한천로107-3,,37.5708702,127.0648502,02-2244-7232,동대문경찰서,,Y,2019-06-30
CU 답십리매트로점,서울특별시,동대문구,11230,서울특별시 동대문구 고미술로 16,,37.5694108,127.0503244,02-2249-9517,동대문경찰서,,Y,2019-06-30
CU 신설교보점,서울특별시,동대문구,11230,서울특별시 동대문구 왕산로 10,,37.5758464,127.0248441,02-921-6475,동대문경찰서,,Y,2019-06-30
CU 신설베르빌점,서울특별시,동대문구,11230,서울특별시 동대문구 천호대로 23,,37.5745815,127.0262768,02-921-2728,동대문경찰서,,Y,2019-06-30
CU 용두래미안점,서울특별시,동대문구,11230,서울특별시 동대문구 천호대로27길 10,,37.5745802,127.0375523,,동대문경찰서,,Y,2019-06-30
CU 용두안암점,서울특별시,동대문구,11230,서울특별시 동대문구 무학로37길 42,,37.5777569,127.0279303,070-4189-6873,동대문경찰서,,Y,2019-06-30
CU 용두으뜸점,서울특별시,동대문구,11230,서울특별시 동대문구 안암로 52,,37.5812094,127.0277937,,동대문경찰서,,Y,2019-06-30
CU 용두허브리츠점,서울특별시,동대문구,11230,서울특별시 동대문구 왕산로26길 35,,37.5764547,127.0365908,02-968-1982,동대문경찰서,,Y,2019-06-30
CU 장안쉐르빌점,서울특별시,동대문구,11230,서울특별시 동대문구 답십리로68길 24,,37.5714298,127.0691845,02-2213-7111,동대문경찰서,,Y,2019-06-30
