점포명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,여성안심지킴이집전화번호,관할경찰서명,지정년도,운영여부,데이터기준일자
gs25 사당남사,서울특별시,동작구,11590,서울특별시 동작구 동작대로 17길 10,,37.482866,126.980792,02-521-2274,사당지구대,,Y,2019-07-09
미니스톱 사당점,서울특별시,동작구,11590,서울특별시 동작구 동작대로7길 12,,37.479992,126.980862,02-582-8316,사당지구대,2014,Y,2019-07-09
cu 사당태양점,서울특별시,동작구,11590,서울특별시 동작구 동작대로35길 21,,37.490987,126.9810987,02-3482-8940,남성지구대,2016,Y,2019-07-09
gs25 사당이화,서울특별시,동작구,11590,서울특별시 동작구 동작대로 35길 18. 1층,,37.491106,126.98139,02-536-7992,사당지구대,2016,Y,2019-07-09
세븐일레븐 사당동작점,서울특별시,동작구,11590,서울특별시 동작구 동작대로35다길 22,,37.492259,126.979293,,남성지구대,2014,Y,2019-07-09
세븐일레븐 동작남성점,서울특별시,동작구,11590,서울특별시 동작구 사당로 23길 2 1층,,37.484188,126.977413,,남성지구대,2016,Y,2019-07-09
세븐일레븐 롯데캐슬점,서울특별시,동작구,11590,서울특별시 동작구 사당로27길 190,,37.4906466,126.9722542,070-4177-2682,남성지구대,2016,Y,2019-07-09
세븐일레븐 사당6호점,서울특별시,동작구,11590,서울특별시 동작구 사당로2차길 2,,37.487782,126.964858,02-588-5874,사당지구대,2014,Y,2019-07-09
씨스페이스 흑석중앙대점,서울특별시,동작구,11590,서울특별시 동작구 서달로14가길,,37.507371,126.962857,02-825-6553,흑석지구대,,Y,2019-07-09
씨스페이스 중대청룡점,서울특별시,동작구,11590,서울특별시 동작구 흑석로 81-9,,37.507377,126.958389,,흑석지구대,,Y,2019-07-09
cu 노량진초교점,서울특별시,동작구,11590,서울특별시 동작구 장승배기로 164,,37.5121743,126.940416,02-3280-1110,노량진지구대,2016,Y,2019-07-09
cu 노량진중심점,서울특별시,동작구,11590,서울특별시 동작구 장승배기로 122,,37.508468,126.940322,070-7788-2481,노량진지구대,2014,Y,2019-07-09
cu 동작구청2호점,서울특별시,동작구,11590,서울특별시 동작구 노량진로8길 72,,37.511871,126.938996,02-813-4556,노량진지구대,2014,Y,2019-07-09
