점포명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,여성안심지킴이집전화번호,관할경찰서명,지정년도,운영여부,데이터기준일자
GS25 망원중앙,서울특별시,마포구,11440,서울특별시 마포구 월드컵로 126 GS25 망원중앙,서울특별시 마포구 성산동 260-39 GS25 망원중앙,37.559499,126.907229,02-3144-6685,서울마포경찰서,,Y,2019-07-10
GS25 마포도화,서울특별시,마포구,11440,서울특별시 마포구 도화2길 2 GS25 마포도화,서울특별시 마포구 도화동 344 GS25 마포도화,37.540322,126.948562,02-3272-2225,서울마포경찰서,,Y,2019-07-10
GS25 상암9단지,서울특별시,마포구,11440,서울특별시 마포구 월드컵북로 501 GS25 상암9단지,서울특별시 마포구 상암동 1752상암월드컵파크9단지1045호 GS25 상암9단지,37.583477,126.878551,,서울마포경찰서,,Y,2019-07-10
GS25 홍대동교,서울특별시,마포구,11440,서울특별시 마포구 양화로21길 21 GS25 홍대동교,서울특별시 마포구 동교동 154-1 GS25 홍대동교,37.55903,126.924825,02-322-7590,서울마포경찰서,,Y,2019-07-10
GS25 연남공원,서울특별시,마포구,11440,서울특별시 마포구 동교로29길 32 GS25 연남공원,서울특별시 마포구 연남동 257-23 GS25 연남공원,37.561863,126.923245,02-324-7978,서울마포경찰서,,Y,2019-07-10
GS25 연남타운,서울특별시,마포구,11440,서울특별시 마포구 월드컵북로6길 69 GS25 연남타운,서울특별시 마포구 월드컵북로6길 69(연남동 567-11) GS25 연남타운,37.559695,126.921725,070-8959-3702,서울마포경찰서,,Y,2019-07-10
GS25 서교본,서울특별시,마포구,11440,서울특별시 마포구 동교로17안길 51 GS25 서교본,서울특별시 마포구 동교로17안길 51 (서교동 448-25) GS25 서교본,37.556496,126.918738,02-322-2520,서울마포경찰서,,Y,2019-07-10
GS25 연남경성점,서울특별시,마포구,11440,서울특별시 마포구 성미산로 112 GS25 연남경성점,서울특별시 마포구 성미산로 112(연남동 504-1) GS25 연남경성점,37.562042,126.9195,02-332-7286,서울마포경찰서,,Y,2019-07-10
GS25 합정청마점,서울특별시,마포구,11440,서울특별시 마포구 포은로 42 GS25 합정청마점,서울특별시 마포구 포은로 42 1층(합정동 434-8) GS25 합정청마점,37.551283,126.9072,02-335-3951,서울마포경찰서,,Y,2019-07-10
GS25 합정본점,서울특별시,마포구,11440,서울특별시 마포구 양화로 59 GS25 합정본점,서울특별시 마포구 양화로 59 1층(서교동 393-5) GS25 합정본점,37.550638,126.9148,02-3144-1013,서울마포경찰서,,Y,2019-07-10
