점포명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,여성안심지킴이집전화번호,관할경찰서명,지정년도,운영여부,데이터기준일자
CU 서초염곡점,서울특별시,서초구,11650,서울특별시 서초구 염곡말길 19,서울특별시 서초구 염곡동 106-7,37.46203232,127.052218,02-575-3118,서초경찰서,2015,Y,2019-12-13
CU 반포중앙점,서울특별시,서초구,11650,서울특별시 서초구 사평대로53길 27,서울특별시 서초구 반포동 733-14,37.50547281,127.021345,02-546-3208,서초경찰서,2016,Y,2019-12-13
GS25 반포중앙점,서울특별시,서초구,11650,서울특별시 서초구 사평대로55길 37,서울특별시 서초구 반포동 739-35,37.505669,127.022012,02-514-4249,서초경찰서,2016,Y,2019-12-13
GS25 반포타운점,서울특별시,서초구,11650,서울특별시 서초구 사평대로53길 36,서울특별시 서초구 반포동 734-22,37.5059554,127.0213746,02-511-4325,서초경찰서,2015,Y,2019-12-13
미니스톱 서초반포점,서울특별시,서초구,11650,서울특별시 서초구 사평대로57길 44,서울특별시 서초구 반포동 737,37.50631,127.0227,02-541-4927,서초경찰서,2017,Y,2019-12-13
세븐일레븐 반포3호점,서울특별시,서초구,11650,서울특별시 서초구 반포대로 300-3,서울특별시 서초구 잠원동76-7,37.505772,127.001214,02-533-5716,서초경찰서,2015,Y,2019-12-13
미니스톱 반포삼공점,서울특별시,서초구,11650,서울특별시 서초구 고무래로 6-3,서울특별시 서초구 반포동 58-7,37.50376,127.009915,02-595-3624,서초경찰서,2015,Y,2019-12-13
세븐일레븐 반포서래점,서울특별시,서초구,11650,서울특별시 서초구 서래로6길4,서울특별시 서초구 반포동 90-1,37.497673,126.998499,02-3476-8359,방배경찰서,2015,Y,2019-12-13
GS25 구반포역점,서울특별시,서초구,11650,서울특별시 서초구 신반포로3길 7,서울특별시 서초구 반포동 817,37.5019299,126.9863158,02-532-2579,방배경찰서,2015,Y,2019-12-13
세븐일레븐 반포2호점,서울특별시,서초구,11650,서울특별시 서초구 신반포로 41,서울특별시 서초구 반포동 1189,37.50196257,126.98903,02-596-2224,방배경찰서,2015,Y,2019-12-13
GS25 방배브라운점,서울특별시,서초구,11650,서울특별시 서초구 방배로 146,서울특별시 서초구 방배동 898-6,37.48693415,126.9944098,02-588-0108,방배경찰서,2015,Y,2019-12-13
세븐일레븐 방배17호점,서울특별시,서초구,11650,서울특별시 서초구 도구로 77,서울특별시 서초구 방배동 957-3,37.48340159,126.9867517,02-582-7058,방배경찰서,2015,Y,2019-12-13
미니스톱 사당역점,서울특별시,서초구,11650,서울특별시 서초구 방배천로 5-3,서울특별시 서초구 방배동 445-5,37.47706239,126.9822594,02-586-2834,방배경찰서,2015,Y,2019-12-13
미니스톱 방배본점,서울특별시,서초구,11650,서울특별시 서초구 효령로 18,서울특별시 서초구 방배동 477-8,37.4771435,126.987064,02-581-2209,방배경찰서,2015,Y,2019-12-13
미니스톱 방배중앙점,서울특별시,서초구,11650,서울특별시 서초구 효령로34길 23-3,서울특별시 서초구 방배동 985-20,37.48070381,126.9997965,02-587-9989,방배경찰서,2015,Y,2019-12-13
미니스톱 방배현대점,서울특별시,서초구,11650,서울특별시 서초구 방배로 57,서울특별시 서초구 방배동 982-2,37.4796581,126.998435,02-587-2683,방배경찰서,2015,Y,2019-12-13
GS25 방배E푸른점,서울특별시,서초구,11650,서울특별시 서초구 서초대로27길 57,서울특별시 서초구 방배동 850-3,37.49045254,126.9934077,02-593-2218,방배경찰서,2015,Y,2019-12-13
CU 방배이수역점,서울특별시,서초구,11650,서울특별시 서초구 동광로12가길 26,서울특별시 서초구 방배동 1457,37.4874102,126.983524,02-537-4764,방배경찰서,2015,Y,2019-12-13
세븐일레븐 반포사평로점,서울특별시,서초구,11650,서울특별시 서초구 사평대로6길 7,서울특별시 서초구 방배동 727-3,37.49774377,126.9909277,02-535-3955,방배경찰서,2015,Y,2019-12-13
세븐일레븐 방배8호점,서울특별시,서초구,11650,서울특별시 서초구 방배중앙로 185,서울특별시 서초구 방배동 761-7,37.4955295,126.985613,02-599-2210,방배경찰서,2015,Y,2019-12-13
CU 방배롯데캐슬점,서울특별시,서초구,11650,서울특별시 서초구 방배중앙로29길 25,서울특별시 서초구 방배동 763-1,37.49640954,126.9840325,02-532-3305,방배경찰서,2015,Y,2019-12-13
미니스톱 방배홈타운점,서울특별시,서초구,11650,서울특별시 서초구 동광로 9,서울특별시 서초구 방배동 2133,37.49100802,126.9840648,02-594-3842,방배경찰서,2015,Y,2019-12-13
세븐일레븐 서초19호점,서울특별시,서초구,11650,서울특별시 서초구 사임당로17길 113,서울특별시 서초구 서초동 1668-12,37.4933246,127.0187824,02-3472-2483,서초경찰서,2015,Y,2019-12-13
CU 서초도시점,서울특별시,서초구,11650,서울특별시 서초구 서초대로64길 9,서울특별시 서초구 서초동 1679-5,37.49518207,127.0208388,02-587-6474,서초경찰서,2015,Y,2019-12-13
GS25 서초아남점,서울특별시,서초구,11650,서울특별시 서초구 서초대로64길 55,서울특별시 서초구 서초동 1635-6,37.4932295,127.021552,080-855-5525,서초경찰서,2015,Y,2019-12-13
미니스톱 삼성타운점,서울특별시,서초구,11650,서울특별시 서초구 서초대로78길 22,서울특별시 서초구 서초동 1327-1,37.49589389,127.0275471,02-3472-4399,서초경찰서,2015,Y,2019-12-13
세븐일레븐 서초퍼스트점,서울특별시,서초구,11650,서울특별시 서초구 효령로72길 33,서울특별시 서초구 서초동 1344-29,37.48695597,127.0270322,02-521-2846,서초경찰서,2015,Y,2019-12-13
세븐일레븐 양재역점,서울특별시,서초구,11650,,서울특별시 서초구 양재동 23-3,37.48329,127.034388,02-575-2270,서초경찰서,2015,Y,2019-12-13
미니스톱 서초남부점,서울특별시,서초구,11650,서울특별시 서초구 남부순환로323길 38-17,서울특별시 서초구 서초동 1454-3,37.482743,127.014739,02-3473-5357,서초경찰서,2015,Y,2019-12-13
GS25 서초대림점,서울특별시,서초구,11650,서울특별시 서초구 명달로4길 32,서울특별시 서초구 서초동 1467-65,37.480353,127.007658,02-3471-8928,서초경찰서,2015,Y,2019-12-13
GS25 서초동일점,서울특별시,서초구,11650,서울특별시 서초구 서초대로50길 62-4,서울특별시 서초구 서초동 1568-5,37.4906209,127.0133881,02-597-9890,서초경찰서,2015,Y,2019-12-13
미니스톱 서초라디안점,서울특별시,서초구,11650,서울특별시 서초구 서초중앙로 49,서울특별시 서초구 서초동 1600-7,37.486186,127.01519,02-521-8506,서초경찰서,2015,Y,2019-12-13
미니스톱 서초이오빌,서울특별시,서초구,11650,서울특별시 서초구 효령로53길 45,서울특별시 서초구 서초동 1593-7,37.4865,127.012911,02-581-8904,서초경찰서,2015,Y,2019-12-13
CU 서초효령점,서울특별시,서초구,11650,서울특별시 서초구 반포대로14길 42,서울특별시 서초구 서초동 1589-12,37.485824,127.013426,02-521-1121,서초경찰서,2015,Y,2019-12-13
세븐일레븐 강남본점,서울특별시,서초구,11650,서울특별시 서초구 서초대로77길 27,서울특별시 서초구 서초동 1307-19,37.50012229,127.025504,02-599-2764,서초경찰서,2015,Y,2019-12-13
GS25 서초디오빌점,서울특별시,서초구,11650,서울특별시 서초구 서초대로73길 54,서울특별시 서초구 서초동 1309-1,37.50207776,127.0240859,02-3482-7896,서초경찰서,2015,Y,2019-12-13
세븐일레븐 서초프라자점,서울특별시,서초구,11650,서울특별시 서초구 강남대로61길 25,서울특별시 서초구 서초동 1316-1,37.498429,127.023952,02-595-4388,서초경찰서,2015,Y,2019-12-13
GS25 서초우면점,서울특별시,서초구,11650,서울특별시 서초구 바우뫼로7길 13,서울특별시 서초구 우면동 65-1,37.470943,127.024673,02-529-5424,서초경찰서,2015,Y,2019-12-13
CU 우면프라자점,서울특별시,서초구,11650,서울특별시 서초구 태봉로 70,서울특별시 서초구 우면동 721-1,37.46459096,127.0255824,02-578-5776,서초경찰서,2015,Y,2019-12-13
GS25 서초LG점,서울특별시,서초구,11650,서울특별시 서초구 양재대로11길 19,서울특별시 서초구 양재동 221,37.46122164,127.0344474,02-575-0408,서초경찰서,2015,Y,2019-12-13
GS25 양재구룡점,서울특별시,서초구,11650,서울특별시 서초구 논현로5길 18,서울특별시 서초구 양재동 395-6,37.472131,127.048914,02-529-7718,서초경찰서,2015,Y,2019-12-13
미니스톱 양재그린점,서울특별시,서초구,11650,서울특별시 서초구 강남대로18길 11,서울특별시 서초구 양재동 242-8,37.47204528,127.0394423,02-571-7392,서초경찰서,2015,Y,2019-12-13
CU 양재알뜰점,서울특별시,서초구,11650,서울특별시 서초구 언남9길 7-4,서울특별시 서초구 양재동 254-5,37.47380341,127.0425973,02-2057-0862,서초경찰서,2015,Y,2019-12-13
CU 청계산입구역점,서울특별시,서초구,11650,서울특별시 서초구 청계산로 217,서울특별시 서초구 신원동 214,37.44622616,127.0573225,02-575-0734,서초경찰서,2015,Y,2019-12-13
GS25 논현최강점,서울특별시,서초구,11650,서울특별시 서초구 신반포로 329,서울특별시 서초구 잠원동 40-9,37.51080574,127.019504,02-512-3482,서초경찰서,2015,Y,2019-12-13
